Temple,45,George Washington,218
2:21,218,Josh Brown missed Jumper.,23,34
2:21,45,Patrick Steeves Defensive Rebound.,23,34
1:53,45,Jair Bolden missed Jumper.,23,34
1:53,218,De'Vondre Perry Defensive Rebound.,23,34
1:45,218,Nate Pierre-Louis Turnover.,23,34
1:30,45,Arnaldo Toro made Layup. Assisted by Patrick Steeves.,23,36
1:08,218,Quinton Rose made Jumper.,25,36
0:46,45,Jair Bolden made Jumper.,25,38
0:22,218,Josh Brown missed Jumper.,25,38
0:22,45,Justin Williams Defensive Rebound.,25,38
0:06,218,Foul on Josh Brown.,25,38
0:06,45,George Washington  Timeout,25,38
0:03,218,Foul on Shizz Alston Jr..,25,38
0:01,45,Patrick Steeves made Jumper. Assisted by Yuta Watanabe.,25,40
0:00,45,End of 1st half,25,40
19:42,45,Patrick Steeves made Jumper.,25,42
19:23,218,Shizz Alston Jr. made Jumper.,27,42
19:01,45,Patrick Steeves Turnover.,27,42
19:01,218,Josh Brown Steal.,27,42
18:37,218,Josh Brown missed Jumper.,27,42
18:37,45,Arnaldo Toro Defensive Rebound.,27,42
18:11,45,Patrick Steeves Turnover.,27,42
18:09,218,Quinton Rose Steal.,27,42
18:08,218,Quinton Rose made Layup. Assisted by Josh Brown.,29,42
17:51,45,Terry Nolan Jr. Turnover.,29,42
17:36,218,Shizz Alston Jr. made Three Point Jumper.,32,42
17:22,218,Foul on Josh Brown.,32,42
17:19,218,Foul on Ernest Aflakpui.,32,42
17:03,45,Jair Bolden missed Jumper.,32,42
17:03,218,Obi Enechionyia Defensive Rebound.,32,42
16:55,218,Shizz Alston Jr. missed Three Point Jumper.,32,42
16:55,45,George Washington Defensive Rebound.,32,42
16:27,45,Patrick Steeves missed Layup.,32,42
16:27,218,Temple Defensive Rebound.,32,42
16:05,45,Foul on Terry Nolan Jr..,32,42
16:04,218,Quinton Rose missed Jumper.,32,42
16:04,45,Yuta Watanabe Defensive Rebound.,32,42
15:51,218,Foul on Ernest Aflakpui.,32,42
15:51,45,Official TV Timeout,32,42
15:41,218,Foul on Alani Moore II.,32,42
15:27,218,Foul on Shizz Alston Jr..,32,42
15:11,45,Yuta Watanabe made Three Point Jumper. Assisted by Arnaldo Toro.,32,45
14:56,218,Quinton Rose made Dunk.,34,45
14:28,45,Jair Bolden missed Jumper.,34,45
14:28,218,Alani Moore II Defensive Rebound.,34,45
14:25,45,Foul on Terry Nolan Jr..,34,45
14:05,45,Foul on Yuta Watanabe.,34,45
13:57,218,Shizz Alston Jr. made Three Point Jumper. Assisted by Alani Moore II.,37,45
13:29,45,Jair Bolden Turnover.,37,45
13:18,218,Quinton Rose Turnover.,37,45
13:16,45,Justin Mazzulla Steal.,37,45
12:59,45,Yuta Watanabe Turnover.,37,45
12:58,218,Quinton Rose Steal.,37,45
12:56,218,Quinton Rose made Dunk.,39,45
12:55,45,George Washington  Timeout,39,45
12:55,45,Official TV Timeout,39,45
12:35,218,Foul on De'Vondre Perry.,39,45
12:35,45,Arnaldo Toro made Free Throw.,39,46
12:35,45,Arnaldo Toro made Free Throw.,39,47
12:25,218,Alani Moore II missed Three Point Jumper.,39,47
12:25,45,Bo Zeigler Defensive Rebound.,39,47
12:13,45,Justin Mazzulla made Jumper.,39,49
11:50,45,Foul on Justin Mazzulla.,39,49
11:50,45,Official TV Timeout,39,49
11:44,218,De'Vondre Perry made Jumper. Assisted by Josh Brown.,41,49
11:22,45,Yuta Watanabe Turnover.,41,49
11:21,218,Quinton Rose Steal.,41,49
11:18,218,Quinton Rose made Dunk.,43,49
11:04,218,Foul on Josh Brown.,43,49
11:04,45,Yuta Watanabe made Free Throw.,43,50
11:04,45,Yuta Watanabe made Free Throw.,43,51
10:55,218,Quinton Rose Turnover.,43,51
10:54,45,Jair Bolden Steal.,43,51
10:50,45,Terry Nolan Jr. made Layup. Assisted by Jair Bolden.,43,53
10:33,218,Obi Enechionyia made Three Point Jumper. Assisted by Shizz Alston Jr..,46,53
10:14,218,Foul on Obi Enechionyia.,46,53
10:14,45,Yuta Watanabe missed Free Throw.,46,53
10:14,45,George Washington Deadball Team Rebound.,46,53
10:14,45,Yuta Watanabe made Free Throw.,46,54
9:53,218,Alani Moore II missed Layup.,46,54
9:53,45,Terry Nolan Jr. Defensive Rebound.,46,54
9:27,45,Yuta Watanabe made Three Point Jumper. Assisted by Arnaldo Toro.,46,57
9:15,218,Shizz Alston Jr. made Layup.,48,57
8:57,45,Yuta Watanabe missed Three Point Jumper.,48,57
8:57,218,Shizz Alston Jr. Defensive Rebound.,48,57
8:55,45,Foul on Terry Nolan Jr..,48,57
8:47,45,Foul on Terry Nolan Jr..,48,57
8:47,218,Shizz Alston Jr. made Free Throw.,49,57
8:47,218,Shizz Alston Jr. made Free Throw.,50,57
8:32,45,Yuta Watanabe Turnover.,50,57
8:31,218,Josh Brown Steal.,50,57
8:27,218,Josh Brown missed Layup.,50,57
8:27,45,Yuta Watanabe Block.,50,57
8:26,45,Justin Mazzulla Defensive Rebound.,50,57
8:21,45,Jair Bolden missed Layup.,50,57
8:21,218,Josh Brown Defensive Rebound.,50,57
8:12,218,Alani Moore II made Three Point Jumper. Assisted by Josh Brown.,53,57
8:06,45,Yuta Watanabe Turnover.,53,57
8:05,218,Alani Moore II Steal.,53,57
8:02,218,Quinton Rose made Three Point Jumper. Assisted by Shizz Alston Jr..,56,57
8:00,45,George Washington  Timeout,56,57
8:00,45,Official TV Timeout,56,57
7:32,45,Jair Bolden made Jumper.,56,59
7:17,218,Alani Moore II missed Three Point Jumper.,56,59
7:17,45,Bo Zeigler Defensive Rebound.,56,59
6:44,45,Yuta Watanabe missed Jumper.,56,59
6:44,218,Shizz Alston Jr. Defensive Rebound.,56,59
6:34,218,Shizz Alston Jr. made Three Point Jumper.,59,59
6:16,218,Foul on Quinton Rose.,59,59
6:16,45,Justin Mazzulla missed Free Throw.,59,59
6:16,45,Patrick Steeves Offensive Rebound.,59,59
5:56,45,Patrick Steeves missed Jumper.,59,59
5:56,45,Justin Mazzulla Offensive Rebound.,59,59
5:52,45,Justin Mazzulla made Layup.,59,61
5:39,45,Foul on Justin Mazzulla.,59,61
5:39,218,Quinton Rose made Free Throw.,60,61
5:39,218,Quinton Rose made Free Throw.,61,61
5:17,45,Patrick Steeves made Layup. Assisted by Jair Bolden.,61,63
5:04,218,Quinton Rose Turnover.,61,63
5:03,45,Yuta Watanabe Steal.,61,63
5:01,45,Yuta Watanabe made Layup.,61,65
4:42,218,Quinton Rose missed Layup.,61,65
4:42,45,Yuta Watanabe Defensive Rebound.,61,65
4:33,45,Patrick Steeves missed Layup.,61,65
4:33,218,Josh Brown Block.,61,65
4:29,218,Quinton Rose Defensive Rebound.,61,65
4:10,218,Quinton Rose made Three Point Jumper. Assisted by Alani Moore II.,64,65
3:55,218,Foul on Alani Moore II.,64,65
3:55,45,Official TV Timeout,64,65
3:55,45,Jair Bolden missed Free Throw.,64,65
3:55,45,George Washington Deadball Team Rebound.,64,65
3:55,45,Jair Bolden made Free Throw.,64,66
3:37,218,Alani Moore II missed Three Point Jumper.,64,66
3:37,45,Yuta Watanabe Defensive Rebound.,64,66
3:05,45,Jair Bolden made Three Point Jumper.,64,69
2:49,218,Obi Enechionyia Turnover.,64,69
2:49,218,Foul on Obi Enechionyia.,64,69
2:49,218,Temple  Timeout,64,69
2:26,45,Jair Bolden Turnover.,64,69
2:26,45,Foul on Jair Bolden.,64,69
2:12,218,Obi Enechionyia missed Three Point Jumper.,64,69
2:12,45,Yuta Watanabe Defensive Rebound.,64,69
1:44,45,Jair Bolden missed Three Point Jumper.,64,69
1:44,218,Quinton Rose Defensive Rebound.,64,69
1:33,45,Foul on Bo Zeigler.,64,69
1:33,218,Josh Brown missed Free Throw.,64,69
1:33,218,Temple Deadball Team Rebound.,64,69
1:33,218,Josh Brown made Free Throw.,65,69
1:04,45,Terry Nolan Jr. missed Three Point Jumper.,65,69
1:04,45,Bo Zeigler Offensive Rebound.,65,69
0:47,45,Jair Bolden Turnover.,65,69
0:47,218,Shizz Alston Jr. Steal.,65,69
0:41,218,Quinton Rose missed Jumper.,65,69
0:41,45,Yuta Watanabe Block.,65,69
0:41,218,Temple Offensive Rebound.,65,69
0:39,218,Obi Enechionyia missed Three Point Jumper.,65,69
0:39,218,Alani Moore II Offensive Rebound.,65,69
0:36,45,Foul on Jair Bolden.,65,69
0:36,218,Alani Moore II made Free Throw.,66,69
0:36,218,Alani Moore II made Free Throw.,67,69
0:36,218,Temple  Timeout,67,69
0:20,218,Foul on Josh Brown.,67,69
0:20,45,Jair Bolden made Free Throw.,67,70
0:20,45,Jair Bolden missed Free Throw.,67,70
0:20,218,Quinton Rose Defensive Rebound.,67,70
0:13,218,Obi Enechionyia missed Three Point Jumper.,67,70
0:13,45,Jair Bolden Defensive Rebound.,67,70
0:08,45,Jair Bolden Turnover.,67,70
0:07,218,Alani Moore II Steal.,67,70
0:03,218,Quinton Rose missed Three Point Jumper.,67,70
0:03,45,Terry Nolan Jr. Defensive Rebound.,67,70
0:01,218,Foul on Josh Brown.,67,70
0:01,218,Temple  Timeout,67,70
0:01,45,Terry Nolan Jr. made Free Throw.,67,71
0:01,45,Terry Nolan Jr. missed Free Throw.,67,71
0:01,218,Quinton Rose Defensive Rebound.,67,71
0:00,45,End of Game,67,70
