Rutgers,135,Minnesota,164
19:47,135,Dupree McBrayer missed Jumper.,33,43
19:47,164,Geo Baker Block.,33,43
19:43,135,Davonte Fitzgerald Offensive Rebound.,33,43
19:41,135,Davonte Fitzgerald missed Three Point Jumper.,33,43
19:39,164,Issa Thiam Defensive Rebound.,33,43
19:26,135,Foul on Davonte Fitzgerald.,33,43
19:14,164,Mamadou Doucoure made Jumper.,35,43
18:50,135,Nate Mason made Three Point Jumper. Assisted by Reggie Lynch.,35,46
18:26,164,Deshawn Freeman made Jumper.,37,46
17:56,135,Nate Mason made Three Point Jumper. Assisted by Dupree McBrayer.,37,49
17:32,164,Corey Sanders made Jumper.,39,49
17:11,135,Reggie Lynch made Dunk. Assisted by Nate Mason.,39,51
16:55,164,Corey Sanders made Three Point Jumper. Assisted by Geo Baker.,42,51
16:30,135,Amir Coffey missed Jumper.,42,51
16:30,164,Issa Thiam Block.,42,51
16:29,135,Minnesota Offensive Rebound.,42,51
16:25,164,Foul on Mike Williams.,42,51
16:18,135,Jordan Murphy missed Jumper.,42,51
16:17,135,Jordan Murphy Offensive Rebound.,42,51
16:16,164,Foul on Deshawn Freeman.,42,51
16:16,135,Jordan Murphy missed Free Throw.,42,51
16:16,135,Minnesota Deadball Team Rebound.,42,51
16:16,135,Jordan Murphy made Free Throw.,42,52
16:06,135,Foul on Dupree McBrayer.,42,52
15:55,164,Foul on Eugene Omoruyi.,42,52
15:55,164,Eugene Omoruyi Turnover.,42,52
15:55,135,Official TV Timeout,42,52
15:28,135,Reggie Lynch made Layup. Assisted by Amir Coffey.,42,54
15:08,164,Geo Baker missed Jumper.,42,54
15:05,135,Minnesota Defensive Rebound.,42,54
14:51,135,Amir Coffey Turnover.,42,54
14:51,164,Mike Williams Steal.,42,54
14:45,164,Corey Sanders made Layup. Assisted by Mike Williams.,44,54
14:29,135,Dupree McBrayer missed Jumper.,44,54
14:26,164,Deshawn Freeman Defensive Rebound.,44,54
14:21,164,Corey Sanders Turnover.,44,54
14:21,135,Dupree McBrayer Steal.,44,54
14:15,135,Dupree McBrayer made Jumper.,44,56
14:07,164,Mamadou Doucoure made Jumper. Assisted by Corey Sanders.,46,56
13:53,135,Jordan Murphy missed Jumper.,46,56
13:51,164,Deshawn Freeman Defensive Rebound.,46,56
13:44,164,Deshawn Freeman missed Jumper.,46,56
13:43,164,Mamadou Doucoure Offensive Rebound.,46,56
13:39,164,Mamadou Doucoure Turnover.,46,56
13:39,135,Dupree McBrayer Steal.,46,56
13:38,164,Foul on Geo Baker.,46,56
13:23,135,Amir Coffey missed Three Point Jumper.,46,56
13:21,164,Corey Sanders Defensive Rebound.,46,56
13:18,164,Issa Thiam made Layup. Assisted by Corey Sanders.,48,56
12:48,135,Nate Mason missed Jumper.,48,56
12:46,164,Shaquille Doorson Defensive Rebound.,48,56
12:39,164,Corey Sanders missed Jumper.,48,56
12:36,135,Amir Coffey Defensive Rebound.,48,56
12:06,135,Minnesota Offensive Rebound.,48,56
12:06,135,Minnesota  Turnover.,48,56
12:05,135,Dupree McBrayer missed Three Point Jumper.,48,56
12:05,164,Geo Baker Block.,48,56
11:45,164,Issa Thiam missed Jumper.,48,56
11:42,135,Nate Mason Defensive Rebound.,48,56
11:38,135,Nate Mason missed Jumper.,48,56
11:36,164,Eugene Omoruyi Defensive Rebound.,48,56
11:31,164,Corey Sanders missed Jumper.,48,56
11:28,135,Jordan Murphy Defensive Rebound.,48,56
11:19,135,Official TV Timeout,48,56
11:19,164,Foul on Shaquille Doorson.,48,56
11:19,135,Jordan Murphy made Free Throw.,48,57
11:19,135,Jordan Murphy made Free Throw.,48,58
11:04,164,Eugene Omoruyi missed Jumper.,48,58
11:02,135,Nate Mason Defensive Rebound.,48,58
10:43,135,Bakary Konate made Layup. Assisted by Amir Coffey.,48,60
10:24,164,Corey Sanders missed Layup.,48,60
10:21,135,Bakary Konate Defensive Rebound.,48,60
10:10,135,Jordan Murphy Turnover.,48,60
9:58,164,Mamadou Doucoure made Jumper. Assisted by Mike Williams.,50,60
9:48,135,Nate Mason Turnover.,50,60
9:29,164,Deshawn Freeman missed Jumper.,50,60
9:26,135,Amir Coffey Defensive Rebound.,50,60
9:20,135,Amir Coffey missed Jumper.,50,60
9:19,164,Deshawn Freeman Defensive Rebound.,50,60
9:19,135,Foul on Bakary Konate.,50,60
8:59,164,Mamadou Doucoure made Jumper. Assisted by Corey Sanders.,52,60
8:37,135,Jordan Murphy missed Jumper.,52,60
8:35,135,Reggie Lynch Offensive Rebound.,52,60
8:35,135,Reggie Lynch made Free Throw.,52,61
8:35,135,Reggie Lynch made Free Throw.,52,62
8:35,164,Foul on Mamadou Doucoure.,52,60
8:35,135,Reggie Lynch made Free Throw.,52,61
8:35,135,Reggie Lynch made Free Throw.,52,62
8:22,164,Geo Baker missed Jumper.,52,62
8:20,135,Jordan Murphy Defensive Rebound.,52,62
8:12,135,Nate Mason made Jumper.,52,64
8:04,135,Foul on Reggie Lynch.,52,64
7:59,164,Deshawn Freeman missed Jumper.,52,64
7:59,135,Michael Hurt Block.,52,64
7:58,164,Rutgers Offensive Rebound.,52,64
7:58,135,Official TV Timeout,52,64
7:42,164,Deshawn Freeman missed Jumper.,52,64
7:40,164,Deshawn Freeman Offensive Rebound.,52,64
7:40,164,Deshawn Freeman made Two Point Tip Shot.,54,64
7:22,135,Isaiah Washington made Three Point Jumper. Assisted by Reggie Lynch.,54,67
7:14,164,Geo Baker missed Three Point Jumper.,54,67
7:11,135,Reggie Lynch Defensive Rebound.,54,67
7:08,135,Reggie Lynch Turnover.,54,67
7:08,164,Mike Williams Steal.,54,67
7:06,164,Mike Williams missed Jumper.,54,67
7:05,135,Isaiah Washington Defensive Rebound.,54,67
7:03,135,Nate Mason made Free Throw.,54,68
7:03,135,Nate Mason made Free Throw.,54,69
7:03,164,Technical Foul on Corey Sanders.,54,67
7:03,135,Nate Mason made Free Throw.,54,68
7:03,135,Nate Mason made Free Throw.,54,69
7:03,135,Nate Mason made Free Throw.,54,70
7:03,135,Nate Mason made Free Throw.,54,70
7:03,135,Nate Mason made Free Throw.,54,71
7:03,164,Foul on Eugene Omoruyi.,54,69
7:03,164,Eugene Omoruyi Turnover.,54,69
7:03,135,Nate Mason made Free Throw.,54,70
7:03,135,Nate Mason made Free Throw.,54,71
6:47,164,Issa Thiam made Three Point Jumper. Assisted by Geo Baker.,57,71
6:28,135,Amir Coffey missed Jumper.,57,71
6:26,164,Deshawn Freeman Defensive Rebound.,57,71
6:22,164,Geo Baker made Free Throw.,58,71
6:22,164,Geo Baker made Free Throw.,59,71
6:22,135,Foul on Isaiah Washington.,57,71
6:22,164,Geo Baker made Free Throw.,58,71
6:22,164,Geo Baker made Free Throw.,59,71
6:22,164,Rutgers  Timeout,59,71
6:22,135,Official TV Timeout,59,71
6:06,135,Reggie Lynch missed Jumper.,59,71
6:06,164,Mike Williams Block.,59,71
6:05,135,Minnesota Offensive Rebound.,59,71
5:53,135,Jordan Murphy missed Jumper.,59,71
5:53,164,Deshawn Freeman Block.,59,71
5:50,135,Jordan Murphy Offensive Rebound.,59,71
5:50,135,Jordan Murphy missed Jumper.,59,71
5:48,164,Mamadou Doucoure Defensive Rebound.,59,71
5:43,164,Geo Baker missed Layup.,59,71
5:42,135,Isaiah Washington Defensive Rebound.,59,71
5:42,135,Isaiah Washington made Free Throw.,59,72
5:42,135,Isaiah Washington made Free Throw.,59,73
5:42,164,Foul on Mamadou Doucoure.,59,71
5:42,135,Isaiah Washington made Free Throw.,59,72
5:42,135,Isaiah Washington made Free Throw.,59,73
5:28,164,Deshawn Freeman missed Jumper.,59,73
5:28,135,Reggie Lynch Block.,59,73
5:26,135,Nate Mason Defensive Rebound.,59,73
5:23,135,Dupree McBrayer missed Free Throw.,59,73
5:23,135,Dupree McBrayer missed Free Throw.,59,73
5:23,164,Foul on Geo Baker.,59,73
5:23,135,Minnesota Deadball Team Rebound.,59,73
5:23,135,Dupree McBrayer missed Free Throw.,59,73
5:23,135,Dupree McBrayer missed Free Throw.,59,73
5:23,164,Deshawn Freeman Defensive Rebound.,59,73
