Tennessee,59,Georgia Tech,2633
17:46,2633,Foul on Grant Williams.,37,29
17:43,59,Ben Lammers made Three Point Jumper. Assisted by Jose Alvarado.,37,32
17:24,2633,Kyle Alexander made Jumper. Assisted by Jordan Bone.,39,32
17:04,59,Ben Lammers missed Jumper.,39,32
17:04,2633,Admiral Schofield Defensive Rebound.,39,32
16:44,2633,Jordan Bowden made Jumper. Assisted by Admiral Schofield.,41,32
16:24,2633,Foul on Grant Williams.,41,32
16:12,59,Ben Lammers made Jumper. Assisted by Abdoulaye Gueye.,41,34
16:05,2633,Foul on Kyle Alexander.,41,34
16:05,59,Ben Lammers made Free Throw.,41,35
15:53,2633,Jordan Bone missed Three Point Jumper.,41,35
15:53,59,Curtis Haywood II Defensive Rebound.,41,35
15:33,59,Jose Alvarado missed Jumper.,41,35
15:33,2633,Jordan Bone Block.,41,35
15:33,59,Georgia Tech Offensive Rebound.,41,35
15:31,59,Official TV Timeout,41,35
15:31,59,Tadric Jackson Turnover.,41,35
15:31,59,Foul on Tadric Jackson.,41,35
15:26,2633,Grant Williams missed Jumper.,41,35
15:26,59,Curtis Haywood II Defensive Rebound.,41,35
15:26,59,Ben Lammers made Three Point Jumper. Assisted by Abdoulaye Gueye.,41,38
14:49,2633,Grant Williams Turnover.,41,38
14:35,2633,Foul on James Daniel III.,41,38
14:25,59,Jose Alvarado Turnover.,41,38
14:25,2633,Jordan Bone Steal.,41,38
14:07,2633,Admiral Schofield missed Jumper.,41,38
14:07,2633,Derrick Walker Offensive Rebound.,41,38
14:01,2633,Derrick Walker missed Layup.,41,38
14:01,59,Ben Lammers Defensive Rebound.,41,38
13:54,59,Curtis Haywood II made Layup. Assisted by Tadric Jackson.,41,40
13:27,2633,Lamonte Turner made Three Point Jumper.,44,40
13:11,59,Georgia Tech  Timeout,44,40
13:11,59,Official TV Timeout,44,40
13:02,59,Foul on Tadric Jackson.,44,40
13:02,59,Tadric Jackson Turnover.,44,40
12:42,2633,Jordan Bone missed Jumper.,44,40
12:42,59,Abdoulaye Gueye Defensive Rebound.,44,40
12:23,59,Ben Lammers missed Jumper.,44,40
12:23,59,Jose Alvarado Offensive Rebound.,44,40
12:15,59,Foul on Ben Lammers.,44,40
12:15,59,Ben Lammers Turnover.,44,40
12:04,2633,Admiral Schofield made Three Point Jumper. Assisted by Jordan Bone.,47,40
11:32,59,Ben Lammers made Jumper.,47,42
11:12,2633,Chris Darrington made Layup. Assisted by Lamonte Turner.,49,42
10:55,59,Tadric Jackson missed Layup.,49,42
10:55,59,Georgia Tech Offensive Rebound.,49,42
10:55,59,Official TV Timeout,49,42
10:50,59,Tadric Jackson made Jumper.,49,44
10:50,2633,Foul on Grant Williams.,49,44
10:50,59,Tadric Jackson made Free Throw.,49,45
10:34,2633,Admiral Schofield made Three Point Jumper. Assisted by Jordan Bone.,52,45
10:06,2633,Foul on Lamonte Turner.,52,45
10:06,59,Tadric Jackson made Free Throw.,52,46
10:06,59,Tadric Jackson missed Free Throw.,52,46
10:06,2633,Admiral Schofield Defensive Rebound.,52,46
9:50,2633,Chris Darrington made Jumper. Assisted by Grant Williams.,54,46
9:24,2633,Foul on Grant Williams.,54,46
9:24,59,Ben Lammers made Free Throw.,54,47
9:24,59,Ben Lammers made Free Throw.,54,48
9:10,2633,Jordan Bowden missed Jumper.,54,48
9:10,2633,Admiral Schofield Offensive Rebound.,54,48
9:05,2633,Admiral Schofield Turnover.,54,48
9:05,59,Jose Alvarado Steal.,54,48
9:05,2633,Foul on Admiral Schofield.,54,48
9:05,59,Jose Alvarado made Free Throw.,54,49
9:05,59,Jose Alvarado missed Free Throw.,54,49
9:05,59,Abdoulaye Gueye Offensive Rebound.,54,49
8:51,59,Jose Alvarado missed Jumper.,54,49
8:51,2633,Kyle Alexander Defensive Rebound.,54,49
8:40,2633,Chris Darrington Turnover.,54,49
8:24,59,Foul on Tadric Jackson.,54,49
8:24,59,Tadric Jackson Turnover.,54,49
8:10,2633,Kyle Alexander Turnover.,54,49
7:48,2633,Foul on Jordan Bowden.,54,49
7:43,59,Official TV Timeout,54,49
7:42,59,Curtis Haywood II made Free Throw.,54,50
7:42,59,Curtis Haywood II missed Free Throw.,54,50
7:42,59,Ben Lammers Offensive Rebound.,54,50
7:39,59,Curtis Haywood II Turnover.,54,50
7:39,2633,Lamonte Turner Steal.,54,50
7:17,2633,Kyle Alexander missed Jumper.,54,50
7:17,59,Jose Alvarado Defensive Rebound.,54,50
6:52,59,Jose Alvarado missed Three Point Jumper.,54,50
6:52,2633,Derrick Walker Defensive Rebound.,54,50
6:29,59,Foul on Curtis Haywood II.,54,50
6:29,2633,Lamonte Turner made Free Throw.,55,50
6:29,2633,Lamonte Turner made Free Throw.,56,50
6:16,59,Jose Alvarado made Layup. Assisted by Ben Lammers.,56,52
5:49,2633,Admiral Schofield missed Three Point Jumper.,56,52
5:45,59,Tadric Jackson Defensive Rebound.,56,52
5:33,59,Ben Lammers missed Three Point Jumper.,56,52
5:33,2633,Admiral Schofield Defensive Rebound.,56,52
5:14,2633,James Daniel III missed Jumper.,56,52
5:14,59,Curtis Haywood II Defensive Rebound.,56,52
4:49,59,Ben Lammers missed Jumper.,56,52
4:49,2633,Kyle Alexander Defensive Rebound.,56,52
4:38,2633,Admiral Schofield missed Jumper.,56,52
4:38,59,Curtis Haywood II Defensive Rebound.,56,52
4:21,59,Georgia Tech  Timeout,56,52
4:21,59,Official TV Timeout,56,52
4:12,59,Tadric Jackson made Jumper.,56,54
4:07,2633,Tennessee  Timeout,56,54
3:46,2633,Lamonte Turner made Jumper.,58,54
3:22,2633,Foul on Kyle Alexander.,58,54
3:22,59,Ben Lammers made Free Throw.,58,55
3:22,59,Ben Lammers missed Free Throw.,58,55
3:22,2633,Kyle Alexander Defensive Rebound.,58,55
3:08,2633,Grant Williams missed Jumper.,58,55
3:08,2633,Tennessee Offensive Rebound.,58,55
3:00,2633,Lamonte Turner missed Three Point Jumper.,58,55
3:00,59,Curtis Haywood II Defensive Rebound.,58,55
2:57,2633,Foul on Grant Williams.,58,55
2:57,59,Curtis Haywood II made Free Throw.,58,56
2:57,59,Curtis Haywood II made Free Throw.,58,57
2:50,59,Foul on Curtis Haywood II.,58,57
2:50,2633,Lamonte Turner made Free Throw.,59,57
2:50,2633,Lamonte Turner made Free Throw.,60,57
2:41,59,Curtis Haywood II missed Three Point Jumper.,60,57
2:41,2633,Kyle Alexander Defensive Rebound.,60,57
2:17,59,Foul on Brandon Alston.,60,57
2:17,2633,Admiral Schofield made Free Throw.,61,57
2:17,2633,Admiral Schofield made Free Throw.,62,57
2:08,59,Jose Alvarado missed Three Point Jumper.,62,57
2:08,2633,Kyle Alexander Defensive Rebound.,62,57
1:41,59,Foul on Brandon Alston.,62,57
1:41,2633,Admiral Schofield made Free Throw.,63,57
1:41,2633,Admiral Schofield made Free Throw.,64,57
1:23,59,Ben Lammers missed Layup.,64,57
1:23,59,Ben Lammers Offensive Rebound.,64,57
1:21,2633,Foul on Kyle Alexander.,64,57
1:21,59,Ben Lammers made Free Throw.,64,58
1:21,59,Ben Lammers missed Free Throw.,64,58
1:21,59,Georgia Tech Offensive Rebound.,64,58
1:05,59,Curtis Haywood II Turnover.,64,58
1:05,2633,Jordan Bowden Steal.,64,58
1:04,59,Foul on Tadric Jackson.,64,58
1:04,2633,Jordan Bowden made Free Throw.,65,58
1:04,2633,Jordan Bowden made Free Throw.,66,58
0:59,59,Tadric Jackson missed Three Point Jumper.,66,58
0:59,2633,Lamonte Turner Defensive Rebound.,66,58
0:51,2633,Lamonte Turner made Layup.,68,58
0:51,59,Foul on Brandon Alston.,68,58
0:51,2633,Lamonte Turner made Free Throw.,69,58
0:46,59,Tadric Jackson made Dunk. Assisted by Curtis Haywood II.,69,60
0:46,2633,Tennessee  Timeout,69,60
0:42,59,Foul on Justin Moore.,69,60
0:42,2633,Lamonte Turner made Free Throw.,70,60
0:42,2633,Lamonte Turner made Free Throw.,71,60
0:32,59,Jose Alvarado made Three Point Jumper. Assisted by Curtis Haywood II.,71,63
0:28,59,Foul on Jose Alvarado.,71,63
0:28,2633,Jordan Bone missed Free Throw.,71,63
0:28,2633,Tennessee Deadball Team Rebound.,71,63
0:28,2633,Jordan Bone made Free Throw.,72,63
0:22,59,Jose Alvarado made Three Point Jumper. Assisted by Curtis Haywood II.,72,66
0:18,59,Foul on Jose Alvarado.,72,66
0:18,2633,Jordan Bone made Free Throw.,73,66
0:18,2633,Jordan Bone made Free Throw.,74,66
0:10,2633,Foul on Jordan Bowden.,74,66
0:10,59,Tadric Jackson missed Free Throw.,74,66
0:10,59,Georgia Tech Deadball Team Rebound.,74,66
0:10,59,Tadric Jackson missed Free Throw.,74,66
0:10,59,Georgia Tech Deadball Team Rebound.,74,66
0:10,59,Tadric Jackson made Free Throw.,74,67
0:10,59,Foul on Abdoulaye Gueye.,74,67
0:10,2633,Lamonte Turner made Free Throw.,75,67
0:10,2633,Lamonte Turner made Free Throw.,76,67
0:06,59,Jose Alvarado made Three Point Jumper.,76,70
0:05,59,Foul on Brandon Alston.,76,70
0:05,2633,Jordan Bone missed Free Throw.,76,70
0:05,2633,Tennessee Deadball Team Rebound.,76,70
0:05,2633,Jordan Bone made Free Throw.,77,70
0:00,59,End of Game,77,70
