UCF,333,Alabama,2116
13:07,2116,Chance McSpadden missed Layup.,9,12
13:07,333,Daniel Giddens Defensive Rebound.,9,12
12:56,333,Avery Johnson Jr. made Jumper.,9,14
12:35,2116,Chance McSpadden missed Layup.,9,14
12:35,333,Dazon Ingram Defensive Rebound.,9,14
12:27,333,Dazon Ingram made Layup.,9,16
12:00,2116,Dayon Griffin made Three Point Jumper. Assisted by Terrell Allen.,12,16
11:48,333,Daniel Giddens missed Jumper.,12,16
11:48,2116,Myles Douglas Defensive Rebound.,12,16
11:16,2116,Myles Douglas missed Three Point Jumper.,12,16
11:16,333,Herb Jones Defensive Rebound.,12,16
11:06,333,John Petty made Dunk. Assisted by Herb Jones.,12,18
10:48,2116,Chance McSpadden made Layup.,14,18
10:40,333,Herb Jones missed Jumper.,14,18
10:40,2116,Dayon Griffin Defensive Rebound.,14,18
10:33,333,Foul on Dazon Ingram.,14,18
10:33,333,Official TV Timeout,14,18
10:03,2116,UCF  Turnover.,14,18
9:45,333,Avery Johnson Jr. missed Jumper.,14,18
9:45,333,Galin Smith Offensive Rebound.,14,18
9:34,333,John Petty missed Three Point Jumper.,14,18
9:34,2116,Rokas Ulvydas Defensive Rebound.,14,18
9:17,2116,Myles Douglas missed Jumper.,14,18
9:17,333,Alex Reese Defensive Rebound.,14,18
9:04,333,Galin Smith missed Layup.,14,18
9:04,2116,Rokas Ulvydas Block.,14,18
9:04,333,Alabama Offensive Rebound.,14,18
8:52,2116,Foul on Rokas Ulvydas.,14,18
8:52,333,Dazon Ingram made Free Throw.,14,19
8:52,333,Dazon Ingram made Free Throw.,14,20
8:37,2116,A.J. Davis missed Jumper.,14,20
8:37,333,Dazon Ingram Defensive Rebound.,14,20
8:26,333,Alex Reese made Jumper.,14,22
8:26,2116,Foul on Chad Brown.,14,22
8:26,333,Alex Reese made Free Throw.,14,23
8:15,2116,Dayon Griffin missed Three Point Jumper.,14,23
8:15,333,Galin Smith Defensive Rebound.,14,23
7:56,333,Galin Smith missed Jumper.,14,23
7:56,2116,A.J. Davis Block.,14,23
7:56,333,Galin Smith Offensive Rebound.,14,23
7:56,333,Official TV Timeout,14,23
7:54,333,Herb Jones made Jumper.,14,25
7:44,333,Foul on Herb Jones.,14,25
7:28,2116,Ceasar DeJesus missed Layup.,14,25
7:28,333,Donta Hall Block.,14,25
7:28,333,Donta Hall Defensive Rebound.,14,25
7:16,333,Herb Jones missed Jumper.,14,25
7:16,333,Dazon Ingram Offensive Rebound.,14,25
7:08,333,Dazon Ingram missed Layup.,14,25
7:08,2116,A.J. Davis Defensive Rebound.,14,25
6:57,2116,Ceasar DeJesus missed Jumper.,14,25
6:57,333,Donta Hall Block.,14,25
6:57,333,Donta Hall Defensive Rebound.,14,25
6:47,333,Collin Sexton missed Three Point Jumper.,14,25
6:47,2116,A.J. Davis Defensive Rebound.,14,25
6:31,2116,A.J. Davis made Layup.,16,25
6:23,333,Alex Reese missed Three Point Jumper.,16,25
6:23,2116,Dayon Griffin Defensive Rebound.,16,25
6:03,2116,Terrell Allen made Three Point Jumper.,19,25
5:39,333,Alex Reese Turnover.,19,25
5:39,2116,A.J. Davis Steal.,19,25
5:33,2116,A.J. Davis made Layup. Assisted by Dayon Griffin.,21,25
5:31,333,Alabama  Timeout,21,25
5:18,333,Donta Hall made Layup. Assisted by Riley Norris.,21,27
5:18,2116,Foul on Djordjije Mumin.,21,27
5:18,333,Donta Hall missed Free Throw.,21,27
5:18,2116,Terrell Allen Defensive Rebound.,21,27
4:53,2116,Djordjije Mumin made Three Point Jumper. Assisted by A.J. Davis.,24,27
4:27,333,John Petty made Three Point Jumper. Assisted by Donta Hall.,24,30
4:16,2116,Chance McSpadden Turnover.,24,30
4:16,333,Herb Jones Steal.,24,30
4:12,333,Herb Jones made Dunk.,24,32
4:11,2116,UCF  Timeout,24,32
3:48,2116,Terrell Allen missed Layup.,24,32
3:48,333,Riley Norris Defensive Rebound.,24,32
3:30,333,John Petty missed Three Point Jumper.,24,32
3:30,2116,Rokas Ulvydas Defensive Rebound.,24,32
3:08,2116,A.J. Davis missed Jumper.,24,32
3:08,333,Donta Hall Block.,24,32
3:08,333,Collin Sexton Defensive Rebound.,24,32
2:56,333,Collin Sexton Turnover.,24,32
2:56,2116,A.J. Davis Steal.,24,32
2:50,2116,Dayon Griffin Turnover.,24,32
2:29,333,Donta Hall Turnover.,24,32
2:12,2116,Terrell Allen made Jumper.,26,32
1:59,2116,Foul on Djordjije Mumin.,26,32
1:59,333,John Petty missed Free Throw.,26,32
1:59,2116,Rokas Ulvydas Defensive Rebound.,26,32
1:43,2116,Terrell Allen Turnover.,26,32
1:43,333,Herb Jones Steal.,26,32
1:35,333,Dazon Ingram missed Layup.,26,32
1:35,2116,Chance McSpadden Defensive Rebound.,26,32
1:29,2116,A.J. Davis missed Three Point Jumper.,26,32
1:29,333,Dazon Ingram Defensive Rebound.,26,32
1:21,333,Dazon Ingram Turnover.,26,32
1:21,2116,Chance McSpadden Steal.,26,32
1:21,333,Foul on Dazon Ingram.,26,32
1:21,2116,Chance McSpadden made Free Throw.,27,32
1:21,2116,Chance McSpadden made Free Throw.,28,32
1:05,333,John Petty made Jumper.,28,34
0:48,333,Foul on Avery Johnson Jr..,28,34
0:48,2116,Terrell Allen made Free Throw.,29,34
0:48,2116,Terrell Allen made Free Throw.,30,34
0:38,333,Daniel Giddens made Dunk. Assisted by Herb Jones.,30,36
0:04,2116,Dayon Griffin missed Three Point Jumper.,30,36
0:04,333,Daniel Giddens Defensive Rebound.,30,36
0:00,333,End of 1st half,30,36
20:00,333,Jump Ball won by Alabama,30,36
19:38,2116,Djordjije Mumin made Layup.,32,36
19:21,333,Donta Hall made Dunk. Assisted by Dazon Ingram.,32,38
18:59,2116,Djordjije Mumin made Three Point Jumper. Assisted by A.J. Davis.,35,38
18:51,333,Alabama  Timeout,35,38
18:48,333,Collin Sexton missed Jumper.,35,38
18:48,2116,Djordjije Mumin Defensive Rebound.,35,38
18:33,2116,Ceasar DeJesus made Three Point Jumper.,38,38
18:16,333,John Petty missed Jumper.,38,38
18:16,2116,Tacko Fall Block.,38,38
18:16,2116,A.J. Davis Defensive Rebound.,38,38
18:11,2116,Foul on Terrell Allen.,38,38
18:11,2116,Terrell Allen Turnover.,38,38
17:55,2116,Foul on Tacko Fall.,38,38
17:55,333,Collin Sexton made Free Throw.,38,39
17:55,333,Collin Sexton made Free Throw.,38,40
17:45,2116,Djordjije Mumin Turnover.,38,40
17:45,333,John Petty Steal.,38,40
17:41,2116,Foul on Terrell Allen.,38,40
17:36,333,Donta Hall made Dunk. Assisted by Dazon Ingram.,38,42
17:09,2116,Ceasar DeJesus made Layup. Assisted by Terrell Allen.,40,42
16:58,333,Collin Sexton missed Jumper.,40,42
16:58,333,Collin Sexton Offensive Rebound.,40,42
16:32,2116,Foul on Ceasar DeJesus.,40,42
16:32,333,John Petty made Free Throw.,40,43
16:32,333,John Petty missed Free Throw.,40,43
16:32,333,Alabama Deadball Team Rebound.,40,43
16:32,333,John Petty made Free Throw.,40,44
16:24,2116,Chad Brown made Dunk. Assisted by A.J. Davis.,42,44
16:01,333,John Petty Turnover.,42,44
15:34,2116,A.J. Davis missed Layup.,42,44
15:34,2116,Chad Brown Offensive Rebound.,42,44
15:31,333,Foul on Dazon Ingram.,42,44
15:31,333,Official TV Timeout,42,44
15:31,2116,Chad Brown missed Free Throw.,42,44
15:31,2116,UCF Deadball Team Rebound.,42,44
15:31,2116,Chad Brown missed Free Throw.,42,44
15:31,333,Daniel Giddens Defensive Rebound.,42,44
15:09,333,John Petty missed Three Point Jumper.,42,44
15:09,2116,A.J. Davis Defensive Rebound.,42,44
14:45,2116,Terrell Allen missed Three Point Jumper.,42,44
14:45,2116,Djordjije Mumin Offensive Rebound.,42,44
14:27,2116,A.J. Davis missed Layup.,42,44
14:27,333,Daniel Giddens Block.,42,44
14:27,2116,UCF Offensive Rebound.,42,44
14:22,333,Foul on Riley Norris.,42,44
14:10,333,Foul on Daniel Giddens.,42,44
14:10,2116,A.J. Davis missed Free Throw.,42,44
14:10,2116,UCF Deadball Team Rebound.,42,44
14:10,2116,A.J. Davis made Free Throw.,43,44
14:02,333,Dazon Ingram Turnover.,43,44
14:02,2116,Dayon Griffin Steal.,43,44
13:44,2116,Terrell Allen made Jumper.,45,44
13:28,333,Jump Ball won by Alabama,45,44
13:25,333,John Petty Turnover.,45,44
13:25,2116,Terrell Allen Steal.,45,44
13:18,2116,Dayon Griffin missed Layup.,45,44
13:18,333,Daniel Giddens Block.,45,44
13:18,333,Alabama Defensive Rebound.,45,44
13:11,333,Daniel Giddens missed Jumper.,45,44
13:11,2116,Chad Brown Defensive Rebound.,45,44
13:06,333,Foul on Daniel Giddens.,45,44
12:45,2116,Terrell Allen made Jumper.,47,44
12:21,333,Herb Jones Turnover.,47,44
12:21,2116,Terrell Allen Steal.,47,44
12:11,2116,Dayon Griffin made Dunk. Assisted by Terrell Allen.,49,44
11:44,333,Donta Hall made Layup. Assisted by Herb Jones.,49,46
11:25,2116,Chad Brown made Dunk. Assisted by Terrell Allen.,51,46
11:11,333,Dazon Ingram missed Layup.,51,46
11:11,2116,A.J. Davis Defensive Rebound.,51,46
10:55,333,Foul on Avery Johnson Jr..,51,46
10:55,333,Official TV Timeout,51,46
10:39,2116,Djordjije Mumin missed Three Point Jumper.,51,46
10:39,2116,Tacko Fall Offensive Rebound.,51,46
10:34,2116,UCF  Turnover.,51,46
10:21,333,Avery Johnson Jr. missed Three Point Jumper.,51,46
10:21,2116,Dayon Griffin Defensive Rebound.,51,46
9:56,2116,Djordjije Mumin Turnover.,51,46
9:56,333,Herb Jones Steal.,51,46
9:50,333,Herb Jones Turnover.,51,46
9:37,2116,Tacko Fall made Dunk. Assisted by A.J. Davis.,53,46
9:26,333,Collin Sexton missed Jumper.,53,46
9:26,2116,Dayon Griffin Defensive Rebound.,53,46
9:08,2116,A.J. Davis missed Three Point Jumper.,53,46
9:08,2116,Terrell Allen Offensive Rebound.,53,46
9:01,2116,Tacko Fall made Layup. Assisted by Terrell Allen.,55,46
8:55,333,Donta Hall made Layup. Assisted by Dazon Ingram.,55,48
8:55,2116,Foul on Djordjije Mumin.,55,48
8:55,333,Donta Hall made Free Throw.,55,49
8:38,2116,Foul on Tacko Fall.,55,49
8:37,2116,Tacko Fall Turnover.,55,49
8:15,333,Riley Norris missed Jumper.,55,49
8:15,2116,Dayon Griffin Defensive Rebound.,55,49
7:52,2116,Chad Brown missed Layup.,55,49
7:52,333,Donta Hall Block.,55,49
7:52,333,Riley Norris Defensive Rebound.,55,49
7:50,2116,Foul on Chad Brown.,55,49
7:50,333,Official TV Timeout,55,49
7:50,333,Riley Norris made Free Throw.,55,50
7:50,333,Riley Norris missed Free Throw.,55,50
7:50,2116,Rokas Ulvydas Defensive Rebound.,55,50
7:39,2116,Rokas Ulvydas missed Dunk.,55,50
7:39,2116,Dayon Griffin Offensive Rebound.,55,50
7:33,2116,Dayon Griffin Turnover.,55,50
7:07,333,Riley Norris missed Jumper.,55,50
7:07,2116,Terrell Allen Defensive Rebound.,55,50
7:04,333,Foul on Riley Norris.,55,50
6:43,2116,A.J. Davis Turnover.,55,50
6:32,333,Donta Hall made Dunk. Assisted by John Petty.,55,52
6:15,2116,UCF  Timeout,55,52
6:07,333,Foul on Collin Sexton.,55,52
6:07,2116,Terrell Allen made Free Throw.,56,52
6:07,2116,Terrell Allen missed Free Throw.,56,52
6:07,333,Dazon Ingram Defensive Rebound.,56,52
5:59,333,Dazon Ingram missed Jumper.,56,52
5:59,2116,Terrell Allen Defensive Rebound.,56,52
5:36,2116,Terrell Allen made Layup.,58,52
5:23,333,Donta Hall made Dunk. Assisted by Collin Sexton.,58,54
5:02,2116,Chad Brown missed Layup.,58,54
5:02,333,Collin Sexton Defensive Rebound.,58,54
4:56,333,John Petty made Three Point Jumper. Assisted by Collin Sexton.,58,57
4:45,2116,UCF  Timeout,58,57
4:23,2116,Tacko Fall made Layup. Assisted by A.J. Davis.,60,57
4:04,2116,Foul on A.J. Davis.,60,57
4:04,333,Collin Sexton made Free Throw.,60,58
4:04,333,Collin Sexton missed Free Throw.,60,58
4:04,333,Dazon Ingram Offensive Rebound.,60,58
3:55,333,John Petty missed Three Point Jumper.,60,58
3:55,2116,UCF Defensive Rebound.,60,58
3:50,333,Official TV Timeout,60,58
3:26,2116,Terrell Allen made Layup.,62,58
3:02,333,Donta Hall made Layup. Assisted by Dazon Ingram.,62,60
2:31,2116,Tacko Fall Turnover.,62,60
2:17,333,John Petty missed Three Point Jumper.,62,60
2:17,2116,A.J. Davis Defensive Rebound.,62,60
1:56,2116,Foul on Terrell Allen.,62,60
1:56,2116,Terrell Allen Turnover.,62,60
1:36,2116,Foul on Djordjije Mumin.,62,60
1:36,333,Herb Jones missed Free Throw.,62,60
1:36,333,Alabama Deadball Team Rebound.,62,60
1:36,333,Herb Jones missed Free Throw.,62,60
1:36,2116,Terrell Allen Defensive Rebound.,62,60
1:30,2116,Jump Ball won by UCF,62,60
1:05,2116,Terrell Allen missed Jumper.,62,60
1:05,2116,Djordjije Mumin Offensive Rebound.,62,60
1:01,2116,UCF  Turnover.,62,60
1:01,333,Alabama  Timeout,62,60
0:52,2116,Foul on Tacko Fall.,62,60
0:52,333,Collin Sexton made Free Throw.,62,61
0:52,333,Collin Sexton made Free Throw.,62,62
0:24,333,Foul on Herb Jones.,62,62
0:24,2116,A.J. Davis missed Free Throw.,62,62
0:24,2116,UCF Deadball Team Rebound.,62,62
0:24,2116,A.J. Davis made Free Throw.,63,62
0:16,333,Dazon Ingram Turnover.,63,62
0:16,2116,Terrell Allen Steal.,63,62
0:11,2116,Dayon Griffin made Layup. Assisted by Terrell Allen.,65,62
0:02,333,Alabama  Timeout,65,62
0:02,2116,UCF  Timeout,65,62
0:02,333,John Petty missed Three Point Jumper.,65,62
0:02,333,Collin Sexton Offensive Rebound.,65,62
0:00,333,End of Game,65,62
