Eastern Washington,2547,Seattle,331
0:01,2547,Josh Hearlihy Turnover.,30,43
0:00,331,Jesse Hunt missed Three Point Jumper.,30,43
0:00,331,Eastern Washington Deadball Team Rebound.,30,43
0:00,2547,End of 1st half,30,43
19:44,2547,Foul on Aaron Menzies.,30,43
19:44,331,Jacob Davison made Free Throw.,31,43
19:44,331,Jacob Davison made Free Throw.,32,43
19:35,2547,Jordan Hill missed Jumper.,32,43
19:35,331,Luka Vulikic Defensive Rebound.,32,43
19:30,331,Jacob Davison missed Layup.,32,43
19:30,2547,Richaud Gittens Defensive Rebound.,32,43
19:02,2547,Aaron Menzies Turnover.,32,43
18:43,331,Benas Griciunas missed Three Point Jumper.,32,43
18:43,2547,Matej Kavas Defensive Rebound.,32,43
18:39,331,Foul on Jacob Davison.,32,43
18:31,331,Foul on Benas Griciunas.,32,43
18:25,2547,Jordan Hill Turnover.,32,43
18:24,331,Jacob Davison Steal.,32,43
18:19,331,Bogdan Bliznyuk Turnover.,32,43
18:17,2547,Jordan Hill Steal.,32,43
17:59,2547,Aaron Menzies made Jumper. Assisted by Josh Hearlihy.,32,45
17:47,331,Benas Griciunas Turnover.,32,45
17:35,331,Foul on Jacob Davison.,32,45
17:35,2547,Aaron Menzies made Free Throw.,32,46
17:35,2547,Aaron Menzies made Free Throw.,32,47
17:16,331,Jacob Davison missed Three Point Jumper.,32,47
17:16,2547,Richaud Gittens Defensive Rebound.,32,47
16:50,2547,Aaron Menzies Turnover.,32,47
16:40,331,Luka Vulikic missed Jumper.,32,47
16:40,2547,Josh Hearlihy Defensive Rebound.,32,47
16:27,2547,Josh Hearlihy made Jumper.,32,49
16:13,331,Luka Vulikic made Jumper.,34,49
15:55,2547,Jordan Hill Turnover.,34,49
15:55,331,Benas Griciunas Steal.,34,49
15:53,331,Luka Vulikic Turnover.,34,49
15:52,2547,Richaud Gittens Steal.,34,49
15:51,331,Foul on Luka Vulikic.,34,49
15:51,2547,Official TV Timeout,34,49
15:51,2547,Richaud Gittens missed Free Throw.,34,49
15:51,2547,Seattle Deadball Team Rebound.,34,49
15:51,2547,Richaud Gittens made Free Throw.,34,50
15:37,331,Ty Gibson Turnover.,34,50
15:36,2547,Matej Kavas Steal.,34,50
15:33,2547,Richaud Gittens missed Layup.,34,50
15:33,2547,Seattle Offensive Rebound.,34,50
15:31,2547,Seattle  Timeout,34,50
15:18,2547,Matej Kavas made Jumper.,34,52
15:01,331,Jesse Hunt missed Jumper.,34,52
15:01,2547,Richaud Gittens Defensive Rebound.,34,52
14:38,2547,Scott Ulaneo made Layup.,34,54
14:26,331,Luka Vulikic missed Three Point Jumper.,34,54
14:26,2547,Richaud Gittens Defensive Rebound.,34,54
14:02,2547,Jordan Hill missed Jumper.,34,54
14:02,331,Jesse Hunt Defensive Rebound.,34,54
13:44,331,Jacob Davison missed Three Point Jumper.,34,54
13:44,2547,Richaud Gittens Defensive Rebound.,34,54
13:26,2547,Jordan Hill missed Jumper.,34,54
13:26,331,Luka Vulikic Defensive Rebound.,34,54
13:19,331,Foul on Luka Vulikic.,34,54
13:19,331,Luka Vulikic Turnover.,34,54
13:03,2547,Josh Hearlihy made Three Point Jumper. Assisted by Jordan Hill.,34,57
12:49,2547,Foul on Scott Ulaneo.,34,57
12:39,331,Jesse Hunt missed Three Point Jumper.,34,57
12:39,2547,Josh Hearlihy Defensive Rebound.,34,57
12:15,2547,Josh Hearlihy made Layup.,34,59
12:03,331,Jesse Hunt missed Three Point Jumper.,34,59
12:03,2547,Josh Hearlihy Defensive Rebound.,34,59
11:40,2547,Matej Kavas made Three Point Jumper.,34,62
11:40,331,Foul on Sir Washington.,34,62
11:40,2547,Official TV Timeout,34,62
11:40,2547,Matej Kavas made Free Throw.,34,63
11:26,2547,Foul on Scott Ulaneo.,34,63
11:22,2547,Foul on Jordan Hill.,34,63
11:22,331,Ty Gibson made Free Throw.,35,63
11:22,331,Ty Gibson made Free Throw.,36,63
11:22,331,Ty Gibson missed Free Throw.,36,63
11:22,2547,Josh Hearlihy Defensive Rebound.,36,63
10:54,2547,Matej Kavas made Jumper. Assisted by Jordan Hill.,36,65
10:33,331,Foul on Bogdan Bliznyuk.,36,65
10:33,331,Bogdan Bliznyuk Turnover.,36,65
10:13,331,Foul on Jesse Hunt.,36,65
10:13,2547,Josh Hearlihy made Free Throw.,36,66
10:13,2547,Josh Hearlihy made Free Throw.,36,67
10:04,331,Jack Perry made Jumper.,38,67
9:40,2547,Josh Hearlihy missed Three Point Jumper.,38,67
9:40,331,Sir Washington Defensive Rebound.,38,67
9:37,2547,Foul on Morgan Means.,38,67
9:27,2547,Foul on Josh Hearlihy.,38,67
9:27,331,Benas Griciunas made Free Throw.,39,67
9:27,331,Benas Griciunas missed Free Throw.,39,67
9:27,2547,Matej Kavas Defensive Rebound.,39,67
9:01,2547,Matej Kavas made Jumper. Assisted by Jordan Hill.,39,69
8:51,331,Ty Gibson missed Three Point Jumper.,39,69
8:51,2547,Matej Kavas Defensive Rebound.,39,69
8:23,2547,Josh Hearlihy made Jumper.,39,71
8:07,331,Sir Washington missed Three Point Jumper.,39,71
8:07,2547,Morgan Means Defensive Rebound.,39,71
7:48,2547,Jordan Hill missed Jumper.,39,71
7:48,331,Benas Griciunas Block.,39,71
7:47,331,Benas Griciunas Defensive Rebound.,39,71
7:45,331,Bogdan Bliznyuk Turnover.,39,71
7:45,2547,Richaud Gittens Steal.,39,71
7:38,2547,Jordan Hill missed Three Point Jumper.,39,71
7:38,331,Benas Griciunas Defensive Rebound.,39,71
7:29,331,Ty Gibson made Three Point Jumper. Assisted by Bogdan Bliznyuk.,42,71
7:14,2547,Richaud Gittens missed Layup.,42,71
7:14,331,Benas Griciunas Defensive Rebound.,42,71
7:08,331,Ty Gibson made Three Point Jumper. Assisted by Sir Washington.,45,71
6:56,2547,Official TV Timeout,45,71
6:52,2547,Matej Kavas missed Jumper.,45,71
6:52,331,Benas Griciunas Block.,45,71
6:51,331,Ty Gibson Defensive Rebound.,45,71
6:45,331,Ty Gibson made Layup.,47,71
6:24,2547,Richaud Gittens missed Three Point Jumper.,47,71
6:24,331,Jacob Davison Defensive Rebound.,47,71
6:10,331,Jacob Davison missed Jumper.,47,71
6:10,331,Benas Griciunas Offensive Rebound.,47,71
6:08,331,Benas Griciunas missed Two Point Tip Shot.,47,71
6:08,2547,Richaud Gittens Defensive Rebound.,47,71
5:40,2547,Foul on Matej Kavas.,47,71
5:40,2547,Matej Kavas Turnover.,47,71
5:16,331,Jacob Davison Turnover.,47,71
5:15,2547,Jordan Hill Steal.,47,71
5:15,331,Foul on Jacob Davison.,47,71
5:15,2547,Jordan Hill made Free Throw.,47,72
5:15,2547,Jordan Hill made Free Throw.,47,73
5:04,331,Cody Benzel made Jumper.,49,73
4:45,2547,Aaron Nettles missed Three Point Jumper.,49,73
4:45,2547,Richaud Gittens Offensive Rebound.,49,73
4:42,331,Foul on Bogdan Bliznyuk.,49,73
4:42,2547,Richaud Gittens made Free Throw.,49,74
4:42,2547,Richaud Gittens made Free Throw.,49,75
4:30,2547,Foul on Matej Kavas.,49,75
4:30,331,Cody Benzel missed Free Throw.,49,75
4:30,331,Eastern Washington Deadball Team Rebound.,49,75
4:30,331,Cody Benzel made Free Throw.,50,75
4:27,2547,Jordan Hill Turnover.,50,75
4:21,331,Richard Polanco made Jumper.,52,75
4:10,2547,Jordan Hill Turnover.,52,75
4:00,2547,Foul on Matej Kavas.,52,75
4:00,331,Cody Benzel made Free Throw.,53,75
4:00,331,Cody Benzel made Free Throw.,54,75
3:57,331,Foul on Cody Benzel.,54,75
3:57,2547,Official TV Timeout,54,75
3:57,2547,Josh Hearlihy made Free Throw.,54,76
3:57,2547,Josh Hearlihy made Free Throw.,54,77
3:47,331,Jacob Davison made Jumper.,56,77
3:47,2547,Foul on Josh Hearlihy.,56,77
3:47,331,Jacob Davison made Free Throw.,57,77
3:15,2547,Josh Hearlihy missed Jumper.,57,77
3:15,331,Jesse Hunt Defensive Rebound.,57,77
3:13,331,Richard Polanco Turnover.,57,77
3:12,331,Foul on Cody Benzel.,57,77
3:12,2547,Matej Kavas made Free Throw.,57,78
3:12,2547,Matej Kavas made Free Throw.,57,79
3:02,2547,Foul on Matej Kavas.,57,79
3:02,331,Cody Benzel made Free Throw.,58,79
3:02,331,Cody Benzel made Free Throw.,59,79
2:47,2547,Matej Kavas made Layup. Assisted by Morgan Means.,59,81
2:29,331,Richard Polanco missed Jumper.,59,81
2:29,331,Jesse Hunt Offensive Rebound.,59,81
2:21,331,Jack Perry missed Three Point Jumper.,59,81
2:21,331,Jesse Hunt Offensive Rebound.,59,81
2:17,331,Jesse Hunt made Jumper.,61,81
2:00,2547,Matej Kavas made Three Point Jumper. Assisted by Morgan Means.,61,84
1:57,2547,Seattle  Timeout,61,84
1:50,2547,Foul on Morgan Means.,61,84
1:50,331,Jack Perry made Free Throw.,62,84
1:50,331,Jack Perry made Free Throw.,63,84
1:44,2547,Aaron Nettles missed Three Point Jumper.,63,84
1:44,331,Richard Polanco Defensive Rebound.,63,84
1:34,331,Richard Polanco made Jumper.,65,84
1:20,2547,Jake Spurgeon missed Three Point Jumper.,65,84
1:20,331,Jacob Davison Defensive Rebound.,65,84
1:08,331,Jacob Davison Turnover.,65,84
0:46,2547,Jordan Hill missed Layup.,65,84
0:46,331,Jack Perry Defensive Rebound.,65,84
0:33,331,Cody Benzel missed Three Point Jumper.,65,84
0:33,2547,Jordan Hill Defensive Rebound.,65,84
0:00,2547,End of Game,65,84
