Western State Colorado University,Error,Northern Colorado,2458
13:38,2458,Anthony Johnson made Free Throw.,18,8
13:15,2458,Foul on Roberto Vercellino.,18,8
13:15,-1,Branden Cosby-Lee made Free Throw.,19,8
13:15,-1,Branden Cosby-Lee made Free Throw.,20,8
13:08,2458,Anthony Johnson made Three Point Jumper. Assisted by Johnatan Reyes.,20,11
12:51,-1,Adam Hinchcliffe missed Three Point Jumper.,20,11
12:51,2458,Jonah Radebaugh Defensive Rebound.,20,11
12:39,-1,Foul on Branden Cosby-Lee.,20,11
12:26,2458,Roberto Vercellino made Layup.,20,13
12:09,-1,Ben Beauchamp Turnover.,20,13
11:58,2458,Anthony Johnson made Layup.,20,15
11:29,-1,Ben Beauchamp made Three Point Jumper. Assisted by Monroe Porter.,23,15
11:15,2458,Chaz Glotta missed Three Point Jumper.,23,15
11:15,-1,Ben Beauchamp Defensive Rebound.,23,15
11:06,-1,Ben Beauchamp Turnover.,23,15
11:06,2458,Official TV Timeout,23,15
10:56,2458,Jordan Davis Turnover.,23,15
10:31,-1,Ben Beauchamp made Three Point Jumper. Assisted by Brady Subart.,26,15
10:17,2458,Jordan Davis made Layup.,26,17
10:03,2458,Foul on Chaz Glotta.,26,17
9:49,-1,Collin Smith missed Jumper.,26,17
9:49,2458,Jonah Radebaugh Block.,26,17
9:49,2458,Jonah Radebaugh Defensive Rebound.,26,17
9:49,-1,Foul on Cameron McCurry.,26,17
9:36,2458,Anthony Johnson missed Three Point Jumper.,26,17
9:36,-1,Brady Subart Defensive Rebound.,26,17
9:20,-1,Ben Beauchamp made Three Point Jumper. Assisted by Brady Subart.,29,17
9:03,2458,Andre Spight missed Layup.,29,17
9:03,-1,Brady Subart Defensive Rebound.,29,17
8:45,-1,Brady Subart made Jumper.,31,17
8:29,2458,Roberto Vercellino Turnover.,31,17
8:27,-1,Will Duggan Steal.,31,17
8:04,-1,Will Duggan Turnover.,31,17
8:03,2458,Jordan Davis Steal.,31,17
8:01,2458,Jordan Davis made Layup.,31,19
7:37,-1,Collin Smith missed Layup.,31,19
7:37,2458,Roberto Vercellino Defensive Rebound.,31,19
7:31,2458,Anthony Johnson made Layup.,31,21
7:08,-1,Collin Smith Turnover.,31,21
7:08,2458,Official TV Timeout,31,21
7:00,-1,Foul on Michael Hill.,31,21
7:00,2458,Jordan Davis made Free Throw.,31,22
7:00,2458,Jordan Davis made Free Throw.,31,23
6:44,-1,Monroe Porter missed Layup.,31,23
6:44,2458,Andre Spight Defensive Rebound.,31,23
6:36,2458,Jordan Davis made Layup.,31,25
6:26,-1,Quincy Harding made Layup.,33,25
6:12,2458,Andre Spight missed Three Point Jumper.,33,25
6:12,-1,Monroe Porter Defensive Rebound.,33,25
5:46,-1,Michael Hill made Layup.,35,25
5:32,2458,Jordan Davis missed Layup.,35,25
5:32,2458,Tanner Morgan Offensive Rebound.,35,25
5:24,2458,Jordan Davis missed Three Point Jumper.,35,25
5:24,-1,Quincy Harding Defensive Rebound.,35,25
5:11,-1,Collin Smith made Three Point Jumper. Assisted by Monroe Porter.,38,25
4:46,2458,Jalen Sanders made Dunk.,38,27
4:25,-1,Michael Hill missed Jumper.,38,27
4:25,2458,Tanner Morgan Defensive Rebound.,38,27
4:13,2458,Jonah Radebaugh missed Three Point Jumper.,38,27
4:13,-1,Monroe Porter Defensive Rebound.,38,27
3:56,-1,Michael Hill missed Jumper.,38,27
3:56,2458,Andre Spight Defensive Rebound.,38,27
3:37,2458,Official TV Timeout,38,27
3:26,-1,Foul on Monroe Porter.,38,27
3:26,2458,Anthony Johnson made Free Throw.,38,28
3:26,2458,Anthony Johnson made Free Throw.,38,29
3:09,-1,Zach Madlom Turnover.,38,29
2:59,2458,Anthony Johnson missed Three Point Jumper.,38,29
2:59,2458,Roberto Vercellino Offensive Rebound.,38,29
2:55,-1,Foul on Zach Madlom.,38,29
2:55,2458,Roberto Vercellino made Free Throw.,38,30
2:55,2458,Roberto Vercellino missed Free Throw.,38,30
2:55,-1,Adam Hinchcliffe Defensive Rebound.,38,30
2:55,-1,Quincy Harding missed Jumper.,38,30
2:55,2458,Roberto Vercellino Defensive Rebound.,38,30
2:49,-1,Foul on Adam Hinchcliffe.,38,30
2:36,2458,Johnatan Reyes made Free Throw.,38,31
2:16,2458,Johnatan Reyes missed Free Throw.,38,31
2:16,-1,Monroe Porter Defensive Rebound.,38,31
1:41,-1,Quincy Harding made Three Point Jumper.,41,31
1:28,2458,Chaz Glotta made Three Point Jumper. Assisted by Anthony Johnson.,41,34
1:21,-1,Monroe Porter Turnover.,41,34
1:19,2458,Johnatan Reyes Steal.,41,34
1:18,2458,Johnatan Reyes Turnover.,41,34
1:17,-1,Monroe Porter Steal.,41,34
1:03,-1,Monroe Porter Turnover.,41,34
1:03,-1,Foul on Monroe Porter.,41,34
0:58,2458,Anthony Johnson made Layup.,41,36
0:56,2458,Technical Foul on Anthony Johnson.,41,36
0:56,-1,Quincy Harding made Free Throw.,42,36
0:56,-1,Quincy Harding made Free Throw.,43,36
0:38,-1,Brady Subart missed Layup.,43,36
0:38,2458,Roberto Vercellino Defensive Rebound.,43,36
0:31,2458,Jonah Radebaugh made Three Point Jumper. Assisted by Jalen Sanders.,43,39
0:04,-1,Quincy Harding missed Three Point Jumper.,43,39
0:04,2458,Jonah Radebaugh Defensive Rebound.,43,39
0:04,2458,Technical Foul on Jordan Davis.,43,39
0:00,2458,End of 1st half,43,39
20:00,-1,Quincy Harding missed Free Throw.,43,39
20:00,-1,Western State College Colorado Deadball Team Rebound.,43,39
20:00,-1,Quincy Harding made Free Throw.,44,39
19:43,-1,Ben Beauchamp made Layup.,46,39
19:29,2458,Andre Spight made Jumper.,46,41
19:09,2458,Jonah Radebaugh made Three Point Jumper.,46,44
18:41,-1,Will Duggan missed Layup.,46,44
18:41,-1,Foul on Branden Cosby-Lee.,46,44
18:41,-1,Christian West Offensive Rebound.,46,44
18:41,2458,Jalen Sanders made Layup.,46,46
18:41,-1,Quincy Harding Turnover.,46,46
18:41,2458,Andre Spight missed Layup.,46,46
18:41,2458,Tanner Morgan Offensive Rebound.,46,46
18:41,2458,Tanner Morgan made Layup.,46,48
18:37,2458,Jordan Davis made Layup.,46,50
18:37,-1,Foul on Ben Beauchamp.,46,50
18:37,2458,Jordan Davis made Free Throw.,46,51
18:26,-1,Michael Hill missed Jumper.,46,51
18:26,2458,Jalen Sanders Defensive Rebound.,46,51
18:19,2458,Andre Spight made Layup.,46,53
18:14,-1,Western State College Colorado  Timeout,46,53
18:07,-1,Quincy Harding Turnover.,46,53
17:54,2458,Jalen Sanders missed Layup.,46,53
17:54,-1,Collin Smith Defensive Rebound.,46,53
17:41,-1,Christian West made Layup.,48,53
17:21,2458,Andre Spight missed Three Point Jumper.,48,53
17:21,2458,Jonah Radebaugh Offensive Rebound.,48,53
17:06,2458,Jordan Davis missed Three Point Jumper.,48,53
17:06,-1,Collin Smith Defensive Rebound.,48,53
16:55,2458,Foul on Andre Spight.,48,53
16:45,-1,Quincy Harding missed Free Throw.,48,53
16:45,-1,Western State College Colorado Deadball Team Rebound.,48,53
16:40,-1,Quincy Harding made Free Throw.,49,53
16:15,2458,Jordan Davis made Layup.,49,55
16:11,-1,Christian West Turnover.,49,55
16:10,2458,Jordan Davis Steal.,49,55
16:05,2458,Jordan Davis made Layup.,49,57
15:47,-1,Christian West missed Layup.,49,57
15:47,2458,Tanner Morgan Defensive Rebound.,49,57
15:40,2458,Jonah Radebaugh made Layup. Assisted by Jordan Davis.,49,59
15:24,-1,Collin Smith missed Jumper.,49,59
15:24,2458,Northern Colorado Defensive Rebound.,49,59
14:54,2458,Jonah Radebaugh missed Three Point Jumper.,49,59
14:54,-1,Western State College Colorado Defensive Rebound.,49,59
14:35,-1,Brady Subart made Jumper.,51,59
14:22,2458,Andre Spight Turnover.,51,59
14:01,-1,Michael Hill made Jumper.,53,59
13:37,2458,Anthony Johnson missed Three Point Jumper.,53,59
13:37,-1,Zach Madlom Defensive Rebound.,53,59
13:22,2458,Roberto Vercellino made Layup.,53,61
13:09,-1,Michael Hill made Jumper.,55,61
12:59,2458,Anthony Johnson made Layup.,55,63
12:47,-1,Collin Smith made Layup.,57,63
12:36,2458,Andre Spight Turnover.,57,63
12:36,2458,Foul on Andre Spight.,57,63
12:32,-1,Michael Hill missed Jumper.,57,63
12:32,2458,Jonah Radebaugh Defensive Rebound.,57,63
12:22,2458,Jordan Davis made Layup.,57,65
12:07,-1,Brady Subart missed Jumper.,57,65
12:07,2458,Northern Colorado Defensive Rebound.,57,65
12:07,2458,Official TV Timeout,57,65
11:34,2458,Jordan Davis missed Layup.,57,65
11:19,-1,Brady Subart missed Jumper.,57,65
11:19,2458,Chaz Glotta Defensive Rebound.,57,65
11:09,-1,Foul on Monroe Porter.,57,65
10:57,2458,Anthony Johnson Turnover.,57,65
10:56,-1,Brady Subart Steal.,57,65
10:44,-1,Monroe Porter missed Jumper.,57,65
10:44,-1,Cameron McCurry Offensive Rebound.,57,65
10:29,-1,Quincy Harding missed Three Point Jumper.,57,65
10:29,2458,Tanner Morgan Defensive Rebound.,57,65
10:19,2458,Chaz Glotta made Three Point Jumper. Assisted by Jordan Davis.,57,68
9:46,-1,Quincy Harding missed Three Point Jumper.,57,68
9:46,2458,Chaz Glotta Defensive Rebound.,57,68
9:38,-1,Foul on Brady Subart.,57,68
9:38,2458,Anthony Johnson made Free Throw.,57,69
9:38,2458,Anthony Johnson missed Free Throw.,57,69
9:38,-1,Western State College Colorado Defensive Rebound.,57,69
9:27,-1,Ben Beauchamp missed Three Point Jumper.,57,69
9:27,2458,Anthony Johnson Defensive Rebound.,57,69
9:13,2458,Chaz Glotta Turnover.,57,69
8:37,-1,Christian West made Jumper.,59,69
8:13,2458,Tanner Morgan missed Jumper.,59,69
8:13,2458,Tanner Morgan Offensive Rebound.,59,69
8:08,2458,Tanner Morgan missed Layup.,59,69
8:08,-1,Jake Wilcox Defensive Rebound.,59,69
8:00,-1,Ben Beauchamp missed Three Point Jumper.,59,69
8:00,2458,Tanner Morgan Defensive Rebound.,59,69
7:56,-1,Foul on Christian West.,59,69
7:56,2458,Official TV Timeout,59,69
7:36,2458,Jordan Davis made Layup.,59,71
7:24,-1,Ben Beauchamp made Layup. Assisted by Michael Hill.,61,71
7:10,2458,Jordan Davis made Layup. Assisted by Jonah Radebaugh.,61,73
6:52,-1,Michael Hill made Jumper.,63,73
6:31,2458,Jalen Sanders missed Layup.,63,73
6:31,-1,Monroe Porter Defensive Rebound.,63,73
6:17,-1,Monroe Porter missed Three Point Jumper.,63,73
6:17,2458,Jonah Radebaugh Defensive Rebound.,63,73
6:08,-1,Foul on Michael Hill.,63,73
5:59,2458,Chaz Glotta missed Three Point Jumper.,63,73
5:59,-1,Michael Hill Defensive Rebound.,63,73
5:48,-1,Christian West Turnover.,63,73
5:37,2458,Jordan Davis made Jumper.,63,75
5:16,-1,Michael Hill made Layup. Assisted by Christian West.,65,75
5:02,2458,Jordan Davis missed Jumper.,65,75
5:02,-1,Collin Smith Defensive Rebound.,65,75
4:37,2458,Foul on Anthony Johnson.,65,75
4:37,-1,Jake Wilcox made Free Throw.,66,75
4:37,-1,Jake Wilcox made Free Throw.,67,75
4:29,-1,Foul on Christian West.,67,75
4:29,2458,Jordan Davis made Free Throw.,67,76
4:29,2458,Jordan Davis made Free Throw.,67,77
4:18,-1,Christian West missed Jumper.,67,77
4:18,2458,Roberto Vercellino Block.,67,77
4:18,2458,Roberto Vercellino Defensive Rebound.,67,77
4:18,2458,Jordan Davis made Layup. Assisted by Tanner Morgan.,67,79
4:18,-1,Collin Smith missed Layup.,67,79
4:18,2458,Jonah Radebaugh Defensive Rebound.,67,79
4:15,2458,Anthony Johnson missed Layup.,67,79
4:15,-1,Michael Hill Block.,67,79
4:15,-1,Western State College Colorado Defensive Rebound.,67,79
3:47,-1,Quincy Harding missed Layup.,67,79
3:47,-1,Quincy Harding Offensive Rebound.,67,79
3:40,-1,Western State College Colorado  Turnover.,67,79
3:28,2458,Northern Colorado  Timeout,67,79
2:57,2458,Anthony Johnson made Layup.,67,81
2:30,-1,Collin Smith Turnover.,67,81
2:28,2458,Andre Spight Steal.,67,81
2:25,2458,Jonah Radebaugh made Layup. Assisted by Andre Spight.,67,83
2:02,-1,Quincy Harding Turnover.,67,83
2:01,2458,Andre Spight Steal.,67,83
1:58,2458,Tanner Morgan made Layup. Assisted by Andre Spight.,67,85
1:43,-1,Will Duggan made Layup.,69,85
1:43,2458,Foul on Andre Spight.,69,85
1:43,-1,Will Duggan made Free Throw.,70,85
1:28,2458,Chaz Glotta missed Three Point Jumper.,70,85
1:28,-1,Jake Wilcox Defensive Rebound.,70,85
1:19,-1,Adam Hinchcliffe made Three Point Jumper. Assisted by Brady Subart.,73,85
1:08,2458,Northern Colorado  Timeout,73,85
0:47,2458,Andre Spight made Jumper.,73,87
0:35,2458,Foul on Anthony Johnson.,73,87
0:28,-1,Will Duggan missed Three Point Jumper.,73,87
0:28,-1,Will Duggan Offensive Rebound.,73,87
0:24,-1,Adam Hinchcliffe made Layup.,75,87
0:24,2458,Foul on Tanner Morgan.,75,87
0:24,-1,Adam Hinchcliffe missed Free Throw.,75,87
0:24,2458,Tanner Morgan Defensive Rebound.,75,87
0:00,2458,End of Game,75,87
