St. Francis (BKN),87,Notre Dame,2597
6:24,87,Official TV Timeout,19,24
6:10,2597,Jagos Lasic Turnover.,19,24
5:47,87,Matt Farrell made Layup.,19,26
5:28,2597,Glenn Sanabria missed Three Point Jumper.,19,26
5:28,87,Austin Torres Defensive Rebound.,19,26
5:19,87,Bonzie Colson made Layup. Assisted by Matt Farrell.,19,28
5:02,2597,Jalen Jordan made Three Point Jumper. Assisted by Cori Johnson.,22,28
4:42,2597,Foul on Glenn Sanabria.,22,28
4:42,87,Matt Farrell made Free Throw.,22,29
4:42,87,Matt Farrell made Free Throw.,22,30
4:33,2597,Chauncey Hawkins Turnover.,22,30
4:32,87,Rex Pflueger Steal.,22,30
4:29,2597,Foul on Jalen Jordan.,22,30
4:29,87,Bonzie Colson made Free Throw.,22,31
4:29,87,Bonzie Colson made Free Throw.,22,32
4:20,2597,Yaradyah Evans missed Three Point Jumper.,22,32
4:20,87,Rex Pflueger Defensive Rebound.,22,32
3:58,87,Matt Farrell missed Three Point Jumper.,22,32
3:58,87,Rex Pflueger Offensive Rebound.,22,32
3:46,87,Matt Farrell missed Three Point Jumper.,22,32
3:46,2597,D.J. Porter Defensive Rebound.,22,32
3:40,87,Official TV Timeout,22,32
3:28,2597,Cori Johnson Turnover.,22,32
3:17,2597,Foul on Josh Nicholas.,22,32
3:17,87,TJ Gibbs missed Free Throw.,22,32
3:17,2597,D.J. Porter Defensive Rebound.,22,32
3:03,2597,Rasheem Dunn Turnover.,22,32
3:03,87,Austin Torres Steal.,22,32
2:58,87,Rex Pflueger made Layup.,22,34
2:56,2597,St. Francis (BKN)  Timeout,22,34
2:37,2597,Josh Nicholas Turnover.,22,34
2:20,87,Bonzie Colson missed Layup.,22,34
2:20,87,Bonzie Colson Offensive Rebound.,22,34
2:17,87,Bonzie Colson made Two Point Tip Shot.,22,36
2:00,2597,Milija Cosic missed Three Point Jumper.,22,36
2:00,87,D.J. Harvey Defensive Rebound.,22,36
1:53,87,D.J. Harvey missed Layup.,22,36
1:53,87,Martinas Geben Offensive Rebound.,22,36
1:51,2597,Foul on Milija Cosic.,22,36
1:51,87,Martinas Geben made Free Throw.,22,37
1:51,87,Martinas Geben made Free Throw.,22,38
1:30,2597,Milija Cosic missed Layup.,22,38
1:30,2597,Milija Cosic Offensive Rebound.,22,38
1:25,2597,Jalen Jordan missed Layup.,22,38
1:25,87,John Mooney Defensive Rebound.,22,38
1:08,87,Matt Farrell made Layup.,22,40
0:56,2597,Chauncey Hawkins missed Layup.,22,40
0:56,87,Martinas Geben Defensive Rebound.,22,40
0:46,87,Martinas Geben made Jumper. Assisted by Matt Farrell.,22,42
0:25,2597,Jalen Jordan made Three Point Jumper. Assisted by Jagos Lasic.,25,42
0:03,2597,Foul on Cori Johnson.,25,42
0:03,87,D.J. Harvey made Free Throw.,25,43
0:03,87,D.J. Harvey missed Free Throw.,25,43
0:03,2597,Jagos Lasic Defensive Rebound.,25,43
0:00,87,End of 1st half,25,43
19:48,87,Bonzie Colson made Jumper.,25,45
19:30,2597,Milija Cosic Turnover.,25,45
19:17,2597,Foul on Joshua Nurse.,25,45
19:17,87,Martinas Geben made Free Throw.,25,46
19:17,87,Martinas Geben made Free Throw.,25,47
19:01,2597,Gunnar Olafsson missed Layup.,25,47
19:01,87,Bonzie Colson Block.,25,47
18:59,2597,Gunnar Olafsson Offensive Rebound.,25,47
18:54,2597,Gunnar Olafsson made Layup.,27,47
18:40,87,TJ Gibbs Turnover.,27,47
18:25,2597,Joshua Nurse made Jumper. Assisted by Jalen Jordan.,29,47
18:10,87,Rex Pflueger missed Jumper.,29,47
18:10,2597,Joshua Nurse Defensive Rebound.,29,47
17:58,2597,Glenn Sanabria missed Three Point Jumper.,29,47
17:58,87,Matt Farrell Defensive Rebound.,29,47
17:52,2597,Foul on Jalen Jordan.,29,47
17:51,2597,Foul on Keon Williams.,29,47
17:42,87,Matt Farrell missed Three Point Jumper.,29,47
17:42,87,Martinas Geben Offensive Rebound.,29,47
17:31,87,TJ Gibbs missed Jumper.,29,47
17:31,87,Rex Pflueger Offensive Rebound.,29,47
17:23,87,Matt Farrell missed Three Point Jumper.,29,47
17:23,2597,Glenn Sanabria Defensive Rebound.,29,47
17:07,2597,Milija Cosic Turnover.,29,47
17:05,87,Rex Pflueger Steal.,29,47
17:03,87,Rex Pflueger missed Layup.,29,47
17:03,2597,Keon Williams Defensive Rebound.,29,47
16:58,2597,Keon Williams missed Jumper.,29,47
16:58,87,Bonzie Colson Block.,29,47
16:56,2597,Joshua Nurse Offensive Rebound.,29,47
16:54,2597,Joshua Nurse made Layup.,31,47
16:27,87,Bonzie Colson missed Jumper.,31,47
16:27,2597,Joshua Nurse Defensive Rebound.,31,47
16:20,2597,Milija Cosic missed Layup.,31,47
16:20,87,Bonzie Colson Defensive Rebound.,31,47
16:09,87,Martinas Geben Turnover.,31,47
15:57,2597,Foul on Glenn Sanabria.,31,47
15:57,2597,Glenn Sanabria Turnover.,31,47
15:57,87,Official TV Timeout,31,47
15:38,87,D.J. Harvey missed Jumper.,31,47
15:38,87,Bonzie Colson Offensive Rebound.,31,47
15:34,87,Bonzie Colson missed Layup.,31,47
15:34,2597,Rasheem Dunn Defensive Rebound.,31,47
15:10,2597,D.J. Porter made Three Point Jumper. Assisted by Rasheem Dunn.,34,47
14:55,2597,Foul on D.J. Porter.,34,47
14:55,87,Bonzie Colson made Free Throw.,34,48
14:55,87,Bonzie Colson missed Free Throw.,34,48
14:55,87,Notre Dame Deadball Team Rebound.,34,48
14:54,87,Matt Farrell missed Three Point Jumper.,34,48
14:54,2597,Keon Williams Defensive Rebound.,34,48
14:31,2597,Rasheem Dunn made Layup.,36,48
14:08,87,Bonzie Colson missed Layup.,36,48
14:08,2597,Keon Williams Block.,36,48
14:08,2597,Jagos Lasic Defensive Rebound.,36,48
14:08,87,Foul on Bonzie Colson.,36,48
14:00,2597,D.J. Porter missed Jumper.,36,48
14:00,87,Martinas Geben Defensive Rebound.,36,48
13:42,87,Austin Torres Turnover.,36,48
13:25,2597,D.J. Porter missed Jumper.,36,48
13:25,87,Austin Torres Block.,36,48
13:24,87,Martinas Geben Defensive Rebound.,36,48
13:18,87,TJ Gibbs missed Layup.,36,48
13:18,87,Austin Torres Offensive Rebound.,36,48
13:13,87,TJ Gibbs made Three Point Jumper. Assisted by Rex Pflueger.,36,51
12:42,87,Foul on Austin Torres.,36,51
12:31,2597,Josh Nicholas Turnover.,36,51
12:29,87,Matt Farrell Steal.,36,51
12:28,87,Matt Farrell made Layup.,36,53
12:14,2597,Josh Nicholas missed Layup.,36,53
12:14,2597,Milija Cosic Offensive Rebound.,36,53
11:53,2597,Keon Williams missed Three Point Jumper.,36,53
11:53,2597,Jagos Lasic Offensive Rebound.,36,53
11:24,2597,Rasheem Dunn missed Jumper.,36,53
11:24,87,Martinas Geben Defensive Rebound.,36,53
11:15,87,Rex Pflueger missed Jumper.,36,53
11:15,2597,Jagos Lasic Defensive Rebound.,36,53
10:56,2597,Jagos Lasic Turnover.,36,53
10:55,87,Rex Pflueger Steal.,36,53
10:53,2597,Foul on Rasheem Dunn.,36,53
10:53,87,Official TV Timeout,36,53
10:53,87,Matt Farrell missed Free Throw.,36,53
10:53,87,Notre Dame Deadball Team Rebound.,36,53
10:53,87,Matt Farrell made Free Throw.,36,54
10:22,2597,St. Francis (BKN)  Turnover.,36,54
10:06,2597,Foul on Jalen Jordan.,36,54
10:06,87,TJ Gibbs made Free Throw.,36,55
10:06,87,TJ Gibbs made Free Throw.,36,56
9:33,2597,Glenn Sanabria missed Three Point Jumper.,36,56
9:33,87,Rex Pflueger Defensive Rebound.,36,56
9:23,87,Martinas Geben missed Layup.,36,56
9:23,87,Martinas Geben Offensive Rebound.,36,56
9:20,87,Martinas Geben missed Layup.,36,56
9:20,2597,Glenn Sanabria Defensive Rebound.,36,56
9:11,2597,Rasheem Dunn made Layup.,38,56
8:59,87,Matt Farrell made Layup.,38,58
8:43,2597,Josh Nicholas missed Three Point Jumper.,38,58
8:43,87,Bonzie Colson Defensive Rebound.,38,58
8:18,87,Rex Pflueger missed Three Point Jumper.,38,58
8:18,2597,Josh Nicholas Defensive Rebound.,38,58
8:09,2597,Rasheem Dunn Turnover.,38,58
8:08,87,D.J. Harvey Steal.,38,58
8:06,87,D.J. Harvey Turnover.,38,58
8:06,2597,Rasheem Dunn Steal.,38,58
7:48,2597,Rasheem Dunn missed Jumper.,38,58
7:48,87,Rex Pflueger Block.,38,58
7:46,2597,Milija Cosic Offensive Rebound.,38,58
7:46,87,Official TV Timeout,38,58
7:28,2597,Jalen Jordan made Three Point Jumper. Assisted by Glenn Sanabria.,41,58
6:57,87,TJ Gibbs made Layup.,41,60
6:49,2597,Rasheem Dunn made Layup. Assisted by Glenn Sanabria.,43,60
6:34,87,Notre Dame  Timeout,43,60
6:23,87,Rex Pflueger made Jumper.,43,62
6:16,2597,Rasheem Dunn missed Three Point Jumper.,43,62
6:16,87,D.J. Harvey Defensive Rebound.,43,62
6:08,87,Matt Farrell missed Three Point Jumper.,43,62
6:08,87,Bonzie Colson Offensive Rebound.,43,62
6:02,87,Foul on Bonzie Colson.,43,62
6:02,2597,St. Francis (BKN) Deadball Team Rebound.,43,62
6:02,2597,Jalen Jordan made Free Throw.,44,62
6:02,2597,D.J. Porter missed Free Throw.,46,62
6:02,2597,D.J. Porter made Free Throw.,46,62
6:02,2597,D.J. Porter made Free Throw.,47,62
6:02,87,Bonzie Colson Turnover.,43,62
6:02,2597,Jalen Jordan missed Free Throw.,43,62
6:02,87,Technical Foul on Notre Dame.,44,62
6:02,87,Technical Foul on Notre Dame.,44,62
6:02,2597,D.J. Porter made Free Throw.,45,62
6:02,2597,St. Francis (BKN) Deadball Team Rebound.,46,62
5:40,2597,Rasheem Dunn missed Layup.,47,62
5:40,2597,Josh Nicholas Offensive Rebound.,47,62
5:30,2597,Milija Cosic made Layup.,49,62
5:05,87,Martinas Geben made Dunk. Assisted by Matt Farrell.,49,64
4:37,2597,Rasheem Dunn missed Layup.,49,64
4:37,87,Martinas Geben Block.,49,64
4:36,2597,Milija Cosic Offensive Rebound.,49,64
4:33,2597,D.J. Porter Turnover.,49,64
4:16,2597,Foul on Josh Nicholas.,49,64
4:16,87,Matt Farrell made Free Throw.,49,65
4:16,87,Matt Farrell missed Free Throw.,49,65
4:16,2597,Milija Cosic Defensive Rebound.,49,65
4:12,87,Technical Foul on Matt Farrell.,49,65
4:12,2597,Technical Foul on D.J. Porter.,49,65
4:12,87,Foul on Matt Farrell.,49,65
4:12,2597,Foul on D.J. Porter.,49,65
3:52,2597,Jalen Jordan missed Three Point Jumper.,49,65
3:52,87,TJ Gibbs Defensive Rebound.,49,65
3:41,87,Matt Farrell missed Jumper.,49,65
3:41,87,TJ Gibbs Offensive Rebound.,49,65
3:35,2597,Foul on Milija Cosic.,49,65
3:35,87,Official TV Timeout,49,65
3:35,87,TJ Gibbs missed Free Throw.,49,65
3:35,87,Notre Dame Deadball Team Rebound.,49,65
3:35,87,TJ Gibbs missed Free Throw.,49,65
3:35,2597,Milija Cosic Defensive Rebound.,49,65
3:20,2597,Josh Nicholas missed Jumper.,49,65
3:20,87,Rex Pflueger Defensive Rebound.,49,65
3:04,87,D.J. Harvey missed Three Point Jumper.,49,65
3:04,2597,Josh Nicholas Defensive Rebound.,49,65
2:55,2597,Rasheem Dunn missed Jumper.,49,65
2:55,2597,Rasheem Dunn Offensive Rebound.,49,65
2:51,2597,Rasheem Dunn Turnover.,49,65
2:50,87,TJ Gibbs Steal.,49,65
2:47,2597,Foul on Josh Nicholas.,49,65
2:47,87,D.J. Harvey made Free Throw.,49,66
2:47,87,D.J. Harvey made Free Throw.,49,67
2:35,2597,D.J. Porter missed Jumper.,49,67
2:35,87,Elijah Burns Defensive Rebound.,49,67
2:17,87,Austin Torres missed Layup.,49,67
2:17,2597,D.J. Porter Block.,49,67
2:16,2597,D.J. Porter Defensive Rebound.,49,67
2:12,2597,Josh Nicholas made Dunk. Assisted by D.J. Porter.,51,67
1:46,2597,Foul on Rasheem Dunn.,51,67
1:46,87,D.J. Harvey made Free Throw.,51,68
1:46,87,D.J. Harvey made Free Throw.,51,69
1:35,2597,Jalen Jordan missed Three Point Jumper.,51,69
1:35,87,John Mooney Defensive Rebound.,51,69
1:15,87,Nikola Djogo missed Jumper.,51,69
1:15,2597,Josh Nicholas Defensive Rebound.,51,69
1:07,2597,Rasheem Dunn made Layup.,53,69
1:07,2597,St. Francis (BKN)  Timeout,53,69
0:57,87,John Mooney missed Layup.,53,69
0:57,87,Nikola Djogo Offensive Rebound.,53,69
0:42,87,John Mooney made Layup.,53,71
0:21,2597,Jalen Jordan missed Three Point Jumper.,53,71
0:21,2597,Rasheem Dunn Offensive Rebound.,53,71
0:15,2597,Rasheem Dunn missed Jumper.,53,71
0:15,87,Notre Dame Defensive Rebound.,53,71
0:00,87,End of Game,53,71
