Maryland,356,Illinois,120
4:31,356,Mark Alstork made Free Throw.,75,77
4:20,120,Bruno Fernando made Dunk. Assisted by Anthony Cowan.,77,77
3:58,356,Mark Alstork made Three Point Jumper. Assisted by Trent Frazier.,77,80
3:37,120,Anthony Cowan made Three Point Jumper.,80,80
3:26,120,Foul on Darryl Morsell.,80,80
3:26,356,Mark Alstork made Free Throw.,80,81
3:26,356,Mark Alstork made Free Throw.,80,82
3:16,356,Foul on Mark Alstork.,80,82
3:16,120,Anthony Cowan made Free Throw.,81,82
3:16,120,Anthony Cowan made Free Throw.,82,82
2:51,356,Leron Black made Jumper.,82,84
2:29,356,Foul on Leron Black.,82,84
2:29,120,Kevin Huerter missed Free Throw.,82,84
2:29,120,Maryland Deadball Team Rebound.,82,84
2:29,120,Kevin Huerter made Free Throw.,83,84
2:09,120,Foul on Bruno Fernando.,83,84
2:09,356,Leron Black missed Free Throw.,83,84
2:09,356,Illinois Deadball Team Rebound.,83,84
2:09,356,Leron Black made Free Throw.,83,85
1:48,120,Anthony Cowan made Jumper.,85,85
1:48,356,Foul on Kipper Nichols.,85,85
1:48,120,Anthony Cowan made Free Throw.,86,85
1:37,356,Trent Frazier made Jumper.,86,87
1:29,120,Maryland  Timeout,86,87
1:16,120,Justin Jackson made Jumper.,88,87
0:57,356,Aaron Jordan made Layup.,88,89
0:39,120,Kevin Huerter made Three Point Jumper. Assisted by Anthony Cowan.,91,89
0:36,356,Illinois  Timeout,91,89
0:17,356,Mark Alstork made Layup.,91,91
0:01,356,Foul on Mark Alstork.,91,91
0:01,120,Anthony Cowan made Free Throw.,92,91
0:01,120,Anthony Cowan missed Free Throw.,92,91
0:01,356,Leron Black Defensive Rebound.,92,91
0:00,356,End of 1st overtime,91,91
0:00,356,End of Game,92,91
