North Texas,59,Georgia Tech,249
0:00,59,End of 1st half,19,22
19:30,249,A.J. Lawson missed Jumper.,19,22
19:30,59,Jose Alvarado Defensive Rebound.,19,22
19:25,59,Tadric Jackson made Layup. Assisted by Jose Alvarado.,19,24
19:05,249,Ryan Woolridge Turnover.,19,24
19:05,59,Brandon Alston Steal.,19,24
19:02,59,Jose Alvarado Turnover.,19,24
18:40,249,Ryan Woolridge missed Layup.,19,24
18:40,249,Ryan Woolridge Offensive Rebound.,19,24
18:34,249,Roosevelt Smart Turnover.,19,24
18:21,59,Tadric Jackson missed Three Point Jumper.,19,24
18:21,249,Zachary Simmons Defensive Rebound.,19,24
18:05,249,A.J. Lawson missed Layup.,19,24
18:05,59,Ben Lammers Block.,19,24
18:03,59,Curtis Haywood II Defensive Rebound.,19,24
17:58,249,Foul on Jorden Duffy.,19,24
17:58,249,North Texas  Timeout,19,24
17:58,59,Tadric Jackson made Free Throw.,19,25
17:58,59,Tadric Jackson made Free Throw.,19,26
17:32,249,Zachary Simmons made Dunk. Assisted by A.J. Lawson.,21,26
17:12,59,Curtis Haywood II made Three Point Jumper. Assisted by Ben Lammers.,21,29
16:46,59,Foul on Jose Alvarado.,21,29
16:39,249,Ryan Woolridge made Layup.,23,29
16:17,59,Curtis Haywood II missed Three Point Jumper.,23,29
16:17,249,Shane Temara Defensive Rebound.,23,29
16:00,249,Jorden Duffy Turnover.,23,29
15:59,59,Curtis Haywood II Steal.,23,29
15:51,59,Brandon Alston missed Jumper.,23,29
15:51,249,North Texas Deadball Team Rebound.,23,29
15:47,59,Foul on Brandon Alston.,23,29
15:47,59,Official TV Timeout,23,29
15:19,249,A.J. Lawson missed Layup.,23,29
15:19,59,Ben Lammers Block.,23,29
15:18,59,Ben Lammers Defensive Rebound.,23,29
15:14,59,Tadric Jackson Turnover.,23,29
15:13,249,Ryan Woolridge Steal.,23,29
15:10,249,A.J. Lawson missed Layup.,23,29
15:10,59,Ben Lammers Defensive Rebound.,23,29
14:47,59,Curtis Haywood II made Three Point Jumper. Assisted by Jose Alvarado.,23,32
14:39,249,North Texas  Timeout,23,32
14:30,249,Michael Miller Turnover.,23,32
14:29,59,Ben Lammers Steal.,23,32
14:05,59,Ben Lammers made Layup.,23,34
13:49,249,Roosevelt Smart made Three Point Jumper. Assisted by A.J. Lawson.,26,34
13:28,59,Curtis Haywood II made Three Point Jumper. Assisted by Jose Alvarado.,26,37
12:57,249,Zachary Simmons missed Layup.,26,37
12:57,59,Ben Lammers Block.,26,37
12:56,59,Curtis Haywood II Defensive Rebound.,26,37
12:52,59,Tadric Jackson made Layup. Assisted by Curtis Haywood II.,26,39
12:42,249,Ryan Woolridge missed Layup.,26,39
12:42,59,Curtis Haywood II Defensive Rebound.,26,39
12:33,59,Brandon Alston missed Layup.,26,39
12:33,249,Zachary Simmons Block.,26,39
12:31,249,Michael Miller Defensive Rebound.,26,39
12:08,249,A.J. Lawson made Layup. Assisted by Ryan Woolridge.,28,39
11:50,249,Foul on Zachary Simmons.,28,39
11:50,59,Official TV Timeout,28,39
11:47,59,Ben Lammers missed Jumper.,28,39
11:47,249,Jorden Duffy Defensive Rebound.,28,39
11:29,249,Roosevelt Smart Turnover.,28,39
11:28,59,Curtis Haywood II Steal.,28,39
11:00,59,Moses Wright made Jumper. Assisted by Ben Lammers.,28,41
10:41,249,Zachary Simmons made Layup. Assisted by Michael Miller.,30,41
10:18,59,Ben Lammers made Jumper. Assisted by Curtis Haywood II.,30,43
9:51,249,Michael Miller Turnover.,30,43
9:51,59,Jose Alvarado Steal.,30,43
9:37,59,Moses Wright made Jumper. Assisted by Curtis Haywood II.,30,45
9:15,249,Roosevelt Smart made Three Point Jumper. Assisted by Michael Miller.,33,45
8:56,59,Moses Wright missed Jumper.,33,45
8:56,249,North Texas Deadball Team Rebound.,33,45
8:37,249,Roosevelt Smart missed Three Point Jumper.,33,45
8:37,59,Ben Lammers Defensive Rebound.,33,45
8:08,59,Curtis Haywood II missed Three Point Jumper.,33,45
8:08,249,Zachary Simmons Defensive Rebound.,33,45
7:52,249,A.J. Lawson made Layup.,35,45
7:22,59,Moses Wright missed Jumper.,35,45
7:22,249,Zachary Simmons Defensive Rebound.,35,45
7:06,59,Foul on Ben Lammers.,35,45
7:06,59,Official TV Timeout,35,45
7:06,249,Roosevelt Smart made Free Throw.,36,45
7:06,249,Roosevelt Smart made Free Throw.,37,45
6:54,59,Jose Alvarado made Layup. Assisted by Abdoulaye Gueye.,37,47
6:54,249,Foul on Roosevelt Smart.,37,47
6:54,59,Jose Alvarado made Free Throw.,37,48
6:29,249,Roosevelt Smart made Three Point Jumper. Assisted by Shane Temara.,40,48
6:07,59,Curtis Haywood II made Three Point Jumper. Assisted by Brandon Alston.,40,51
5:55,249,Roosevelt Smart made Three Point Jumper.,43,51
5:32,59,Tadric Jackson made Jumper.,43,53
5:07,249,Roosevelt Smart missed Jumper.,43,53
5:07,59,Tadric Jackson Defensive Rebound.,43,53
5:00,59,Tadric Jackson made Layup.,43,55
4:59,249,Foul on Zachary Simmons.,43,55
4:59,59,Tadric Jackson made Free Throw.,43,56
4:37,249,Roosevelt Smart missed Three Point Jumper.,43,56
4:37,249,Ryan Woolridge Offensive Rebound.,43,56
4:26,59,Foul on Abdoulaye Gueye.,43,56
4:26,249,Shane Temara made Free Throw.,44,56
4:26,249,Shane Temara made Free Throw.,45,56
4:26,249,Shane Temara missed Free Throw.,45,56
4:26,59,Georgia Tech Deadball Team Rebound.,45,56
4:26,249,Foul on Roosevelt Smart.,45,56
4:13,59,Tadric Jackson missed Three Point Jumper.,45,56
4:13,249,DJ Draper Defensive Rebound.,45,56
3:59,249,DJ Draper made Three Point Jumper. Assisted by Jorden Duffy.,48,56
3:56,59,Georgia Tech  Timeout,48,56
3:56,59,Official TV Timeout,48,56
3:39,249,Foul on Shane Temara.,48,56
3:39,59,Ben Lammers missed Free Throw.,48,56
3:39,59,Georgia Tech Deadball Team Rebound.,48,56
3:39,59,Ben Lammers made Free Throw.,48,57
3:35,249,Ryan Woolridge missed Layup.,48,57
3:35,59,Tadric Jackson Defensive Rebound.,48,57
3:17,249,Foul on DJ Draper.,48,57
3:17,59,Ben Lammers made Free Throw.,48,58
3:17,59,Ben Lammers made Free Throw.,48,59
3:07,249,Roosevelt Smart Turnover.,48,59
3:03,59,Jose Alvarado made Layup. Assisted by Tadric Jackson.,48,61
2:45,249,Jorden Duffy Turnover.,48,61
2:45,59,Ben Lammers Steal.,48,61
2:23,59,Ben Lammers missed Jumper.,48,61
2:23,249,Jorden Duffy Defensive Rebound.,48,61
2:08,249,Roosevelt Smart missed Jumper.,48,61
2:08,59,Brandon Alston Defensive Rebound.,48,61
1:49,59,Jose Alvarado made Layup.,48,63
1:32,249,Shane Temara missed Jumper.,48,63
1:32,59,Jose Alvarado Defensive Rebound.,48,63
1:00,59,Sylvester Ogbonda missed Jumper.,48,63
1:00,249,Khalil Fuller Defensive Rebound.,48,63
0:47,59,Foul on Moses Wright.,48,63
0:47,249,A.J. Lawson missed Free Throw.,48,63
0:47,249,North Texas Deadball Team Rebound.,48,63
0:47,249,A.J. Lawson made Free Throw.,49,63
0:35,59,Georgia Tech  Timeout,49,63
0:25,59,Sylvester Ogbonda missed Jumper.,49,63
0:25,249,A.J. Lawson Defensive Rebound.,49,63
0:18,249,A.J. Lawson Turnover.,49,63
0:00,59,End of Game,49,63
