Arizona,2509,Purdue,12
18:02,2509,Isaac Haas made Jumper.,37,57
18:02,12,Brandon Randolph made Three Point Jumper. Assisted by Parker Jackson-Cartwright.,40,57
18:02,2509,Dakota Mathias missed Three Point Jumper.,40,57
18:02,2509,Carsen Edwards Offensive Rebound.,40,57
18:02,2509,Carsen Edwards made Jumper.,40,59
18:02,12,Dusan Ristic missed Jumper.,40,59
18:02,2509,Dakota Mathias Defensive Rebound.,40,59
18:02,2509,Carsen Edwards Turnover.,40,59
18:02,12,Dusan Ristic Steal.,40,59
17:44,12,Brandon Randolph made Three Point Jumper.,43,59
17:30,2509,Foul on Vincent Edwards.,43,59
17:30,2509,Vincent Edwards Turnover.,43,59
15:59,2509,Official TV Timeout,43,59
15:22,2509,Official TV Timeout,43,59
15:21,2509,Official TV Timeout,43,59
15:13,12,Brandon Randolph Turnover.,43,59
15:02,12,Foul on Dusan Ristic.,43,59
15:01,2509,P.J. Thompson missed Layup.,43,59
15:01,12,Ira Lee Block.,43,59
14:59,12,Deandre Ayton Defensive Rebound.,43,59
14:30,12,Allonzo Trier missed Jumper.,43,59
14:30,12,Deandre Ayton Offensive Rebound.,43,59
14:23,12,Deandre Ayton missed Layup.,43,59
14:23,2509,Isaac Haas Block.,43,59
14:21,2509,Isaac Haas Defensive Rebound.,43,59
14:07,2509,Dakota Mathias made Three Point Jumper. Assisted by Isaac Haas.,43,62
13:53,12,Allonzo Trier made Jumper.,45,62
13:33,12,Foul on Deandre Ayton.,45,62
13:33,2509,Isaac Haas made Free Throw.,45,63
13:33,2509,Isaac Haas made Free Throw.,45,64
13:15,12,Deandre Ayton made Jumper. Assisted by Ira Lee.,47,64
12:58,2509,P.J. Thompson made Three Point Jumper. Assisted by Vincent Edwards.,47,67
12:53,2509,Foul on P.J. Thompson.,47,67
12:48,2509,Foul on Nojel Eastern.,47,67
12:30,12,Deandre Ayton made Layup. Assisted by Ira Lee.,49,67
12:02,2509,Dakota Mathias missed Three Point Jumper.,49,67
12:02,2509,Vincent Edwards Offensive Rebound.,49,67
11:56,2509,Dakota Mathias missed Three Point Jumper.,49,67
11:56,12,Parker Jackson-Cartwright Defensive Rebound.,49,67
11:44,12,Allonzo Trier missed Layup.,49,67
11:44,2509,Matt Haarms Block.,49,67
11:42,2509,Ryan Cline Defensive Rebound.,49,67
11:37,2509,Nojel Eastern made Layup. Assisted by Ryan Cline.,49,69
11:29,12,Arizona  Timeout,49,69
11:29,2509,Official TV Timeout,49,69
11:10,12,Parker Jackson-Cartwright made Jumper.,51,69
10:51,2509,Nojel Eastern Turnover.,51,69
10:50,12,Parker Jackson-Cartwright Steal.,51,69
10:45,12,Ira Lee missed Layup.,51,69
10:45,2509,Vincent Edwards Defensive Rebound.,51,69
10:18,2509,Nojel Eastern Turnover.,51,69
10:00,12,Brandon Randolph missed Three Point Jumper.,51,69
10:00,2509,Nojel Eastern Defensive Rebound.,51,69
9:50,2509,Ryan Cline made Layup. Assisted by Dakota Mathias.,51,71
9:30,2509,Foul on Carsen Edwards.,51,71
9:30,12,Allonzo Trier made Free Throw.,52,71
9:30,12,Allonzo Trier made Free Throw.,53,71
9:17,2509,Ryan Cline Turnover.,53,71
9:02,12,Keanu Pinder made Layup. Assisted by Dylan Smith.,55,71
8:44,12,Foul on Dusan Ristic.,55,71
8:38,2509,Isaac Haas missed Jumper.,55,71
8:38,12,Dusan Ristic Defensive Rebound.,55,71
8:26,12,Brandon Randolph made Jumper.,57,71
8:23,2509,Foul on P.J. Thompson.,57,71
8:20,12,Brandon Randolph made Jumper.,59,71
7:57,12,Foul on Dusan Ristic.,59,71
7:57,2509,Official TV Timeout,59,71
7:57,2509,Carsen Edwards made Free Throw.,59,72
7:57,2509,Carsen Edwards made Free Throw.,59,73
7:37,12,Keanu Pinder missed Layup.,59,73
7:37,2509,Isaac Haas Defensive Rebound.,59,73
7:18,2509,Isaac Haas made Jumper.,59,75
7:05,12,Dusan Ristic missed Three Point Jumper.,59,75
7:05,2509,Isaac Haas Defensive Rebound.,59,75
7:01,12,Foul on Keanu Pinder.,59,75
6:46,2509,Vincent Edwards missed Three Point Jumper.,59,75
6:46,12,Arizona Defensive Rebound.,59,75
6:29,12,Allonzo Trier missed Three Point Jumper.,59,75
6:29,2509,Ryan Cline Defensive Rebound.,59,75
6:02,2509,Foul on Ryan Cline.,59,75
6:02,2509,Ryan Cline Turnover.,59,75
5:57,2509,Foul on Carsen Edwards.,59,75
5:57,12,Parker Jackson-Cartwright made Free Throw.,60,75
5:57,12,Parker Jackson-Cartwright made Free Throw.,61,75
5:46,2509,Dakota Mathias made Jumper.,61,77
5:28,12,Dylan Smith missed Three Point Jumper.,61,77
5:28,12,Keanu Pinder Offensive Rebound.,61,77
5:22,12,Allonzo Trier missed Three Point Jumper.,61,77
5:22,2509,Purdue Defensive Rebound.,61,77
5:21,12,Foul on Deandre Ayton.,61,77
5:07,2509,Isaac Haas made Dunk. Assisted by Dakota Mathias.,61,79
4:48,2509,Foul on Vincent Edwards.,61,79
4:48,12,Deandre Ayton missed Free Throw.,61,79
4:48,2509,Vincent Edwards Defensive Rebound.,61,79
4:32,12,Foul on Deandre Ayton.,61,79
4:32,2509,Isaac Haas made Free Throw.,61,80
4:32,2509,Isaac Haas made Free Throw.,61,81
4:16,12,Brandon Randolph missed Jumper.,61,81
4:16,2509,Dakota Mathias Defensive Rebound.,61,81
3:53,2509,Vincent Edwards made Jumper.,61,83
3:53,12,Foul on Ira Lee.,61,83
3:53,2509,Official TV Timeout,61,83
3:53,2509,Vincent Edwards made Free Throw.,61,84
3:28,12,Parker Jackson-Cartwright missed Three Point Jumper.,61,84
3:28,2509,Purdue Defensive Rebound.,61,84
3:17,2509,Dakota Mathias made Jumper. Assisted by P.J. Thompson.,61,86
3:17,12,Foul on Brandon Randolph.,61,86
3:17,2509,Dakota Mathias made Free Throw.,61,87
3:02,12,Ira Lee missed Layup.,61,87
3:02,2509,Vincent Edwards Defensive Rebound.,61,87
2:40,2509,Matt Haarms Turnover.,61,87
2:38,12,Brandon Randolph Steal.,61,87
2:26,12,Allonzo Trier Turnover.,61,87
2:24,2509,Vincent Edwards Steal.,61,87
2:22,2509,Dakota Mathias made Layup. Assisted by Vincent Edwards.,61,89
2:09,12,Alex Barcello missed Jumper.,61,89
2:09,2509,Carsen Edwards Block.,61,89
2:05,2509,Vincent Edwards Defensive Rebound.,61,89
1:57,2509,Purdue  Timeout,61,89
1:43,2509,Ryan Cline missed Three Point Jumper.,61,89
1:43,2509,Nojel Eastern Offensive Rebound.,61,89
1:28,12,Foul on Keanu Pinder.,61,89
1:28,2509,Eden Ewing missed Free Throw.,61,89
1:28,2509,Purdue Deadball Team Rebound.,61,89
1:28,2509,Eden Ewing missed Free Throw.,61,89
1:28,12,Ira Lee Defensive Rebound.,61,89
1:14,12,Brandon Randolph made Layup.,63,89
1:14,2509,Foul on Eden Ewing.,63,89
1:14,12,Brandon Randolph made Free Throw.,64,89
0:50,2509,Jacquil Taylor Turnover.,64,89
0:36,12,Alex Barcello missed Three Point Jumper.,64,89
0:36,2509,Eden Ewing Defensive Rebound.,64,89
0:15,2509,Jacquil Taylor missed Jumper.,64,89
0:15,12,Keanu Pinder Block.,64,89
0:13,12,Keanu Pinder Defensive Rebound.,64,89
0:00,2509,End of Game,64,89
