South Carolina Upstate,189,Bowling Green,2908
13:42,2908,Malik Moore Turnover.,16,14
13:41,189,Jeffrey Uju Steal.,16,14
13:39,189,Jeffrey Uju Turnover.,16,14
13:38,2908,Mike Cunningham Steal.,16,14
13:13,2908,Ramel Thompkins missed Jumper.,16,14
13:13,189,Jeffrey Uju Defensive Rebound.,16,14
13:03,189,Dylan Frye made Three Point Jumper. Assisted by Justin Turner.,16,17
12:45,2908,Deion Holmes missed Three Point Jumper.,16,17
12:45,189,Dylan Frye Defensive Rebound.,16,17
12:14,189,Dylan Frye missed Three Point Jumper.,16,17
12:14,2908,South Carolina Upstate Defensive Rebound.,16,17
11:51,2908,Malik Moore made Three Point Jumper. Assisted by Deion Holmes.,19,17
11:31,189,Daeqwon Plowden missed Jumper.,19,17
11:31,2908,South Carolina Upstate Defensive Rebound.,19,17
11:27,189,Official TV Timeout,19,17
11:00,2908,Isaiah Anderson Turnover.,19,17
10:59,189,Nelly Cummings Steal.,19,17
10:55,189,Demajeo Wiggins made Layup. Assisted by Dylan Frye.,19,19
10:29,2908,Jure Span Turnover.,19,19
10:28,189,Matt Fox Steal.,19,19
10:24,189,Justin Turner made Layup.,19,21
9:56,2908,Jure Span made Jumper.,21,21
9:43,189,Demajeo Wiggins made Layup.,21,23
9:29,2908,Ramel Thompkins missed Three Point Jumper.,21,23
9:29,189,Demajeo Wiggins Defensive Rebound.,21,23
9:21,189,Derek Koch made Layup. Assisted by Nelly Cummings.,21,25
9:19,2908,South Carolina Upstate  Timeout,21,25
8:52,2908,Ramel Thompkins made Three Point Jumper. Assisted by Mike Cunningham.,24,25
8:30,189,Justin Turner missed Three Point Jumper.,24,25
8:30,2908,Ramel Thompkins Defensive Rebound.,24,25
8:12,2908,Mike Cunningham missed Three Point Jumper.,24,25
8:12,189,Justin Turner Defensive Rebound.,24,25
7:55,189,Official TV Timeout,24,25
7:46,189,Demajeo Wiggins made Jumper.,24,27
7:45,2908,Foul on Malik Moore.,24,27
7:45,189,Demajeo Wiggins missed Free Throw.,24,27
7:45,2908,Ramel Thompkins Defensive Rebound.,24,27
7:27,2908,Malik Moore made Layup.,26,27
7:02,189,Justin Turner missed Three Point Jumper.,26,27
7:02,2908,Malik Moore Defensive Rebound.,26,27
6:43,2908,Malik Moore made Layup.,28,27
6:25,189,Rodrick Caldwell missed Jumper.,28,27
6:25,189,Demajeo Wiggins Offensive Rebound.,28,27
6:21,189,Demajeo Wiggins Turnover.,28,27
6:20,2908,Ramel Thompkins Steal.,28,27
6:17,2908,Jure Span missed Three Point Jumper.,28,27
6:17,189,Demajeo Wiggins Defensive Rebound.,28,27
6:04,189,Matt Fox made Three Point Jumper. Assisted by Rodrick Caldwell.,28,30
5:39,2908,Thomas Booker Turnover.,28,30
5:37,189,Matt Fox Steal.,28,30
5:35,189,Justin Turner made Layup. Assisted by Matt Fox.,28,32
5:27,2908,South Carolina Upstate  Timeout,28,32
5:08,2908,Deion Holmes missed Three Point Jumper.,28,32
5:08,189,Justin Turner Defensive Rebound.,28,32
5:01,189,Demajeo Wiggins missed Layup.,28,32
5:01,189,Daeqwon Plowden Offensive Rebound.,28,32
4:58,189,Daeqwon Plowden made Dunk.,28,34
4:35,2908,Jure Span Turnover.,28,34
4:24,189,Demajeo Wiggins made Layup. Assisted by Daeqwon Plowden.,28,36
4:02,2908,Ramel Thompkins missed Jumper.,28,36
4:02,189,Demajeo Wiggins Defensive Rebound.,28,36
3:56,189,Rodrick Caldwell Turnover.,28,36
3:56,189,Official TV Timeout,28,36
3:37,2908,Malik Moore Turnover.,28,36
3:13,189,Daeqwon Plowden made Jumper. Assisted by Justin Turner.,28,38
2:52,2908,Carson Smith missed Jumper.,28,38
2:48,189,Bowling Green Defensive Rebound.,28,38
2:33,189,Rodrick Caldwell missed Three Point Jumper.,28,38
2:33,2908,Ramel Thompkins Defensive Rebound.,28,38
2:13,189,Foul on Daeqwon Plowden.,28,38
2:13,2908,Ramel Thompkins made Free Throw.,29,38
2:13,2908,Ramel Thompkins made Free Throw.,30,38
1:51,189,Demajeo Wiggins made Layup. Assisted by Rodrick Caldwell.,30,40
1:37,2908,Ramel Thompkins made Three Point Jumper. Assisted by Jure Span.,33,40
1:27,189,Dylan Frye missed Layup.,33,40
1:27,189,Bowling Green Offensive Rebound.,33,40
1:23,2908,Foul on Avery Diggs.,33,40
1:23,189,Demajeo Wiggins made Free Throw.,33,41
1:23,189,Demajeo Wiggins made Free Throw.,33,42
1:13,2908,Mike Cunningham Turnover.,33,42
1:11,189,Daeqwon Plowden Steal.,33,42
1:09,189,Daeqwon Plowden made Layup.,33,44
0:51,189,Foul on Dylan Frye.,33,44
0:50,2908,Ramel Thompkins made Three Point Jumper. Assisted by Jure Span.,36,44
0:28,189,Justin Turner missed Jumper.,36,44
0:28,2908,Mike Cunningham Defensive Rebound.,36,44
0:05,2908,Jure Span missed Layup.,36,44
0:05,189,Rodrick Caldwell Defensive Rebound.,36,44
0:00,189,Justin Turner made Jumper.,36,46
0:00,189,End of 1st half,36,46
19:51,189,Demajeo Wiggins made Layup. Assisted by Dylan Frye.,36,48
19:33,2908,Mike Cunningham made Jumper.,38,48
19:14,189,Dylan Frye Turnover.,38,48
19:02,2908,Mike Cunningham missed Jumper.,38,48
19:02,189,Bowling Green Defensive Rebound.,38,48
19:01,2908,Foul on Deion Holmes.,38,48
18:39,189,Rodrick Caldwell missed Three Point Jumper.,38,48
18:39,2908,Ramel Thompkins Defensive Rebound.,38,48
18:31,189,Foul on Justin Turner.,38,48
18:31,2908,Malik Moore made Free Throw.,39,48
18:31,2908,Malik Moore made Free Throw.,40,48
18:10,189,Dylan Frye missed Jumper.,40,48
18:10,2908,Ramel Thompkins Defensive Rebound.,40,48
18:02,2908,Deion Holmes made Three Point Jumper. Assisted by Jure Span.,43,48
17:35,189,Derek Koch missed Layup.,43,48
17:35,2908,Mike Cunningham Defensive Rebound.,43,48
17:25,2908,Deion Holmes missed Jumper.,43,48
17:25,189,Demajeo Wiggins Defensive Rebound.,43,48
17:17,189,Dylan Frye missed Three Point Jumper.,43,48
17:17,2908,Ramel Thompkins Defensive Rebound.,43,48
16:52,2908,Malik Moore missed Three Point Jumper.,43,48
16:52,189,Derek Koch Defensive Rebound.,43,48
16:39,2908,Foul on Ramel Thompkins.,43,48
16:39,189,Demajeo Wiggins made Free Throw.,43,49
16:39,189,Demajeo Wiggins missed Free Throw.,43,49
16:39,2908,Malik Moore Defensive Rebound.,43,49
16:16,2908,Jure Span missed Three Point Jumper.,43,49
16:16,189,Justin Turner Defensive Rebound.,43,49
16:08,189,Rodrick Caldwell Turnover.,43,49
16:08,189,Foul on Rodrick Caldwell.,43,49
15:54,2908,Deion Holmes missed Layup.,43,49
15:54,189,Jeffrey Uju Block.,43,49
15:53,2908,Deion Holmes Offensive Rebound.,43,49
15:51,2908,Mike Cunningham missed Three Point Jumper.,43,49
15:51,2908,Jure Span Offensive Rebound.,43,49
15:39,2908,Deion Holmes missed Three Point Jumper.,43,49
15:39,189,Jeffrey Uju Defensive Rebound.,43,49
15:31,189,Official TV Timeout,43,49
15:19,189,Jeffrey Uju Turnover.,43,49
15:17,2908,Mike Cunningham Steal.,43,49
15:15,2908,Ramel Thompkins missed Three Point Jumper.,43,49
15:15,2908,Deion Holmes Offensive Rebound.,43,49
15:11,189,Foul on Justin Turner.,43,49
14:58,2908,Ramel Thompkins made Jumper. Assisted by Deion Holmes.,45,49
14:34,189,Jeffrey Uju missed Jumper.,45,49
14:34,2908,Avery Diggs Defensive Rebound.,45,49
14:14,2908,Jure Span Turnover.,45,49
14:13,189,Justin Turner Steal.,45,49
14:09,189,Daeqwon Plowden missed Layup.,45,49
14:09,189,Justin Turner Offensive Rebound.,45,49
14:07,189,Justin Turner missed Layup.,45,49
14:07,2908,Mike Cunningham Defensive Rebound.,45,49
13:51,2908,Ramel Thompkins made Three Point Jumper. Assisted by Deion Holmes.,48,49
13:39,189,Official TV Timeout,48,49
13:39,189,Bowling Green  Timeout,48,49
13:29,189,Derek Koch Turnover.,48,49
13:28,2908,Deion Holmes Steal.,48,49
13:20,2908,Mike Cunningham made Layup.,50,49
13:07,189,Matt Fox missed Jumper.,50,49
13:07,189,Demajeo Wiggins Offensive Rebound.,50,49
13:04,189,Demajeo Wiggins missed Layup.,50,49
13:04,2908,Avery Diggs Block.,50,49
13:02,2908,Deion Holmes Defensive Rebound.,50,49
12:56,2908,Deion Holmes Turnover.,50,49
12:56,189,Nelly Cummings Steal.,50,49
12:48,189,Dylan Frye made Three Point Jumper. Assisted by Nelly Cummings.,50,52
12:19,2908,Mike Cunningham made Three Point Jumper.,53,52
11:52,189,Demajeo Wiggins made Layup. Assisted by Derek Koch.,53,54
11:36,2908,Avery Diggs missed Three Point Jumper.,53,54
11:36,189,Derek Koch Defensive Rebound.,53,54
11:29,189,Matt Fox missed Three Point Jumper.,53,54
11:29,2908,Avery Diggs Defensive Rebound.,53,54
11:21,2908,Deion Holmes made Dunk. Assisted by Jure Span.,55,54
10:59,189,Derek Koch missed Jumper.,55,54
10:59,2908,Malik Moore Defensive Rebound.,55,54
10:48,189,Official TV Timeout,55,54
10:38,2908,Jure Span missed Jumper.,55,54
10:38,2908,South Carolina Upstate Offensive Rebound.,55,54
10:28,2908,Ramel Thompkins missed Jumper.,55,54
10:28,189,Demajeo Wiggins Defensive Rebound.,55,54
10:18,189,Derek Koch missed Jumper.,55,54
10:18,2908,Avery Diggs Block.,55,54
10:16,2908,Avery Diggs Defensive Rebound.,55,54
10:09,2908,Malik Moore made Layup. Assisted by Jure Span.,57,54
10:00,189,Dylan Frye Turnover.,57,54
9:39,2908,Jure Span Turnover.,57,54
9:24,189,Demajeo Wiggins missed Layup.,57,54
9:24,2908,Avery Diggs Block.,57,54
9:23,2908,Malik Moore Defensive Rebound.,57,54
9:15,2908,Malik Moore missed Three Point Jumper.,57,54
9:15,189,Daeqwon Plowden Defensive Rebound.,57,54
9:02,189,Daeqwon Plowden missed Three Point Jumper.,57,54
9:02,2908,Jure Span Defensive Rebound.,57,54
8:54,2908,Jure Span missed Layup.,57,54
8:54,189,Daeqwon Plowden Block.,57,54
8:52,2908,South Carolina Upstate Offensive Rebound.,57,54
8:37,2908,Mike Cunningham made Jumper.,59,54
8:15,189,Justin Turner missed Three Point Jumper.,59,54
8:15,189,Demajeo Wiggins Offensive Rebound.,59,54
8:10,189,Demajeo Wiggins missed Layup.,59,54
8:10,189,Bowling Green Offensive Rebound.,59,54
8:04,189,Dylan Frye made Three Point Jumper. Assisted by Rodrick Caldwell.,59,57
7:46,2908,Mike Cunningham missed Jumper.,59,57
7:46,189,Daeqwon Plowden Defensive Rebound.,59,57
7:33,189,Justin Turner missed Jumper.,59,57
7:33,189,Bowling Green Offensive Rebound.,59,57
7:30,189,Official TV Timeout,59,57
7:28,189,Rodrick Caldwell Turnover.,59,57
7:27,2908,Deion Holmes Steal.,59,57
7:26,2908,Deion Holmes made Jumper.,61,57
7:07,189,Dylan Frye missed Jumper.,61,57
7:07,2908,Avery Diggs Defensive Rebound.,61,57
6:58,2908,Malik Moore Turnover.,61,57
6:56,189,Dylan Frye Steal.,61,57
6:54,189,Dylan Frye Turnover.,61,57
6:53,2908,Jure Span Steal.,61,57
6:48,2908,Jure Span missed Layup.,61,57
6:48,189,Dylan Frye Defensive Rebound.,61,57
6:45,189,Rodrick Caldwell made Three Point Jumper. Assisted by Dylan Frye.,61,60
6:22,2908,Deion Holmes missed Jumper.,61,60
6:22,189,Demajeo Wiggins Defensive Rebound.,61,60
6:15,189,Rodrick Caldwell made Layup.,61,62
6:15,2908,Foul on Avery Diggs.,61,62
6:15,2908,South Carolina Upstate  Timeout,61,62
6:15,189,Rodrick Caldwell made Free Throw.,61,63
5:55,2908,Mike Cunningham missed Three Point Jumper.,61,63
5:55,2908,Malik Moore Offensive Rebound.,61,63
5:52,189,Foul on Daeqwon Plowden.,61,63
5:39,2908,Ramel Thompkins made Jumper. Assisted by Mike Cunningham.,63,63
5:16,189,Rodrick Caldwell made Three Point Jumper. Assisted by Nelly Cummings.,63,66
4:48,2908,Mike Cunningham missed Jumper.,63,66
4:48,2908,Malik Moore Offensive Rebound.,63,66
4:46,2908,Malik Moore made Layup.,65,66
4:46,189,Foul on Rodrick Caldwell.,65,66
4:46,2908,Malik Moore made Free Throw.,66,66
4:23,2908,Foul on Avery Diggs.,66,66
4:23,189,Daeqwon Plowden made Free Throw.,66,67
4:23,189,Daeqwon Plowden made Free Throw.,66,68
3:57,2908,Deion Holmes missed Three Point Jumper.,66,68
3:57,189,Daeqwon Plowden Defensive Rebound.,66,68
3:47,189,Justin Turner made Layup. Assisted by Nelly Cummings.,66,70
3:25,189,Official TV Timeout,66,70
3:20,2908,Ramel Thompkins missed Jumper.,66,70
3:20,189,Nelly Cummings Defensive Rebound.,66,70
3:05,189,Nelly Cummings missed Jumper.,66,70
3:05,2908,Avery Diggs Defensive Rebound.,66,70
2:45,2908,Avery Diggs made Layup. Assisted by Mike Cunningham.,68,70
2:21,189,Rodrick Caldwell made Three Point Jumper. Assisted by Derek Koch.,68,73
2:08,2908,Malik Moore missed Three Point Jumper.,68,73
2:08,2908,Avery Diggs Offensive Rebound.,68,73
1:59,2908,Mike Cunningham missed Three Point Jumper.,68,73
1:59,189,Bowling Green Defensive Rebound.,68,73
1:28,189,Rodrick Caldwell made Three Point Jumper.,68,76
1:13,2908,Jure Span missed Three Point Jumper.,68,76
1:13,189,Demajeo Wiggins Defensive Rebound.,68,76
0:58,2908,Foul on Jure Span.,68,76
0:58,2908,Foul on Deion Holmes.,68,76
0:55,2908,Foul on Jure Span.,68,76
0:55,189,Dylan Frye made Free Throw.,68,77
0:55,189,Dylan Frye made Free Throw.,68,78
0:48,2908,Jure Span missed Three Point Jumper.,68,78
0:48,2908,Mike Cunningham Offensive Rebound.,68,78
0:43,189,Foul on Dylan Frye.,68,78
0:43,2908,Deion Holmes made Free Throw.,69,78
0:43,2908,Deion Holmes missed Free Throw.,69,78
0:43,2908,South Carolina Upstate Deadball Team Rebound.,69,78
0:43,2908,Deion Holmes made Free Throw.,70,78
0:43,2908,Foul on Thomas Booker.,70,78
0:43,189,Rodrick Caldwell missed Free Throw.,70,78
0:43,2908,Ramel Thompkins Defensive Rebound.,70,78
0:36,2908,Malik Moore made Layup. Assisted by Jure Span.,72,78
0:35,2908,Foul on Thomas Booker.,72,78
0:35,189,Dylan Frye made Free Throw.,72,79
0:35,189,Dylan Frye made Free Throw.,72,80
0:30,2908,Deion Holmes made Layup.,74,80
0:28,2908,Foul on Jure Span.,74,80
0:28,189,Dylan Frye made Free Throw.,74,81
0:28,189,Dylan Frye missed Free Throw.,74,81
0:28,2908,Ramel Thompkins Defensive Rebound.,74,81
0:23,2908,Deion Holmes missed Layup.,74,81
0:23,189,Justin Turner Defensive Rebound.,74,81
0:21,2908,Foul on Ramel Thompkins.,74,81
0:21,189,Justin Turner made Free Throw.,74,82
0:21,189,Justin Turner made Free Throw.,74,83
0:15,2908,Deion Holmes missed Three Point Jumper.,74,83
0:15,2908,South Carolina Upstate Offensive Rebound.,74,83
0:09,2908,Deion Holmes missed Three Point Jumper.,74,83
0:09,189,Bowling Green Defensive Rebound.,74,83
0:00,189,End of Game,74,83
