Denver,526,Florida Gulf Coast,2172
14:08,2172,Daniel Amigo Defensive Rebound.,40,45
13:54,2172,Abiola Akintola made Layup.,42,45
13:21,2172,Foul on Daniel Amigo.,42,45
13:21,526,Zach Johnson made Free Throw.,42,46
13:21,526,Zach Johnson made Free Throw.,42,47
12:54,2172,Jake Pemberton made Three Point Jumper. Assisted by Joe Rosga.,45,47
12:47,526,RaySean Scott Jr. made Dunk. Assisted by Brandon Goodwin.,45,49
12:16,2172,Abiola Akintola missed Jumper.,45,49
12:16,2172,Christian Mackey Offensive Rebound.,45,49
12:12,2172,Christian Mackey made Layup.,47,49
12:07,2172,Foul on Ade Murkey.,47,49
12:00,526,Darnell Rogers missed Three Point Jumper.,47,49
12:00,526,RaySean Scott Jr. Offensive Rebound.,47,49
11:52,526,Christian Carlyle Turnover.,47,49
11:50,2172,Jake Pemberton Steal.,47,49
11:47,2172,Jake Pemberton made Layup.,49,49
11:31,2172,Foul on Abiola Akintola.,49,49
11:31,526,Official TV Timeout,49,49
11:22,526,Christian Terrell Turnover.,49,49
11:00,2172,Abiola Akintola missed Jumper.,49,49
11:00,526,Antravious Simmons Block.,49,49
10:57,526,Christian Terrell Defensive Rebound.,49,49
10:53,526,Christian Terrell missed Layup.,49,49
10:53,2172,Christian Mackey Defensive Rebound.,49,49
10:46,526,Foul on Christian Carlyle.,49,49
10:42,2172,Jake Pemberton made Jumper. Assisted by Ade Murkey.,51,49
10:33,526,Darnell Rogers missed Layup.,51,49
10:33,2172,Ade Murkey Block.,51,49
10:31,2172,Elvin Rodriguez Defensive Rebound.,51,49
10:29,2172,Elvin Rodriguez missed Layup.,51,49
10:29,526,RaySean Scott Jr. Block.,51,49
10:26,526,Brandon Goodwin Defensive Rebound.,51,49
10:20,526,Antravious Simmons missed Layup.,51,49
10:20,526,Darnell Rogers Offensive Rebound.,51,49
10:12,526,Brandon Goodwin made Three Point Jumper. Assisted by Darnell Rogers.,51,52
9:39,2172,Christian Mackey made Layup. Assisted by Ade Murkey.,53,52
9:19,526,Brandon Goodwin missed Three Point Jumper.,53,52
9:19,526,RaySean Scott Jr. Offensive Rebound.,53,52
9:14,526,RaySean Scott Jr. made Layup.,53,54
9:14,2172,Foul on Christian Mackey.,53,54
9:14,526,RaySean Scott Jr. made Free Throw.,53,55
8:50,526,Foul on Ricky Doyle.,53,55
8:50,526,Foul on Zach Johnson.,53,55
8:50,2172,Elvin Rodriguez made Free Throw.,54,55
8:50,2172,Elvin Rodriguez made Free Throw.,55,55
8:50,2172,Elvin Rodriguez missed Free Throw.,55,55
8:50,526,RaySean Scott Jr. Defensive Rebound.,55,55
8:29,2172,Foul on Daniel Amigo.,55,55
8:29,526,Brady Ernst made Free Throw.,55,56
8:29,526,Brady Ernst made Free Throw.,55,57
8:06,2172,Ade Murkey missed Jumper.,55,57
8:06,2172,Christian Mackey Offensive Rebound.,55,57
7:44,2172,Christian Mackey made Layup. Assisted by Jake Krafka.,57,57
7:20,526,Brady Ernst missed Jumper.,57,57
7:20,526,RaySean Scott Jr. Offensive Rebound.,57,57
7:15,526,RaySean Scott Jr. missed Layup.,57,57
