St. Francis (PA),97,Louisville,2598
1:16,2598,Deivydas Kuzavas made Two Point Tip Shot.,33,42
1:01,97,Anas Mahmoud made Layup.,33,44
0:44,2598,Jamaal King Turnover.,33,44
0:44,97,Jordan Nwora Steal.,33,44
0:41,97,Quentin Snider made Layup. Assisted by Anas Mahmoud.,33,46
0:11,2598,Jamaal King missed Jumper.,33,46
0:11,2598,Keith Braxton Offensive Rebound.,33,46
0:07,2598,Randall Gaskins Jr. made Jumper. Assisted by Keith Braxton.,35,46
0:00,97,End of 1st half,35,46
19:45,2598,Jamaal King missed Three Point Jumper.,35,46
19:45,97,Quentin Snider Defensive Rebound.,35,46
19:21,97,V.J. King Turnover.,35,46
19:08,2598,Jamaal King missed Layup.,35,46
19:08,97,Ray Spalding Block.,35,46
19:07,97,Ray Spalding Defensive Rebound.,35,46
18:58,97,V.J. King missed Three Point Jumper.,35,46
18:58,2598,Jamaal King Defensive Rebound.,35,46
18:47,2598,Keith Braxton made Layup.,37,46
18:36,97,Anas Mahmoud made Jumper.,37,48
18:03,2598,Jamaal King missed Three Point Jumper.,37,48
18:03,97,Anas Mahmoud Defensive Rebound.,37,48
17:46,2598,Foul on Jamaal King.,37,48
17:37,97,Deng Adel made Jumper.,37,50
17:01,2598,Jamaal King made Jumper.,39,50
16:55,97,Deng Adel missed Layup.,39,50
16:55,2598,Keith Braxton Defensive Rebound.,39,50
16:49,2598,Keith Braxton Turnover.,39,50
16:40,2598,Foul on Jamaal King.,39,50
16:40,97,Ray Spalding missed Free Throw.,39,50
16:40,97,Louisville Deadball Team Rebound.,39,50
16:40,97,Ray Spalding made Free Throw.,39,51
16:30,97,Foul on Ray Spalding.,39,51
16:30,2598,Randall Gaskins Jr. made Free Throw.,40,51
16:30,2598,Randall Gaskins Jr. made Free Throw.,41,51
16:16,97,Anas Mahmoud made Layup. Assisted by Quentin Snider.,41,53
16:06,2598,Malik Harmon Turnover.,41,53
15:44,97,Quentin Snider missed Three Point Jumper.,41,53
15:44,97,Anas Mahmoud Offensive Rebound.,41,53
15:40,97,Anas Mahmoud made Jumper.,41,55
15:05,2598,Randall Gaskins Jr. Turnover.,41,55
15:05,97,Official TV Timeout,41,55
14:53,2598,Foul on Deivydas Kuzavas.,41,55
14:53,97,Deng Adel made Free Throw.,41,56
14:53,97,Deng Adel missed Free Throw.,41,56
14:53,2598,Andre Wolford Defensive Rebound.,41,56
14:44,2598,Andre Wolford made Three Point Jumper. Assisted by Malik Harmon.,44,56
14:22,97,Quentin Snider made Three Point Jumper. Assisted by Deng Adel.,44,59
13:58,2598,Keith Braxton missed Layup.,44,59
13:58,97,Ray Spalding Defensive Rebound.,44,59
13:50,97,Quentin Snider made Three Point Jumper. Assisted by Deng Adel.,44,62
13:30,2598,Malik Harmon missed Three Point Jumper.,44,62
13:30,97,Anas Mahmoud Defensive Rebound.,44,62
13:29,2598,Foul on Deivydas Kuzavas.,44,62
13:25,97,Anas Mahmoud missed Jumper.,44,62
13:25,97,Ray Spalding Offensive Rebound.,44,62
13:21,97,Ray Spalding made Dunk.,44,64
13:00,2598,Foul on Jamaal King.,44,64
13:00,2598,Jamaal King Turnover.,44,64
13:00,2598,St. Francis (PA)  Timeout,44,64
12:49,2598,Foul on Scott Meredith.,44,64
12:38,97,Ray Spalding made Layup. Assisted by Quentin Snider.,44,66
12:19,2598,Keith Braxton made Jumper.,46,66
12:03,97,Dwayne Sutton missed Three Point Jumper.,46,66
12:03,2598,Keith Braxton Defensive Rebound.,46,66
11:54,2598,Keith Braxton made Layup.,48,66
11:25,97,Dwayne Sutton made Jumper.,48,68
10:56,2598,Scott Meredith made Three Point Jumper.,51,68
10:48,2598,Foul on Scott Meredith.,51,68
10:48,97,Official TV Timeout,51,68
10:48,97,Darius Perry made Free Throw.,51,69
10:48,97,Darius Perry made Free Throw.,51,70
10:19,2598,Keith Braxton made Jumper. Assisted by Andre Wolford.,53,70
9:58,97,V.J. King missed Three Point Jumper.,53,70
9:58,2598,Deivydas Kuzavas Defensive Rebound.,53,70
9:48,2598,Andre Wolford missed Three Point Jumper.,53,70
9:48,97,Lance Thomas Defensive Rebound.,53,70
9:33,97,Anas Mahmoud missed Jumper.,53,70
9:33,2598,Andre Wolford Defensive Rebound.,53,70
9:08,97,Foul on Anas Mahmoud.,53,70
9:08,2598,Keith Braxton made Free Throw.,54,70
9:08,2598,Keith Braxton made Free Throw.,55,70
8:50,97,Deng Adel made Dunk. Assisted by Dwayne Sutton.,55,72
8:18,2598,Keith Braxton made Three Point Jumper. Assisted by Scott Meredith.,58,72
8:01,97,Deng Adel missed Three Point Jumper.,58,72
8:01,2598,Deivydas Kuzavas Defensive Rebound.,58,72
7:50,97,Foul on Dwayne Sutton.,58,72
7:50,97,Official TV Timeout,58,72
7:31,2598,Keith Braxton made Three Point Jumper. Assisted by Deivydas Kuzavas.,61,72
7:10,97,V.J. King missed Layup.,61,72
7:10,97,Dwayne Sutton Offensive Rebound.,61,72
7:07,97,Dwayne Sutton made Two Point Tip Shot.,61,74
6:52,2598,Keith Braxton made Jumper.,63,74
6:34,97,V.J. King missed Jumper.,63,74
6:34,2598,Keith Braxton Defensive Rebound.,63,74
6:25,2598,Keith Braxton Turnover.,63,74
6:25,97,Anas Mahmoud Steal.,63,74
6:15,2598,Foul on Deivydas Kuzavas.,63,74
6:15,97,Deng Adel missed Free Throw.,63,74
6:15,2598,Keith Braxton Defensive Rebound.,63,74
5:52,2598,Jamaal King missed Three Point Jumper.,63,74
5:52,2598,Keith Braxton Offensive Rebound.,63,74
5:36,2598,Jamaal King made Three Point Jumper. Assisted by Keith Braxton.,66,74
5:34,2598,St. Francis (PA)  Timeout,66,74
5:08,2598,Foul on Jamaal King.,66,74
5:08,97,Jordan Nwora made Free Throw.,66,75
5:08,97,Jordan Nwora made Free Throw.,66,76
4:51,2598,Andre Wolford missed Three Point Jumper.,66,76
4:51,97,V.J. King Defensive Rebound.,66,76
4:24,97,Quentin Snider Turnover.,66,76
4:10,97,Foul on Dwayne Sutton.,66,76
4:10,2598,Keith Braxton made Free Throw.,67,76
4:10,2598,Keith Braxton missed Free Throw.,67,76
4:10,2598,Randall Gaskins Jr. Offensive Rebound.,67,76
4:03,2598,Andre Wolford Turnover.,67,76
3:55,97,Deng Adel missed Three Point Jumper.,67,76
3:55,97,Anas Mahmoud Offensive Rebound.,67,76
3:39,97,Official TV Timeout,67,76
3:39,97,V.J. King Turnover.,67,76
3:39,97,Official TV Timeout,67,76
3:15,2598,Malik Harmon missed Jumper.,67,76
3:15,2598,Deivydas Kuzavas Offensive Rebound.,67,76
3:13,97,Foul on Quentin Snider.,67,76
3:13,2598,Deivydas Kuzavas missed Free Throw.,67,76
3:13,2598,St. Francis (PA) Deadball Team Rebound.,67,76
3:13,2598,Deivydas Kuzavas made Free Throw.,68,76
2:59,2598,Foul on Randall Gaskins Jr..,68,76
2:59,97,Deng Adel made Free Throw.,68,77
2:59,97,Deng Adel made Free Throw.,68,78
2:36,97,Foul on Darius Perry.,68,78
2:23,2598,Malik Harmon missed Jumper.,68,78
2:23,97,Anas Mahmoud Defensive Rebound.,68,78
1:56,97,Deng Adel made Three Point Jumper. Assisted by Quentin Snider.,68,81
1:24,2598,Keith Braxton missed Three Point Jumper.,68,81
1:24,2598,Andre Wolford Offensive Rebound.,68,81
1:19,2598,Andre Wolford missed Layup.,68,81
1:19,97,Anas Mahmoud Block.,68,81
1:18,2598,Deivydas Kuzavas Offensive Rebound.,68,81
1:16,2598,Deivydas Kuzavas missed Layup.,68,81
1:16,97,Anas Mahmoud Block.,68,81
1:15,97,Quentin Snider Defensive Rebound.,68,81
0:51,97,Jordan Nwora made Three Point Jumper. Assisted by Quentin Snider.,68,84
0:43,97,Foul on Jordan Nwora.,68,84
0:43,2598,Andre Wolford made Free Throw.,69,84
0:43,2598,Andre Wolford made Free Throw.,70,84
0:37,97,Louisville  Timeout,70,84
0:16,97,Quentin Snider missed Jumper.,70,84
0:16,2598,Keith Braxton Defensive Rebound.,70,84
0:09,2598,Deivydas Kuzavas made Dunk.,72,84
0:00,97,End of Game,72,84
