Milwaukee,275,Wisconsin,270
3:06,270,Brock Stull missed Jumper.,21,23
3:06,270,Brock Stull Offensive Rebound.,21,23
2:53,270,Bryce Nze missed Three Point Jumper.,21,23
2:53,275,Brevin Pritzl Defensive Rebound.,21,23
2:28,275,Andy Van Vliet missed Three Point Jumper.,21,23
2:28,275,Khalil Iverson Offensive Rebound.,21,23
2:12,275,Brevin Pritzl made Jumper.,21,25
1:40,270,Jeremiah Bell missed Jumper.,21,25
1:40,275,Brevin Pritzl Block.,21,25
1:38,275,Aleem Ford Defensive Rebound.,21,25
1:31,275,Foul on Aleem Ford.,21,25
1:31,275,Aleem Ford Turnover.,21,25
1:18,270,Vance Johnson missed Three Point Jumper.,21,25
1:18,275,Khalil Iverson Defensive Rebound.,21,25
1:06,275,Brevin Pritzl made Three Point Jumper. Assisted by Nate Reuvers.,21,28
0:59,270,Milwaukee  Timeout,21,28
0:44,270,Vance Johnson missed Jumper.,21,28
0:44,275,Ethan Happ Defensive Rebound.,21,28
0:23,275,Nate Reuvers missed Jumper.,21,28
0:23,270,Bryce Nze Defensive Rebound.,21,28
0:01,270,Jeremiah Bell made Jumper.,23,28
0:00,275,End of 1st half,23,28
19:34,275,D'Mitrik Trice missed Jumper.,23,28
19:34,270,Jeremy Johnson Defensive Rebound.,23,28
19:15,270,Jeremy Johnson missed Layup.,23,28
19:15,270,Bryce Nze Offensive Rebound.,23,28
18:59,270,Jeremy Johnson missed Three Point Jumper.,23,28
18:59,275,Ethan Happ Defensive Rebound.,23,28
18:52,270,Foul on Jeremy Johnson.,23,28
18:45,275,Khalil Iverson missed Three Point Jumper.,23,28
18:45,275,Khalil Iverson Offensive Rebound.,23,28
18:26,275,Khalil Iverson made Layup. Assisted by Aleem Ford.,23,30
18:03,270,Bryce Nze Turnover.,23,30
18:02,275,Ethan Happ Steal.,23,30
18:02,275,Wisconsin  Timeout,23,30
17:36,275,Khalil Iverson missed Three Point Jumper.,23,30
17:36,270,Bryce Nze Defensive Rebound.,23,30
17:13,270,Bryce Barnes missed Jumper.,23,30
17:13,275,Aleem Ford Defensive Rebound.,23,30
16:56,275,Ethan Happ made Jumper. Assisted by Aleem Ford.,23,32
16:38,270,Bryce Barnes missed Layup.,23,32
16:38,275,Aleem Ford Defensive Rebound.,23,32
16:25,275,Brad Davison made Layup.,23,34
16:17,270,Milwaukee  Timeout,23,34
16:12,270,Brock Stull made Jumper.,25,34
15:54,275,Ethan Happ made Layup. Assisted by Aleem Ford.,25,36
15:38,270,Brock Stull missed Jumper.,25,36
15:38,275,Aleem Ford Defensive Rebound.,25,36
15:07,275,Kobe King made Three Point Jumper. Assisted by Ethan Happ.,25,39
14:50,275,Foul on Ethan Happ.,25,39
14:44,270,Bryce Nze made Jumper.,27,39
14:30,270,Foul on Vance Johnson.,27,39
14:17,275,Nate Reuvers missed Jumper.,27,39
14:17,275,Brevin Pritzl Offensive Rebound.,27,39
14:12,275,Brevin Pritzl made Layup.,27,41
14:07,275,Foul on Nate Reuvers.,27,41
14:04,270,Foul on Bryce Nze.,27,41
14:04,270,Bryce Nze Turnover.,27,41
13:49,275,Foul on Nate Reuvers.,27,41
13:49,275,Nate Reuvers Turnover.,27,41
13:32,275,Foul on Aleem Ford.,27,41
13:23,275,Foul on Andy Van Vliet.,27,41
13:11,270,Bryce Nze Turnover.,27,41
13:10,275,Andy Van Vliet Steal.,27,41
12:56,270,Foul on Vance Johnson.,27,41
12:36,270,Foul on Jeremy Johnson.,27,41
12:32,275,Kobe King missed Jumper.,27,41
12:32,275,D'Mitrik Trice Offensive Rebound.,27,41
12:23,275,D'Mitrik Trice made Three Point Jumper. Assisted by Brevin Pritzl.,27,44
12:04,270,Jeremiah Bell made Layup.,29,44
11:33,275,Ethan Happ Turnover.,29,44
11:33,275,Official TV Timeout,29,44
11:21,270,Brock Stull missed Jumper.,29,44
11:21,275,Brad Davison Defensive Rebound.,29,44
11:01,275,Ethan Happ Turnover.,29,44
11:00,270,Brock Stull Steal.,29,44
10:56,270,Bryce Nze made Layup.,31,44
10:34,275,Brad Davison made Three Point Jumper. Assisted by Ethan Happ.,31,47
10:13,275,Foul on Brad Davison.,31,47
9:52,270,Jeremiah Bell missed Three Point Jumper.,31,47
9:52,275,Wisconsin Deadball Team Rebound.,31,47
9:50,270,Foul on Brett Prahl.,31,47
9:33,275,Kobe King missed Layup.,31,47
9:33,270,Bryce Nze Defensive Rebound.,31,47
9:21,270,Brock Stull made Layup.,33,47
8:58,275,D'Mitrik Trice made Three Point Jumper. Assisted by Khalil Iverson.,33,50
8:47,270,Bryce Barnes made Layup.,35,50
8:15,275,Aleem Ford missed Jumper.,35,50
8:15,275,Brevin Pritzl Offensive Rebound.,35,50
8:05,270,Foul on Jeremiah Bell.,35,50
8:05,275,Brevin Pritzl made Free Throw.,35,51
8:05,275,Brevin Pritzl made Free Throw.,35,52
7:56,275,Official TV Timeout,35,52
7:55,275,Official TV Timeout,35,52
7:42,270,Brett Prahl Turnover.,35,52
7:41,275,Brad Davison Steal.,35,52
7:25,270,Foul on Brett Prahl.,35,52
7:24,275,Ethan Happ missed Free Throw.,35,52
7:24,270,Vance Johnson Defensive Rebound.,35,52
7:16,270,Brock Stull made Three Point Jumper. Assisted by August Haas.,38,52
6:55,275,Ethan Happ missed Layup.,38,52
6:55,270,Bryce Nze Defensive Rebound.,38,52
6:48,270,Bryce Nze Turnover.,38,52
6:32,275,Ethan Happ missed Three Point Jumper.,38,52
6:32,275,Nate Reuvers Offensive Rebound.,38,52
6:21,275,Ethan Happ made Layup. Assisted by Khalil Iverson.,38,54
5:56,270,Brock Stull missed Jumper.,38,54
5:56,275,Nate Reuvers Defensive Rebound.,38,54
5:46,270,Foul on August Haas.,38,54
5:46,275,Brevin Pritzl made Free Throw.,38,55
5:46,275,Brevin Pritzl made Free Throw.,38,56
5:31,270,Jeremy Johnson made Jumper.,40,56
5:10,270,Foul on August Haas.,40,56
5:10,275,Brevin Pritzl made Free Throw.,40,57
5:10,275,Brevin Pritzl missed Free Throw.,40,57
5:10,270,Brock Stull Defensive Rebound.,40,57
4:57,275,Foul on Brevin Pritzl.,40,57
4:57,270,Jeremiah Bell missed Free Throw.,40,57
4:57,270,Bryce Nze Offensive Rebound.,40,57
4:53,270,Bryce Nze made Two Point Tip Shot.,42,57
4:42,275,Ethan Happ Turnover.,42,57
4:41,270,Jeremiah Bell Steal.,42,57
4:36,270,Jeremiah Bell missed Three Point Jumper.,42,57
4:36,275,Ethan Happ Defensive Rebound.,42,57
4:09,275,Brad Davison made Three Point Jumper.,42,60
3:55,270,Jeremiah Bell missed Layup.,42,60
3:55,275,Aleem Ford Defensive Rebound.,42,60
3:30,275,D'Mitrik Trice Turnover.,42,60
3:29,270,Jeremiah Bell Steal.,42,60
3:25,270,Jeremiah Bell made Layup.,44,60
3:05,275,Wisconsin  Timeout,44,60
2:57,275,Brad Davison made Three Point Jumper. Assisted by Khalil Iverson.,44,63
2:35,270,Carson Warren-Newsome missed Three Point Jumper.,44,63
2:35,270,Seth Dittmer Offensive Rebound.,44,63
2:34,275,Foul on Khalil Iverson.,44,63
2:34,270,Bryce Barnes made Free Throw.,45,63
2:34,270,Bryce Barnes missed Free Throw.,45,63
2:34,275,Kobe King Defensive Rebound.,45,63
2:15,275,Brad Davison made Three Point Jumper. Assisted by Khalil Iverson.,45,66
2:00,270,Bryce Barnes made Layup.,47,66
2:00,275,Foul on Nate Reuvers.,47,66
2:00,270,Bryce Barnes missed Free Throw.,47,66
2:00,275,Nate Reuvers Defensive Rebound.,47,66
1:35,275,Kobe King made Three Point Jumper.,47,69
1:16,270,Bryce Barnes made Jumper.,49,69
1:13,270,Milwaukee  Timeout,49,69
0:51,275,T.J. Schlundt missed Jumper.,49,69
0:51,270,August Haas Defensive Rebound.,49,69
0:40,270,Carson Warren-Newsome missed Three Point Jumper.,49,69
0:40,275,Matt Ferris Defensive Rebound.,49,69
0:21,275,Aaron Moesch made Layup.,49,71
0:03,270,Carson Warren-Newsome missed Three Point Jumper.,49,71
0:03,275,Charles Thomas IV Defensive Rebound.,49,71
0:00,275,End of Game,49,71
