Spring Hill,Error,New Orleans,2443
14:29,-1,Chase Shellman Turnover.,1,13
14:12,2443,Michael Zeno missed Jumper.,1,13
14:12,-1,Brandon Fischer Defensive Rebound.,1,13
13:48,-1,Jack Morrissey missed Three Point Jumper.,1,13
13:48,2443,Troy Green Defensive Rebound.,1,13
13:40,2443,Michael Zeno made Layup. Assisted by Troy Green.,1,15
13:20,2443,Foul on Troy Green.,1,15
13:14,-1,Brandon Fischer missed Layup.,1,15
13:14,2443,Tyren Harrison Block.,1,15
13:13,-1,Brandon Fischer Offensive Rebound.,1,15
13:12,-1,Brandon Fischer made Two Point Tip Shot.,3,15
12:58,-1,Foul on Chase Shellman.,3,15
12:58,2443,Dionta Champion made Free Throw.,3,16
12:58,2443,Dionta Champion missed Free Throw.,3,16
12:58,-1,Chase Shellman Defensive Rebound.,3,16
12:53,2443,Foul on Dionta Champion.,3,16
12:52,-1,Gresyn Rogers Turnover.,3,16
12:51,2443,Dionta Champion Steal.,3,16
12:47,2443,Damion Rosser made Layup. Assisted by Dionta Champion.,3,18
12:23,-1,Chase Shellman missed Layup.,3,18
12:23,-1,William Loyd Offensive Rebound.,3,18
12:21,-1,William Loyd made Two Point Tip Shot.,5,18
11:48,2443,Michael Zeno made Layup. Assisted by Dionta Champion.,5,20
11:31,2443,Official TV Timeout,5,20
11:14,-1,Chase Shellman missed Layup.,5,20
11:14,-1,William Loyd Offensive Rebound.,5,20
11:09,-1,William Loyd missed Layup.,5,20
11:09,2443,Tyren Harrison Defensive Rebound.,5,20
11:04,2443,Makur Puou Turnover.,5,20
11:04,-1,Andrew Dotson Steal.,5,20
10:56,-1,Dwight Harris Turnover.,5,20
10:52,2443,Ezekiel Charles Steal.,5,20
10:45,-1,Foul on William Loyd.,5,20
10:34,2443,Travin Thibodeaux missed Jumper.,5,20
10:34,-1,William Loyd Block.,5,20
10:33,2443,Ezekiel Charles Offensive Rebound.,5,20
10:30,-1,Foul on William Loyd.,5,20
10:30,2443,Ezekiel Charles missed Free Throw.,5,20
10:30,2443,New Orleans Deadball Team Rebound.,5,20
10:30,2443,Ezekiel Charles made Free Throw.,5,21
10:09,-1,Andrew Dotson made Layup.,7,21
9:52,2443,Makur Puou missed Jumper.,7,21
9:52,2443,Ezekiel Charles Offensive Rebound.,7,21
9:45,2443,Makur Puou Turnover.,7,21
9:27,-1,Walter Massey made Jumper. Assisted by Andrew Dotson.,9,21
9:08,2443,Michael Zeno Turnover.,9,21
9:04,-1,Gresyn Rogers missed Layup.,9,21
9:04,-1,Spring Hill Offensive Rebound.,9,21
8:51,-1,Walter Massey missed Three Point Jumper.,9,21
8:51,2443,New Orleans Defensive Rebound.,9,21
8:39,2443,Travin Thibodeaux Turnover.,9,21
8:37,-1,Dwight Harris Steal.,9,21
8:35,-1,Dwight Harris made Layup.,11,21
8:21,2443,Matthew Jiles made Layup. Assisted by Travin Thibodeaux.,11,23
7:57,-1,Andrew Dotson missed Three Point Jumper.,11,23
7:57,2443,Matthew Jiles Defensive Rebound.,11,23
7:47,-1,Foul on Walter Massey.,11,23
7:47,2443,Official TV Timeout,11,23
7:38,2443,Travin Thibodeaux Turnover.,11,23
7:37,-1,Gresyn Rogers Steal.,11,23
7:19,-1,Ryan Littel Turnover.,11,23
7:19,-1,Foul on Ryan Littel.,11,23
6:53,2443,Michael Zeno missed Layup.,11,23
6:53,-1,Spring Hill Defensive Rebound.,11,23
6:32,2443,Foul on Dionta Champion.,11,23
6:29,-1,Dwight Harris Turnover.,11,23
6:26,2443,Bryson Robinson Steal.,11,23
6:07,2443,Michael Zeno made Jumper.,11,25
5:39,-1,Andrew Dotson missed Jumper.,11,25
5:39,2443,Makur Puou Defensive Rebound.,11,25
5:31,-1,Foul on Dwight Harris.,11,25
5:31,2443,Damion Rosser missed Free Throw.,11,25
5:31,-1,Brandon Fischer Defensive Rebound.,11,25
5:07,-1,Brandon Fischer missed Layup.,11,25
5:07,2443,Makur Puou Block.,11,25
5:06,-1,Jack Morrissey Offensive Rebound.,11,25
5:00,-1,Brandon Fischer missed Jumper.,11,25
5:00,-1,Brandon Fischer Offensive Rebound.,11,25
4:56,2443,Foul on Tyren Harrison.,11,25
4:56,-1,Brandon Fischer made Free Throw.,12,25
4:56,-1,Brandon Fischer made Free Throw.,13,25
4:51,-1,Foul on Brandon Fischer.,13,25
4:51,2443,Makur Puou made Free Throw.,13,26
4:51,2443,Makur Puou made Free Throw.,13,27
4:24,-1,Jack Morrissey made Three Point Jumper. Assisted by Chase Shellman.,16,27
4:01,2443,Makur Puou Turnover.,16,27
4:01,2443,Foul on Makur Puou.,16,27
3:44,-1,Walter Massey Turnover.,16,27
3:43,2443,Troy Green Steal.,16,27
3:26,2443,Bryson Robinson made Jumper. Assisted by Damion Rosser.,16,29
3:10,-1,Walter Massey Turnover.,16,29
3:09,2443,Troy Green Steal.,16,29
3:06,-1,Foul on Jared Holland.,16,29
3:06,2443,Official TV Timeout,16,29
3:06,2443,Troy Green made Free Throw.,16,30
3:06,2443,Troy Green made Free Throw.,16,31
2:39,-1,Chase Shellman made Layup. Assisted by Jared Holland.,18,31
2:32,2443,Bryson Robinson missed Three Point Jumper.,18,31
2:32,2443,Michael Zeno Offensive Rebound.,18,31
2:12,2443,Damion Rosser missed Three Point Jumper.,18,31
2:12,-1,Walter Massey Defensive Rebound.,18,31
2:01,-1,Walter Massey missed Jumper.,18,31
2:01,2443,Damion Rosser Defensive Rebound.,18,31
1:49,2443,Michael Zeno made Jumper. Assisted by Troy Green.,18,33
1:26,-1,Chase Shellman missed Layup.,18,33
1:26,2443,Bryson Robinson Defensive Rebound.,18,33
1:20,2443,Damion Rosser made Layup. Assisted by Bryson Robinson.,18,35
0:57,-1,Walter Massey Turnover.,18,35
0:46,2443,Travin Thibodeaux made Layup. Assisted by Matthew Jiles.,18,37
0:46,-1,Foul on Ryan Littel.,18,37
0:46,2443,Travin Thibodeaux made Free Throw.,18,38
0:38,2443,Foul on Travin Thibodeaux.,18,38
0:38,-1,Jared Holland missed Free Throw.,18,38
0:38,2443,Michael Zeno Defensive Rebound.,18,38
0:24,2443,Bryson Robinson made Layup. Assisted by Tyren Harrison.,18,40
0:01,-1,Andrew Dotson made Layup.,20,40
0:00,2443,End of 1st half,20,40
19:40,2443,Travin Thibodeaux made Layup. Assisted by Matthew Jiles.,20,42
19:12,-1,Andrew Dotson made Jumper.,22,42
18:55,2443,Travin Thibodeaux missed Jumper.,22,42
18:55,-1,William Loyd Defensive Rebound.,22,42
18:35,-1,Dwight Harris missed Jumper.,22,42
18:35,2443,New Orleans Defensive Rebound.,22,42
18:16,2443,Michael Zeno made Layup. Assisted by Travin Thibodeaux.,22,44
18:01,-1,Dwight Harris Turnover.,22,44
17:42,2443,Makur Puou missed Jumper.,22,44
17:42,-1,Walter Massey Defensive Rebound.,22,44
17:35,-1,William Loyd missed Jumper.,22,44
17:35,2443,Ezekiel Charles Defensive Rebound.,22,44
17:24,2443,Travin Thibodeaux missed Layup.,22,44
17:24,-1,Brandon Fischer Defensive Rebound.,22,44
17:13,-1,Brandon Fischer Turnover.,22,44
17:13,-1,Foul on Brandon Fischer.,22,44
16:59,2443,Foul on Ezekiel Charles.,22,44
16:59,2443,Ezekiel Charles Turnover.,22,44
16:36,-1,Brandon Fischer made Three Point Jumper. Assisted by Walter Massey.,25,44
16:21,2443,Ezekiel Charles made Three Point Jumper. Assisted by Travin Thibodeaux.,25,47
15:44,-1,Walter Massey made Three Point Jumper. Assisted by Dwight Harris.,28,47
15:24,2443,Makur Puou Turnover.,28,47
15:24,2443,Official TV Timeout,28,47
15:19,-1,Andrew Dotson made Layup.,30,47
15:07,2443,Michael Zeno Turnover.,30,47
14:42,-1,Dwight Harris made Jumper.,32,47
14:27,-1,Foul on Chase Shellman.,32,47
14:26,-1,Foul on William Loyd.,32,47
14:13,-1,Foul on Gresyn Rogers.,32,47
14:12,2443,Troy Green missed Three Point Jumper.,32,47
14:12,-1,Dwight Harris Defensive Rebound.,32,47
14:05,-1,Andrew Dotson Turnover.,32,47
13:54,-1,Foul on Walter Massey.,32,47
13:49,-1,Foul on Walter Massey.,32,47
13:49,2443,Makur Puou missed Free Throw.,32,47
13:49,2443,New Orleans Deadball Team Rebound.,32,47
13:49,2443,Makur Puou made Free Throw.,32,48
13:37,-1,Gresyn Rogers missed Layup.,32,48
13:37,2443,Troy Green Defensive Rebound.,32,48
13:29,-1,Foul on Matevz Rojc.,32,48
13:29,2443,Troy Green made Free Throw.,32,49
13:29,2443,Troy Green missed Free Throw.,32,49
13:29,-1,Spring Hill Deadball Team Rebound.,32,49
13:28,-1,Foul on Matevz Rojc.,32,49
13:24,2443,Bryson Robinson missed Three Point Jumper.,32,49
13:24,-1,Matevz Rojc Defensive Rebound.,32,49
13:17,-1,Gresyn Rogers missed Layup.,32,49
13:17,2443,Bryson Robinson Defensive Rebound.,32,49
13:12,2443,Travin Thibodeaux made Layup. Assisted by Bryson Robinson.,32,51
13:00,-1,Andrew Dotson made Jumper.,34,51
12:53,-1,Foul on Gresyn Rogers.,34,51
12:53,2443,Michael Zeno made Free Throw.,34,52
12:53,2443,Michael Zeno made Free Throw.,34,53
12:32,-1,Matevz Rojc missed Three Point Jumper.,34,53
12:32,-1,William Loyd Offensive Rebound.,34,53
12:29,-1,William Loyd made Jumper.,36,53
12:29,2443,Foul on Dionta Champion.,36,53
12:29,-1,William Loyd missed Free Throw.,36,53
12:29,2443,Dionta Champion Defensive Rebound.,36,53
12:11,-1,Foul on Matevz Rojc.,36,53
12:11,2443,Dionta Champion made Free Throw.,36,54
12:11,2443,Dionta Champion missed Free Throw.,36,54
12:11,-1,William Loyd Defensive Rebound.,36,54
11:57,-1,Brandon Fischer made Layup. Assisted by William Loyd.,38,54
11:57,2443,Foul on Dionta Champion.,38,54
11:57,2443,Official TV Timeout,38,54
11:57,-1,Brandon Fischer made Free Throw.,39,54
11:38,2443,Damion Rosser Turnover.,39,54
11:21,-1,Matevz Rojc missed Jumper.,39,54
11:21,-1,William Loyd Offensive Rebound.,39,54
11:18,-1,William Loyd made Layup.,41,54
10:51,2443,Tyren Harrison Turnover.,41,54
10:29,-1,Matevz Rojc missed Layup.,41,54
10:29,-1,Brandon Fischer Offensive Rebound.,41,54
10:26,-1,Jack Morrissey missed Three Point Jumper.,41,54
10:26,2443,Makur Puou Defensive Rebound.,41,54
9:54,-1,Foul on William Loyd.,41,54
9:54,2443,Makur Puou made Free Throw.,41,55
9:54,2443,Makur Puou missed Free Throw.,41,55
9:54,-1,Chase Shellman Defensive Rebound.,41,55
9:45,-1,Matevz Rojc made Layup. Assisted by Brandon Fischer.,43,55
9:30,2443,Matthew Jiles Turnover.,43,55
9:30,-1,Chase Shellman Steal.,43,55
9:17,-1,Jared Holland Turnover.,43,55
9:15,2443,Makur Puou Steal.,43,55
9:13,-1,Foul on Matevz Rojc.,43,55
9:13,2443,Travin Thibodeaux missed Free Throw.,43,55
9:13,2443,New Orleans Deadball Team Rebound.,43,55
9:13,2443,Travin Thibodeaux made Free Throw.,43,56
8:50,-1,Chase Shellman made Layup. Assisted by Brandon Fischer.,45,56
8:38,-1,Foul on Jack Morrissey.,45,56
8:38,2443,Bryson Robinson made Free Throw.,45,57
8:38,2443,Bryson Robinson made Free Throw.,45,58
8:15,2443,Foul on Bryson Robinson.,45,58
8:15,-1,Spring Hill  Timeout,45,58
8:15,2443,Official TV Timeout,45,58
8:15,-1,Andrew Dotson made Free Throw.,46,58
8:15,-1,Andrew Dotson made Free Throw.,47,58
8:00,2443,Makur Puou missed Jumper.,47,58
8:00,-1,Chase Shellman Defensive Rebound.,47,58
7:40,-1,Dwight Harris made Three Point Jumper. Assisted by Walter Massey.,50,58
7:19,2443,Travin Thibodeaux missed Jumper.,50,58
7:19,2443,Makur Puou Offensive Rebound.,50,58
7:16,2443,Makur Puou made Layup.,50,60
7:01,-1,Andrew Dotson missed Jumper.,50,60
7:01,2443,Travin Thibodeaux Defensive Rebound.,50,60
6:54,2443,Ezekiel Charles Turnover.,50,60
6:54,2443,Foul on Ezekiel Charles.,50,60
6:54,2443,Official TV Timeout,50,60
6:41,-1,Walter Massey made Jumper. Assisted by Chase Shellman.,52,60
6:07,2443,New Orleans  Turnover.,52,60
5:46,2443,Foul on Troy Green.,52,60
5:37,-1,Dwight Harris Turnover.,52,60
5:14,-1,Foul on William Loyd.,52,60
5:14,2443,Travin Thibodeaux missed Free Throw.,52,60
5:14,2443,New Orleans Deadball Team Rebound.,52,60
5:14,2443,Travin Thibodeaux made Free Throw.,52,61
4:58,-1,Dwight Harris made Three Point Jumper. Assisted by Chase Shellman.,55,61
4:31,2443,Travin Thibodeaux missed Jumper.,55,61
4:31,-1,Walter Massey Defensive Rebound.,55,61
4:22,-1,Brandon Fischer missed Three Point Jumper.,55,61
4:22,2443,Troy Green Defensive Rebound.,55,61
4:06,2443,Bryson Robinson missed Jumper.,55,61
4:02,2443,Travin Thibodeaux Offensive Rebound.,55,61
3:51,2443,Michael Zeno Turnover.,55,61
3:51,2443,Official TV Timeout,55,61
3:38,-1,Walter Massey Turnover.,55,61
3:37,2443,Matthew Jiles Steal.,55,61
3:21,-1,Foul on Chase Shellman.,55,61
3:21,2443,Travin Thibodeaux made Free Throw.,55,62
3:21,2443,Travin Thibodeaux made Free Throw.,55,63
3:10,-1,Dwight Harris missed Three Point Jumper.,55,63
3:10,-1,Chase Shellman Offensive Rebound.,55,63
3:08,2443,Foul on Dionta Champion.,55,63
3:08,-1,Brandon Fischer made Free Throw.,56,63
3:08,-1,Brandon Fischer made Free Throw.,57,63
2:55,-1,Foul on Walter Massey.,57,63
2:55,2443,Travin Thibodeaux made Free Throw.,57,64
2:55,2443,Travin Thibodeaux made Free Throw.,57,65
2:38,-1,Dwight Harris made Jumper. Assisted by Brandon Fischer.,59,65
2:13,2443,Matthew Jiles made Layup. Assisted by Makur Puou.,59,67
1:58,-1,Brandon Fischer Turnover.,59,67
1:33,2443,New Orleans  Timeout,59,67
1:31,2443,Makur Puou Turnover.,59,67
1:30,-1,Dwight Harris Steal.,59,67
1:28,2443,Foul on Matthew Jiles.,59,67
1:28,-1,Dwight Harris made Free Throw.,60,67
1:28,-1,Dwight Harris missed Free Throw.,60,67
1:28,-1,Walter Massey Offensive Rebound.,60,67
1:25,-1,Walter Massey Turnover.,60,67
1:24,2443,Troy Green Steal.,60,67
1:23,-1,Foul on Andrew Dotson.,60,67
1:23,2443,Troy Green made Free Throw.,60,68
1:23,2443,Troy Green made Free Throw.,60,69
1:11,-1,Brandon Fischer made Layup. Assisted by Jack Morrissey.,62,69
0:52,-1,Foul on Brandon Fischer.,62,69
0:52,2443,Makur Puou missed Free Throw.,62,69
0:52,2443,New Orleans Deadball Team Rebound.,62,69
0:52,2443,Makur Puou made Free Throw.,62,70
0:48,-1,Spring Hill  Timeout,62,70
0:40,-1,Jack Morrissey missed Three Point Jumper.,62,70
0:40,2443,Tyren Harrison Defensive Rebound.,62,70
0:33,-1,Foul on Dwight Harris.,62,70
0:33,2443,Troy Green made Free Throw.,62,71
0:33,2443,Troy Green made Free Throw.,62,72
0:22,-1,Walter Massey missed Three Point Jumper.,62,72
0:22,-1,Brandon Fischer Offensive Rebound.,62,72
0:19,-1,Brandon Fischer made Layup.,64,72
0:17,-1,Foul on Dwight Harris.,64,72
0:17,2443,Troy Green made Free Throw.,64,73
0:17,2443,Troy Green made Free Throw.,64,74
0:13,-1,Jack Morrissey made Three Point Jumper. Assisted by Dwight Harris.,67,74
0:00,2443,End of Game,67,74
