St. Francis (BKN),2426,Navy,2597
9:55,2426,Navy Defensive Rebound.,52,63
9:39,2426,Shawn Anderson Turnover.,52,63
9:39,2426,Foul on Shawn Anderson.,52,63
9:16,2597,D.J. Porter made Jumper.,54,63
9:00,2426,Evan Wieck made Layup. Assisted by George Kiernan.,54,65
8:43,2597,D.J. Porter made Jumper.,56,65
8:18,2426,Shawn Anderson made Layup.,56,67
7:57,2597,Rasheem Dunn Turnover.,56,67
7:55,2426,Shawn Anderson Steal.,56,67
7:51,2426,Evan Wieck made Layup. Assisted by Shawn Anderson.,56,69
7:51,2426,Official TV Timeout,56,69
7:28,2597,Milija Cosic made Layup. Assisted by D.J. Porter.,58,69
6:58,2426,Shawn Anderson missed Jumper.,58,69
6:58,2597,Josh Nicholas Block.,58,69
6:55,2597,D.J. Porter Defensive Rebound.,58,69
6:51,2597,D.J. Porter Turnover.,58,69
6:51,2597,Foul on D.J. Porter.,58,69
6:41,2597,Foul on D.J. Porter.,58,69
6:41,2426,Tom Lacey missed Free Throw.,58,69
6:41,2426,Navy Deadball Team Rebound.,58,69
6:41,2426,Tom Lacey made Free Throw.,58,70
6:31,2597,Milija Cosic Turnover.,58,70
6:08,2426,Bryce Dulin missed Jumper.,58,70
6:08,2597,D.J. Porter Defensive Rebound.,58,70
6:02,2426,Foul on Hasan Abdullah.,58,70
6:02,2597,Jalen Jordan missed Free Throw.,58,70
6:02,2597,St. Francis (BKN) Deadball Team Rebound.,58,70
6:02,2597,Jalen Jordan made Free Throw.,59,70
6:02,2597,Jalen Jordan made Free Throw.,60,70
5:47,2426,Hasan Abdullah Turnover.,60,70
5:45,2597,Josh Nicholas Steal.,60,70
5:43,2426,Foul on George Kiernan.,60,70
5:43,2597,D.J. Porter made Free Throw.,61,70
5:43,2597,D.J. Porter made Free Throw.,62,70
5:38,2426,Tom Lacey Turnover.,62,70
5:36,2597,D.J. Porter Steal.,62,70
5:26,2597,Jalen Jordan Turnover.,62,70
5:24,2426,Hasan Abdullah Steal.,62,70
5:20,2426,Navy  Timeout,62,70
4:58,2426,Shawn Anderson made Layup.,62,72
4:37,2597,Jalen Jordan missed Three Point Jumper.,62,72
4:37,2426,Shawn Anderson Defensive Rebound.,62,72
4:24,2426,Hasan Abdullah made Jumper.,62,74
4:24,2597,Foul on Milija Cosic.,62,74
4:24,2426,Hasan Abdullah missed Free Throw.,62,74
4:24,2597,Glenn Sanabria Defensive Rebound.,62,74
4:20,2597,Glenn Sanabria missed Layup.,62,74
4:20,2426,George Kiernan Defensive Rebound.,62,74
4:16,2426,Shawn Anderson Turnover.,62,74
4:14,2597,Glenn Sanabria Steal.,62,74
4:13,2597,D.J. Porter made Layup. Assisted by Chauncey Hawkins.,64,74
3:55,2426,George Kiernan missed Three Point Jumper.,64,74
3:55,2426,Tom Lacey Offensive Rebound.,64,74
3:50,2426,Tom Lacey made Layup.,64,76
3:35,2426,Foul on Hasan Abdullah.,64,76
3:35,2426,Official TV Timeout,64,76
3:35,2597,Chauncey Hawkins missed Free Throw.,64,76
3:35,2597,St. Francis (BKN) Deadball Team Rebound.,64,76
3:35,2597,Chauncey Hawkins made Free Throw.,65,76
3:31,2426,Tom Lacey Turnover.,65,76
3:29,2597,Milija Cosic Steal.,65,76
3:29,2426,Foul on George Kiernan.,65,76
3:29,2597,Milija Cosic made Free Throw.,66,76
3:29,2597,Milija Cosic missed Free Throw.,66,76
3:29,2426,George Kiernan Defensive Rebound.,66,76
3:17,2597,Foul on Chauncey Hawkins.,66,76
3:17,2426,Hasan Abdullah made Free Throw.,66,77
3:17,2426,Hasan Abdullah made Free Throw.,66,78
2:58,2597,D.J. Porter Turnover.,66,78
2:56,2426,Hasan Abdullah Steal.,66,78
2:39,2426,Hasan Abdullah missed Jumper.,66,78
2:39,2597,Glenn Sanabria Block.,66,78
2:37,2426,Shawn Anderson Offensive Rebound.,66,78
2:13,2597,Foul on D.J. Porter.,66,78
2:13,2426,George Kiernan missed Free Throw.,66,78
2:13,2426,Navy Deadball Team Rebound.,66,78
2:13,2426,George Kiernan made Free Throw.,66,79
2:08,2597,Josh Nicholas made Jumper.,68,79
2:08,2426,Foul on Shawn Anderson.,68,79
2:08,2597,Josh Nicholas made Free Throw.,69,79
2:02,2426,Hasan Abdullah Turnover.,69,79
1:59,2597,D.J. Porter Steal.,69,79
1:59,2597,D.J. Porter made Layup. Assisted by D.J. Porter.,71,79
1:52,2426,Bryce Dulin made Free Throw.,71,80
1:52,2426,Bryce Dulin made Free Throw.,71,81
1:38,2597,Josh Nicholas Turnover.,71,81
1:36,2426,Tom Lacey Steal.,71,81
1:35,2426,Shawn Anderson Turnover.,71,81
1:29,2597,Chauncey Hawkins made Jumper.,73,81
1:03,2426,Shawn Anderson missed Jumper.,73,81
1:03,2597,Milija Cosic Defensive Rebound.,73,81
0:56,2597,Josh Nicholas made Three Point Jumper.,76,81
0:56,2597,St. Francis (BKN)  Timeout,76,81
0:37,2426,Shawn Anderson Turnover.,76,81
0:35,2597,Milija Cosic Steal.,76,81
0:34,2597,Milija Cosic Turnover.,76,81
0:28,2597,Foul on Chauncey Hawkins.,76,81
0:28,2426,Hasan Abdullah missed Free Throw.,76,81
0:28,2426,Navy Deadball Team Rebound.,76,81
0:28,2426,Hasan Abdullah made Free Throw.,76,82
0:28,2426,Navy  Timeout,76,82
0:22,2597,Jalen Jordan missed Three Point Jumper.,76,82
0:22,2426,Shawn Anderson Defensive Rebound.,76,82
0:14,2597,Foul on Josh Nicholas.,76,82
0:14,2426,Cam Davis made Free Throw.,76,83
0:14,2426,Cam Davis made Free Throw.,76,84
0:08,2597,Chauncey Hawkins missed Three Point Jumper.,76,84
0:08,2426,Shawn Anderson Defensive Rebound.,76,84
0:03,2597,Foul on Josh Nicholas.,76,84
0:03,2426,Shawn Anderson made Free Throw.,76,85
0:03,2426,Shawn Anderson missed Free Throw.,76,85
0:03,2597,Milija Cosic Defensive Rebound.,76,85
0:01,2597,St. Francis (BKN) Offensive Rebound.,76,85
0:00,2597,Chauncey Hawkins missed Three Point Jumper.,76,85
0:00,2426,End of Game,76,85
