Alabama,252,BYU,333
10:16,333,Alex Reese Defensive Rebound.,25,17
10:03,333,Avery Johnson Jr. missed Layup.,25,17
10:03,252,Yoeli Childs Defensive Rebound.,25,17
9:47,252,Zac Seljaas missed Jumper.,25,17
9:47,252,Zac Seljaas Offensive Rebound.,25,17
9:31,252,Yoeli Childs made Layup. Assisted by TJ Haws.,25,19
9:07,333,Daniel Giddens made Dunk. Assisted by Herb Jones.,27,19
8:41,252,Yoeli Childs made Dunk. Assisted by TJ Haws.,27,21
8:27,333,Herb Jones missed Jumper.,27,21
8:27,252,Elijah Bryant Defensive Rebound.,27,21
8:14,252,Zac Seljaas missed Three Point Jumper.,27,21
8:14,333,Herb Jones Defensive Rebound.,27,21
7:59,333,Donta Hall missed Jumper.,27,21
7:59,333,Collin Sexton Offensive Rebound.,27,21
7:52,333,Collin Sexton missed Layup.,27,21
7:52,252,Payton Dastrup Defensive Rebound.,27,21
7:41,252,Payton Dastrup missed Three Point Jumper.,27,21
7:41,333,Alabama Deadball Team Rebound.,27,21
7:39,252,Foul on Yoeli Childs.,27,21
7:39,252,Official TV Timeout,27,21
7:25,333,Daniel Giddens made Layup. Assisted by Dazon Ingram.,29,21
7:15,252,Foul on Jahshire Hardnett.,29,21
7:15,252,Jahshire Hardnett Turnover.,29,21
7:00,252,Foul on Dalton Nixon.,29,21
7:00,333,Daniel Giddens made Free Throw.,30,21
7:00,333,Daniel Giddens made Free Throw.,31,21
6:42,252,TJ Haws missed Three Point Jumper.,31,21
6:42,333,Donta Hall Defensive Rebound.,31,21
6:34,333,Collin Sexton missed Layup.,31,21
6:34,252,Dalton Nixon Defensive Rebound.,31,21
6:23,252,Elijah Bryant missed Layup.,31,21
6:23,333,Daniel Giddens Block.,31,21
6:23,252,BYU Offensive Rebound.,31,21
6:10,252,Payton Dastrup missed Jumper.,31,21
6:10,333,Collin Sexton Defensive Rebound.,31,21
5:59,333,Donta Hall made Layup. Assisted by John Petty.,33,21
5:45,333,Foul on Donta Hall.,33,21
5:45,252,Dalton Nixon made Free Throw.,33,22
5:45,252,Dalton Nixon missed Free Throw.,33,22
5:45,333,Dazon Ingram Defensive Rebound.,33,22
5:39,333,Dazon Ingram made Layup.,35,22
5:20,252,Yoeli Childs made Dunk. Assisted by Jahshire Hardnett.,35,24
5:01,333,Daniel Giddens missed Layup.,35,24
5:01,252,Elijah Bryant Defensive Rebound.,35,24
4:49,252,Yoeli Childs made Layup. Assisted by Dalton Nixon.,35,26
4:20,333,Dazon Ingram Turnover.,35,26
4:19,252,Elijah Bryant Steal.,35,26
4:06,252,Yoeli Childs made Dunk. Assisted by Jahshire Hardnett.,35,28
4:05,333,Alabama  Timeout,35,28
3:44,252,Foul on Dalton Nixon.,35,28
3:39,333,Dazon Ingram made Layup.,37,28
3:22,252,Foul on Kajon Brown.,37,28
3:22,252,Kajon Brown Turnover.,37,28
3:04,333,John Petty made Three Point Jumper.,40,28
2:38,252,Foul on Jahshire Hardnett.,40,28
2:38,252,Jahshire Hardnett Turnover.,40,28
2:23,333,Avery Johnson Jr. missed Jumper.,40,28
2:23,252,Yoeli Childs Defensive Rebound.,40,28
2:18,252,Yoeli Childs Turnover.,40,28
2:17,333,John Petty Steal.,40,28
2:07,333,Herb Jones missed Jumper.,40,28
2:07,252,Yoeli Childs Block.,40,28
2:07,252,Yoeli Childs Defensive Rebound.,40,28
1:47,252,Zac Seljaas Turnover.,40,28
1:47,333,Herb Jones Steal.,40,28
1:30,333,Herb Jones Turnover.,40,28
1:29,252,Luke Worthington Steal.,40,28
1:26,252,TJ Haws made Jumper.,40,30
1:02,333,John Petty missed Jumper.,40,30
1:02,252,Luke Worthington Defensive Rebound.,40,30
0:50,252,Luke Worthington missed Dunk.,40,30
0:50,333,Herb Jones Block.,40,30
0:48,252,Luke Worthington Offensive Rebound.,40,30
0:47,333,Foul on Herb Jones.,40,30
0:47,252,Yoeli Childs missed Free Throw.,40,30
0:47,333,Alex Reese Defensive Rebound.,40,30
0:31,333,Collin Sexton made Layup.,42,30
0:11,333,Foul on Avery Johnson Jr..,42,30
0:11,252,Luke Worthington missed Free Throw.,42,30
0:11,252,BYU Deadball Team Rebound.,42,30
0:11,252,Luke Worthington made Free Throw.,42,31
0:04,252,Foul on Kajon Brown.,42,31
0:04,333,Collin Sexton missed Free Throw.,42,31
0:04,252,Luke Worthington Defensive Rebound.,42,31
0:02,252,Elijah Bryant missed Three Point Jumper.,42,31
0:01,333,John Petty Block.,42,31
0:01,333,Riley Norris Defensive Rebound.,42,31
0:00,252,End of 1st half,42,31
19:39,252,Jahshire Hardnett made Jumper.,42,33
19:14,333,Collin Sexton Turnover.,42,33
19:14,252,Luke Worthington Steal.,42,33
18:56,252,Elijah Bryant missed Jumper.,42,33
18:56,333,Donta Hall Defensive Rebound.,42,33
18:39,333,Donta Hall missed Layup.,42,33
18:39,252,Yoeli Childs Defensive Rebound.,42,33
18:30,252,Elijah Bryant Turnover.,42,33
18:29,333,Daniel Giddens Steal.,42,33
18:27,252,Foul on Jahshire Hardnett.,42,33
18:24,333,Dazon Ingram missed Three Point Jumper.,42,33
18:24,333,Donta Hall Offensive Rebound.,42,33
18:05,333,John Petty missed Three Point Jumper.,42,33
18:05,333,Collin Sexton Offensive Rebound.,42,33
17:55,252,Foul on Jahshire Hardnett.,42,33
17:41,333,Dazon Ingram made Jumper.,44,33
17:29,252,Luke Worthington made Layup. Assisted by TJ Haws.,44,35
17:17,333,Collin Sexton missed Jumper.,44,35
17:17,252,TJ Haws Defensive Rebound.,44,35
17:11,252,Elijah Bryant missed Three Point Jumper.,44,35
17:11,252,Yoeli Childs Offensive Rebound.,44,35
17:07,252,Yoeli Childs missed Two Point Tip Shot.,44,35
17:07,252,Yoeli Childs Offensive Rebound.,44,35
17:01,252,Elijah Bryant missed Layup.,44,35
17:01,333,Daniel Giddens Defensive Rebound.,44,35
16:57,252,Foul on Luke Worthington.,44,35
16:49,333,Foul on John Petty.,44,35
16:49,333,John Petty Turnover.,44,35
16:24,252,TJ Haws made Jumper.,44,37
16:09,333,Donta Hall made Jumper.,46,37
15:46,252,Elijah Bryant made Layup.,46,39
15:39,252,Official TV Timeout,46,39
15:30,333,Collin Sexton Turnover.,46,39
15:11,252,Luke Worthington missed Jumper.,46,39
15:11,252,Yoeli Childs Offensive Rebound.,46,39
15:10,252,Yoeli Childs missed Layup.,46,39
15:10,252,Yoeli Childs Offensive Rebound.,46,39
15:06,252,Yoeli Childs missed Layup.,46,39
15:06,333,Alabama Deadball Team Rebound.,46,39
15:06,252,Foul on Luke Worthington.,46,39
14:40,333,Collin Sexton missed Jumper.,46,39
14:40,252,BYU Deadball Team Rebound.,46,39
14:39,333,Foul on Dazon Ingram.,46,39
14:17,252,Elijah Bryant missed Three Point Jumper.,46,39
14:17,333,Collin Sexton Defensive Rebound.,46,39
14:11,333,Collin Sexton missed Layup.,46,39
14:11,252,Zac Seljaas Block.,46,39
14:11,333,Collin Sexton Offensive Rebound.,46,39
14:11,252,Foul on Zac Seljaas.,46,39
14:11,333,Collin Sexton made Free Throw.,47,39
14:11,333,Collin Sexton made Free Throw.,48,39
13:56,252,TJ Haws missed Jumper.,48,39
13:56,333,Riley Norris Defensive Rebound.,48,39
13:52,252,Foul on Zac Seljaas.,48,39
13:52,333,Herb Jones missed Free Throw.,48,39
13:52,333,Alabama Deadball Team Rebound.,48,39
13:52,333,Herb Jones made Free Throw.,49,39
13:38,333,Foul on Riley Norris.,49,39
13:38,252,Yoeli Childs missed Free Throw.,49,39
13:38,252,BYU Deadball Team Rebound.,49,39
13:38,252,Yoeli Childs missed Free Throw.,49,39
13:38,333,Donta Hall Defensive Rebound.,49,39
13:15,333,John Petty missed Jumper.,49,39
13:15,252,Yoeli Childs Defensive Rebound.,49,39
12:59,252,Yoeli Childs Turnover.,49,39
12:59,333,Riley Norris Steal.,49,39
12:54,333,Riley Norris made Layup.,51,39
12:43,252,BYU  Timeout,51,39
12:21,252,Yoeli Childs missed Jumper.,51,39
12:21,252,Yoeli Childs Offensive Rebound.,51,39
12:15,252,Yoeli Childs Turnover.,51,39
12:15,333,John Petty Steal.,51,39
11:59,333,John Petty made Layup. Assisted by Herb Jones.,53,39
11:47,252,TJ Haws made Three Point Jumper. Assisted by Jahshire Hardnett.,53,42
11:27,333,Daniel Giddens made Layup. Assisted by Herb Jones.,55,42
11:18,333,Foul on Avery Johnson Jr..,55,42
11:18,252,Official TV Timeout,55,42
11:03,333,Foul on Avery Johnson Jr..,55,42
10:58,252,Elijah Bryant missed Jumper.,55,42
10:58,333,Alabama Defensive Rebound.,55,42
10:39,333,Riley Norris made Layup. Assisted by Daniel Giddens.,57,42
10:21,252,Dalton Nixon made Layup. Assisted by Jahshire Hardnett.,57,44
10:11,333,Riley Norris missed Three Point Jumper.,57,44
10:11,252,TJ Haws Defensive Rebound.,57,44
10:02,252,Jahshire Hardnett missed Jumper.,57,44
10:02,252,Zac Seljaas Offensive Rebound.,57,44
9:57,333,Foul on Collin Sexton.,57,44
9:57,252,Zac Seljaas missed Free Throw.,57,44
9:57,252,BYU Deadball Team Rebound.,57,44
9:57,252,Zac Seljaas made Free Throw.,57,45
9:41,333,Riley Norris missed Three Point Jumper.,57,45
9:41,252,Zac Seljaas Defensive Rebound.,57,45
9:18,252,Zac Seljaas missed Three Point Jumper.,57,45
9:18,333,Donta Hall Defensive Rebound.,57,45
9:06,333,Alabama  Timeout,57,45
8:55,252,Foul on TJ Haws.,57,45
8:55,333,Collin Sexton missed Free Throw.,57,45
8:55,252,Elijah Bryant Defensive Rebound.,57,45
8:45,252,Foul on Elijah Bryant.,57,45
8:45,252,Elijah Bryant Turnover.,57,45
8:28,333,Herb Jones Turnover.,57,45
8:19,252,Yoeli Childs made Dunk. Assisted by Dalton Nixon.,57,47
8:01,252,Foul on Dalton Nixon.,57,47
8:01,333,Dazon Ingram made Free Throw.,58,47
8:01,333,Dazon Ingram missed Free Throw.,58,47
8:01,252,Dalton Nixon Defensive Rebound.,58,47
7:42,252,Yoeli Childs missed Three Point Jumper.,58,47
7:42,333,Collin Sexton Defensive Rebound.,58,47
7:35,333,John Petty made Three Point Jumper. Assisted by Collin Sexton.,61,47
7:19,333,Foul on Herb Jones.,61,47
7:19,252,Official TV Timeout,61,47
7:19,252,Dalton Nixon made Free Throw.,61,48
7:19,252,Dalton Nixon made Free Throw.,61,49
7:08,333,John Petty missed Three Point Jumper.,61,49
7:08,252,TJ Haws Defensive Rebound.,61,49
6:50,252,TJ Haws missed Three Point Jumper.,61,49
6:50,333,Alabama Defensive Rebound.,61,49
6:37,252,Foul on Dalton Nixon.,61,49
6:37,333,Collin Sexton made Free Throw.,62,49
6:37,333,Collin Sexton made Free Throw.,63,49
6:14,252,Zac Seljaas made Three Point Jumper. Assisted by TJ Haws.,63,52
5:46,333,Collin Sexton missed Jumper.,63,52
5:46,252,BYU Defensive Rebound.,63,52
5:34,252,Zac Seljaas made Three Point Jumper. Assisted by TJ Haws.,63,55
5:10,333,Dazon Ingram missed Three Point Jumper.,63,55
5:10,333,Herb Jones Offensive Rebound.,63,55
5:04,252,Foul on Luke Worthington.,63,55
5:04,333,Donta Hall made Free Throw.,64,55
5:04,333,Donta Hall made Free Throw.,65,55
4:39,252,Jahshire Hardnett missed Jumper.,65,55
4:39,333,Donta Hall Defensive Rebound.,65,55
4:08,333,Dazon Ingram missed Jumper.,65,55
4:08,252,Elijah Bryant Defensive Rebound.,65,55
4:00,252,Zac Seljaas missed Three Point Jumper.,65,55
4:00,252,BYU Offensive Rebound.,65,55
3:56,252,Official TV Timeout,65,55
3:51,252,Yoeli Childs made Jumper. Assisted by Zac Seljaas.,65,57
3:39,333,Donta Hall made Dunk. Assisted by Dazon Ingram.,67,57
3:18,252,TJ Haws missed Layup.,67,57
3:18,252,TJ Haws Offensive Rebound.,67,57
3:15,252,TJ Haws Turnover.,67,57
3:15,333,Collin Sexton Steal.,67,57
3:11,333,John Petty missed Three Point Jumper.,67,57
3:11,252,BYU Deadball Team Rebound.,67,57
3:08,333,Foul on Daniel Giddens.,67,57
3:08,252,Yoeli Childs made Free Throw.,67,58
3:08,252,Yoeli Childs missed Free Throw.,67,58
3:08,333,Herb Jones Defensive Rebound.,67,58
2:45,333,Herb Jones Turnover.,67,58
2:31,333,Foul on Donta Hall.,67,58
2:31,252,Yoeli Childs missed Free Throw.,67,58
2:31,252,BYU Deadball Team Rebound.,67,58
2:31,252,Yoeli Childs made Free Throw.,67,59
2:05,252,Foul on Zac Seljaas.,67,59
2:05,333,Dazon Ingram made Free Throw.,68,59
2:05,333,Dazon Ingram made Free Throw.,69,59
1:45,252,TJ Haws missed Three Point Jumper.,69,59
1:45,333,Herb Jones Defensive Rebound.,69,59
1:17,333,John Petty missed Layup.,69,59
1:17,333,Donta Hall Offensive Rebound.,69,59
1:13,333,Donta Hall made Two Point Tip Shot.,71,59
1:01,252,Elijah Bryant missed Layup.,71,59
1:01,252,Yoeli Childs Offensive Rebound.,71,59
0:59,252,Yoeli Childs missed Two Point Tip Shot.,71,59
0:59,333,Donta Hall Defensive Rebound.,71,59
0:28,333,Collin Sexton missed Jumper.,71,59
0:28,333,Dazon Ingram Offensive Rebound.,71,59
0:00,252,End of Game,71,59
