Cal Poly,2117,Central Michigan,13
9:20,2117,David DiLeo missed Three Point Jumper.,12,8
9:20,13,Iziah James Defensive Rebound.,12,8
9:18,2117,Foul on Kevin McKay.,12,8
8:58,13,Jakub Niziol missed Three Point Jumper.,12,8
8:58,13,Karlis Garoza Offensive Rebound.,12,8
8:46,13,Victor Joseph missed Three Point Jumper.,12,8
8:46,13,Karlis Garoza Offensive Rebound.,12,8
8:20,13,Jakub Niziol made Jumper. Assisted by Victor Joseph.,14,8
8:09,2117,Kevin McKay made Layup. Assisted by Gavin Peppers.,14,10
7:19,2117,Foul on Cecil Williams.,14,10
7:19,2117,Official TV Timeout,14,10
7:00,13,Victor Joseph missed Three Point Jumper.,14,10
7:00,2117,Central Michigan Deadball Team Rebound.,14,10
6:36,2117,Kevin McKay made Layup. Assisted by Gavin Peppers.,14,12
6:14,13,Victor Joseph missed Layup.,14,12
6:14,2117,Kevin McKay Block.,14,12
6:12,2117,Kevin McKay Defensive Rebound.,14,12
5:46,2117,Gavin Peppers made Layup.,14,14
5:25,13,Donovan Fields missed Jumper.,14,14
5:25,2117,Kevin McKay Defensive Rebound.,14,14
5:05,13,Foul on Donovan Fields.,14,14
4:59,2117,Shawn Roundtree missed Jumper.,14,14
4:59,13,Hank Hollingsworth Defensive Rebound.,14,14
4:45,13,Mark Crowe missed Three Point Jumper.,14,14
4:45,2117,Luke Meyer Defensive Rebound.,14,14
4:27,2117,Gavin Peppers missed Jumper.,14,14
4:27,13,Victor Joseph Defensive Rebound.,14,14
4:19,13,Victor Joseph made Layup.,16,14
4:05,2117,Luke Meyer missed Three Point Jumper.,16,14
4:05,13,Luke Meikle Defensive Rebound.,16,14
3:45,13,Foul on Luke Meikle.,16,14
3:45,13,Luke Meikle Turnover.,16,14
3:45,2117,Official TV Timeout,16,14
3:26,2117,Foul on Cecil Williams.,16,14
3:26,2117,Cecil Williams Turnover.,16,14
3:24,2117,Foul on Kevin McKay.,16,14
3:24,13,Donovan Fields made Free Throw.,17,14
3:24,13,Donovan Fields made Free Throw.,18,14
3:16,2117,Shawn Roundtree missed Layup.,18,14
3:16,13,Hank Hollingsworth Block.,18,14
3:14,13,Donovan Fields Defensive Rebound.,18,14
3:09,13,Victor Joseph made Layup. Assisted by Donovan Fields.,20,14
2:50,2117,Luke Meyer missed Layup.,20,14
2:50,13,Hank Hollingsworth Defensive Rebound.,20,14
2:34,13,Victor Joseph made Three Point Jumper. Assisted by Luke Meikle.,23,14
2:29,2117,Central Michigan  Timeout,23,14
2:12,2117,Luke Meyer made Three Point Jumper. Assisted by Shawn Roundtree.,23,17
1:31,13,Luke Meikle missed Jumper.,23,17
1:31,2117,Kevin McKay Defensive Rebound.,23,17
1:21,2117,Kevin McKay made Layup. Assisted by Shawn Roundtree.,23,19
1:21,13,Foul on Hank Hollingsworth.,23,19
1:21,2117,Kevin McKay made Free Throw.,23,20
0:55,13,Luke Meikle missed Jumper.,23,20
0:55,2117,Shawn Roundtree Defensive Rebound.,23,20
0:36,2117,Shawn Roundtree missed Three Point Jumper.,23,20
0:36,13,Karlis Garoza Defensive Rebound.,23,20
0:08,13,Victor Joseph missed Three Point Jumper.,23,20
0:08,13,Luke Meikle Offensive Rebound.,23,20
0:05,2117,Foul on Matt Beachler.,23,20
0:05,13,Luke Meikle missed Free Throw.,23,20
0:05,2117,Luke Meyer Defensive Rebound.,23,20
0:00,2117,End of 1st half,23,20
19:56,13,Hank Hollingsworth missed Jumper.,23,20
19:56,2117,Luke Meyer Defensive Rebound.,23,20
19:32,2117,Cecil Williams missed Jumper.,23,20
19:32,13,Donovan Fields Defensive Rebound.,23,20
19:31,2117,Foul on David DiLeo.,23,20
19:20,13,Hank Hollingsworth missed Layup.,23,20
19:20,2117,Cecil Williams Defensive Rebound.,23,20
19:13,2117,Shawn Roundtree made Layup.,23,22
18:53,13,Victor Joseph made Three Point Jumper. Assisted by Mark Crowe.,26,22
18:26,2117,Luke Meyer missed Three Point Jumper.,26,22
18:26,2117,David DiLeo Offensive Rebound.,26,22
18:21,2117,David DiLeo missed Three Point Jumper.,26,22
18:21,13,Donovan Fields Defensive Rebound.,26,22
18:12,13,Donovan Fields made Layup.,28,22
17:55,2117,Luke Meyer made Three Point Jumper. Assisted by Cecil Williams.,28,25
17:33,13,Luke Meikle made Jumper. Assisted by Victor Joseph.,30,25
17:10,2117,Luke Meyer missed Layup.,30,25
17:10,2117,Luke Meyer Offensive Rebound.,30,25
17:07,2117,Luke Meyer made Layup.,30,27
16:33,13,Luke Meikle missed Jumper.,30,27
16:33,2117,David DiLeo Defensive Rebound.,30,27
16:17,2117,David DiLeo missed Three Point Jumper.,30,27
16:17,13,Donovan Fields Defensive Rebound.,30,27
15:55,13,Donovan Fields Turnover.,30,27
15:55,2117,Kevin McKay Steal.,30,27
15:53,2117,Official TV Timeout,30,27
15:53,13,Foul on Luke Meikle.,30,27
15:53,2117,Official TV Timeout,30,27
15:53,2117,Kevin McKay missed Free Throw.,30,27
15:53,2117,Central Michigan Deadball Team Rebound.,30,27
15:53,2117,Kevin McKay made Free Throw.,30,28
15:32,13,Victor Joseph made Three Point Jumper. Assisted by Mark Crowe.,33,28
15:11,13,Foul on Mark Crowe.,33,28
15:11,2117,Luke Meyer missed Free Throw.,33,28
15:11,2117,Central Michigan Deadball Team Rebound.,33,28
15:11,2117,Luke Meyer made Free Throw.,33,29
14:45,13,Mark Crowe Turnover.,33,29
14:44,2117,David DiLeo Steal.,33,29
14:23,13,Foul on Mark Crowe.,33,29
14:23,2117,Kevin McKay made Free Throw.,33,30
14:23,2117,Kevin McKay missed Free Throw.,33,30
14:23,13,Mark Crowe Defensive Rebound.,33,30
14:08,13,Karlis Garoza Turnover.,33,30
13:47,2117,Kevin McKay made Layup.,33,32
13:26,13,Jakub Niziol missed Three Point Jumper.,33,32
13:26,2117,Shawn Roundtree Defensive Rebound.,33,32
13:01,2117,Kevin McKay missed Layup.,33,32
13:01,13,Jakub Niziol Defensive Rebound.,33,32
12:45,13,Iziah James missed Jumper.,33,32
12:45,13,Donovan Fields Offensive Rebound.,33,32
12:38,13,Donovan Fields made Layup.,35,32
12:25,13,Foul on Karlis Garoza.,35,32
12:23,2117,Josh Kozinski missed Jumper.,35,32
12:23,13,Jakub Niziol Defensive Rebound.,35,32
12:14,13,Jakub Niziol missed Three Point Jumper.,35,32
12:14,2117,Kevin McKay Defensive Rebound.,35,32
11:46,2117,Kevin McKay missed Layup.,35,32
11:46,13,Jakub Niziol Defensive Rebound.,35,32
11:40,13,Marcellus Garrick missed Three Point Jumper.,35,32
11:40,13,Karlis Garoza Offensive Rebound.,35,32
11:30,13,Donovan Fields made Layup.,37,32
11:24,2117,Central Michigan  Timeout,37,32
11:24,2117,Official TV Timeout,37,32
11:19,2117,Gavin Peppers made Layup.,37,34
11:11,2117,Foul on David DiLeo.,37,34
10:48,13,Cal Poly  Turnover.,37,34
10:35,2117,Shawn Roundtree missed Layup.,37,34
10:35,13,Luke Meikle Defensive Rebound.,37,34
10:19,2117,Foul on Cecil Williams.,37,34
10:11,13,Victor Joseph missed Three Point Jumper.,37,34
10:11,2117,David DiLeo Defensive Rebound.,37,34
10:01,2117,Shawn Roundtree made Three Point Jumper. Assisted by Kevin McKay.,37,37
9:50,13,Marcellus Garrick missed Three Point Jumper.,37,37
9:50,13,Jakub Niziol Offensive Rebound.,37,37
9:50,2117,Foul on Gavin Peppers.,37,37
9:50,13,Jakub Niziol missed Free Throw.,37,37
9:50,13,Cal Poly Deadball Team Rebound.,37,37
9:50,13,Jakub Niziol made Free Throw.,38,37
9:40,2117,Luke Meyer made Layup. Assisted by Shawn Roundtree.,38,39
9:12,13,Jakub Niziol Turnover.,38,39
9:11,2117,Shawn Roundtree Steal.,38,39
9:07,2117,Shawn Roundtree missed Layup.,38,39
9:07,2117,Kevin McKay Offensive Rebound.,38,39
9:06,2117,Kevin McKay Turnover.,38,39
8:43,13,Hank Hollingsworth made Dunk. Assisted by Jakub Niziol.,40,39
8:22,2117,Kevin McKay missed Layup.,40,39
8:22,13,Mark Crowe Defensive Rebound.,40,39
8:15,13,Victor Joseph missed Three Point Jumper.,40,39
8:15,2117,David DiLeo Defensive Rebound.,40,39
8:06,2117,Luke Meyer made Dunk. Assisted by Shawn Roundtree.,40,41
7:43,13,Hank Hollingsworth missed Layup.,40,41
7:43,13,Mark Crowe Offensive Rebound.,40,41
7:41,13,Mark Crowe missed Two Point Tip Shot.,40,41
7:41,2117,Kevin McKay Defensive Rebound.,40,41
7:33,2117,Shawn Roundtree missed Three Point Jumper.,40,41
7:33,13,Hank Hollingsworth Defensive Rebound.,40,41
7:13,13,Victor Joseph made Layup. Assisted by Jakub Niziol.,42,41
6:52,2117,Shawn Roundtree missed Jumper.,42,41
6:52,13,Cal Poly Defensive Rebound.,42,41
6:51,2117,Official TV Timeout,42,41
6:35,13,Victor Joseph missed Three Point Jumper.,42,41
6:35,2117,Shawn Roundtree Defensive Rebound.,42,41
6:30,2117,Shawn Roundtree missed Three Point Jumper.,42,41
6:30,13,Victor Joseph Defensive Rebound.,42,41
6:15,13,Mark Crowe missed Jumper.,42,41
6:15,2117,Cecil Williams Defensive Rebound.,42,41
5:52,2117,Kevin McKay made Layup. Assisted by Cecil Williams.,42,43
5:40,2117,Foul on David DiLeo.,42,43
5:24,13,Foul on Victor Joseph.,42,43
5:24,13,Victor Joseph Turnover.,42,43
4:49,2117,Kevin McKay made Layup. Assisted by Cecil Williams.,42,45
4:36,13,Luke Meikle made Jumper. Assisted by Donovan Fields.,44,45
4:34,13,Cal Poly  Timeout,44,45
4:13,2117,Cecil Williams missed Jumper.,44,45
4:13,13,Victor Joseph Defensive Rebound.,44,45
3:54,13,Foul on Hank Hollingsworth.,44,45
3:54,13,Hank Hollingsworth Turnover.,44,45
3:54,2117,Official TV Timeout,44,45
3:37,2117,Gavin Peppers made Layup.,44,47
3:10,13,Donovan Fields made Three Point Jumper.,47,47
2:48,2117,Kevin McKay missed Layup.,47,47
2:48,13,Donovan Fields Defensive Rebound.,47,47
2:25,2117,Foul on Gavin Peppers.,47,47
2:25,13,Victor Joseph made Free Throw.,48,47
2:25,13,Victor Joseph missed Free Throw.,48,47
2:25,2117,Kevin McKay Defensive Rebound.,48,47
2:08,13,Foul on Luke Meikle.,48,47
2:08,2117,David DiLeo made Free Throw.,48,48
2:08,2117,David DiLeo made Free Throw.,48,49
1:43,13,Donovan Fields missed Jumper.,48,49
1:43,2117,David DiLeo Defensive Rebound.,48,49
1:25,13,Foul on Mark Crowe.,48,49
1:25,2117,Kevin McKay made Free Throw.,48,50
1:25,2117,Kevin McKay made Free Throw.,48,51
1:18,13,Victor Joseph missed Layup.,48,51
1:18,2117,Luke Meyer Defensive Rebound.,48,51
0:37,2117,Gavin Peppers missed Layup.,48,51
0:37,13,Hank Hollingsworth Block.,48,51
0:35,13,Jakub Niziol Defensive Rebound.,48,51
0:33,2117,Foul on Shawn Roundtree.,48,51
0:33,13,Donovan Fields made Free Throw.,49,51
0:33,13,Donovan Fields made Free Throw.,50,51
0:32,13,Foul on Donovan Fields.,50,51
0:32,2117,Shawn Roundtree made Free Throw.,50,52
0:32,2117,Shawn Roundtree made Free Throw.,50,53
0:22,13,Victor Joseph made Three Point Jumper. Assisted by Donovan Fields.,53,53
0:04,2117,Shawn Roundtree made Three Point Jumper.,53,56
0:04,13,Cal Poly  Timeout,53,56
0:04,2117,Central Michigan  Timeout,53,56
0:01,13,Donovan Fields missed Three Point Jumper.,53,56
0:01,13,Cal Poly Deadball Team Rebound.,53,56
0:00,2117,End of Game,53,56
