Nebraska,2368,Marist,158
7:24,158,Isaiah Roby Offensive Rebound.,70,47
7:12,158,Isaac Copeland made Layup. Assisted by James Palmer Jr..,72,47
6:54,2368,Austin Williams missed Jumper.,72,47
6:54,158,Isaiah Roby Defensive Rebound.,72,47
6:46,158,Isaac Copeland made Jumper. Assisted by Anton Gill.,74,47
6:23,2368,Aleksandar Dozic missed Layup.,74,47
6:23,158,Isaiah Roby Block.,74,47
6:22,158,Anton Gill Defensive Rebound.,74,47
6:16,2368,Foul on Kristinn Palsson.,74,47
5:59,158,James Palmer Jr. Turnover.,74,47
5:59,2368,Andrea Bernardi Steal.,74,47
5:45,2368,Ryan Funk Turnover.,74,47
5:26,158,Isaac Copeland made Layup. Assisted by Duby Okeke.,76,47
5:08,2368,Tobias Sjoberg missed Layup.,76,47
5:08,158,Duby Okeke Block.,76,47
5:06,2368,Tobias Sjoberg Offensive Rebound.,76,47
5:02,2368,Ryan Funk missed Dunk.,76,47
5:02,2368,David Knudsen Offensive Rebound.,76,47
4:58,2368,David Knudsen made Three Point Jumper.,76,50
4:41,158,James Palmer Jr. missed Three Point Jumper.,76,50
4:41,158,Evan Taylor Offensive Rebound.,76,50
4:20,158,Isaac Copeland made Jumper. Assisted by Anton Gill.,78,50
4:00,2368,David Knudsen missed Three Point Jumper.,78,50
4:00,158,Duby Okeke Defensive Rebound.,78,50
3:47,2368,Foul on Tobias Sjoberg.,78,50
3:47,2368,Official TV Timeout,78,50
3:47,158,James Palmer Jr. missed Free Throw.,78,50
3:47,158,Nebraska Deadball Team Rebound.,78,50
3:47,158,James Palmer Jr. made Free Throw.,79,50
3:31,2368,Andrea Bernardi missed Jumper.,79,50
3:31,158,Tanner Borchardt Defensive Rebound.,79,50
3:04,158,Nana Akenten missed Three Point Jumper.,79,50
3:04,2368,Andrea Bernardi Defensive Rebound.,79,50
2:49,158,Foul on Tanner Borchardt.,79,50
2:49,2368,Brian Parker missed Free Throw.,79,50
2:49,2368,Marist Deadball Team Rebound.,79,50
2:49,2368,Brian Parker made Free Throw.,79,51
2:49,158,Nebraska  Timeout,79,51
2:32,158,Malcolm Laws missed Three Point Jumper.,79,51
2:32,158,Tanner Borchardt Offensive Rebound.,79,51
2:26,158,Thomas Allen missed Layup.,79,51
2:26,158,Tanner Borchardt Offensive Rebound.,79,51
2:18,158,Nana Akenten missed Three Point Jumper.,79,51
2:18,2368,Kristinn Palsson Defensive Rebound.,79,51
1:58,2368,Lasse Gummerus made Three Point Jumper. Assisted by Connor McClenaghan.,79,54
1:56,2368,Marist  Timeout,79,54
1:44,158,Malcolm Laws missed Three Point Jumper.,79,54
1:44,158,Nana Akenten Offensive Rebound.,79,54
1:19,158,Nana Akenten made Three Point Jumper. Assisted by Thorir Thorbjarnarson.,82,54
1:03,2368,Marist  Timeout,82,54
0:57,2368,Ryan Carmello Turnover.,82,54
0:55,158,Thorir Thorbjarnarson Steal.,82,54
0:52,158,Thorir Thorbjarnarson made Layup.,84,54
0:40,2368,Lasse Gummerus made Three Point Jumper. Assisted by Ryan Carmello.,84,57
0:31,158,Johnny Trueblood Turnover.,84,57
0:29,2368,Austin Williams Steal.,84,57
0:28,2368,Austin Williams made Dunk.,84,59
0:13,158,Malcolm Laws missed Jumper.,84,59
0:13,2368,Austin Williams Defensive Rebound.,84,59
0:03,2368,Austin Williams missed Three Point Jumper.,84,59
0:03,158,Thorir Thorbjarnarson Defensive Rebound.,84,59
0:00,2368,End of Game,84,59
