Texas Southern,228,Clemson,2640
17:00,228,Elijah Thomas made Layup.,40,44
16:39,2640,Kevin Scott missed Three Point Jumper.,40,44
16:39,228,Donte Grantham Defensive Rebound.,40,44
16:32,228,Shelton Mitchell made Layup. Assisted by Donte Grantham.,40,46
16:31,2640,Texas Southern  Timeout,40,46
16:14,2640,Donte Clark made Jumper. Assisted by Trayvon Reed.,42,46
15:42,228,Gabe DeVoe Turnover.,42,46
15:41,2640,Kevin Scott Steal.,42,46
15:36,2640,Kevin Scott missed Jumper.,42,46
15:36,228,Marcquise Reed Defensive Rebound.,42,46
15:26,228,Marcquise Reed missed Three Point Jumper.,42,46
15:26,228,Elijah Thomas Offensive Rebound.,42,46
15:22,2640,Foul on Derrick Bruce.,42,46
15:22,228,Official TV Timeout,42,46
15:02,2640,Foul on Derrick Bruce.,42,46
15:00,228,Gabe DeVoe made Layup. Assisted by Clyde Trapp.,42,48
14:28,2640,Donte Clark missed Three Point Jumper.,42,48
14:28,228,Marcquise Reed Defensive Rebound.,42,48
14:25,228,Elijah Thomas made Dunk. Assisted by Marcquise Reed.,42,50
14:14,2640,Trayvon Reed Turnover.,42,50
14:14,2640,Foul on Trayvon Reed.,42,50
13:58,228,Gabe DeVoe made Three Point Jumper. Assisted by Marcquise Reed.,42,53
13:46,2640,Donte Clark made Layup.,44,53
13:35,228,Marcquise Reed missed Three Point Jumper.,44,53
13:35,2640,Trayvon Reed Defensive Rebound.,44,53
13:28,228,Foul on Gabe DeVoe.,44,53
13:23,228,Foul on Donte Grantham.,44,53
13:12,2640,Demontrae Jefferson made Three Point Jumper.,47,53
12:53,228,Donte Grantham made Jumper.,47,55
12:27,2640,Cainan McClelland missed Three Point Jumper.,47,55
12:27,228,Donte Grantham Defensive Rebound.,47,55
12:24,228,Donte Grantham made Dunk. Assisted by Marcquise Reed.,47,57
12:11,228,Foul on Donte Grantham.,47,57
12:07,2640,Derrick Bruce missed Jumper.,47,57
12:07,228,Clyde Trapp Defensive Rebound.,47,57
11:57,228,Clyde Trapp Turnover.,47,57
11:57,228,Official TV Timeout,47,57
11:45,2640,Donte Clark missed Jumper.,47,57
11:45,2640,Trayvon Reed Offensive Rebound.,47,57
11:39,228,Foul on Clyde Trapp.,47,57
11:34,2640,Trayvon Reed Turnover.,47,57
11:34,2640,Foul on Trayvon Reed.,47,57
11:17,2640,Foul on Derrick Bruce.,47,57
11:04,228,Anthony Oliver II missed Three Point Jumper.,47,57
11:04,2640,Cainan McClelland Defensive Rebound.,47,57
10:57,2640,Cainan McClelland Turnover.,47,57
10:57,2640,Foul on Cainan McClelland.,47,57
10:42,228,Scott Spencer made Jumper.,47,59
10:19,2640,Derrick Bruce missed Three Point Jumper.,47,59
10:19,228,Elijah Thomas Defensive Rebound.,47,59
10:09,228,Clyde Trapp made Three Point Jumper.,47,62
9:47,2640,Derrick Bruce made Three Point Jumper. Assisted by Robert Lewis.,50,62
9:20,228,Scott Spencer missed Three Point Jumper.,50,62
9:20,228,Anthony Oliver II Offensive Rebound.,50,62
9:06,228,Marcquise Reed made Layup.,50,64
9:06,2640,Foul on Derrick Bruce.,50,64
9:05,228,Marcquise Reed made Free Throw.,50,65
8:57,2640,Demontrae Jefferson missed Layup.,50,65
8:57,228,Elijah Thomas Defensive Rebound.,50,65
8:31,228,Scott Spencer Turnover.,50,65
8:31,228,Foul on Scott Spencer.,50,65
8:13,2640,Divonte Lumpkin missed Layup.,50,65
8:13,2640,Trayvon Reed Offensive Rebound.,50,65
8:09,2640,Trayvon Reed missed Layup.,50,65
8:09,2640,Trayvon Reed Offensive Rebound.,50,65
8:05,2640,Trayvon Reed missed Layup.,50,65
8:05,228,Elijah Thomas Block.,50,65
8:03,228,Anthony Oliver II Defensive Rebound.,50,65
7:56,228,Marcquise Reed missed Layup.,50,65
7:56,2640,Trayvon Reed Block.,50,65
7:56,2640,Donte Clark Defensive Rebound.,50,65
7:43,2640,Demontrae Jefferson missed Three Point Jumper.,50,65
7:43,2640,Trayvon Reed Offensive Rebound.,50,65
7:41,228,Foul on Scott Spencer.,50,65
7:41,228,Official TV Timeout,50,65
7:16,2640,Donte Clark missed Layup.,50,65
7:16,2640,Trayvon Reed Offensive Rebound.,50,65
7:16,228,Foul on Elijah Thomas.,50,65
7:16,2640,Trayvon Reed made Free Throw.,51,65
7:16,2640,Trayvon Reed made Free Throw.,52,65
6:57,228,Donte Grantham made Layup.,52,67
6:42,2640,Demontrae Jefferson made Jumper.,54,67
6:12,228,Elijah Thomas made Jumper.,54,69
