Oral Roberts,213,Penn State,198
6:54,198,Albert Owens missed Layup.,9,31
6:54,198,Jontray Harris Offensive Rebound.,9,31
6:48,198,Jontray Harris made Two Point Tip Shot.,11,31
6:32,213,Nazeer Bostick missed Three Point Jumper.,11,31
6:32,198,Albert Owens Defensive Rebound.,11,31
6:18,198,Emmanuel Nzekwesi missed Jumper.,11,31
6:18,213,Mike Watkins Block.,11,31
6:17,198,Sam Kearns Offensive Rebound.,11,31
6:11,198,Emmanuel Nzekwesi made Layup. Assisted by Austin Ruder.,13,31
5:58,198,Foul on Emmanuel Nzekwesi.,13,31
5:58,213,Nazeer Bostick missed Free Throw.,13,31
5:58,213,Penn State Deadball Team Rebound.,13,31
5:58,213,Nazeer Bostick made Free Throw.,13,32
5:37,213,Foul on Mike Watkins.,13,32
5:22,198,Sam Kearns missed Three Point Jumper.,13,32
5:22,198,Jontray Harris Offensive Rebound.,13,32
5:17,198,Jontray Harris missed Layup.,13,32
5:17,198,Javan White Offensive Rebound.,13,32
5:14,198,Austin Ruder missed Three Point Jumper.,13,32
5:14,213,Tony Carr Defensive Rebound.,13,32
5:06,213,Penn State  Timeout,13,32
5:00,213,Josh Reaves missed Three Point Jumper.,13,32
5:00,198,Albert Owens Defensive Rebound.,13,32
4:31,198,Sam Kearns made Three Point Jumper. Assisted by Jontray Harris.,16,32
4:07,213,Tony Carr missed Three Point Jumper.,16,32
4:07,213,Mike Watkins Offensive Rebound.,16,32
4:02,213,Mike Watkins made Layup.,16,34
3:46,198,Albert Owens made Jumper.,18,34
3:23,198,Foul on Sam Kearns.,18,34
3:23,213,Official TV Timeout,18,34
3:16,213,Satchel Pierce missed Jumper.,18,34
3:16,198,Albert Owens Defensive Rebound.,18,34
2:46,213,Foul on Satchel Pierce.,18,34
2:46,198,Albert Owens made Free Throw.,19,34
2:46,198,Albert Owens missed Free Throw.,19,34
2:46,213,Satchel Pierce Defensive Rebound.,19,34
2:35,213,Lamar Stevens missed Layup.,19,34
2:35,198,Jontray Harris Defensive Rebound.,19,34
2:09,198,Sam Kearns Turnover.,19,34
1:56,198,Foul on Javan White.,19,34
1:56,213,Lamar Stevens made Free Throw.,19,35
1:56,213,Lamar Stevens made Free Throw.,19,36
1:29,198,Jontray Harris missed Layup.,19,36
1:29,198,Albert Owens Offensive Rebound.,19,36
1:25,198,Albert Owens missed Layup.,19,36
1:25,213,Satchel Pierce Defensive Rebound.,19,36
1:25,198,Foul on Jontray Harris.,19,36
1:16,213,Josh Reaves made Layup.,19,38
1:04,198,Austin Ruder Turnover.,19,38
0:51,213,Satchel Pierce missed Layup.,19,38
0:51,213,Satchel Pierce Offensive Rebound.,19,38
0:48,198,Foul on Javan White.,19,38
0:48,213,Satchel Pierce missed Free Throw.,19,38
0:48,213,Penn State Deadball Team Rebound.,19,38
0:48,213,Satchel Pierce missed Free Throw.,19,38
0:48,198,Javan White Defensive Rebound.,19,38
0:23,213,Foul on Tony Carr.,19,38
0:23,198,Javan White missed Free Throw.,19,38
0:20,198,Oral Roberts Offensive Rebound.,19,38
0:01,198,Austin Ruder Turnover.,19,38
0:00,213,Josh Reaves Steal.,19,38
0:00,213,End of 1st half,19,38
19:51,198,Emmanuel Nzekwesi Turnover.,19,38
19:50,213,Mike Watkins Steal.,19,38
19:39,213,Shep Garner made Three Point Jumper. Assisted by Tony Carr.,19,41
19:13,198,Sam Kearns missed Layup.,19,41
19:13,213,Mike Watkins Block.,19,41
19:12,198,Oral Roberts Offensive Rebound.,19,41
19:05,198,Albert Owens missed Jumper.,19,41
19:05,213,Lamar Stevens Defensive Rebound.,19,41
18:56,213,Tony Carr made Three Point Jumper. Assisted by Mike Watkins.,19,44
18:45,213,Foul on Tony Carr.,19,44
18:32,198,Emmanuel Nzekwesi missed Jumper.,19,44
18:32,213,Lamar Stevens Defensive Rebound.,19,44
18:17,213,Mike Watkins missed Jumper.,19,44
18:17,198,Emmanuel Nzekwesi Block.,19,44
18:15,213,Penn State Offensive Rebound.,19,44
18:07,213,Mike Watkins Turnover.,19,44
18:06,198,Austin Ruder Steal.,19,44
17:57,198,Javan White missed Layup.,19,44
17:57,213,Mike Watkins Defensive Rebound.,19,44
17:42,213,Mike Watkins Turnover.,19,44
17:41,198,Sam Kearns Steal.,19,44
17:34,198,Emmanuel Nzekwesi Turnover.,19,44
17:34,213,Mike Watkins Steal.,19,44
17:20,213,Foul on Tony Carr.,19,44
17:20,213,Tony Carr Turnover.,19,44
16:59,198,Albert Owens missed Jumper.,19,44
16:59,213,Lamar Stevens Defensive Rebound.,19,44
16:46,213,Lamar Stevens missed Jumper.,19,44
16:46,213,Nazeer Bostick Offensive Rebound.,19,44
16:42,213,Nazeer Bostick made Dunk.,19,46
16:14,198,Austin Ruder missed Three Point Jumper.,19,46
16:14,213,Mike Watkins Defensive Rebound.,19,46
16:05,213,Shep Garner made Three Point Jumper.,19,49
15:39,198,Jontray Harris missed Three Point Jumper.,19,49
15:39,213,Lamar Stevens Defensive Rebound.,19,49
15:29,213,Shep Garner missed Three Point Jumper.,19,49
15:29,213,Nazeer Bostick Offensive Rebound.,19,49
15:24,213,Nazeer Bostick made Layup.,19,51
15:22,198,Foul on Javan White.,19,51
15:22,213,Official TV Timeout,19,51
15:22,213,Nazeer Bostick missed Free Throw.,19,51
15:22,198,Austin Ruder Defensive Rebound.,19,51
14:58,198,Jontray Harris made Three Point Jumper.,22,51
14:37,198,Foul on Emir Ahmedic.,22,51
14:37,213,Lamar Stevens missed Free Throw.,22,51
14:37,213,Penn State Deadball Team Rebound.,22,51
14:37,213,Lamar Stevens made Free Throw.,22,52
14:21,198,Emir Ahmedic missed Jumper.,22,52
14:21,213,Jamari Wheeler Defensive Rebound.,22,52
14:14,213,Foul on Satchel Pierce.,22,52
14:14,213,Satchel Pierce Turnover.,22,52
13:50,198,Austin Ruder missed Layup.,22,52
13:50,213,Julian Moore Block.,22,52
13:48,213,Jamari Wheeler Defensive Rebound.,22,52
13:41,213,Tony Carr made Layup. Assisted by Julian Moore.,22,54
13:23,198,Jontray Harris made Jumper.,24,54
12:57,213,Satchel Pierce made Dunk. Assisted by Tony Carr.,24,56
12:44,198,Sam Kearns Turnover.,24,56
12:43,213,Jamari Wheeler Steal.,24,56
12:42,213,Jamari Wheeler made Layup.,24,58
12:16,213,Foul on Satchel Pierce.,24,58
12:16,198,Emir Ahmedic made Free Throw.,25,58
12:16,198,Emir Ahmedic missed Free Throw.,25,58
12:16,213,Mike Watkins Defensive Rebound.,25,58
12:10,198,Foul on Emir Ahmedic.,25,58
12:10,213,Jamari Wheeler missed Free Throw.,25,58
12:10,213,Penn State Deadball Team Rebound.,25,58
12:10,213,Jamari Wheeler made Free Throw.,25,59
12:01,198,Sam Kearns Turnover.,25,59
12:00,213,Jamari Wheeler Steal.,25,59
11:58,213,Jamari Wheeler made Layup.,25,61
11:30,198,Emmanuel Nzekwesi made Three Point Jumper.,28,61
11:05,198,Foul on Sam Kearns.,28,61
11:05,213,Official TV Timeout,28,61
11:05,213,Tony Carr made Free Throw.,28,62
11:05,213,Tony Carr made Free Throw.,28,63
10:51,198,Austin Ruder missed Jumper.,28,63
10:51,198,Spencer Sutton Offensive Rebound.,28,63
10:15,198,Emmanuel Nzekwesi Turnover.,28,63
10:15,213,Jamari Wheeler Steal.,28,63
10:15,213,Mike Watkins made Dunk. Assisted by Jamari Wheeler.,28,65
9:47,198,Spencer Sutton made Three Point Jumper. Assisted by Emmanuel Nzekwesi.,31,65
9:14,213,Jamari Wheeler missed Jumper.,31,65
9:14,198,Chris Miller Defensive Rebound.,31,65
9:00,198,Spencer Sutton missed Three Point Jumper.,31,65
9:00,213,Mike Watkins Defensive Rebound.,31,65
8:45,213,Mike Watkins made Layup.,31,67
8:28,213,Foul on Shep Garner.,31,67
8:25,198,Chris Miller made Layup. Assisted by Spencer Sutton.,33,67
7:58,213,Julian Moore missed Layup.,33,67
7:58,198,Chris Miller Block.,33,67
7:57,198,Oral Roberts Defensive Rebound.,33,67
7:57,213,Official TV Timeout,33,67
7:29,198,Spencer Sutton missed Three Point Jumper.,33,67
7:29,213,Nazeer Bostick Defensive Rebound.,33,67
7:18,213,Nazeer Bostick made Layup.,33,69
6:59,198,Jontray Harris made Jumper.,35,69
6:45,213,Nazeer Bostick missed Jumper.,35,69
6:45,213,Nazeer Bostick Offensive Rebound.,35,69
6:41,213,Nazeer Bostick made Layup.,35,71
6:40,198,Foul on Chris Miller.,35,71
6:40,213,Nazeer Bostick made Free Throw.,35,72
6:19,198,Chris Miller missed Jumper.,35,72
6:19,198,Javan White Offensive Rebound.,35,72
6:16,198,Javan White made Two Point Tip Shot.,37,72
5:40,213,Julian Moore made Jumper.,37,74
5:13,198,Emmanuel Nzekwesi missed Three Point Jumper.,37,74
5:13,213,Jamari Wheeler Defensive Rebound.,37,74
4:58,213,Julian Moore missed Layup.,37,74
4:58,213,John Harrar Offensive Rebound.,37,74
4:56,213,John Harrar made Two Point Tip Shot.,37,76
4:33,198,Sam Kearns missed Jumper.,37,76
4:33,213,Jamari Wheeler Defensive Rebound.,37,76
4:23,213,Jamari Wheeler Turnover.,37,76
4:22,198,Javan White Steal.,37,76
4:18,198,Emmanuel Nzekwesi made Dunk. Assisted by Spencer Sutton.,39,76
3:47,198,Foul on Chris Miller.,39,76
3:47,213,Official TV Timeout,39,76
3:47,213,Nazeer Bostick made Free Throw.,39,77
3:47,213,Nazeer Bostick made Free Throw.,39,78
3:35,198,Sam Kearns made Three Point Jumper. Assisted by Javan White.,42,78
3:23,213,John Harrar made Layup. Assisted by Jamari Wheeler.,42,80
3:06,198,Javan White missed Three Point Jumper.,42,80
3:06,198,Emmanuel Nzekwesi Offensive Rebound.,42,80
2:59,198,Emmanuel Nzekwesi made Layup.,44,80
2:39,213,Trent Buttrick missed Layup.,44,80
2:39,213,Jamari Wheeler Offensive Rebound.,44,80
2:35,213,Jamari Wheeler Turnover.,44,80
2:34,198,Emmanuel Nzekwesi Steal.,44,80
2:27,198,Emir Ahmedic made Layup. Assisted by Javan White.,46,80
2:09,213,Jamari Wheeler made Three Point Jumper. Assisted by Deividas Zemgulis.,46,83
1:46,198,Sam Kearns made Jumper.,48,83
1:41,213,Penn State  Timeout,48,83
1:41,213,Official TV Timeout,48,83
1:32,213,Deividas Zemgulis missed Three Point Jumper.,48,83
1:32,198,Emmanuel Nzekwesi Defensive Rebound.,48,83
1:12,198,Emir Ahmedic missed Jumper.,48,83
1:12,213,Jamari Wheeler Defensive Rebound.,48,83
0:47,213,Deividas Zemgulis made Three Point Jumper. Assisted by Jamari Wheeler.,48,86
0:36,213,Foul on Jamari Wheeler.,48,86
0:20,198,Austin Ruder missed Three Point Jumper.,48,86
0:20,213,John Harrar Defensive Rebound.,48,86
0:00,213,End of Game,48,86
