Virginia,227,Rhode Island,258
5:40,227,Stanford Robinson made Layup. Assisted by Jeff Dowtin.,21,19
5:17,258,Mamadi Diakite made Dunk. Assisted by Kyle Guy.,23,19
4:49,227,Andre Berry missed Layup.,23,19
4:49,258,Mamadi Diakite Defensive Rebound.,23,19
4:36,258,Kyle Guy missed Jumper.,23,19
4:36,227,Jared Terrell Defensive Rebound.,23,19
4:20,227,Andre Berry missed Jumper.,23,19
4:20,258,Ty Jerome Defensive Rebound.,23,19
4:18,227,Foul on Stanford Robinson.,23,19
3:49,258,Nigel Johnson made Three Point Jumper. Assisted by Ty Jerome.,26,19
3:17,227,Jared Terrell missed Jumper.,26,19
3:17,258,Devon Hall Defensive Rebound.,26,19
3:05,258,Nigel Johnson missed Jumper.,26,19
3:05,227,Fatts Russell Defensive Rebound.,26,19
2:56,227,Fatts Russell missed Layup.,26,19
2:56,258,Jack Salt Defensive Rebound.,26,19
2:34,258,Jack Salt made Layup.,28,19
2:06,227,Jeff Dowtin made Three Point Jumper. Assisted by Nicola Akele.,28,22
1:43,227,Foul on Nicola Akele.,28,22
1:43,227,Official TV Timeout,28,22
1:43,258,Devon Hall missed Free Throw.,28,22
1:43,258,Virginia Deadball Team Rebound.,28,22
1:43,258,Devon Hall made Free Throw.,29,22
1:27,227,Ryan Preston made Layup. Assisted by Jeff Dowtin.,29,24
1:00,227,Foul on Jeff Dowtin.,29,24
0:47,227,Foul on Ryan Preston.,29,24
0:47,258,Jack Salt missed Free Throw.,29,24
0:47,258,Virginia Deadball Team Rebound.,29,24
0:47,258,Jack Salt made Free Throw.,30,24
0:30,227,Jarvis Garrett made Three Point Jumper. Assisted by Jared Terrell.,30,27
0:22,258,Virginia  Timeout,30,27
0:05,258,Ty Jerome missed Three Point Jumper.,30,27
0:05,227,Jarvis Garrett Defensive Rebound.,30,27
0:01,227,Jarvis Garrett missed Three Point Jumper.,30,27
0:01,258,Virginia Defensive Rebound.,30,27
0:00,227,End of 1st half,30,27
19:40,258,Kyle Guy missed Jumper.,30,27
19:40,258,Virginia Offensive Rebound.,30,27
19:13,258,Devon Hall missed Layup.,30,27
19:13,227,Andre Berry Defensive Rebound.,30,27
19:05,227,Andre Berry made Layup. Assisted by Jared Terrell.,30,29
18:45,258,Ty Jerome Turnover.,30,29
18:44,227,Stanford Robinson Steal.,30,29
18:41,227,Stanford Robinson made Dunk.,30,31
18:18,258,Isaiah Wilkins Turnover.,30,31
18:17,227,Jeff Dowtin Steal.,30,31
18:07,227,Jared Terrell missed Jumper.,30,31
18:07,258,Jack Salt Defensive Rebound.,30,31
17:43,258,Isaiah Wilkins made Jumper.,32,31
17:24,227,Andre Berry made Jumper. Assisted by Jared Terrell.,32,33
17:04,258,Devon Hall made Three Point Jumper. Assisted by Kyle Guy.,35,33
16:39,258,Foul on Jack Salt.,35,33
16:39,227,Andre Berry missed Free Throw.,35,33
16:39,227,Rhode Island Deadball Team Rebound.,35,33
16:39,227,Andre Berry missed Free Throw.,35,33
16:39,258,Isaiah Wilkins Defensive Rebound.,35,33
16:22,258,Ty Jerome Turnover.,35,33
16:21,227,Jared Terrell Steal.,35,33
16:16,227,Jared Terrell missed Layup.,35,33
16:16,258,Jack Salt Block.,35,33
16:16,227,Rhode Island Offensive Rebound.,35,33
16:04,227,Andre Berry made Layup. Assisted by Jeff Dowtin.,35,35
16:04,258,Foul on Isaiah Wilkins.,35,35
16:04,227,Andre Berry missed Free Throw.,35,35
16:04,258,Jack Salt Defensive Rebound.,35,35
15:44,227,Official TV Timeout,35,35
15:36,258,Devon Hall made Three Point Jumper. Assisted by Nigel Johnson.,38,35
15:09,227,Jeff Dowtin made Layup.,38,37
14:53,258,Devon Hall made Layup.,40,37
14:53,227,Foul on Andre Berry.,40,37
14:53,258,Devon Hall made Free Throw.,41,37
14:40,258,Foul on Jack Salt.,41,37
14:40,227,Stanford Robinson missed Free Throw.,41,37
14:40,227,Rhode Island Deadball Team Rebound.,41,37
14:40,227,Stanford Robinson missed Free Throw.,41,37
14:40,258,Jack Salt Defensive Rebound.,41,37
14:16,227,Foul on Stanford Robinson.,41,37
14:08,227,Foul on Jared Terrell.,41,37
13:57,258,Nigel Johnson Turnover.,41,37
13:38,227,Nicola Akele missed Jumper.,41,37
13:38,258,Jack Salt Defensive Rebound.,41,37
13:29,258,Nigel Johnson missed Layup.,41,37
13:29,227,Nicola Akele Block.,41,37
13:28,227,Nicola Akele Defensive Rebound.,41,37
13:06,227,Jared Terrell missed Layup.,41,37
13:06,227,Nicola Akele Offensive Rebound.,41,37
13:04,227,Nicola Akele missed Layup.,41,37
13:04,258,Jack Salt Defensive Rebound.,41,37
12:49,258,Mamadi Diakite made Layup. Assisted by Kyle Guy.,43,37
12:49,227,Foul on Andre Berry.,43,37
12:49,258,Mamadi Diakite made Free Throw.,44,37
12:25,227,Ryan Preston Turnover.,44,37
12:24,258,Mamadi Diakite Steal.,44,37
12:05,258,Kyle Guy missed Jumper.,44,37
12:05,227,Nicola Akele Block.,44,37
12:03,227,Jarvis Garrett Defensive Rebound.,44,37
11:40,227,Fatts Russell missed Jumper.,44,37
11:40,258,Nigel Johnson Defensive Rebound.,44,37
11:34,258,Kyle Guy made Three Point Jumper. Assisted by Nigel Johnson.,47,37
11:28,227,Rhode Island  Timeout,47,37
11:13,227,Jared Terrell made Layup.,47,39
10:54,258,Isaiah Wilkins made Jumper.,49,39
10:54,227,Foul on Stanford Robinson.,49,39
10:54,227,Official TV Timeout,49,39
10:54,258,Isaiah Wilkins made Free Throw.,50,39
10:39,227,Jared Terrell missed Jumper.,50,39
10:39,258,Nigel Johnson Defensive Rebound.,50,39
10:23,258,Nigel Johnson made Layup.,52,39
10:03,227,Jarvis Garrett missed Jumper.,52,39
10:03,227,Jarvis Garrett Offensive Rebound.,52,39
9:56,227,Jeff Dowtin made Jumper.,52,41
9:32,258,Isaiah Wilkins missed Three Point Jumper.,52,41
9:32,227,Jeff Dowtin Defensive Rebound.,52,41
9:27,227,Technical Foul on Jared Terrell.,52,41
9:27,258,Technical Foul on Mamadi Diakite.,52,41
9:27,227,Foul on Jared Terrell.,52,41
9:27,258,Foul on Mamadi Diakite.,52,41
9:09,227,Andre Berry made Layup. Assisted by Jared Terrell.,52,43
8:44,258,Kyle Guy Turnover.,52,43
8:42,227,Jared Terrell Steal.,52,43
8:40,227,Jared Terrell Turnover.,52,43
8:40,258,Ty Jerome Steal.,52,43
8:37,258,Kyle Guy missed Three Point Jumper.,52,43
8:37,227,Fatts Russell Defensive Rebound.,52,43
8:28,227,Fatts Russell missed Three Point Jumper.,52,43
8:28,258,Nigel Johnson Defensive Rebound.,52,43
8:16,258,Virginia  Timeout,52,43
8:06,258,Devon Hall missed Jumper.,52,43
8:06,227,Andre Berry Defensive Rebound.,52,43
7:47,227,Jeff Dowtin missed Three Point Jumper.,52,43
7:47,258,Isaiah Wilkins Defensive Rebound.,52,43
7:25,258,Isaiah Wilkins made Jumper.,54,43
7:13,258,Foul on De'Andre Hunter.,54,43
7:06,258,De'Andre Hunter Steal.,54,43
7:04,227,Stanford Robinson Turnover.,54,43
6:53,227,Foul on Stanford Robinson.,54,43
6:53,258,Isaiah Wilkins made Free Throw.,55,43
6:53,258,Isaiah Wilkins missed Free Throw.,55,43
6:53,227,Andre Berry Defensive Rebound.,55,43
6:44,258,Foul on De'Andre Hunter.,55,43
6:38,258,Foul on Isaiah Wilkins.,55,43
6:38,227,Andre Berry missed Free Throw.,55,43
6:38,227,Rhode Island Deadball Team Rebound.,55,43
6:38,227,Andre Berry made Free Throw.,55,44
6:22,258,Devon Hall missed Layup.,55,44
6:22,227,Andre Berry Defensive Rebound.,55,44
6:13,227,Jarvis Garrett missed Three Point Jumper.,55,44
6:13,258,Ty Jerome Defensive Rebound.,55,44
5:58,227,Foul on Jeff Dowtin.,55,44
5:58,258,Ty Jerome made Free Throw.,56,44
5:58,258,Ty Jerome made Free Throw.,57,44
5:46,227,Jarvis Garrett made Layup.,57,46
5:25,258,Nigel Johnson made Layup.,59,46
5:13,258,Foul on Ty Jerome.,59,46
5:13,227,Jarvis Garrett made Free Throw.,59,47
5:13,227,Jarvis Garrett made Free Throw.,59,48
4:43,258,Ty Jerome missed Jumper.,59,48
4:43,258,Ty Jerome Offensive Rebound.,59,48
4:19,227,Foul on Jared Terrell.,59,48
4:19,258,Devon Hall made Free Throw.,60,48
4:19,258,Devon Hall made Free Throw.,61,48
4:07,227,Jarvis Garrett made Layup.,61,50
3:43,258,Nigel Johnson missed Three Point Jumper.,61,50
3:43,227,Jarvis Garrett Defensive Rebound.,61,50
3:26,227,Jeff Dowtin missed Jumper.,61,50
3:26,258,Ty Jerome Defensive Rebound.,61,50
3:06,258,Devon Hall missed Jumper.,61,50
3:06,227,Andre Berry Defensive Rebound.,61,50
2:40,227,Jarvis Garrett Turnover.,61,50
2:39,258,Jack Salt Steal.,61,50
2:26,227,Foul on Fatts Russell.,61,50
2:26,227,Official TV Timeout,61,50
2:26,258,Nigel Johnson made Free Throw.,62,50
2:26,258,Nigel Johnson made Free Throw.,63,50
2:14,227,Nicola Akele made Layup. Assisted by Jared Terrell.,63,52
1:49,227,Foul on Jeff Dowtin.,63,52
1:49,258,Devon Hall made Free Throw.,64,52
1:49,258,Devon Hall made Free Throw.,65,52
1:44,227,Jared Terrell made Layup.,65,54
1:44,258,Foul on Devon Hall.,65,54
1:44,227,Jared Terrell made Free Throw.,65,55
1:44,258,Virginia  Timeout,65,55
1:24,227,Foul on Nicola Akele.,65,55
1:24,258,Ty Jerome made Free Throw.,66,55
1:24,258,Ty Jerome made Free Throw.,67,55
1:17,227,Jared Terrell missed Jumper.,67,55
1:17,258,Ty Jerome Defensive Rebound.,67,55
1:09,258,Isaiah Wilkins made Layup. Assisted by Nigel Johnson.,69,55
1:08,227,Foul on Nicola Akele.,69,55
1:08,258,Isaiah Wilkins made Free Throw.,70,55
0:56,227,Jeff Dowtin missed Three Point Jumper.,70,55
0:56,258,Devon Hall Defensive Rebound.,70,55
0:22,258,Nigel Johnson missed Three Point Jumper.,70,55
0:22,227,Jeff Dowtin Defensive Rebound.,70,55
0:13,227,Jeff Dowtin missed Layup.,70,55
0:13,258,Isaiah Wilkins Block.,70,55
0:12,258,Ty Jerome Defensive Rebound.,70,55
0:00,227,End of Game,70,55
