UNC Wilmington,2350,Loyola-Chicago,350
12:42,350,Marcus Bryan missed Layup.,14,19
12:42,350,Jaylen Fornes Offensive Rebound.,14,19
12:39,350,Jaylen Fornes made Layup.,16,19
12:29,2350,Clayton Custer made Three Point Jumper. Assisted by Aundre Jackson.,16,22
12:17,350,Jordon Talley made Layup.,18,22
12:07,350,Foul on Jordon Talley.,18,22
12:07,2350,Donte Ingram made Free Throw.,18,23
12:07,2350,Donte Ingram made Free Throw.,18,24
11:57,350,Jay Estime' missed Three Point Jumper.,18,24
11:57,2350,Christian Negron Defensive Rebound.,18,24
11:39,2350,Aundre Jackson missed Layup.,18,24
11:39,2350,Aundre Jackson Offensive Rebound.,18,24
11:37,2350,Aundre Jackson made Layup.,18,26
11:31,350,Foul on Nick Powell.,18,26
11:31,350,Nick Powell Turnover.,18,26
11:31,2350,Official TV Timeout,18,26
11:21,2350,Aundre Jackson missed Jumper.,18,26
11:21,350,Jeffrey Gary Defensive Rebound.,18,26
11:08,350,Ty Taylor II missed Jumper.,18,26
11:08,2350,Marques Townes Defensive Rebound.,18,26
11:01,2350,Donte Ingram made Three Point Jumper. Assisted by Marques Townes.,18,29
10:48,350,Nick Powell missed Three Point Jumper.,18,29
10:48,2350,Marques Townes Defensive Rebound.,18,29
10:40,2350,Marques Townes missed Jumper.,18,29
10:40,350,Ty Taylor II Defensive Rebound.,18,29
10:29,350,Jay Estime' missed Layup.,18,29
10:29,2350,Aundre Jackson Defensive Rebound.,18,29
10:11,350,Foul on Jay Estime'.,18,29
10:11,2350,Marques Townes missed Free Throw.,18,29
10:11,2350,Loyola-Chicago Deadball Team Rebound.,18,29
10:11,2350,Marques Townes made Free Throw.,18,30
9:51,350,Jordon Talley missed Jumper.,18,30
9:51,2350,Cameron Krutwig Defensive Rebound.,18,30
9:39,2350,Donte Ingram made Jumper.,18,32
9:19,350,Marcus Bryan missed Jumper.,18,32
9:19,2350,Donte Ingram Defensive Rebound.,18,32
9:10,2350,Lucas Williamson made Three Point Jumper. Assisted by Marques Townes.,18,35
9:05,350,UNC Wilmington  Timeout,18,35
8:39,350,Ty Taylor II made Jumper. Assisted by Marcus Bryan.,20,35
8:29,2350,Donte Ingram missed Three Point Jumper.,20,35
8:29,350,Marcus Bryan Defensive Rebound.,20,35
8:18,350,JaQuel Richmond missed Jumper.,20,35
8:18,2350,Cameron Krutwig Defensive Rebound.,20,35
8:03,350,Foul on JaQuel Richmond.,20,35
8:03,2350,Clayton Custer made Free Throw.,20,36
8:03,2350,Clayton Custer made Free Throw.,20,37
7:53,350,Jordon Talley Turnover.,20,37
7:51,2350,Donte Ingram Steal.,20,37
7:47,2350,Lucas Williamson missed Layup.,20,37
7:47,350,Ty Taylor II Block.,20,37
7:46,350,Jordon Talley Defensive Rebound.,20,37
7:42,2350,Foul on Marques Townes.,20,37
7:42,2350,Official TV Timeout,20,37
7:42,350,Ty Taylor II made Free Throw.,21,37
7:42,350,Ty Taylor II missed Free Throw.,21,37
7:42,2350,Donte Ingram Defensive Rebound.,21,37
7:42,350,Foul on Marcus Bryan.,21,37
7:42,2350,Donte Ingram made Free Throw.,21,38
7:42,2350,Donte Ingram made Free Throw.,21,39
7:32,2350,Foul on Lucas Williamson.,21,39
7:32,350,Ty Taylor II made Free Throw.,22,39
7:32,350,Ty Taylor II made Free Throw.,23,39
7:20,2350,Lucas Williamson missed Layup.,23,39
7:20,350,Marcus Bryan Block.,23,39
7:15,350,JaQuel Richmond Defensive Rebound.,23,39
7:13,350,Jordon Talley made Three Point Jumper. Assisted by JaQuel Richmond.,26,39
7:05,350,Foul on JaQuel Richmond.,26,39
7:05,2350,Cameron Krutwig made Free Throw.,26,40
7:05,2350,Cameron Krutwig made Free Throw.,26,41
6:51,350,Ty Taylor II missed Three Point Jumper.,26,41
6:51,2350,Cameron Krutwig Defensive Rebound.,26,41
6:51,2350,Cameron Krutwig Turnover.,26,41
6:42,350,Jaylen Fornes missed Three Point Jumper.,26,41
6:42,350,Devontae Cacok Offensive Rebound.,26,41
6:38,2350,Foul on Aundre Jackson.,26,41
6:34,350,Marcus Bryan made Layup. Assisted by Jordon Talley.,28,41
6:24,2350,Marques Townes made Layup.,28,43
6:14,350,Jordon Talley made Three Point Jumper. Assisted by Ty Taylor II.,31,43
5:55,2350,Aundre Jackson missed Three Point Jumper.,31,43
5:55,350,Marcus Bryan Defensive Rebound.,31,43
5:46,350,Devontae Cacok made Layup. Assisted by Ty Taylor II.,33,43
5:26,2350,Donte Ingram missed Three Point Jumper.,33,43
5:26,2350,Marques Townes Offensive Rebound.,33,43
5:22,350,Foul on Ty Taylor II.,33,43
5:22,2350,Marques Townes made Free Throw.,33,44
5:22,2350,Marques Townes made Free Throw.,33,45
5:14,350,Ty Taylor II missed Three Point Jumper.,33,45
5:14,350,Jaylen Fornes Offensive Rebound.,33,45
5:09,350,Devontae Cacok made Dunk. Assisted by Jaylen Fornes.,35,45
4:49,2350,Aundre Jackson Turnover.,35,45
4:35,350,Jaylen Fornes missed Layup.,35,45
4:35,350,UNC Wilmington Offensive Rebound.,35,45
4:16,350,Devontae Cacok made Layup. Assisted by Jaylen Fornes.,37,45
3:50,2350,Cameron Krutwig missed Jumper.,37,45
3:50,350,Devontae Cacok Defensive Rebound.,37,45
3:41,350,Jay Estime' missed Three Point Jumper.,37,45
3:41,350,Devontae Cacok Offensive Rebound.,37,45
3:25,2350,Foul on Marques Townes.,37,45
3:25,2350,Official TV Timeout,37,45
3:23,350,Jaylen Fornes missed Three Point Jumper.,37,45
3:23,350,Devontae Cacok Offensive Rebound.,37,45
3:17,350,Nick Powell missed Three Point Jumper.,37,45
3:17,2350,Donte Ingram Defensive Rebound.,37,45
3:08,2350,Clayton Custer made Jumper.,37,47
2:48,350,Devontae Cacok made Layup. Assisted by Jaylen Fornes.,39,47
2:30,2350,Lucas Williamson missed Jumper.,39,47
2:30,350,Jaylen Fornes Block.,39,47
2:29,2350,Bruno Skokna Offensive Rebound.,39,47
2:25,350,Foul on Jay Estime'.,39,47
2:25,2350,Bruno Skokna missed Free Throw.,39,47
2:25,2350,Loyola-Chicago Deadball Team Rebound.,39,47
2:25,2350,Bruno Skokna made Free Throw.,39,48
2:21,350,JaQuel Richmond Turnover.,39,48
2:18,2350,Aundre Jackson Steal.,39,48
2:17,2350,Aundre Jackson Turnover.,39,48
2:01,350,Marcus Bryan Turnover.,39,48
2:00,2350,Lucas Williamson Steal.,39,48
1:43,2350,Aundre Jackson made Three Point Jumper. Assisted by Cameron Satterwhite.,39,51
1:32,350,Ty Taylor II missed Jumper.,39,51
1:32,2350,Cameron Satterwhite Defensive Rebound.,39,51
1:22,2350,Clayton Custer missed Three Point Jumper.,39,51
1:22,350,Jaylen Fornes Defensive Rebound.,39,51
1:00,350,Ty Taylor II Turnover.,39,51
0:58,2350,Clayton Custer Steal.,39,51
0:57,2350,Donte Ingram Turnover.,39,51
0:39,350,Jordon Talley missed Three Point Jumper.,39,51
0:39,350,Marcus Bryan Offensive Rebound.,39,51
0:33,350,Marcus Bryan made Layup.,41,51
0:06,2350,Clayton Custer made Jumper.,41,53
0:00,350,Jordon Talley made Three Point Jumper.,44,53
0:00,2350,End of 1st half,44,53
19:47,350,Devontae Cacok missed Jumper.,44,53
19:47,2350,Donte Ingram Defensive Rebound.,44,53
19:21,2350,Cameron Krutwig missed Jumper.,44,53
19:21,2350,Marques Townes Offensive Rebound.,44,53
19:14,2350,Aundre Jackson made Three Point Jumper. Assisted by Donte Ingram.,44,56
19:05,2350,Foul on Clayton Custer.,44,56
19:00,350,Ty Taylor II Turnover.,44,56
18:59,2350,Clayton Custer Steal.,44,56
18:57,350,Foul on Ty Taylor II.,44,56
18:57,2350,Donte Ingram missed Free Throw.,44,56
18:57,2350,Loyola-Chicago Deadball Team Rebound.,44,56
18:57,2350,Donte Ingram made Free Throw.,44,57
18:40,350,Jaylen Fornes missed Layup.,44,57
18:40,2350,Donte Ingram Defensive Rebound.,44,57
18:38,2350,Aundre Jackson made Layup.,44,59
18:34,350,Jordon Talley Turnover.,44,59
18:16,2350,Aundre Jackson made Layup. Assisted by Cameron Krutwig.,44,61
18:03,350,Marcus Bryan Turnover.,44,61
18:00,2350,Lucas Williamson Steal.,44,61
18:00,350,Foul on Jaylen Fornes.,44,61
17:37,2350,Lucas Williamson made Three Point Jumper. Assisted by Aundre Jackson.,44,64
17:19,350,Jordon Talley missed Three Point Jumper.,44,64
17:19,2350,Donte Ingram Defensive Rebound.,44,64
17:07,350,Foul on Devontae Cacok.,44,64
17:07,2350,Cameron Krutwig made Free Throw.,44,65
17:07,2350,Cameron Krutwig made Free Throw.,44,66
17:03,350,Devontae Cacok Turnover.,44,66
16:50,350,Foul on Devontae Cacok.,44,66
16:50,2350,Marques Townes made Free Throw.,44,67
16:50,2350,Marques Townes made Free Throw.,44,68
16:40,350,JaQuel Richmond missed Three Point Jumper.,44,68
16:40,2350,Donte Ingram Defensive Rebound.,44,68
16:31,2350,Clayton Custer made Layup.,44,70
16:23,2350,Foul on Lucas Williamson.,44,70
16:23,350,Jordon Talley missed Free Throw.,44,70
16:23,350,UNC Wilmington Deadball Team Rebound.,44,70
16:23,350,Jordon Talley made Free Throw.,45,70
16:04,2350,Marques Townes made Layup.,45,72
15:53,350,Jay Estime' missed Three Point Jumper.,45,72
15:53,2350,Aundre Jackson Defensive Rebound.,45,72
15:46,2350,Donte Ingram missed Three Point Jumper.,45,72
15:46,350,Jay Estime' Defensive Rebound.,45,72
15:37,350,Jaylen Fornes Turnover.,45,72
15:36,2350,Bruno Skokna Steal.,45,72
15:25,2350,Marques Townes missed Layup.,45,72
15:25,350,Jay Estime' Defensive Rebound.,45,72
15:10,350,JaQuel Richmond made Three Point Jumper. Assisted by Jaylen Fornes.,48,72
14:49,350,Foul on Nick Powell.,48,72
14:49,2350,Official TV Timeout,48,72
14:47,2350,Marques Townes missed Layup.,48,72
14:47,350,JaQuel Richmond Defensive Rebound.,48,72
14:34,350,Jaylen Fornes missed Layup.,48,72
14:34,2350,Marques Townes Defensive Rebound.,48,72
14:28,2350,Aundre Jackson Turnover.,48,72
14:28,2350,Foul on Aundre Jackson.,48,72
14:12,350,Jeffrey Gary missed Three Point Jumper.,48,72
14:12,2350,Aundre Jackson Defensive Rebound.,48,72
13:47,2350,Bruno Skokna missed Three Point Jumper.,48,72
13:47,350,Jeffrey Gary Defensive Rebound.,48,72
13:36,350,Jay Estime' missed Jumper.,48,72
13:36,2350,Donte Ingram Defensive Rebound.,48,72
13:10,2350,Donte Ingram made Jumper.,48,74
12:45,350,Jaylen Fornes missed Jumper.,48,74
12:45,2350,Clayton Custer Defensive Rebound.,48,74
12:34,2350,Donte Ingram Turnover.,48,74
12:20,350,Marcus Bryan Turnover.,48,74
12:07,2350,Marques Townes made Layup. Assisted by Clayton Custer.,48,76
11:51,2350,Foul on Lucas Williamson.,48,76
11:51,2350,Official TV Timeout,48,76
11:51,350,JaQuel Richmond missed Free Throw.,48,76
11:51,350,UNC Wilmington Deadball Team Rebound.,48,76
11:51,350,JaQuel Richmond missed Free Throw.,48,76
11:51,2350,Cameron Satterwhite Defensive Rebound.,48,76
11:39,2350,Marques Townes made Three Point Jumper. Assisted by Clayton Custer.,48,79
11:31,350,Ty Taylor II Turnover.,48,79
11:21,2350,Marques Townes made Three Point Jumper. Assisted by Cameron Satterwhite.,48,82
11:09,350,Ty Taylor II made Three Point Jumper. Assisted by Jeffrey Gary.,51,82
10:37,2350,Marques Townes made Layup.,51,84
10:37,350,Foul on Devontae Cacok.,51,84
10:37,2350,Marques Townes missed Free Throw.,51,84
10:37,350,Ty Taylor II Defensive Rebound.,51,84
10:22,350,Ty Taylor II made Three Point Jumper. Assisted by JaQuel Richmond.,54,84
9:55,2350,Christian Negron missed Layup.,54,84
9:55,2350,Donte Ingram Offensive Rebound.,54,84
9:52,2350,Donte Ingram made Layup.,54,86
9:46,350,Jeffrey Gary made Layup. Assisted by Jordon Talley.,56,86
9:22,2350,Donte Ingram missed Jumper.,56,86
9:22,350,Marcus Bryan Defensive Rebound.,56,86
9:15,350,Ty Taylor II missed Three Point Jumper.,56,86
9:15,2350,Marques Townes Defensive Rebound.,56,86
8:43,2350,Christian Negron missed Layup.,56,86
8:43,350,Marcus Bryan Block.,56,86
8:41,350,JaQuel Richmond Defensive Rebound.,56,86
8:36,350,Ty Taylor II made Layup. Assisted by Jordon Talley.,58,86
8:33,2350,Official TV Timeout,58,86
8:17,2350,Marques Townes missed Three Point Jumper.,58,86
8:17,350,Marcus Bryan Defensive Rebound.,58,86
7:56,2350,Foul on Lucas Williamson.,58,86
7:56,350,Jay Estime' made Free Throw.,59,86
7:56,350,Jay Estime' missed Free Throw.,59,86
7:56,350,Marcus Bryan Offensive Rebound.,59,86
7:48,350,Jaylen Fornes missed Layup.,59,86
7:48,2350,Cameron Krutwig Defensive Rebound.,59,86
7:29,2350,Marques Townes made Layup. Assisted by Clayton Custer.,59,88
7:23,350,Jay Estime' Turnover.,59,88
7:00,2350,Cameron Krutwig made Layup.,59,90
6:38,350,Marcus Bryan missed Jumper.,59,90
6:38,350,Marcus Bryan Offensive Rebound.,59,90
6:35,350,Marcus Bryan made Layup.,61,90
6:12,2350,Clayton Custer made Layup.,61,92
6:01,350,Jacque Brown made Three Point Jumper. Assisted by Jay Estime'.,64,92
5:36,2350,Cameron Krutwig Turnover.,64,92
5:26,2350,Foul on Cameron Satterwhite.,64,92
5:26,350,Ty Taylor II made Free Throw.,65,92
5:26,350,Ty Taylor II missed Free Throw.,65,92
5:26,2350,Cameron Satterwhite Defensive Rebound.,65,92
5:13,2350,Bruno Skokna made Layup.,65,94
5:02,350,JaQuel Richmond missed Jumper.,65,94
5:02,350,UNC Wilmington Offensive Rebound.,65,94
4:58,350,UNC Wilmington  Timeout,65,94
4:53,350,JaQuel Richmond missed Jumper.,65,94
4:53,2350,Cameron Satterwhite Defensive Rebound.,65,94
4:27,2350,Carson Shanks missed Jumper.,65,94
4:27,350,UNC Wilmington Defensive Rebound.,65,94
4:13,2350,Foul on Christian Negron.,65,94
4:13,350,Jordon Talley made Free Throw.,66,94
4:13,350,Jordon Talley made Free Throw.,67,94
3:56,2350,Christian Negron made Layup. Assisted by Carson Shanks.,67,96
3:56,350,Foul on Jacque Brown.,67,96
3:56,2350,Official TV Timeout,67,96
3:56,2350,Christian Negron made Free Throw.,67,97
3:32,350,Trey Kalina made Jumper.,69,97
3:13,2350,Carson Shanks Turnover.,69,97
3:11,350,JaQuel Richmond Steal.,69,97
3:06,350,Jacque Brown made Jumper.,71,97
2:39,350,Foul on Trey Kalina.,71,97
2:39,2350,Christian Negron missed Free Throw.,71,97
2:39,2350,Loyola-Chicago Deadball Team Rebound.,71,97
2:39,2350,Christian Negron made Free Throw.,71,98
2:31,350,Jacque Brown missed Three Point Jumper.,71,98
2:31,2350,Loyola-Chicago Defensive Rebound.,71,98
2:03,2350,Christian Negron Turnover.,71,98
2:02,350,Trey Kalina Steal.,71,98
2:00,2350,Foul on Cameron Satterwhite.,71,98
2:00,350,Jacque Brown made Free Throw.,72,98
2:00,350,Jacque Brown missed Free Throw.,72,98
2:00,2350,Carson Shanks Defensive Rebound.,72,98
1:43,2350,Bruno Skokna made Jumper.,72,100
1:30,350,JaQuel Richmond made Three Point Jumper. Assisted by Jeffrey Gary.,75,100
1:08,2350,Cameron Satterwhite missed Layup.,75,100
1:08,350,Daniel Etoroma Defensive Rebound.,75,100
0:49,2350,Foul on Carson Shanks.,75,100
0:49,350,JaQuel Richmond missed Free Throw.,75,100
0:49,350,UNC Wilmington Deadball Team Rebound.,75,100
0:49,350,JaQuel Richmond made Free Throw.,76,100
0:24,2350,Nick Dinardi made Jumper. Assisted by Dylan Boehm.,76,102
0:07,350,Trey Kalina made Dunk. Assisted by Jay Estime'.,78,102
0:00,2350,End of Game,78,102
