Oregon,305,DePaul,2483
5:02,305,Tre'Darius McCallum made Jumper.,26,23
5:02,2483,Oregon  Timeout,26,23
4:45,2483,Payton Pritchard made Three Point Jumper. Assisted by Mikyle McIntosh.,29,23
4:32,305,Marin Maric made Layup.,29,25
4:04,2483,Troy Brown missed Jumper.,29,25
4:04,2483,Oregon Deadball Team Rebound.,29,25
4:04,305,Foul on Eli Cain.,29,25
4:04,2483,Kenny Wooten made Free Throw.,30,25
4:04,2483,Kenny Wooten made Free Throw.,31,25
3:47,305,Official TV Timeout,31,25
3:45,305,Tre'Darius McCallum missed Jumper.,31,25
3:45,2483,Victor Bailey Jr. Defensive Rebound.,31,25
3:37,2483,Mikyle McIntosh missed Jumper.,31,25
3:37,305,Eli Cain Defensive Rebound.,31,25
3:27,305,Max Strus made Three Point Jumper. Assisted by Eli Cain.,31,28
2:58,2483,Troy Brown made Three Point Jumper. Assisted by Victor Bailey Jr..,34,28
2:34,305,Eli Cain made Three Point Jumper. Assisted by Max Strus.,34,31
2:17,2483,Payton Pritchard missed Three Point Jumper.,34,31
2:17,305,Eli Cain Defensive Rebound.,34,31
2:11,305,Eli Cain made Layup.,34,33
1:46,2483,Foul on Kenny Wooten.,34,33
1:46,2483,Kenny Wooten Turnover.,34,33
1:27,305,Marin Maric made Jumper.,34,35
1:13,2483,Victor Bailey Jr. missed Three Point Jumper.,34,35
1:13,305,Marin Maric Defensive Rebound.,34,35
0:55,305,Max Strus missed Three Point Jumper.,34,35
0:55,2483,Troy Brown Defensive Rebound.,34,35
0:51,305,Foul on Tre'Darius McCallum.,34,35
0:51,2483,Troy Brown made Free Throw.,35,35
0:51,2483,Troy Brown made Free Throw.,36,35
0:35,305,Devin Gage missed Jumper.,36,35
0:35,305,Max Strus Offensive Rebound.,36,35
0:27,305,DePaul  Timeout,36,35
0:07,305,Devin Gage missed Layup.,36,35
0:07,2483,Mikyle McIntosh Defensive Rebound.,36,35
0:01,2483,Elijah Brown missed Three Point Jumper.,36,35
0:01,305,DePaul Deadball Team Rebound.,36,35
0:00,305,End of 1st half,36,35
20:00,305,Jump Ball won by DePaul,36,35
19:51,305,Foul on Max Strus.,36,35
19:51,305,Max Strus Turnover.,36,35
19:33,2483,Foul on Mikyle McIntosh.,36,35
19:33,2483,Mikyle McIntosh Turnover.,36,35
19:24,305,Max Strus made Three Point Jumper. Assisted by Tre'Darius McCallum.,36,38
19:20,2483,Elijah Brown Turnover.,36,38
19:20,305,Tre'Darius McCallum Steal.,36,38
19:12,305,Max Strus made Three Point Jumper.,36,41
19:05,2483,Oregon  Timeout,36,41
18:54,2483,Payton Pritchard missed Three Point Jumper.,36,41
18:54,2483,Paul White Offensive Rebound.,36,41
18:46,2483,Elijah Brown made Three Point Jumper. Assisted by Payton Pritchard.,39,41
18:25,305,Eli Cain made Jumper.,39,43
18:14,2483,Elijah Brown missed Three Point Jumper.,39,43
18:14,305,Tre'Darius McCallum Defensive Rebound.,39,43
18:05,305,Tre'Darius McCallum missed Jumper.,39,43
18:05,2483,Paul White Defensive Rebound.,39,43
17:56,2483,Elijah Brown made Layup.,41,43
17:34,305,Marin Maric made Dunk. Assisted by Eli Cain.,41,45
17:10,2483,Mikyle McIntosh Turnover.,41,45
17:00,305,Foul on Marin Maric.,41,45
17:00,305,Marin Maric Turnover.,41,45
16:55,305,Foul on Justin Roberts.,41,45
16:49,2483,Elijah Brown missed Three Point Jumper.,41,45
16:49,2483,Paul White Offensive Rebound.,41,45
16:44,2483,Paul White made Layup.,43,45
16:23,305,Justin Roberts made Jumper.,43,47
16:15,2483,Paul White missed Three Point Jumper.,43,47
16:15,305,Marin Maric Defensive Rebound.,43,47
16:05,305,Eli Cain missed Three Point Jumper.,43,47
16:05,2483,Troy Brown Defensive Rebound.,43,47
15:59,2483,Troy Brown Turnover.,43,47
15:59,305,Max Strus Steal.,43,47
15:51,2483,Foul on Payton Pritchard.,43,47
15:51,305,Official TV Timeout,43,47
15:51,305,Max Strus made Free Throw.,43,48
15:51,305,Max Strus made Free Throw.,43,49
15:33,2483,Paul White Turnover.,43,49
15:22,305,Max Strus missed Three Point Jumper.,43,49
15:22,305,Jaylen Butz Offensive Rebound.,43,49
15:18,305,Jaylen Butz missed Jumper.,43,49
15:18,2483,Kenny Wooten Block.,43,49
15:18,2483,Victor Bailey Jr. Defensive Rebound.,43,49
15:13,2483,Victor Bailey Jr. made Layup.,45,49
14:53,305,Eli Cain missed Jumper.,45,49
14:53,2483,Payton Pritchard Defensive Rebound.,45,49
14:43,2483,Victor Bailey Jr. missed Three Point Jumper.,45,49
14:43,2483,Oregon Deadball Team Rebound.,45,49
14:43,305,Foul on Jaylen Butz.,45,49
14:40,2483,Kenny Wooten made Dunk. Assisted by Payton Pritchard.,47,49
14:24,305,Tre'Darius McCallum Turnover.,47,49
14:19,2483,Payton Pritchard missed Layup.,47,49
14:19,2483,Kenny Wooten Offensive Rebound.,47,49
13:45,2483,Victor Bailey Jr. missed Three Point Jumper.,47,49
13:45,305,DePaul Deadball Team Rebound.,47,49
13:45,2483,Foul on Kenny Wooten.,47,49
13:29,305,Max Strus Turnover.,47,49
13:14,2483,Roman Sorkin missed Three Point Jumper.,47,49
13:14,305,Devin Gage Defensive Rebound.,47,49
12:44,305,Marin Maric missed Layup.,47,49
12:44,2483,Elijah Brown Defensive Rebound.,47,49
12:35,2483,Elijah Brown Turnover.,47,49
12:19,305,Eli Cain missed Jumper.,47,49
12:19,2483,Roman Sorkin Block.,47,49
12:19,305,Eli Cain Offensive Rebound.,47,49
12:14,305,Eli Cain Turnover.,47,49
12:14,2483,Victor Bailey Jr. Steal.,47,49
12:11,2483,Victor Bailey Jr. made Layup.,49,49
11:42,2483,Foul on Victor Bailey Jr..,49,49
11:42,305,Official TV Timeout,49,49
11:40,305,Marin Maric made Layup. Assisted by Brandon Cyrus.,49,51
11:26,2483,Mikyle McIntosh made Layup. Assisted by Elijah Brown.,51,51
11:00,305,Eli Cain made Layup.,51,53
10:36,305,Foul on Devin Gage.,51,53
10:25,2483,Paul White missed Jumper.,51,53
10:25,2483,Victor Bailey Jr. Offensive Rebound.,51,53
10:18,2483,Elijah Brown made Jumper.,53,53
9:47,305,Marin Maric made Layup.,53,55
9:23,2483,Payton Pritchard made Three Point Jumper.,56,55
8:51,2483,Foul on Paul White.,56,55
8:51,305,Eli Cain made Free Throw.,56,56
8:51,305,Eli Cain made Free Throw.,56,57
8:38,2483,Foul on Paul White.,56,57
8:38,2483,Paul White Turnover.,56,57
8:30,305,Marin Maric made Jumper.,56,59
8:20,2483,Payton Pritchard missed Three Point Jumper.,56,59
8:20,305,Eli Cain Defensive Rebound.,56,59
8:07,305,Eli Cain missed Three Point Jumper.,56,59
8:07,305,DePaul Deadball Team Rebound.,56,59
8:07,2483,Foul on Victor Bailey Jr..,56,59
8:07,305,Marin Maric made Free Throw.,56,60
8:07,305,Marin Maric made Free Throw.,56,61
7:53,2483,Elijah Brown made Layup.,58,61
7:30,305,DePaul  Timeout,58,61
7:27,305,Devin Gage made Layup.,58,63
7:27,2483,Foul on Kenny Wooten.,58,63
7:27,305,Devin Gage made Free Throw.,58,64
7:13,2483,Elijah Brown made Three Point Jumper.,61,64
6:40,305,Max Strus missed Three Point Jumper.,61,64
6:40,2483,Elijah Brown Defensive Rebound.,61,64
6:33,2483,Payton Pritchard made Three Point Jumper. Assisted by Elijah Brown.,64,64
5:58,2483,Foul on Mikyle McIntosh.,64,64
5:58,305,Eli Cain missed Free Throw.,64,64
5:58,305,DePaul Deadball Team Rebound.,64,64
5:58,305,Eli Cain made Free Throw.,64,65
5:48,2483,Foul on Mikyle McIntosh.,64,65
5:48,2483,Mikyle McIntosh Turnover.,64,65
5:28,305,Devin Gage made Layup.,64,67
5:17,2483,Payton Pritchard made Layup.,66,67
5:08,305,Devin Gage missed Layup.,66,67
5:08,2483,Kenny Wooten Block.,66,67
5:08,2483,Elijah Brown Defensive Rebound.,66,67
5:01,2483,Victor Bailey Jr. missed Layup.,66,67
5:01,2483,Elijah Brown Offensive Rebound.,66,67
4:57,2483,Payton Pritchard made Three Point Jumper. Assisted by Elijah Brown.,69,67
4:30,305,DePaul  Timeout,69,67
4:30,305,Official TV Timeout,69,67
4:30,305,Devin Gage missed Three Point Jumper.,69,67
4:30,2483,Victor Bailey Jr. Defensive Rebound.,69,67
4:01,305,Foul on Devin Gage.,69,67
3:48,2483,Elijah Brown missed Three Point Jumper.,69,67
3:48,305,Tre'Darius McCallum Defensive Rebound.,69,67
3:24,2483,Foul on Kenny Wooten.,69,67
3:24,305,Marin Maric made Free Throw.,69,68
3:24,305,Marin Maric made Free Throw.,69,69
3:01,305,Foul on Max Strus.,69,69
3:01,2483,Victor Bailey Jr. made Free Throw.,70,69
3:01,2483,Victor Bailey Jr. made Free Throw.,71,69
3:01,2483,Victor Bailey Jr. made Free Throw.,72,69
2:36,2483,Foul on Victor Bailey Jr..,72,69
2:36,305,Devin Gage made Free Throw.,72,70
2:36,305,Devin Gage made Free Throw.,72,71
2:24,2483,Paul White made Three Point Jumper. Assisted by Payton Pritchard.,75,71
1:59,305,Eli Cain made Layup.,75,73
1:43,2483,Foul on Payton Pritchard.,75,73
1:43,2483,Payton Pritchard Turnover.,75,73
1:12,305,Devin Gage missed Layup.,75,73
1:12,305,Marin Maric Offensive Rebound.,75,73
1:12,2483,Foul on Paul White.,75,73
1:12,305,Marin Maric made Free Throw.,75,74
1:12,305,Marin Maric made Free Throw.,75,75
1:02,2483,Victor Bailey Jr. missed Jumper.,75,75
1:02,305,Tre'Darius McCallum Defensive Rebound.,75,75
0:38,305,Eli Cain missed Jumper.,75,75
0:38,2483,Payton Pritchard Defensive Rebound.,75,75
0:01,2483,Payton Pritchard missed Three Point Jumper.,75,75
0:01,2483,Elijah Brown Offensive Rebound.,75,75
0:00,305,End of 2nd half,75,75
5:00,305,Jump Ball won by DePaul,75,75
4:38,305,Marin Maric missed Jumper.,75,75
4:38,305,Tre'Darius McCallum Offensive Rebound.,75,75
4:35,2483,Foul on Troy Brown.,75,75
4:35,305,Tre'Darius McCallum made Free Throw.,75,76
4:35,305,Tre'Darius McCallum made Free Throw.,75,77
4:23,2483,Elijah Brown made Jumper. Assisted by Payton Pritchard.,77,77
4:01,305,Max Strus made Layup.,77,79
3:40,2483,Mikyle McIntosh missed Three Point Jumper.,77,79
3:40,2483,Victor Bailey Jr. Offensive Rebound.,77,79
3:27,2483,Elijah Brown missed Three Point Jumper.,77,79
3:27,305,Tre'Darius McCallum Defensive Rebound.,77,79
2:58,305,Devin Gage missed Jumper.,77,79
2:58,2483,Payton Pritchard Defensive Rebound.,77,79
2:50,305,Foul on Eli Cain.,77,79
2:50,2483,Payton Pritchard made Free Throw.,78,79
2:50,2483,Payton Pritchard made Free Throw.,79,79
2:50,2483,Oregon  Timeout,79,79
2:41,305,Devin Gage Turnover.,79,79
2:23,2483,Payton Pritchard made Three Point Jumper.,82,79
1:58,305,Marin Maric Turnover.,82,79
1:58,2483,Elijah Brown Steal.,82,79
1:52,305,Foul on Devin Gage.,82,79
1:52,2483,Elijah Brown made Free Throw.,83,79
1:52,2483,Elijah Brown made Free Throw.,84,79
1:47,305,DePaul  Timeout,84,79
1:35,305,Devin Gage Turnover.,84,79
1:35,2483,Mikyle McIntosh Steal.,84,79
1:12,2483,Mikyle McIntosh Turnover.,84,79
0:53,305,Eli Cain missed Layup.,84,79
0:53,2483,Troy Brown Defensive Rebound.,84,79
0:38,305,Foul on Devin Gage.,84,79
0:38,2483,Payton Pritchard made Free Throw.,85,79
0:38,2483,Payton Pritchard made Free Throw.,86,79
0:32,305,Max Strus missed Three Point Jumper.,86,79
0:32,2483,Elijah Brown Defensive Rebound.,86,79
0:26,305,Foul on Marin Maric.,86,79
0:26,2483,Elijah Brown made Free Throw.,87,79
0:26,2483,Elijah Brown made Free Throw.,88,79
0:23,305,Eli Cain missed Three Point Jumper.,88,79
0:23,2483,Mikyle McIntosh Defensive Rebound.,88,79
0:16,305,Foul on Justin Roberts.,88,79
0:16,2483,Elijah Brown made Free Throw.,89,79
0:16,2483,Elijah Brown missed Free Throw.,89,79
0:16,2483,Troy Brown Offensive Rebound.,89,79
0:00,305,End of Game,89,79
