Vanderbilt,2550,Seton Hall,238
11:10,2550,Khadeen Carrington missed Jumper.,14,19
11:10,238,Ejike Obinna Defensive Rebound.,14,19
10:58,238,Maxwell Evans missed Dunk.,14,19
10:58,2550,Sandro Mamukelashvili Block.,14,19
10:57,2550,Khadeen Carrington Defensive Rebound.,14,19
10:52,2550,Michael Nzei Turnover.,14,19
10:21,238,Vanderbilt  Turnover.,14,19
10:01,2550,Michael Nzei Turnover.,14,19
9:43,238,Ejike Obinna made Dunk. Assisted by Larry Austin Jr..,16,19
9:22,2550,Sandro Mamukelashvili Turnover.,16,19
9:10,238,Clevon Brown missed Three Point Jumper.,16,19
9:10,2550,Myles Powell Defensive Rebound.,16,19
8:59,238,Foul on Larry Austin Jr..,16,19
8:48,2550,Desi Rodriguez missed Three Point Jumper.,16,19
8:48,2550,Desi Rodriguez Offensive Rebound.,16,19
8:43,2550,Desi Rodriguez made Layup.,16,21
8:13,238,Jeff Roberson made Three Point Jumper. Assisted by Larry Austin Jr..,19,21
7:49,2550,Angel Delgado Turnover.,19,21
7:48,238,Matthew Fisher-Davis Steal.,19,21
7:43,238,Jeff Roberson missed Three Point Jumper.,19,21
7:43,2550,Myles Powell Defensive Rebound.,19,21
7:29,2550,Desi Rodriguez made Jumper.,19,23
7:12,2550,Official TV Timeout,19,23
7:11,2550,Official TV Timeout,19,23
6:55,238,Riley LaChance made Three Point Jumper.,22,23
6:29,238,Foul on Djery Baptiste.,22,23
6:29,2550,Angel Delgado missed Free Throw.,22,23
6:29,2550,Seton Hall Deadball Team Rebound.,22,23
6:29,2550,Angel Delgado missed Free Throw.,22,23
6:29,238,Djery Baptiste Defensive Rebound.,22,23
6:11,238,Riley LaChance made Three Point Jumper. Assisted by Saben Lee.,25,23
5:58,2550,Seton Hall  Timeout,25,23
5:51,2550,Desi Rodriguez made Jumper.,25,25
5:39,238,Matthew Fisher-Davis missed Three Point Jumper.,25,25
5:39,238,Jeff Roberson Offensive Rebound.,25,25
5:36,238,Jeff Roberson made Layup.,27,25
5:24,2550,Angel Delgado missed Jumper.,27,25
5:24,238,Jeff Roberson Defensive Rebound.,27,25
5:11,238,Saben Lee made Layup.,29,25
4:53,238,Foul on Matthew Fisher-Davis.,29,25
4:53,2550,Angel Delgado made Free Throw.,29,26
4:53,2550,Angel Delgado made Free Throw.,29,27
4:27,238,Saben Lee made Three Point Jumper. Assisted by Riley LaChance.,32,27
4:04,2550,Khadeen Carrington missed Three Point Jumper.,32,27
4:04,238,Matthew Fisher-Davis Defensive Rebound.,32,27
3:50,238,Djery Baptiste missed Layup.,32,27
3:50,2550,Angel Delgado Defensive Rebound.,32,27
3:37,2550,Angel Delgado missed Layup.,32,27
3:37,238,Jeff Roberson Defensive Rebound.,32,27
3:15,238,Riley LaChance missed Three Point Jumper.,32,27
3:15,2550,Angel Delgado Defensive Rebound.,32,27
3:05,2550,Myles Powell missed Three Point Jumper.,32,27
3:05,238,Jeff Roberson Defensive Rebound.,32,27
2:37,238,Saben Lee missed Layup.,32,27
2:37,2550,Angel Delgado Defensive Rebound.,32,27
2:30,2550,Khadeen Carrington Turnover.,32,27
2:29,238,Matthew Fisher-Davis Steal.,32,27
2:29,2550,Foul on Ismael Sanogo.,32,27
2:29,2550,Official TV Timeout,32,27
2:04,238,Matthew Fisher-Davis missed Three Point Jumper.,32,27
2:04,2550,Michael Nzei Defensive Rebound.,32,27
1:51,2550,Desi Rodriguez made Jumper.,32,29
1:30,238,Larry Austin Jr. Turnover.,32,29
1:21,2550,Desi Rodriguez missed Jumper.,32,29
1:21,238,Jeff Roberson Defensive Rebound.,32,29
1:00,238,Joe Toye Turnover.,32,29
0:44,238,Foul on Ejike Obinna.,32,29
0:44,2550,Michael Nzei made Free Throw.,32,30
0:44,2550,Michael Nzei made Free Throw.,32,31
0:39,2550,Foul on Eron Gordon.,32,31
0:29,2550,Foul on Sandro Mamukelashvili.,32,31
0:29,238,Ejike Obinna missed Free Throw.,32,31
0:29,238,Vanderbilt Deadball Team Rebound.,32,31
0:29,238,Ejike Obinna missed Free Throw.,32,31
0:29,2550,Desi Rodriguez Defensive Rebound.,32,31
0:01,2550,Myles Powell missed Three Point Jumper.,32,31
0:01,2550,Michael Nzei Offensive Rebound.,32,31
0:00,2550,End of 1st half,32,31
19:52,238,Foul on Clevon Brown.,32,31
19:52,2550,Angel Delgado made Free Throw.,32,32
19:52,2550,Angel Delgado missed Free Throw.,32,32
19:52,238,Ejike Obinna Defensive Rebound.,32,32
19:51,2550,Foul on Desi Rodriguez.,32,32
19:41,238,Joe Toye Turnover.,32,32
19:40,2550,Angel Delgado Steal.,32,32
19:23,2550,Desi Rodriguez made Layup.,32,34
18:49,238,Larry Austin Jr. missed Three Point Jumper.,32,34
18:49,2550,Ismael Sanogo Defensive Rebound.,32,34
18:40,2550,Angel Delgado made Layup.,32,36
18:40,238,Foul on Larry Austin Jr..,32,36
18:40,2550,Angel Delgado missed Free Throw.,32,36
18:40,238,Jeff Roberson Defensive Rebound.,32,36
18:16,238,Matthew Fisher-Davis missed Three Point Jumper.,32,36
18:16,2550,Ismael Sanogo Defensive Rebound.,32,36
18:03,2550,Desi Rodriguez missed Jumper.,32,36
18:03,238,Jeff Roberson Defensive Rebound.,32,36
17:36,238,Saben Lee missed Jumper.,32,36
17:36,2550,Ismael Sanogo Block.,32,36
17:35,2550,Ismael Sanogo Defensive Rebound.,32,36
17:29,2550,Khadeen Carrington missed Layup.,32,36
17:29,238,Riley LaChance Defensive Rebound.,32,36
17:12,238,Jeff Roberson missed Three Point Jumper.,32,36
17:12,238,Matthew Fisher-Davis Offensive Rebound.,32,36
17:04,238,Jeff Roberson Turnover.,32,36
16:55,2550,Angel Delgado Turnover.,32,36
16:29,238,Matthew Fisher-Davis missed Jumper.,32,36
16:29,238,Matthew Fisher-Davis Offensive Rebound.,32,36
16:24,238,Riley LaChance missed Jumper.,32,36
16:24,238,Jeff Roberson Offensive Rebound.,32,36
16:19,238,Riley LaChance missed Three Point Jumper.,32,36
16:19,238,Saben Lee Offensive Rebound.,32,36
15:57,238,Saben Lee missed Jumper.,32,36
15:57,2550,Angel Delgado Defensive Rebound.,32,36
15:48,2550,Desi Rodriguez missed Jumper.,32,36
15:48,238,Vanderbilt Deadball Team Rebound.,32,36
15:48,2550,Foul on Angel Delgado.,32,36
15:48,2550,Official TV Timeout,32,36
15:26,238,Larry Austin Jr. missed Layup.,32,36
15:26,2550,Seton Hall Deadball Team Rebound.,32,36
15:26,238,Foul on Djery Baptiste.,32,36
14:59,2550,Desi Rodriguez missed Three Point Jumper.,32,36
14:59,238,Matthew Fisher-Davis Defensive Rebound.,32,36
14:51,238,Foul on Djery Baptiste.,32,36
14:51,238,Djery Baptiste Turnover.,32,36
14:46,2550,Ismael Sanogo missed Three Point Jumper.,32,36
14:46,238,Matthew Fisher-Davis Defensive Rebound.,32,36
14:25,238,Matthew Fisher-Davis missed Three Point Jumper.,32,36
14:25,2550,Ismael Sanogo Defensive Rebound.,32,36
14:16,2550,Myles Cale missed Three Point Jumper.,32,36
14:16,2550,Sandro Mamukelashvili Offensive Rebound.,32,36
14:06,2550,Desi Rodriguez missed Three Point Jumper.,32,36
14:06,238,Jeff Roberson Defensive Rebound.,32,36
13:59,238,Foul on Larry Austin Jr..,32,36
13:59,238,Larry Austin Jr. Turnover.,32,36
13:45,2550,Sandro Mamukelashvili made Three Point Jumper. Assisted by Eron Gordon.,32,39
13:28,2550,Foul on Sandro Mamukelashvili.,32,39
13:28,238,Jeff Roberson made Free Throw.,33,39
13:28,238,Jeff Roberson made Free Throw.,34,39
13:20,238,Foul on Ejike Obinna.,34,39
13:13,2550,Myles Powell made Three Point Jumper. Assisted by Eron Gordon.,34,42
13:04,238,Vanderbilt  Timeout,34,42
12:59,2550,Foul on Myles Powell.,34,42
12:47,238,Riley LaChance missed Three Point Jumper.,34,42
12:47,2550,Eron Gordon Defensive Rebound.,34,42
12:40,238,Foul on Saben Lee.,34,42
12:40,2550,Myles Powell made Free Throw.,34,43
12:40,2550,Myles Powell made Free Throw.,34,44
12:28,238,Jeff Roberson Turnover.,34,44
12:27,2550,Eron Gordon Steal.,34,44
12:03,2550,Michael Nzei made Dunk. Assisted by Myles Powell.,34,46
11:48,238,Saben Lee missed Layup.,34,46
11:48,238,Ejike Obinna Offensive Rebound.,34,46
11:45,238,Ejike Obinna made Dunk.,36,46
11:30,2550,Michael Nzei missed Jumper.,36,46
11:30,238,Jeff Roberson Defensive Rebound.,36,46
11:03,2550,Foul on Michael Nzei.,36,46
11:03,2550,Official TV Timeout,36,46
11:03,238,Ejike Obinna made Free Throw.,37,46
11:03,238,Ejike Obinna made Free Throw.,38,46
10:49,2550,Desi Rodriguez made Jumper. Assisted by Khadeen Carrington.,38,48
10:49,238,Foul on Matthew Fisher-Davis.,38,48
10:49,2550,Desi Rodriguez missed Free Throw.,38,48
10:49,238,Maxwell Evans Defensive Rebound.,38,48
10:25,238,Matthew Fisher-Davis Turnover.,38,48
10:04,2550,Desi Rodriguez missed Layup.,38,48
10:04,2550,Desi Rodriguez Offensive Rebound.,38,48
10:02,2550,Desi Rodriguez made Jumper.,38,50
9:54,238,Maxwell Evans made Dunk. Assisted by Saben Lee.,40,50
9:44,2550,Myles Cale missed Layup.,40,50
9:44,238,Ejike Obinna Block.,40,50
9:43,2550,Michael Nzei Offensive Rebound.,40,50
9:41,2550,Michael Nzei made Jumper.,40,52
9:22,2550,Foul on Sandro Mamukelashvili.,40,52
9:22,238,Jeff Roberson made Free Throw.,41,52
9:22,238,Jeff Roberson made Free Throw.,42,52
9:09,2550,Desi Rodriguez made Jumper.,42,54
8:40,238,Riley LaChance missed Jumper.,42,54
8:40,238,Vanderbilt Offensive Rebound.,42,54
8:37,238,Vanderbilt  Turnover.,42,54
8:28,2550,Myles Powell missed Three Point Jumper.,42,54
8:28,238,Maxwell Evans Defensive Rebound.,42,54
8:15,238,Jeff Roberson missed Three Point Jumper.,42,54
8:15,2550,Ismael Sanogo Defensive Rebound.,42,54
8:06,238,Foul on Riley LaChance.,42,54
8:06,2550,Khadeen Carrington missed Free Throw.,42,54
8:06,238,Jeff Roberson Defensive Rebound.,42,54
7:45,238,Saben Lee missed Jumper.,42,54
7:45,2550,Ismael Sanogo Block.,42,54
7:43,2550,Khadeen Carrington Defensive Rebound.,42,54
7:39,2550,Desi Rodriguez made Layup. Assisted by Khadeen Carrington.,42,56
7:38,238,Foul on Jeff Roberson.,42,56
7:38,2550,Official TV Timeout,42,56
7:38,2550,Desi Rodriguez missed Free Throw.,42,56
7:38,238,Jeff Roberson Defensive Rebound.,42,56
7:18,2550,Foul on Angel Delgado.,42,56
7:18,238,Jeff Roberson made Free Throw.,43,56
7:18,238,Jeff Roberson made Free Throw.,44,56
7:05,2550,Angel Delgado Turnover.,44,56
6:42,2550,Foul on Ismael Sanogo.,44,56
6:42,238,Djery Baptiste made Free Throw.,45,56
6:42,238,Djery Baptiste made Free Throw.,46,56
6:32,238,Foul on Saben Lee.,46,56
6:32,2550,Desi Rodriguez missed Free Throw.,46,56
6:32,2550,Seton Hall Deadball Team Rebound.,46,56
6:32,2550,Desi Rodriguez missed Free Throw.,46,56
6:32,238,Djery Baptiste Defensive Rebound.,46,56
6:15,238,Riley LaChance missed Three Point Jumper.,46,56
6:15,2550,Khadeen Carrington Defensive Rebound.,46,56
6:02,238,Foul on Djery Baptiste.,46,56
6:02,2550,Angel Delgado made Free Throw.,46,57
6:02,2550,Angel Delgado made Free Throw.,46,58
5:49,238,Maxwell Evans missed Three Point Jumper.,46,58
5:49,2550,Ismael Sanogo Defensive Rebound.,46,58
5:32,2550,Angel Delgado made Jumper.,46,60
5:17,238,Matthew Fisher-Davis missed Three Point Jumper.,46,60
5:17,238,Riley LaChance Offensive Rebound.,46,60
5:14,238,Riley LaChance missed Jumper.,46,60
5:14,2550,Angel Delgado Defensive Rebound.,46,60
4:56,238,Foul on Ejike Obinna.,46,60
4:56,2550,Khadeen Carrington missed Free Throw.,46,60
4:56,2550,Seton Hall Deadball Team Rebound.,46,60
4:56,2550,Khadeen Carrington made Free Throw.,46,61
4:48,238,Clevon Brown made Layup. Assisted by Saben Lee.,48,61
4:32,2550,Myles Powell missed Three Point Jumper.,48,61
4:32,238,Matthew Fisher-Davis Defensive Rebound.,48,61
4:12,238,Jeff Roberson missed Layup.,48,61
4:12,2550,Angel Delgado Defensive Rebound.,48,61
4:00,238,Foul on Jeff Roberson.,48,61
4:00,2550,Ismael Sanogo made Free Throw.,48,62
4:00,2550,Ismael Sanogo made Free Throw.,48,63
3:37,238,Matthew Fisher-Davis missed Jumper.,48,63
3:37,2550,Angel Delgado Defensive Rebound.,48,63
3:30,2550,Myles Powell made Layup. Assisted by Angel Delgado.,48,65
3:23,238,Vanderbilt  Timeout,48,65
3:06,2550,Foul on Desi Rodriguez.,48,65
3:06,238,Jeff Roberson made Free Throw.,49,65
3:06,238,Jeff Roberson made Free Throw.,50,65
2:49,2550,Angel Delgado missed Jumper.,50,65
2:49,238,Joe Toye Defensive Rebound.,50,65
2:41,238,Joe Toye made Layup.,52,65
2:13,2550,Ismael Sanogo missed Layup.,52,65
2:13,2550,Ismael Sanogo Offensive Rebound.,52,65
2:12,2550,Ismael Sanogo made Two Point Tip Shot.,52,67
1:59,238,Joe Toye missed Three Point Jumper.,52,67
1:59,2550,Angel Delgado Defensive Rebound.,52,67
1:29,2550,Khadeen Carrington missed Jumper.,52,67
1:29,238,Jeff Roberson Defensive Rebound.,52,67
1:22,238,Saben Lee made Layup.,54,67
1:22,2550,Foul on Ismael Sanogo.,54,67
1:22,238,Saben Lee made Free Throw.,55,67
0:52,2550,Seton Hall  Turnover.,55,67
0:42,238,Jeff Roberson made Layup.,57,67
0:29,238,Foul on Joe Toye.,57,67
0:29,2550,Desi Rodriguez made Free Throw.,57,68
0:29,2550,Desi Rodriguez made Free Throw.,57,69
0:24,238,Saben Lee missed Three Point Jumper.,57,69
0:24,238,Joe Toye Offensive Rebound.,57,69
0:19,2550,Foul on Shavar Reynolds.,57,69
0:19,238,Joe Toye made Free Throw.,58,69
0:19,238,Joe Toye made Free Throw.,59,69
0:03,2550,Philip Flory missed Layup.,59,69
0:03,238,Clevon Brown Block.,59,69
0:02,2550,Seton Hall Offensive Rebound.,59,69
0:01,2550,Shavar Reynolds made Three Point Jumper. Assisted by Eron Gordon.,59,72
0:00,2550,End of Game,59,72
