Oakland,2305,Kansas,2473
2:04,2473,Foul on Brailen Neely.,24,48
2:04,2305,Devonte' Graham made Free Throw.,24,49
2:04,2305,Devonte' Graham made Free Throw.,24,50
1:53,2473,Kendrick Nunn missed Three Point Jumper.,24,50
1:53,2305,Mitch Lightfoot Defensive Rebound.,24,50
1:41,2305,Devonte' Graham missed Layup.,24,50
1:41,2473,Martez Walker Defensive Rebound.,24,50
1:36,2473,Martez Walker missed Layup.,24,50
1:36,2305,Sviatoslav Mykhailiuk Block.,24,50
1:34,2305,Lagerald Vick Defensive Rebound.,24,50
1:30,2305,Malik Newman Turnover.,24,50
1:15,2473,Kendrick Nunn missed Jumper.,24,50
1:15,2305,Malik Newman Defensive Rebound.,24,50
1:07,2305,Malik Newman made Layup.,24,52
1:07,2473,Foul on Jalen Hayes.,24,52
1:07,2305,Malik Newman made Free Throw.,24,53
0:55,2473,Stan Scott Turnover.,24,53
0:54,2305,Malik Newman Steal.,24,53
0:51,2305,Malik Newman made Layup.,24,55
0:38,2473,Kendrick Nunn made Jumper.,26,55
0:25,2305,Kansas  Timeout,26,55
0:07,2305,Devonte' Graham missed Jumper.,26,55
0:07,2473,Oakland Defensive Rebound.,26,55
0:01,2473,Martez Walker missed Three Point Jumper.,26,55
0:01,2305,Sviatoslav Mykhailiuk Defensive Rebound.,26,55
0:00,2305,End of 1st half,26,55
19:50,2473,Jalen Hayes made Jumper. Assisted by Brailen Neely.,28,55
19:40,2305,Sviatoslav Mykhailiuk made Layup.,28,57
19:17,2473,Brailen Neely missed Three Point Jumper.,28,57
19:17,2305,Udoka Azubuike Defensive Rebound.,28,57
19:08,2305,Sviatoslav Mykhailiuk missed Three Point Jumper.,28,57
19:08,2473,Martez Walker Defensive Rebound.,28,57
18:57,2473,Martez Walker missed Jumper.,28,57
18:57,2305,Lagerald Vick Block.,28,57
18:55,2305,Lagerald Vick Defensive Rebound.,28,57
18:53,2305,Devonte' Graham made Three Point Jumper.,28,60
18:29,2473,Martez Walker missed Three Point Jumper.,28,60
18:29,2305,Devonte' Graham Defensive Rebound.,28,60
18:21,2305,Malik Newman made Layup.,28,62
18:21,2473,Foul on Kendrick Nunn.,28,62
18:21,2473,Oakland  Timeout,28,62
18:21,2305,Malik Newman made Free Throw.,28,63
18:07,2473,Brailen Neely made Jumper.,30,63
17:41,2305,Lagerald Vick missed Three Point Jumper.,30,63
17:41,2473,Isaiah Brock Defensive Rebound.,30,63
17:34,2473,Brailen Neely Turnover.,30,63
17:33,2305,Sviatoslav Mykhailiuk Steal.,30,63
17:29,2305,Devonte' Graham missed Three Point Jumper.,30,63
17:29,2473,Isaiah Brock Defensive Rebound.,30,63
17:20,2473,Kendrick Nunn made Three Point Jumper.,33,63
16:48,2305,Udoka Azubuike made Dunk. Assisted by Malik Newman.,33,65
16:38,2473,Oakland  Timeout,33,65
16:18,2473,Martez Walker made Layup.,35,65
16:10,2305,Lagerald Vick made Layup.,35,67
15:52,2473,Brailen Neely Turnover.,35,67
15:52,2305,Official TV Timeout,35,67
15:29,2305,Udoka Azubuike made Two Point Tip Shot. Assisted by Lagerald Vick.,35,69
15:10,2473,Jalen Hayes made Jumper. Assisted by Brailen Neely.,37,69
14:55,2305,Malik Newman missed Jumper.,37,69
14:55,2473,Isaiah Brock Block.,37,69
14:54,2473,Jalen Hayes Defensive Rebound.,37,69
14:50,2473,Martez Walker missed Three Point Jumper.,37,69
14:50,2305,Malik Newman Defensive Rebound.,37,69
14:43,2305,Lagerald Vick made Dunk. Assisted by Malik Newman.,37,71
14:20,2473,Jalen Hayes Turnover.,37,71
14:18,2305,Sviatoslav Mykhailiuk Steal.,37,71
14:12,2305,Udoka Azubuike missed Layup.,37,71
14:12,2305,Udoka Azubuike Offensive Rebound.,37,71
14:00,2473,Foul on Isaiah Brock.,37,71
13:59,2305,Devonte' Graham made Jumper.,37,73
13:25,2473,Kendrick Nunn made Jumper.,39,73
13:17,2305,Devonte' Graham Turnover.,39,73
13:16,2473,Kendrick Nunn Steal.,39,73
13:11,2473,Brailen Neely missed Three Point Jumper.,39,73
13:11,2473,Martez Walker Offensive Rebound.,39,73
13:07,2305,Foul on Sviatoslav Mykhailiuk.,39,73
13:04,2473,Kendrick Nunn missed Three Point Jumper.,39,73
13:04,2305,Lagerald Vick Defensive Rebound.,39,73
12:57,2305,Lagerald Vick made Layup.,39,75
12:41,2473,Brailen Neely made Three Point Jumper. Assisted by Kendrick Nunn.,42,75
12:24,2305,Sviatoslav Mykhailiuk missed Jumper.,42,75
12:24,2473,Julius Palmer Defensive Rebound.,42,75
12:17,2473,Kendrick Nunn made Three Point Jumper. Assisted by Brailen Neely.,45,75
11:51,2305,Malik Newman missed Three Point Jumper.,45,75
11:51,2473,Julius Palmer Defensive Rebound.,45,75
11:33,2473,Brailen Neely missed Three Point Jumper.,45,75
11:33,2305,Lagerald Vick Defensive Rebound.,45,75
11:18,2305,Lagerald Vick missed Jumper.,45,75
11:18,2473,Kendrick Nunn Defensive Rebound.,45,75
11:10,2473,Kendrick Nunn made Layup.,47,75
10:51,2473,Foul on Julius Palmer.,47,75
10:51,2305,Official TV Timeout,47,75
10:51,2305,Lagerald Vick missed Free Throw.,47,75
10:51,2305,Kansas Deadball Team Rebound.,47,75
10:51,2305,Lagerald Vick made Free Throw.,47,76
10:36,2473,Nick Daniels missed Jumper.,47,76
10:36,2305,Udoka Azubuike Block.,47,76
10:34,2305,Malik Newman Defensive Rebound.,47,76
10:25,2305,Udoka Azubuike missed Jumper.,47,76
10:25,2473,Jalen Hayes Defensive Rebound.,47,76
10:20,2305,Foul on Malik Newman.,47,76
10:17,2473,Foul on Kendrick Nunn.,47,76
10:17,2473,Kendrick Nunn Turnover.,47,76
10:04,2305,Udoka Azubuike made Dunk. Assisted by Lagerald Vick.,47,78
9:43,2473,Nick Daniels made Three Point Jumper. Assisted by Jalen Hayes.,50,78
9:31,2305,Malik Newman Turnover.,50,78
9:29,2473,Kendrick Nunn Steal.,50,78
9:27,2473,Nick Daniels Turnover.,50,78
9:26,2305,Devonte' Graham Steal.,50,78
9:23,2305,Malik Newman made Three Point Jumper. Assisted by Devonte' Graham.,50,81
9:07,2473,Kendrick Nunn missed Three Point Jumper.,50,81
9:07,2473,Kendrick Nunn Offensive Rebound.,50,81
9:01,2473,Julius Palmer made Dunk. Assisted by Jalen Hayes.,52,81
8:37,2305,Udoka Azubuike missed Layup.,52,81
8:37,2305,Udoka Azubuike Offensive Rebound.,52,81
8:35,2305,Udoka Azubuike made Two Point Tip Shot.,52,83
8:34,2473,Foul on Jalen Hayes.,52,83
8:34,2305,Udoka Azubuike missed Free Throw.,52,83
8:34,2473,Isaiah Brock Defensive Rebound.,52,83
8:09,2473,Isaiah Brock missed Jumper.,52,83
8:09,2305,Marcus Garrett Defensive Rebound.,52,83
8:02,2305,Sviatoslav Mykhailiuk missed Layup.,52,83
