Mt. St. Mary's,195,Ohio,116
7:35,116,Ryan Gomes made Jumper.,63,79
7:29,116,Foul on Donald Carey.,63,79
7:28,195,Ohio  Timeout,63,79
7:28,195,Official TV Timeout,63,79
7:04,116,Foul on Bobby Planutis.,63,79
7:04,195,Teyvion Kirk missed Free Throw.,63,79
7:04,195,Ohio Deadball Team Rebound.,63,79
7:04,195,Teyvion Kirk made Free Throw.,63,80
6:52,116,Bobby Planutis missed Layup.,63,80
6:52,195,Jordan Dartis Block.,63,80
6:52,116,Mt. St. Mary's Offensive Rebound.,63,80
6:38,116,Bobby Planutis made Three Point Jumper. Assisted by Junior Robinson.,66,80
6:25,195,Mike Laster missed Three Point Jumper.,66,80
6:25,116,Jonah Antonio Defensive Rebound.,66,80
6:07,116,Jonah Antonio missed Jumper.,66,80
6:07,195,Jordan Dartis Defensive Rebound.,66,80
5:46,195,Teyvion Kirk missed Jumper.,66,80
5:46,195,Doug Taylor Offensive Rebound.,66,80
5:43,195,Doug Taylor missed Layup.,66,80
5:43,195,Teyvion Kirk Offensive Rebound.,66,80
5:43,116,Foul on Ryan Gomes.,66,80
5:43,195,Teyvion Kirk made Free Throw.,66,81
5:43,195,Teyvion Kirk made Free Throw.,66,82
5:23,116,Jonah Antonio missed Three Point Jumper.,66,82
5:23,195,Mike Laster Defensive Rebound.,66,82
4:59,195,Doug Taylor made Jumper.,66,84
4:44,116,Junior Robinson missed Layup.,66,84
4:44,116,Mt. St. Mary's Offensive Rebound.,66,84
4:36,116,Ryan Gomes missed Jumper.,66,84
4:36,195,Doug Taylor Defensive Rebound.,66,84
4:14,195,Doug Taylor missed Jumper.,66,84
4:14,116,Jonah Antonio Defensive Rebound.,66,84
4:03,195,Foul on Doug Taylor.,66,84
3:59,116,Greg Alexander missed Three Point Jumper.,66,84
3:59,195,Doug Taylor Defensive Rebound.,66,84
3:42,195,Jordan Dartis missed Three Point Jumper.,66,84
3:42,116,Donald Carey Defensive Rebound.,66,84
3:21,116,Junior Robinson Turnover.,66,84
3:19,195,Jordan Dartis Steal.,66,84
3:14,195,Jordan Dartis made Three Point Jumper. Assisted by Gavin Block.,66,87
2:53,116,Junior Robinson made Layup.,68,87
2:46,195,Teyvion Kirk made Layup.,68,89
2:46,116,Foul on Ryan Gomes.,68,89
2:46,195,Official TV Timeout,68,89
2:46,195,Teyvion Kirk made Free Throw.,68,90
2:31,116,Greg Alexander made Three Point Jumper. Assisted by Ryan Gomes.,71,90
2:09,195,Ellis Dozier missed Jumper.,71,90
2:09,116,Donald Carey Defensive Rebound.,71,90
1:52,116,Junior Robinson made Layup.,73,90
1:31,116,Foul on Junior Robinson.,73,90
1:31,195,Zach Butler made Free Throw.,73,91
1:31,195,Zach Butler made Free Throw.,73,92
1:18,195,Foul on Ellis Dozier.,73,92
1:18,116,Junior Robinson made Free Throw.,74,92
1:18,116,Junior Robinson made Free Throw.,75,92
1:07,195,Zach Butler made Layup.,75,94
0:47,116,Junior Robinson missed Three Point Jumper.,75,94
0:47,195,Sam Frayer Defensive Rebound.,75,94
0:27,195,Sam Frayer made Jumper.,75,96
0:11,116,Junior Robinson made Layup.,77,96
0:00,195,End of Game,77,96
