Arizona State,2752,Xavier,9
8:02,2752,Kerem Kanter made Layup.,23,25
7:54,9,Arizona State  Timeout,23,25
7:54,2752,Official TV Timeout,23,25
7:35,9,Tra Holder Turnover.,23,25
7:34,2752,J.P. Macura Steal.,23,25
7:31,2752,J.P. Macura made Layup.,23,27
7:31,9,Foul on Tra Holder.,23,27
7:31,2752,J.P. Macura made Free Throw.,23,28
7:15,9,Shannon Evans II missed Layup.,23,28
7:15,2752,Kerem Kanter Defensive Rebound.,23,28
7:09,2752,Naji Marshall made Layup. Assisted by J.P. Macura.,23,30
6:47,9,Tra Holder missed Layup.,23,30
6:47,2752,Kerem Kanter Defensive Rebound.,23,30
6:42,2752,J.P. Macura made Three Point Jumper. Assisted by Kerem Kanter.,23,33
6:39,9,Arizona State  Timeout,23,33
6:25,9,Tra Holder made Layup.,25,33
6:10,2752,Trevon Bluiett Turnover.,25,33
6:09,9,Remy Martin Steal.,25,33
6:07,9,Remy Martin made Layup.,27,33
5:53,2752,Paul Scruggs missed Jumper.,27,33
5:53,9,Romello White Defensive Rebound.,27,33
5:34,9,Romello White Turnover.,27,33
5:22,2752,Kerem Kanter made Layup.,27,35
4:56,9,Shannon Evans II missed Three Point Jumper.,27,35
4:56,2752,Trevon Bluiett Defensive Rebound.,27,35
4:44,2752,Kerem Kanter made Layup.,27,37
4:19,9,Tra Holder made Layup.,29,37
4:12,2752,Kerem Kanter made Layup. Assisted by Quentin Goodin.,29,39
3:55,9,Foul on De'Quon Lake.,29,39
3:55,9,De'Quon Lake Turnover.,29,39
3:55,2752,Official TV Timeout,29,39
3:41,2752,Naji Marshall made Layup.,29,41
3:22,9,Shannon Evans II missed Layup.,29,41
3:22,2752,Naji Marshall Defensive Rebound.,29,41
3:16,2752,Kaiser Gates made Three Point Jumper. Assisted by Trevon Bluiett.,29,44
3:12,2752,Foul on Kerem Kanter.,29,44
2:56,2752,Foul on Quentin Goodin.,29,44
2:56,9,Remy Martin made Free Throw.,30,44
2:56,9,Remy Martin made Free Throw.,31,44
2:31,2752,Paul Scruggs Turnover.,31,44
2:30,9,Kodi Justice Steal.,31,44
2:24,9,Tra Holder made Layup. Assisted by Remy Martin.,33,44
2:01,2752,Kaiser Gates missed Three Point Jumper.,33,44
2:01,9,Shannon Evans II Defensive Rebound.,33,44
1:54,9,Tra Holder made Three Point Jumper. Assisted by Shannon Evans II.,36,44
1:40,2752,Xavier  Timeout,36,44
1:16,2752,Trevon Bluiett Turnover.,36,44
1:15,9,Tra Holder Steal.,36,44
1:07,9,Tra Holder made Layup.,38,44
1:07,2752,Foul on Quentin Goodin.,38,44
1:07,9,Tra Holder missed Free Throw.,38,44
1:07,2752,Tyrique Jones Defensive Rebound.,38,44
1:00,9,Foul on Remy Martin.,38,44
1:00,2752,J.P. Macura missed Free Throw.,38,44
1:00,2752,J.P. Macura Offensive Rebound.,38,44
0:57,9,Foul on Shannon Evans II.,38,44
0:57,2752,J.P. Macura made Free Throw.,38,45
0:57,2752,J.P. Macura made Free Throw.,38,46
0:45,9,Remy Martin made Layup.,40,46
0:45,2752,Foul on Sean O'Mara.,40,46
0:45,9,Remy Martin made Free Throw.,41,46
0:29,2752,Elias Harden Turnover.,41,46
0:04,9,Tra Holder made Three Point Jumper. Assisted by Shannon Evans II.,44,46
0:00,2752,End of 1st half,44,46
19:37,9,Tra Holder missed Layup.,44,46
19:37,9,Romello White Offensive Rebound.,44,46
19:37,2752,Foul on Kaiser Gates.,44,46
19:37,9,Romello White made Free Throw.,45,46
19:37,9,Romello White made Free Throw.,46,46
19:19,2752,Tyrique Jones missed Layup.,46,46
19:19,9,Vitaliy Shibel Block.,46,46
19:17,9,Tra Holder Defensive Rebound.,46,46
19:15,2752,Foul on Kaiser Gates.,46,46
19:15,9,Tra Holder made Free Throw.,47,46
19:15,9,Tra Holder made Free Throw.,48,46
19:02,9,Foul on Romello White.,48,46
18:56,2752,Kaiser Gates missed Three Point Jumper.,48,46
18:56,2752,Xavier Offensive Rebound.,48,46
18:46,9,Foul on Romello White.,48,46
18:46,2752,Quentin Goodin made Free Throw.,48,47
18:46,2752,Quentin Goodin made Free Throw.,48,48
18:31,9,De'Quon Lake made Dunk. Assisted by Shannon Evans II.,50,48
18:11,2752,Tyrique Jones made Dunk. Assisted by Quentin Goodin.,50,50
17:56,9,Kodi Justice missed Three Point Jumper.,50,50
17:56,2752,Tyrique Jones Defensive Rebound.,50,50
17:46,2752,J.P. Macura missed Layup.,50,50
17:46,9,De'Quon Lake Defensive Rebound.,50,50
17:32,9,Foul on Shannon Evans II.,50,50
17:32,9,Shannon Evans II Turnover.,50,50
17:15,2752,Trevon Bluiett made Layup.,50,52
17:15,9,Foul on De'Quon Lake.,50,52
17:15,2752,Trevon Bluiett missed Free Throw.,50,52
17:15,9,De'Quon Lake Defensive Rebound.,50,52
17:08,9,Kodi Justice made Three Point Jumper. Assisted by Tra Holder.,53,52
16:46,2752,J.P. Macura made Three Point Jumper. Assisted by Quentin Goodin.,53,55
16:29,9,Kodi Justice made Three Point Jumper. Assisted by Shannon Evans II.,56,55
16:16,2752,Foul on Quentin Goodin.,56,55
16:16,2752,Quentin Goodin Turnover.,56,55
16:03,9,Tra Holder made Layup.,58,55
15:50,2752,Technical Foul on Trevon Bluiett.,58,55
15:50,2752,Foul on Trevon Bluiett.,58,55
15:50,9,Foul on Tra Holder.,58,55
15:50,9,Technical Foul on Tra Holder.,58,55
15:50,2752,Official TV Timeout,58,55
15:41,2752,Kaiser Gates missed Three Point Jumper.,58,55
15:41,9,De'Quon Lake Defensive Rebound.,58,55
15:16,9,Kodi Justice made Three Point Jumper. Assisted by Tra Holder.,61,55
14:55,2752,Tyrique Jones made Layup.,61,57
14:41,9,De'Quon Lake made Layup. Assisted by Tra Holder.,63,57
14:19,2752,Tyrique Jones made Layup. Assisted by Trevon Bluiett.,63,59
13:55,9,Tra Holder missed Three Point Jumper.,63,59
13:55,2752,Kaiser Gates Defensive Rebound.,63,59
13:39,2752,Paul Scruggs Turnover.,63,59
13:38,9,Remy Martin Steal.,63,59
13:33,2752,Foul on J.P. Macura.,63,59
13:33,9,Tra Holder made Free Throw.,64,59
13:33,9,Tra Holder made Free Throw.,65,59
13:22,2752,Paul Scruggs Turnover.,65,59
13:21,9,Tra Holder Steal.,65,59
13:19,9,Tra Holder made Layup.,67,59
12:58,9,Foul on De'Quon Lake.,67,59
12:58,2752,J.P. Macura made Free Throw.,67,60
12:58,2752,J.P. Macura made Free Throw.,67,61
12:40,9,Kodi Justice missed Three Point Jumper.,67,61
12:40,2752,Naji Marshall Defensive Rebound.,67,61
12:32,2752,J.P. Macura Turnover.,67,61
12:19,9,Tra Holder missed Three Point Jumper.,67,61
12:19,2752,Naji Marshall Defensive Rebound.,67,61
12:09,2752,J.P. Macura made Three Point Jumper.,67,64
11:48,2752,Foul on Paul Scruggs.,67,64
11:48,2752,Official TV Timeout,67,64
11:45,9,Shannon Evans II made Layup.,69,64
11:45,2752,Foul on J.P. Macura.,69,64
11:45,9,Shannon Evans II made Free Throw.,70,64
11:36,9,Foul on Vitaliy Shibel.,70,64
11:36,2752,Sean O'Mara missed Free Throw.,70,64
11:36,9,Shannon Evans II Defensive Rebound.,70,64
11:22,9,Tra Holder made Layup.,72,64
10:55,2752,Sean O'Mara made Layup.,72,66
10:39,9,Shannon Evans II made Three Point Jumper.,75,66
10:09,9,Foul on Romello White.,75,66
10:09,2752,Naji Marshall missed Free Throw.,75,66
10:09,2752,Xavier Deadball Team Rebound.,75,66
10:09,2752,Naji Marshall made Free Throw.,75,67
9:53,9,Tra Holder made Jumper.,77,67
9:23,9,Foul on Remy Martin.,77,67
9:23,2752,Trevon Bluiett made Free Throw.,77,68
9:23,2752,Trevon Bluiett missed Free Throw.,77,68
9:23,9,Vitaliy Shibel Defensive Rebound.,77,68
9:02,9,Tra Holder Turnover.,77,68
8:46,9,Foul on Vitaliy Shibel.,77,68
8:46,2752,Sean O'Mara made Free Throw.,77,69
8:46,2752,Sean O'Mara made Free Throw.,77,70
8:46,2752,Xavier  Timeout,77,70
8:34,9,Tra Holder missed Layup.,77,70
8:34,9,Tra Holder Offensive Rebound.,77,70
8:33,2752,Foul on Kerem Kanter.,77,70
8:33,9,Tra Holder made Free Throw.,78,70
8:33,9,Tra Holder made Free Throw.,79,70
8:10,2752,Trevon Bluiett made Three Point Jumper. Assisted by Kaiser Gates.,79,73
7:49,9,Kodi Justice Turnover.,79,73
7:49,2752,Official TV Timeout,79,73
7:28,2752,Quentin Goodin Turnover.,79,73
7:27,9,Tra Holder Steal.,79,73
7:04,9,Shannon Evans II made Layup.,81,73
6:55,2752,Kaiser Gates missed Three Point Jumper.,81,73
6:55,9,Tra Holder Defensive Rebound.,81,73
6:35,9,Tra Holder made Layup.,83,73
6:35,2752,Foul on Kerem Kanter.,83,73
6:35,9,Tra Holder made Free Throw.,84,73
6:18,2752,Trevon Bluiett missed Layup.,84,73
6:18,9,Shannon Evans II Defensive Rebound.,84,73
6:08,9,Remy Martin missed Three Point Jumper.,84,73
6:08,9,De'Quon Lake Offensive Rebound.,84,73
5:40,9,Tra Holder made Three Point Jumper.,87,73
5:23,2752,J.P. Macura Turnover.,87,73
5:22,9,Remy Martin Steal.,87,73
5:20,9,Remy Martin made Layup.,89,73
4:55,2752,J.P. Macura made Layup. Assisted by Trevon Bluiett.,89,75
4:53,2752,Xavier  Timeout,89,75
4:37,2752,Foul on Trevon Bluiett.,89,75
4:37,9,Remy Martin made Free Throw.,90,75
4:37,9,Remy Martin made Free Throw.,91,75
4:22,2752,J.P. Macura missed Three Point Jumper.,91,75
4:22,2752,Naji Marshall Offensive Rebound.,91,75
4:18,2752,Naji Marshall missed Layup.,91,75
4:18,9,De'Quon Lake Defensive Rebound.,91,75
3:57,2752,Foul on Tyrique Jones.,91,75
3:55,2752,Official TV Timeout,91,75
3:55,9,De'Quon Lake missed Free Throw.,91,75
3:55,9,Arizona State Deadball Team Rebound.,91,75
3:55,9,De'Quon Lake made Free Throw.,92,75
3:44,2752,Quentin Goodin missed Layup.,92,75
3:44,9,De'Quon Lake Defensive Rebound.,92,75
3:28,9,Shannon Evans II made Three Point Jumper. Assisted by Remy Martin.,95,75
3:11,2752,Quentin Goodin missed Layup.,95,75
3:11,9,Kodi Justice Defensive Rebound.,95,75
2:54,9,Tra Holder made Three Point Jumper.,98,75
2:42,2752,Trevon Bluiett made Three Point Jumper.,98,78
2:17,2752,Foul on J.P. Macura.,98,78
2:17,9,Kodi Justice made Free Throw.,99,78
2:17,9,Kodi Justice made Free Throw.,100,78
2:02,2752,Kerem Kanter made Layup.,100,80
1:40,9,De'Quon Lake missed Layup.,100,80
1:40,2752,Paul Scruggs Defensive Rebound.,100,80
1:35,9,Foul on Tra Holder.,100,80
1:35,2752,Paul Scruggs made Free Throw.,100,81
1:35,2752,Paul Scruggs made Free Throw.,100,82
1:18,9,Shannon Evans II missed Layup.,100,82
1:18,9,De'Quon Lake Offensive Rebound.,100,82
1:15,9,De'Quon Lake made Layup.,102,82
1:05,9,Foul on Remy Martin.,102,82
1:05,2752,Paul Scruggs made Free Throw.,102,83
1:05,2752,Paul Scruggs made Free Throw.,102,84
0:39,9,Tra Holder missed Layup.,102,84
0:39,9,Tra Holder Offensive Rebound.,102,84
0:23,9,Kodi Justice Turnover.,102,84
0:17,2752,Naji Marshall made Layup.,102,86
0:00,2752,Official TV Timeout,102,86
0:00,2752,End of Game,102,86
