High Point,2429,Charlotte,2272
6:18,2429,Foul on Andrien White.,19,25
6:18,2272,Brandon Kamga made Free Throw.,20,25
6:18,2272,Austin White Turnover.,20,25
6:01,2429,Hudson Price made Layup.,20,27
6:01,2272,Foul on Luke Vargo.,20,27
6:01,2429,Hudson Price made Free Throw.,20,28
5:45,2272,Brandon Kamga Turnover.,20,28
5:44,2429,Ryan Murphy Steal.,20,28
5:38,2272,Foul on Ricky Madison.,20,28
5:38,2429,Jon Davis made Free Throw.,20,29
5:38,2429,Jon Davis made Free Throw.,20,30
5:27,2272,Brandon Kamga missed Jumper.,20,30
5:27,2272,Jordan Whitehead Offensive Rebound.,20,30
5:24,2272,Austin White missed Jumper.,20,30
5:24,2272,Brandon Kamga Offensive Rebound.,20,30
5:18,2272,Brandon Kamga missed Layup.,20,30
5:18,2429,Jailan Haslem Defensive Rebound.,20,30
5:14,2429,Ryan Murphy missed Three Point Jumper.,20,30
5:14,2272,High Point Defensive Rebound.,20,30
4:56,2429,Foul on Hudson Price.,20,30
4:56,2272,Denny Slay made Free Throw.,21,30
4:56,2272,Denny Slay made Free Throw.,22,30
4:26,2429,Jon Davis missed Jumper.,22,30
4:26,2429,Jailan Haslem Offensive Rebound.,22,30
4:22,2429,Jailan Haslem missed Jumper.,22,30
4:22,2272,Jamal Wright Defensive Rebound.,22,30
3:59,2272,Jordan Whitehead made Jumper.,24,30
3:46,2429,Jailan Haslem missed Layup.,24,30
3:46,2272,Jordan Whitehead Defensive Rebound.,24,30
3:15,2272,Jordan Whitehead missed Jumper.,24,30
3:15,2272,Austin White Offensive Rebound.,24,30
3:11,2272,Austin White made Jumper.,26,30
3:03,2429,Charlotte  Timeout,26,30
3:03,2429,Official TV Timeout,26,30
2:54,2272,Foul on Jordan Whitehead.,26,30
2:54,2429,Jon Davis missed Free Throw.,26,30
2:54,2429,Charlotte Deadball Team Rebound.,26,30
2:54,2429,Jon Davis made Free Throw.,26,31
2:41,2272,Justyn Mutts Turnover.,26,31
2:39,2429,Hudson Price Steal.,26,31
2:33,2429,Luka Vasic made Three Point Jumper. Assisted by Hudson Price.,26,34
2:14,2272,Denny Slay missed Three Point Jumper.,26,34
2:14,2429,Luka Vasic Defensive Rebound.,26,34
2:05,2429,Jon Davis made Layup.,26,36
1:43,2429,Foul on Luka Vasic.,26,36
1:43,2272,Brandon Kamga missed Free Throw.,26,36
1:43,2272,High Point Deadball Team Rebound.,26,36
1:43,2272,Brandon Kamga made Free Throw.,27,36
1:28,2429,Najee Garvin made Layup. Assisted by Jon Davis.,27,38
1:07,2272,Jordan Whitehead made Layup.,29,38
0:53,2429,Luka Vasic missed Three Point Jumper.,29,38
0:53,2272,Brandon Kamga Defensive Rebound.,29,38
0:48,2272,High Point  Timeout,29,38
0:38,2272,Justyn Mutts made Layup.,31,38
0:09,2272,Foul on Jordan Whitehead.,31,38
0:09,2429,Jon Davis missed Free Throw.,31,38
0:09,2429,Charlotte Deadball Team Rebound.,31,38
0:09,2429,Jon Davis missed Free Throw.,31,38
0:09,2272,Brandon Kamga Defensive Rebound.,31,38
0:01,2272,Brandon Kamga made Layup.,33,38
0:00,2429,End of 1st half,33,38
19:45,2272,Foul on Jordan Whitehead.,33,38
19:45,2272,Jordan Whitehead Turnover.,33,38
19:32,2272,Foul on Justyn Mutts.,33,38
19:25,2429,Jon Davis missed Jumper.,33,38
19:25,2272,Ricky Madison Defensive Rebound.,33,38
19:22,2429,Foul on Jailan Haslem.,33,38
19:07,2429,Foul on Andrien White.,33,38
19:05,2272,Andre Fox missed Jumper.,33,38
19:05,2429,Jailan Haslem Block.,33,38
19:03,2429,Hudson Price Defensive Rebound.,33,38
18:56,2429,Jon Davis made Jumper.,33,40
18:29,2272,Brandon Kamga made Layup.,35,40
18:08,2272,Foul on Brandon Kamga.,35,40
18:08,2429,Luka Vasic missed Free Throw.,35,40
18:08,2429,Charlotte Deadball Team Rebound.,35,40
18:08,2429,Luka Vasic missed Free Throw.,35,40
18:08,2429,Charlotte Deadball Team Rebound.,35,40
18:08,2429,Luka Vasic made Free Throw.,35,41
17:49,2272,Brandon Kamga made Jumper.,37,41
17:34,2429,Foul on Andrien White.,37,41
17:34,2429,Andrien White Turnover.,37,41
17:20,2272,Brandon Kamga missed Jumper.,37,41
17:20,2429,Jailan Haslem Block.,37,41
17:20,2272,High Point Offensive Rebound.,37,41
17:17,2272,Andre Fox made Jumper.,39,41
17:07,2429,Austin Ajukwa Turnover.,39,41
17:03,2272,Jamal Wright Steal.,39,41
17:01,2272,Jamal Wright missed Jumper.,39,41
17:01,2272,Justyn Mutts Offensive Rebound.,39,41
17:01,2272,Justyn Mutts made Dunk.,41,41
17:01,2429,Charlotte  Timeout,41,41
17:01,2429,Official TV Timeout,41,41
16:52,2272,Foul on Justyn Mutts.,41,41
16:52,2272,Foul on Brandon Kamga.,41,41
16:46,2272,Foul on Justyn Mutts.,41,41
16:46,2429,Hudson Price made Free Throw.,41,42
16:46,2429,Hudson Price made Free Throw.,41,43
16:34,2272,Andre Fox made Three Point Jumper.,44,43
16:23,2429,Jon Davis Turnover.,44,43
16:22,2272,Andre Fox Steal.,44,43
16:19,2272,Ricky Madison made Dunk. Assisted by Andre Fox.,46,43
16:02,2272,Foul on Andre Fox.,46,43
16:02,2429,Jailan Haslem missed Free Throw.,46,43
16:02,2272,Luke Vargo Defensive Rebound.,46,43
15:46,2429,Foul on Austin Ajukwa.,46,43
15:46,2429,Official TV Timeout,46,43
15:46,2272,Foul on Jamal Wright.,46,43
15:46,2272,Jamal Wright Turnover.,46,43
15:34,2429,Jon Davis missed Jumper.,46,43
15:34,2272,Luke Vargo Block.,46,43
15:34,2429,Charlotte Offensive Rebound.,46,43
15:26,2272,Foul on Luke Vargo.,46,43
15:26,2429,Hudson Price made Free Throw.,46,44
15:26,2429,Hudson Price made Free Throw.,46,45
15:04,2429,Foul on Austin Ajukwa.,46,45
14:53,2272,Austin White missed Jumper.,46,45
14:53,2429,Charlotte Defensive Rebound.,46,45
14:40,2429,Najee Garvin made Layup. Assisted by Jon Davis.,46,47
14:18,2272,Luke Vargo missed Three Point Jumper.,46,47
14:18,2429,Charlotte Defensive Rebound.,46,47
14:03,2429,Najee Garvin missed Layup.,46,47
14:03,2429,Luka Vasic Offensive Rebound.,46,47
13:59,2272,Foul on Jordan Whitehead.,46,47
13:59,2429,Najee Garvin made Free Throw.,46,48
13:59,2429,Najee Garvin missed Free Throw.,46,48
13:59,2272,Cliff Thomas Jr. Defensive Rebound.,46,48
13:48,2272,Andre Fox Turnover.,46,48
13:39,2272,Foul on Cliff Thomas Jr..,46,48
13:36,2429,Najee Garvin made Free Throw.,46,49
13:36,2429,Najee Garvin made Free Throw.,46,50
13:18,2429,Foul on Hudson Price.,46,50
13:11,2272,Jamal Wright missed Three Point Jumper.,46,50
13:11,2272,High Point Offensive Rebound.,46,50
13:08,2429,Foul on Najee Garvin.,46,50
13:08,2272,Cliff Thomas Jr. made Free Throw.,47,50
13:08,2272,Cliff Thomas Jr. made Free Throw.,48,50
12:55,2429,Jon Davis missed Jumper.,48,50
12:55,2272,Brandon Kamga Defensive Rebound.,48,50
12:49,2272,Cliff Thomas Jr. Turnover.,48,50
12:35,2429,Hudson Price made Three Point Jumper. Assisted by Jaylan McGill.,48,53
12:21,2272,High Point  Timeout,48,53
12:21,2429,Official TV Timeout,48,53
12:05,2272,Brandon Kamga made Layup.,50,53
11:54,2429,Najee Garvin made Dunk. Assisted by Luka Vasic.,50,55
11:30,2272,Brandon Kamga Turnover.,50,55
11:29,2429,Najee Garvin Steal.,50,55
11:26,2429,Najee Garvin missed Dunk.,50,55
11:26,2429,Najee Garvin Offensive Rebound.,50,55
11:19,2429,Jaylan McGill made Three Point Jumper. Assisted by Luka Vasic.,50,58
10:55,2272,Andre Fox missed Jumper.,50,58
10:55,2272,Ricky Madison Offensive Rebound.,50,58
10:44,2272,Brandon Kamga made Layup.,52,58
10:39,2429,Milos Supica Turnover.,52,58
10:32,2272,Andre Fox missed Jumper.,52,58
10:32,2429,Luka Vasic Defensive Rebound.,52,58
10:06,2272,Foul on Ricky Madison.,52,58
10:06,2429,Najee Garvin missed Free Throw.,52,58
10:06,2429,Charlotte Deadball Team Rebound.,52,58
10:06,2429,Najee Garvin missed Free Throw.,52,58
10:06,2272,Justyn Mutts Defensive Rebound.,52,58
9:56,2272,Jamal Wright Turnover.,52,58
9:55,2429,Najee Garvin Steal.,52,58
9:51,2429,Najee Garvin missed Layup.,52,58
9:51,2429,Milos Supica Offensive Rebound.,52,58
9:49,2429,Milos Supica made Layup.,52,60
9:39,2272,Jamal Wright Turnover.,52,60
9:37,2429,Milos Supica Steal.,52,60
9:23,2272,Foul on Justyn Mutts.,52,60
9:23,2429,Luka Vasic made Free Throw.,52,61
9:23,2429,Luka Vasic made Free Throw.,52,62
9:00,2272,Andre Fox Turnover.,52,62
8:58,2429,Jaylan McGill Steal.,52,62
8:57,2429,Jaylan McGill Turnover.,52,62
8:55,2272,Andre Fox Steal.,52,62
8:54,2429,Foul on Austin Ajukwa.,52,62
8:52,2272,Andre Fox made Free Throw.,53,62
8:52,2272,Andre Fox made Free Throw.,54,62
8:34,2429,Jaylan McGill missed Three Point Jumper.,54,62
8:34,2429,Milos Supica Offensive Rebound.,54,62
8:33,2272,Foul on Luke Vargo.,54,62
8:33,2429,Milos Supica made Free Throw.,54,63
8:33,2429,Milos Supica missed Free Throw.,54,63
8:33,2272,Luke Vargo Defensive Rebound.,54,63
8:24,2429,Foul on Najee Garvin.,54,63
8:24,2272,Andre Fox made Free Throw.,55,63
8:24,2272,Andre Fox made Free Throw.,56,63
8:03,2429,Najee Garvin made Jumper.,56,65
7:54,2272,Andre Fox missed Jumper.,56,65
7:54,2429,Najee Garvin Defensive Rebound.,56,65
7:36,2429,Foul on Milos Supica.,56,65
7:36,2429,Milos Supica Turnover.,56,65
7:36,2429,Official TV Timeout,56,65
7:15,2272,Luke Vargo missed Three Point Jumper.,56,65
7:15,2272,Andre Fox Offensive Rebound.,56,65
6:53,2272,Andre Fox Turnover.,56,65
6:42,2429,Jaylan McGill Turnover.,56,65
6:41,2272,Ricky Madison Steal.,56,65
6:40,2429,Foul on Najee Garvin.,56,65
6:40,2272,Denny Slay missed Free Throw.,56,65
6:40,2272,High Point Deadball Team Rebound.,56,65
6:40,2272,Denny Slay made Free Throw.,57,65
6:15,2272,Foul on Andre Fox.,57,65
6:15,2429,Ryan Murphy missed Free Throw.,57,65
6:15,2429,Charlotte Deadball Team Rebound.,57,65
6:15,2429,Ryan Murphy missed Free Throw.,57,65
6:15,2429,Charlotte Deadball Team Rebound.,57,65
6:15,2429,Ryan Murphy made Free Throw.,57,66
6:01,2429,Foul on Ryan Murphy.,57,66
6:01,2272,Austin White missed Free Throw.,57,66
6:01,2272,High Point Deadball Team Rebound.,57,66
6:01,2272,Austin White made Free Throw.,58,66
5:56,2272,Jamal Wright Turnover.,58,66
5:36,2429,Najee Garvin Turnover.,58,66
5:17,2272,Jordan Whitehead Turnover.,58,66
5:11,2272,Denny Slay missed Layup.,58,66
5:09,2272,Jordan Whitehead Offensive Rebound.,58,66
5:09,2429,Foul on Andrien White.,58,66
5:09,2272,Jordan Whitehead missed Free Throw.,58,66
5:09,2272,High Point Deadball Team Rebound.,58,66
5:09,2272,Jordan Whitehead made Free Throw.,59,66
4:40,2429,Luka Vasic made Layup.,59,68
4:14,2272,Brandon Kamga made Layup.,61,68
4:13,2272,High Point  Timeout,61,68
4:13,2429,Official TV Timeout,61,68
3:58,2429,Milos Supica made Layup. Assisted by Jaylan McGill.,61,70
3:32,2272,Justyn Mutts made Layup.,63,70
3:03,2429,Hudson Price Turnover.,63,70
3:02,2272,Justyn Mutts Steal.,63,70
2:40,2272,Austin White missed Jumper.,63,70
2:40,2429,Ryan Murphy Defensive Rebound.,63,70
2:20,2429,Milos Supica missed Jumper.,63,70
2:20,2272,Justyn Mutts Defensive Rebound.,63,70
2:11,2272,Denny Slay made Layup.,65,70
1:43,2429,Luka Vasic missed Jumper.,65,70
1:43,2272,Denny Slay Defensive Rebound.,65,70
1:35,2272,Andre Fox missed Jumper.,65,70
1:35,2429,Hudson Price Defensive Rebound.,65,70
1:23,2429,Charlotte  Timeout,65,70
1:02,2429,Jon Davis missed Jumper.,65,70
1:02,2272,Jordan Whitehead Defensive Rebound.,65,70
0:45,2272,Brandon Kamga Turnover.,65,70
0:30,2272,Foul on Denny Slay.,65,70
0:30,2429,Luka Vasic missed Free Throw.,65,70
0:30,2429,Charlotte Deadball Team Rebound.,65,70
0:30,2429,Luka Vasic missed Free Throw.,65,70
0:30,2272,Andre Fox Defensive Rebound.,65,70
0:17,2272,High Point  Timeout,65,70
0:12,2272,Brandon Kamga made Layup.,67,70
0:09,2272,Foul on Justyn Mutts.,67,70
0:09,2429,Luka Vasic missed Free Throw.,67,70
0:09,2429,Charlotte Deadball Team Rebound.,67,70
0:09,2429,Luka Vasic missed Free Throw.,67,70
0:09,2272,Luke Vargo Defensive Rebound.,67,70
0:03,2272,Andre Fox missed Three Point Jumper.,67,70
0:03,2272,Luke Vargo Offensive Rebound.,67,70
0:00,2429,End of Game,67,70
