UC Irvine,2464,Northern Arizona,300
10:44,300,Evan Leonard missed Three Point Jumper.,9,19
10:44,2464,Isaiah Thomas Defensive Rebound.,9,19
10:32,2464,Gino Littles made Three Point Jumper. Assisted by Brooks Debisschop.,9,22
10:10,300,Riley Welch made Layup.,11,22
9:57,2464,Torry Johnson missed Layup.,11,22
9:57,2464,Isaiah Thomas Offensive Rebound.,11,22
9:44,2464,Gino Littles missed Layup.,11,22
9:44,2464,Torry Johnson Offensive Rebound.,11,22
9:43,300,Foul on Evan Leonard.,11,22
9:43,2464,Torry Johnson made Free Throw.,11,23
9:43,2464,Torry Johnson made Free Throw.,11,24
9:28,300,Tommy Rutherford missed Layup.,11,24
9:28,2464,Chris Bowling Block.,11,24
9:26,2464,Chris Bowling Defensive Rebound.,11,24
9:14,2464,Foul on Brooks Debisschop.,11,24
9:14,2464,Brooks Debisschop Turnover.,11,24
9:06,300,Max Hazzard made Three Point Jumper. Assisted by Tommy Rutherford.,14,24
8:36,2464,Lenell Henry made Layup.,14,26
8:16,300,Max Hazzard Turnover.,14,26
8:16,2464,Isaiah Thomas Steal.,14,26
8:10,2464,Karl Harris Turnover.,14,26
8:07,300,Justin Wertner Steal.,14,26
8:06,2464,Foul on Torry Johnson.,14,26
7:48,300,Eyassu Worku Turnover.,14,26
7:47,2464,Jojo Anderson Steal.,14,26
7:41,2464,Karl Harris Turnover.,14,26
7:41,2464,Official TV Timeout,14,26
7:15,300,Max Hazzard missed Three Point Jumper.,14,26
7:15,300,Eyassu Worku Offensive Rebound.,14,26
7:09,300,Jonathan Galloway made Layup. Assisted by Eyassu Worku.,16,26
6:52,2464,Torry Johnson missed Layup.,16,26
6:52,300,Tommy Rutherford Defensive Rebound.,16,26
6:37,300,Jonathan Galloway missed Layup.,16,26
6:37,300,Tommy Rutherford Offensive Rebound.,16,26
6:35,300,Tommy Rutherford made Layup.,18,26
6:13,2464,Karl Harris missed Three Point Jumper.,18,26
6:13,300,Jonathan Galloway Defensive Rebound.,18,26
6:04,2464,Foul on Torry Johnson.,18,26
6:04,300,Max Hazzard made Free Throw.,19,26
6:04,300,Max Hazzard made Free Throw.,20,26
5:54,2464,Jojo Anderson made Jumper.,20,28
5:47,2464,Foul on Jojo Anderson.,20,28
5:47,300,Eyassu Worku made Free Throw.,21,28
5:47,300,Eyassu Worku made Free Throw.,22,28
5:41,300,Foul on Max Hazzard.,22,28
5:41,2464,Jojo Anderson made Free Throw.,22,29
5:41,2464,Jojo Anderson made Free Throw.,22,30
5:25,300,Foul on Elston Jones.,22,30
5:25,300,Elston Jones Turnover.,22,30
5:16,2464,Jojo Anderson missed Layup.,22,30
5:16,2464,Ruben Fuamba Offensive Rebound.,22,30
5:12,2464,Chris Bowling missed Three Point Jumper.,22,30
5:12,300,Elston Jones Defensive Rebound.,22,30
5:03,300,Foul on Eyassu Worku.,22,30
5:03,300,Eyassu Worku Turnover.,22,30
4:53,2464,Jojo Anderson missed Layup.,22,30
4:53,300,Elston Jones Defensive Rebound.,22,30
4:52,2464,Foul on Ruben Fuamba.,22,30
4:52,300,Elston Jones made Free Throw.,23,30
4:52,300,Elston Jones made Free Throw.,24,30
4:28,2464,Chris Bowling missed Layup.,24,30
4:28,300,Elston Jones Defensive Rebound.,24,30
4:26,2464,Foul on Isaiah Thomas.,24,30
4:26,300,Elston Jones made Free Throw.,25,30
4:26,300,Elston Jones missed Free Throw.,25,30
4:26,2464,Isaiah Thomas Defensive Rebound.,25,30
4:03,2464,Jojo Anderson made Layup.,25,32
3:52,2464,Foul on Chris Bowling.,25,32
3:52,2464,Official TV Timeout,25,32
3:52,300,Justin Wertner made Free Throw.,26,32
3:52,300,Justin Wertner made Free Throw.,27,32
3:21,2464,Northern Arizona  Turnover.,27,32
2:58,300,John Edgar Jr. missed Layup.,27,32
2:58,2464,Corey Brown Defensive Rebound.,27,32
2:47,2464,Corey Brown missed Layup.,27,32
2:47,300,Elston Jones Block.,27,32
2:44,300,John Edgar Jr. Defensive Rebound.,27,32
2:37,300,Max Hazzard made Layup.,29,32
2:37,2464,Foul on Corey Brown.,29,32
2:37,300,Max Hazzard missed Free Throw.,29,32
2:37,2464,Isaiah Thomas Defensive Rebound.,29,32
2:12,2464,Kye De Laveaga missed Three Point Jumper.,29,32
2:12,300,Riley Welch Defensive Rebound.,29,32
2:04,300,Max Hazzard missed Three Point Jumper.,29,32
2:04,300,Elston Jones Offensive Rebound.,29,32
2:01,300,Elston Jones made Two Point Tip Shot.,31,32
1:32,2464,Gino Littles missed Layup.,31,32
1:32,2464,Isaiah Thomas Offensive Rebound.,31,32
1:29,2464,Isaiah Thomas made Layup.,31,34
1:12,300,John Edgar Jr. missed Three Point Jumper.,31,34
1:12,2464,Gino Littles Defensive Rebound.,31,34
0:46,2464,Jojo Anderson made Three Point Jumper. Assisted by Gino Littles.,31,37
0:27,300,Eyassu Worku missed Layup.,31,37
0:27,300,Elston Jones Offensive Rebound.,31,37
0:16,300,Evan Leonard Turnover.,31,37
0:00,2464,End of 1st half,31,40
19:40,2464,Foul on Brooks Debisschop.,31,37
19:40,300,Brandon Smith missed Free Throw.,31,37
19:40,300,UC Irvine Deadball Team Rebound.,31,37
19:40,300,Brandon Smith made Free Throw.,32,37
19:13,2464,Chris Bowling made Jumper.,32,39
19:00,300,Foul on Tommy Rutherford.,32,39
19:00,300,Tommy Rutherford Turnover.,32,39
18:30,2464,Brooks Debisschop missed Layup.,32,39
18:30,300,Evan Leonard Defensive Rebound.,32,39
18:25,300,Brandon Smith made Layup. Assisted by Evan Leonard.,34,39
18:10,2464,Torry Johnson missed Layup.,34,39
18:10,300,UC Irvine Defensive Rebound.,34,39
17:55,300,Max Hazzard made Three Point Jumper. Assisted by Brandon Smith.,37,39
17:18,2464,Northern Arizona  Turnover.,37,39
16:55,300,Evan Leonard missed Layup.,37,39
16:55,300,UC Irvine Offensive Rebound.,37,39
16:51,300,Max Hazzard missed Three Point Jumper.,37,39
16:51,300,Jonathan Galloway Offensive Rebound.,37,39
16:49,300,Evan Leonard missed Jumper.,37,39
16:47,300,Jonathan Galloway Offensive Rebound.,37,39
16:43,300,Jonathan Galloway missed Layup.,37,39
16:41,2464,Chris Bowling Block.,37,39
16:39,2464,Gino Littles Defensive Rebound.,37,39
16:34,300,Foul on Eyassu Worku.,37,39
16:33,2464,Jojo Anderson made Free Throw.,37,40
16:32,2464,Jojo Anderson made Free Throw.,37,41
15:49,2464,Official TV Timeout,37,41
15:39,300,Foul on Brandon Smith.,37,41
15:39,300,Brandon Smith Turnover.,37,41
15:30,2464,Official TV Timeout,40,41
15:19,2464,Corey Brown missed Layup.,37,41
15:19,300,Elston Jones Defensive Rebound.,37,41
15:09,300,Evan Leonard made Three Point Jumper.,40,41
14:54,2464,Jojo Anderson missed Three Point Jumper.,40,41
14:54,300,John Edgar Jr. Defensive Rebound.,40,41
14:48,2464,Foul on Lenell Henry.,40,41
14:35,2464,Foul on Lenell Henry.,40,41
14:35,300,Elston Jones missed Free Throw.,40,41
14:35,300,UC Irvine Deadball Team Rebound.,40,41
14:35,300,Elston Jones missed Free Throw.,40,41
14:35,2464,Karl Harris Defensive Rebound.,40,41
14:06,2464,Lenell Henry Turnover.,40,41
14:05,300,Elston Jones Steal.,40,41
13:42,300,Eyassu Worku missed Three Point Jumper.,40,41
13:42,2464,Lenell Henry Defensive Rebound.,40,41
13:14,2464,Torry Johnson missed Layup.,40,41
13:14,2464,Corey Brown Offensive Rebound.,40,41
13:12,300,Foul on Elston Jones.,40,41
13:12,2464,Corey Brown made Free Throw.,40,42
13:12,2464,Corey Brown made Free Throw.,40,43
12:58,300,Eyassu Worku made Three Point Jumper. Assisted by Jonathan Galloway.,43,43
12:28,2464,Karl Harris Turnover.,43,43
12:27,300,Brandon Smith Steal.,43,43
12:24,300,Evan Leonard made Layup. Assisted by Eyassu Worku.,45,43
12:06,2464,Torry Johnson missed Jumper.,45,43
12:06,300,Tommy Rutherford Defensive Rebound.,45,43
11:55,300,Eyassu Worku missed Jumper.,45,43
11:55,2464,Brooks Debisschop Defensive Rebound.,45,43
11:36,300,Foul on Tommy Rutherford.,45,43
11:36,2464,Official TV Timeout,45,43
11:36,2464,Karl Harris missed Free Throw.,45,43
11:36,2464,Northern Arizona Deadball Team Rebound.,45,43
11:36,2464,Karl Harris made Free Throw.,45,44
11:18,300,Justin Wertner missed Three Point Jumper.,45,44
11:18,2464,Isaiah Thomas Defensive Rebound.,45,44
10:57,2464,Karl Harris missed Jumper.,45,44
10:57,300,Jonathan Galloway Defensive Rebound.,45,44
10:39,300,Tommy Rutherford missed Layup.,45,44
10:39,2464,Isaiah Thomas Block.,45,44
10:37,2464,Brooks Debisschop Defensive Rebound.,45,44
10:21,2464,Chris Bowling Turnover.,45,44
10:21,300,Justin Wertner Steal.,45,44
9:59,300,Jonathan Galloway missed Layup.,45,44
9:59,2464,Chris Bowling Defensive Rebound.,45,44
9:52,2464,Northern Arizona  Timeout,45,44
9:36,2464,Isaiah Thomas missed Layup.,45,44
9:36,300,Justin Wertner Defensive Rebound.,45,44
9:19,300,Brad Greene missed Layup.,45,44
9:19,2464,Brooks Debisschop Defensive Rebound.,45,44
9:01,2464,Brooks Debisschop missed Layup.,45,44
9:01,300,Brad Greene Block.,45,44
8:59,300,Justin Wertner Defensive Rebound.,45,44
8:56,300,Justin Wertner made Layup. Assisted by Max Hazzard.,47,44
8:32,2464,Torry Johnson missed Three Point Jumper.,47,44
8:32,300,Brad Greene Defensive Rebound.,47,44
8:23,300,Justin Wertner made Layup.,49,44
8:08,2464,Torry Johnson missed Layup.,49,44
8:08,300,Brad Greene Block.,49,44
8:06,300,Brad Greene Defensive Rebound.,49,44
8:03,300,Justin Wertner missed Jumper.,49,44
8:03,2464,Jojo Anderson Defensive Rebound.,49,44
7:57,300,Foul on Justin Wertner.,49,44
7:57,2464,Official TV Timeout,49,44
7:57,2464,Jojo Anderson made Free Throw.,49,45
7:57,2464,Jojo Anderson made Free Throw.,49,46
7:31,2464,Foul on Isaiah Thomas.,49,46
7:31,300,Max Hazzard made Free Throw.,50,46
7:31,300,Max Hazzard made Free Throw.,51,46
7:15,2464,Isaiah Thomas made Layup. Assisted by Gino Littles.,51,48
7:15,300,Foul on Brad Greene.,51,48
7:15,2464,Isaiah Thomas missed Free Throw.,51,48
7:15,300,Jonathan Galloway Defensive Rebound.,51,48
7:11,300,Max Hazzard Turnover.,51,48
6:58,2464,Brooks Debisschop missed Layup.,51,48
6:58,2464,Isaiah Thomas Offensive Rebound.,51,48
6:57,2464,Isaiah Thomas Turnover.,51,48
6:53,2464,Foul on Jojo Anderson.,51,48
6:53,300,Brad Greene made Free Throw.,52,48
6:53,300,Brad Greene made Free Throw.,53,48
6:53,300,Foul on Jonathan Galloway.,53,48
6:53,2464,Jojo Anderson made Free Throw.,53,49
6:53,2464,Jojo Anderson missed Free Throw.,53,49
6:53,300,Brad Greene Defensive Rebound.,53,49
6:43,300,John Edgar Jr. made Three Point Jumper. Assisted by Evan Leonard.,56,49
6:24,2464,Chris Bowling made Three Point Jumper. Assisted by Gino Littles.,56,52
5:58,2464,Foul on Isaiah Thomas.,56,52
5:56,2464,Jojo Anderson made Layup.,56,54
5:55,300,Brad Greene made Free Throw.,57,54
5:55,300,Brad Greene made Free Throw.,58,54
5:37,300,John Edgar Jr. made Three Point Jumper. Assisted by Evan Leonard.,61,54
4:48,2464,Brooks Debisschop Turnover.,61,54
4:47,300,Jonathan Galloway Steal.,61,54
4:46,2464,Foul on Gino Littles.,61,54
4:46,300,Evan Leonard missed Free Throw.,61,54
4:46,300,UC Irvine Deadball Team Rebound.,61,54
4:46,300,Evan Leonard made Free Throw.,62,54
4:41,300,Eyassu Worku missed Layup.,62,54
4:41,2464,Isaiah Thomas Defensive Rebound.,62,54
4:31,2464,Gino Littles made Free Throw.,62,56
4:31,2464,Gino Littles made Free Throw.,62,55
4:31,300,Foul on Jonathan Galloway.,62,55
4:03,300,Eyassu Worku made Jumper.,64,56
3:51,2464,Gino Littles made Layup.,64,58
3:36,300,John Edgar Jr. missed Three Point Jumper.,64,58
3:36,2464,Jojo Anderson Defensive Rebound.,64,58
3:26,2464,Chris Bowling made Three Point Jumper. Assisted by Torry Johnson.,64,61
2:56,300,Evan Leonard missed Layup.,64,61
2:56,300,Tommy Rutherford Offensive Rebound.,64,61
2:53,300,Tommy Rutherford made Two Point Tip Shot.,66,61
2:25,2464,Torry Johnson Turnover.,66,61
2:25,2464,Official TV Timeout,66,61
2:24,300,Tommy Rutherford made Dunk. Assisted by Evan Leonard.,68,61
2:06,2464,Jojo Anderson missed Three Point Jumper.,68,61
2:06,2464,Chris Bowling Offensive Rebound.,68,61
1:57,2464,Torry Johnson missed Layup.,68,61
1:57,300,Jonathan Galloway Block.,68,61
1:57,2464,Northern Arizona Offensive Rebound.,68,61
1:56,2464,Chris Bowling made Jumper. Assisted by Jojo Anderson.,68,63
1:41,300,Eyassu Worku Turnover.,68,63
1:34,2464,Jojo Anderson missed Jumper.,68,63
1:34,2464,Torry Johnson Offensive Rebound.,68,63
1:29,2464,Northern Arizona  Timeout,68,63
1:28,2464,Chris Bowling made Three Point Jumper. Assisted by Torry Johnson.,68,66
0:55,300,Brandon Smith made Layup.,70,66
0:47,300,Foul on Jonathan Galloway.,70,66
0:47,2464,Brooks Debisschop made Free Throw.,70,67
0:47,2464,Brooks Debisschop made Free Throw.,70,68
0:35,300,Tommy Rutherford made Dunk. Assisted by Max Hazzard.,72,68
0:30,2464,Chris Bowling missed Three Point Jumper.,72,68
0:30,300,John Edgar Jr. Defensive Rebound.,72,68
0:20,300,Eyassu Worku made Layup.,74,68
0:14,2464,Gino Littles missed Jumper.,74,68
0:14,300,Max Hazzard Defensive Rebound.,74,68
0:06,2464,Foul on Gino Littles.,74,68
0:06,300,Eyassu Worku made Free Throw.,75,68
0:06,300,Eyassu Worku made Free Throw.,76,68
0:05,2464,Jojo Anderson made Three Point Jumper.,76,71
0:02,2464,Foul on Brooks Debisschop.,76,71
0:02,300,Evan Leonard missed Free Throw.,76,71
0:02,300,UC Irvine Deadball Team Rebound.,76,71
0:02,300,Evan Leonard made Free Throw.,77,71
0:01,2464,Gino Littles missed Three Point Jumper.,77,71
0:01,300,UC Irvine Defensive Rebound.,77,71
0:00,2464,End of Game,77,71
