Seattle,264,Washington,2547
17:43,264,Matisse Thybulle missed Three Point Jumper.,41,44
17:43,2547,Jordan Hill Defensive Rebound.,41,44
17:33,2547,Jordan Hill Turnover.,41,44
17:31,264,Matisse Thybulle Steal.,41,44
17:29,264,Matisse Thybulle made Dunk.,41,46
17:17,2547,Jordan Hill made Three Point Jumper. Assisted by Josh Hearlihy.,44,46
16:48,264,Noah Dickerson made Dunk. Assisted by Matisse Thybulle.,44,48
16:34,2547,Matej Kavas made Three Point Jumper. Assisted by Josh Hearlihy.,47,48
16:31,264,Washington  Timeout,47,48
16:22,264,David Crisp missed Three Point Jumper.,47,48
16:22,2547,Seattle Deadball Team Rebound.,47,48
16:20,264,Foul on Noah Dickerson.,47,48
16:05,2547,Jordan Hill Turnover.,47,48
15:49,264,Sam Timmins missed Layup.,47,48
15:49,2547,Aaron Menzies Block.,47,48
15:46,264,Washington Offensive Rebound.,47,48
15:46,264,Official TV Timeout,47,48
15:41,264,Dominic Green made Three Point Jumper. Assisted by Jaylen Nowell.,47,51
15:15,2547,Aaron Nettles made Three Point Jumper. Assisted by Matej Kavas.,50,51
15:00,264,Sam Timmins made Layup. Assisted by Jaylen Nowell.,50,53
15:00,2547,Foul on Aaron Menzies.,50,53
15:00,264,Sam Timmins made Free Throw.,50,54
14:41,2547,Matej Kavas missed Three Point Jumper.,50,54
14:41,264,Sam Timmins Defensive Rebound.,50,54
14:34,264,Matisse Thybulle made Three Point Jumper. Assisted by Jaylen Nowell.,50,57
14:19,2547,Jordan Hill missed Three Point Jumper.,50,57
14:19,2547,Aaron Menzies Offensive Rebound.,50,57
14:16,2547,Aaron Menzies made Jumper.,52,57
14:07,264,Foul on David Crisp.,52,57
14:07,264,David Crisp Turnover.,52,57
13:44,2547,Josh Hearlihy made Layup. Assisted by Aaron Nettles.,54,57
13:29,264,Jaylen Nowell missed Jumper.,54,57
13:29,2547,Aaron Nettles Defensive Rebound.,54,57
13:15,2547,Foul on Matej Kavas.,54,57
13:15,2547,Matej Kavas Turnover.,54,57
12:54,264,Sam Timmins made Jumper.,54,59
12:30,2547,Jordan Hill made Three Point Jumper. Assisted by Josh Hearlihy.,57,59
12:17,264,Jaylen Nowell missed Jumper.,57,59
12:17,2547,Richaud Gittens Defensive Rebound.,57,59
12:10,264,Foul on Dominic Green.,57,59
12:07,2547,Richaud Gittens made Three Point Jumper. Assisted by Aaron Menzies.,60,59
11:54,264,Matisse Thybulle made Three Point Jumper.,60,62
11:34,264,Foul on Matisse Thybulle.,60,62
11:34,264,Official TV Timeout,60,62
11:34,2547,Josh Hearlihy made Free Throw.,61,62
11:34,2547,Josh Hearlihy made Free Throw.,62,62
11:22,2547,Foul on Aaron Menzies.,62,62
11:22,264,David Crisp made Free Throw.,62,63
11:22,264,David Crisp made Free Throw.,62,64
11:08,2547,Jordan Hill missed Jumper.,62,64
11:08,264,David Crisp Defensive Rebound.,62,64
10:58,264,David Crisp missed Layup.,62,64
10:58,264,Carlos Johnson Offensive Rebound.,62,64
10:55,264,Carlos Johnson made Layup.,62,66
10:39,264,Foul on Carlos Johnson.,62,66
10:39,2547,Josh Hearlihy missed Free Throw.,62,66
10:39,2547,Seattle Deadball Team Rebound.,62,66
10:39,2547,Josh Hearlihy made Free Throw.,63,66
10:29,2547,Foul on Morgan Means.,63,66
10:29,264,David Crisp made Free Throw.,63,67
10:29,264,David Crisp made Free Throw.,63,68
10:29,264,David Crisp made Free Throw.,63,69
10:05,2547,Richaud Gittens missed Three Point Jumper.,63,69
10:05,264,David Crisp Defensive Rebound.,63,69
9:37,264,Carlos Johnson missed Jumper.,63,69
9:37,2547,Jordan Hill Defensive Rebound.,63,69
9:25,264,Foul on Carlos Johnson.,63,69
9:09,2547,Jordan Hill missed Three Point Jumper.,63,69
9:09,264,Carlos Johnson Defensive Rebound.,63,69
8:51,264,Nahziah Carter missed Jumper.,63,69
8:51,2547,Richaud Gittens Defensive Rebound.,63,69
8:28,2547,Matej Kavas Turnover.,63,69
8:20,264,Carlos Johnson Turnover.,63,69
8:19,2547,Richaud Gittens Steal.,63,69
8:17,2547,Richaud Gittens made Layup.,65,69
7:50,264,David Crisp missed Three Point Jumper.,65,69
7:50,2547,Josh Hearlihy Defensive Rebound.,65,69
7:40,264,Foul on Hameir Wright.,65,69
7:40,264,Official TV Timeout,65,69
7:40,2547,Josh Hearlihy made Free Throw.,66,69
7:40,2547,Josh Hearlihy made Free Throw.,67,69
7:23,264,Jaylen Nowell made Layup.,67,71
7:06,264,Foul on Sam Timmins.,67,71
7:06,2547,Aaron Menzies missed Free Throw.,67,71
7:06,264,Dominic Green Defensive Rebound.,67,71
6:41,264,David Crisp missed Three Point Jumper.,67,71
6:41,2547,Jordan Hill Block.,67,71
6:39,264,David Crisp Offensive Rebound.,67,71
6:36,264,David Crisp missed Jumper.,67,71
6:36,264,David Crisp Offensive Rebound.,67,71
6:36,264,David Crisp Turnover.,67,71
6:18,2547,Richaud Gittens missed Three Point Jumper.,67,71
6:18,264,Washington Defensive Rebound.,67,71
6:08,264,Matisse Thybulle made Three Point Jumper. Assisted by Dominic Green.,67,74
5:50,2547,Matej Kavas made Jumper.,69,74
5:30,264,Dominic Green missed Three Point Jumper.,69,74
5:30,2547,Aaron Menzies Defensive Rebound.,69,74
5:12,2547,Jordan Hill made Jumper.,71,74
4:48,264,David Crisp missed Three Point Jumper.,71,74
4:48,2547,Richaud Gittens Defensive Rebound.,71,74
4:27,2547,Josh Hearlihy made Jumper.,73,74
4:13,2547,Foul on Richaud Gittens.,73,74
4:13,264,Jaylen Nowell made Free Throw.,73,75
4:13,264,Jaylen Nowell made Free Throw.,73,76
4:01,2547,Josh Hearlihy missed Three Point Jumper.,73,76
4:01,264,Dominic Green Defensive Rebound.,73,76
3:57,2547,Foul on Richaud Gittens.,73,76
3:57,264,Official TV Timeout,73,76
3:57,264,Dominic Green made Free Throw.,73,77
3:57,264,Dominic Green made Free Throw.,73,78
3:39,2547,Aaron Menzies made Layup. Assisted by Josh Hearlihy.,75,78
3:11,264,Jaylen Nowell made Jumper.,75,80
3:11,2547,Foul on Richaud Gittens.,75,80
3:11,264,Jaylen Nowell made Free Throw.,75,81
2:52,2547,Matej Kavas made Three Point Jumper. Assisted by Jordan Hill.,78,81
2:50,2547,Seattle  Timeout,78,81
2:37,264,Noah Dickerson Turnover.,78,81
2:19,2547,Matej Kavas Turnover.,78,81
2:18,264,Dominic Green Steal.,78,81
1:50,264,Matisse Thybulle missed Three Point Jumper.,78,81
1:50,2547,Josh Hearlihy Defensive Rebound.,78,81
1:28,264,Foul on Jaylen Nowell.,78,81
1:28,2547,Josh Hearlihy made Free Throw.,79,81
1:28,2547,Josh Hearlihy made Free Throw.,80,81
1:09,2547,Foul on Richaud Gittens.,80,81
1:09,264,Noah Dickerson made Free Throw.,80,82
1:09,264,Noah Dickerson made Free Throw.,80,83
0:55,2547,Matej Kavas made Jumper.,82,83
0:54,2547,Seattle  Timeout,82,83
0:33,2547,Foul on Aaron Menzies.,82,83
0:33,264,Jaylen Nowell made Free Throw.,82,84
0:33,264,Jaylen Nowell made Free Throw.,82,85
0:33,264,Washington  Timeout,82,85
0:19,2547,Aaron Nettles Turnover.,82,85
0:17,264,Jaylen Nowell Steal.,82,85
0:15,2547,Foul on Jordan Hill.,82,85
0:15,264,Jaylen Nowell made Free Throw.,82,86
0:15,264,Jaylen Nowell made Free Throw.,82,87
0:07,264,Foul on Jaylen Nowell.,82,87
0:07,2547,Matej Kavas made Free Throw.,83,87
0:07,2547,Matej Kavas made Free Throw.,84,87
0:05,2547,Foul on Josh Hearlihy.,84,87
0:05,264,Jaylen Nowell made Free Throw.,84,88
0:05,264,Jaylen Nowell made Free Throw.,84,89
0:00,264,End of Game,84,89
