Sacred Heart,77,Northwestern,2529
18:21,2529,Kinnon LaRose Defensive Rebound.,33,48
18:18,2529,Kinnon LaRose Turnover.,33,48
18:16,77,Bryant McIntosh Turnover.,33,48
18:14,2529,Mario Matasovic Steal.,33,48
18:02,2529,Joseph Lopez made Dunk. Assisted by Sean Hoehn.,35,48
17:40,77,Scottie Lindsey made Three Point Jumper. Assisted by Vic Law.,35,51
17:13,2529,Kinnon LaRose missed Three Point Jumper.,35,51
17:13,77,Bryant McIntosh Defensive Rebound.,35,51
17:07,77,Foul on Bryant McIntosh.,35,51
17:07,77,Bryant McIntosh Turnover.,35,51
16:54,2529,Sean Hoehn Turnover.,35,51
16:53,77,Dererk Pardon Steal.,35,51
16:48,77,Scottie Lindsey missed Jumper.,35,51
16:48,77,Dererk Pardon Offensive Rebound.,35,51
16:47,2529,Foul on Sean Hoehn.,35,51
16:37,77,Bryant McIntosh missed Jumper.,35,51
16:37,2529,Sacred Heart Deadball Team Rebound.,35,51
16:37,77,Foul on Dererk Pardon.,35,51
16:08,2529,Sean Hoehn missed Jumper.,35,51
16:08,77,Barret Benson Defensive Rebound.,35,51
15:54,77,Vic Law made Layup.,35,53
15:41,2529,Joseph Lopez made Jumper.,37,53
15:27,77,Gavin Skelly made Layup. Assisted by Scottie Lindsey.,37,55
15:17,2529,Kinnon LaRose Turnover.,37,55
15:16,77,Gavin Skelly Steal.,37,55
15:14,2529,Foul on Sean Hoehn.,37,55
15:14,77,Official TV Timeout,37,55
15:14,77,Scottie Lindsey made Free Throw.,37,56
15:14,77,Scottie Lindsey made Free Throw.,37,57
14:50,2529,Sean Hoehn missed Layup.,37,57
14:50,77,Barret Benson Block.,37,57
14:48,77,Scottie Lindsey Defensive Rebound.,37,57
14:43,77,Scottie Lindsey missed Three Point Jumper.,37,57
14:43,77,Anthony Gaines Offensive Rebound.,37,57
14:25,77,Bryant McIntosh made Layup.,37,59
14:10,77,Foul on Bryant McIntosh.,37,59
14:10,2529,Alex Watson missed Free Throw.,37,59
14:10,2529,Sacred Heart Deadball Team Rebound.,37,59
14:10,2529,Alex Watson made Free Throw.,38,59
13:59,77,Vic Law Turnover.,38,59
13:57,2529,Alex Watson Steal.,38,59
13:49,2529,Zach Radz Turnover.,38,59
13:34,77,Barret Benson Turnover.,38,59
13:08,77,Foul on Barret Benson.,38,59
12:55,2529,Zach Radz Turnover.,38,59
12:34,77,Aaron Falzon missed Three Point Jumper.,38,59
12:34,2529,Joseph Lopez Defensive Rebound.,38,59
12:08,2529,Alex Watson made Three Point Jumper. Assisted by Joseph Lopez.,41,59
11:40,77,Vic Law missed Three Point Jumper.,41,59
11:40,77,Northwestern Offensive Rebound.,41,59
11:37,77,Official TV Timeout,41,59
11:26,77,Aaron Falzon missed Three Point Jumper.,41,59
11:26,2529,Alex Watson Defensive Rebound.,41,59
11:05,2529,Foul on Zach Radz.,41,59
11:05,2529,Zach Radz Turnover.,41,59
10:49,77,Vic Law made Three Point Jumper. Assisted by Aaron Falzon.,41,62
10:16,2529,Sacred Heart  Turnover.,41,62
10:02,2529,Foul on E.J. Anosike.,41,62
9:50,77,Bryant McIntosh missed Three Point Jumper.,41,62
9:50,2529,Alex Watson Defensive Rebound.,41,62
9:24,2529,Zach Radz missed Three Point Jumper.,41,62
9:24,77,Dererk Pardon Defensive Rebound.,41,62
9:13,77,Bryant McIntosh made Three Point Jumper.,41,65
8:47,2529,Alex Watson missed Jumper.,41,65
8:47,2529,E.J. Anosike Offensive Rebound.,41,65
8:43,2529,E.J. Anosike missed Dunk.,41,65
8:43,77,Aaron Falzon Defensive Rebound.,41,65
8:23,77,Dererk Pardon missed Jumper.,41,65
8:23,2529,Mario Matasovic Defensive Rebound.,41,65
8:11,2529,E.J. Anosike missed Jumper.,41,65
8:11,77,Bryant McIntosh Defensive Rebound.,41,65
8:04,77,Northwestern  Timeout,41,65
7:53,77,Bryant McIntosh missed Three Point Jumper.,41,65
7:53,77,Gavin Skelly Offensive Rebound.,41,65
7:52,2529,Foul on Sean Hoehn.,41,65
7:52,77,Official TV Timeout,41,65
7:52,77,Gavin Skelly missed Free Throw.,41,65
7:52,2529,E.J. Anosike Defensive Rebound.,41,65
7:24,2529,E.J. Anosike Turnover.,41,65
7:23,77,Anthony Gaines Steal.,41,65
7:02,77,Anthony Gaines missed Three Point Jumper.,41,65
7:02,2529,Kinnon LaRose Defensive Rebound.,41,65
6:31,2529,Joseph Lopez missed Three Point Jumper.,41,65
6:31,77,Bryant McIntosh Defensive Rebound.,41,65
6:05,77,Scottie Lindsey missed Three Point Jumper.,41,65
6:05,2529,Joseph Lopez Defensive Rebound.,41,65
5:51,77,Foul on Gavin Skelly.,41,65
5:51,2529,Joseph Lopez missed Free Throw.,41,65
5:51,2529,Sacred Heart Deadball Team Rebound.,41,65
5:51,2529,Joseph Lopez missed Free Throw.,41,65
5:51,77,Barret Benson Defensive Rebound.,41,65
5:34,77,Scottie Lindsey made Layup.,41,67
5:27,2529,Foul on Charles Tucker Jr..,41,67
5:27,2529,Charles Tucker Jr. Turnover.,41,67
5:12,77,Gavin Skelly made Layup. Assisted by Isiah Brown.,41,69
5:03,2529,Sean Hoehn missed Layup.,41,69
5:03,2529,Joseph Lopez Offensive Rebound.,41,69
4:59,2529,Joseph Lopez Turnover.,41,69
4:59,77,Isiah Brown Steal.,41,69
4:59,2529,Foul on Joseph Lopez.,41,69
4:59,77,Isiah Brown made Free Throw.,41,70
4:59,77,Isiah Brown made Free Throw.,41,71
4:36,2529,Mario Matasovic Turnover.,41,71
4:34,77,Isiah Brown Steal.,41,71
4:33,77,Isiah Brown Turnover.,41,71
4:10,77,Foul on Barret Benson.,41,71
4:10,2529,Joseph Lopez missed Free Throw.,41,71
4:10,2529,Sacred Heart Deadball Team Rebound.,41,71
4:10,2529,Joseph Lopez missed Free Throw.,41,71
4:10,77,Northwestern Deadball Team Rebound.,41,71
4:10,2529,Foul on Mario Matasovic.,41,71
4:10,77,Barret Benson made Free Throw.,41,72
4:10,77,Barret Benson made Free Throw.,41,73
3:51,77,Foul on Rapolas Ivanauskas.,41,73
3:51,77,Official TV Timeout,41,73
3:51,2529,Joseph Lopez missed Free Throw.,41,73
3:51,2529,Sacred Heart Deadball Team Rebound.,41,73
3:51,2529,Joseph Lopez made Free Throw.,42,73
3:25,2529,Foul on Joseph Lopez.,42,73
3:25,77,Isiah Brown made Free Throw.,42,74
3:25,77,Isiah Brown made Free Throw.,42,75
2:59,2529,Sean Hoehn Turnover.,42,75
2:58,77,Jordan Ash Steal.,42,75
2:54,2529,Foul on Sean Hoehn.,42,75
2:54,77,Anthony Gaines made Free Throw.,42,76
2:54,77,Anthony Gaines made Free Throw.,42,77
2:30,2529,Zach Radz made Layup. Assisted by Sean Hoehn.,44,77
2:05,77,Isiah Brown missed Three Point Jumper.,44,77
2:05,2529,Sacred Heart Deadball Team Rebound.,44,77
2:04,77,Foul on Rapolas Ivanauskas.,44,77
2:04,2529,Mario Matasovic made Free Throw.,45,77
2:04,2529,Mario Matasovic made Free Throw.,46,77
1:50,77,Jordan Ash missed Layup.,46,77
1:50,2529,Sacred Heart Defensive Rebound.,46,77
1:33,2529,Foul on E.J. Anosike.,46,77
1:33,2529,E.J. Anosike Turnover.,46,77
1:05,2529,Foul on Alex Watson.,46,77
1:05,77,Anthony Gaines made Free Throw.,46,78
1:05,77,Anthony Gaines made Free Throw.,46,79
0:48,77,Foul on Rapolas Ivanauskas.,46,79
0:48,2529,Mario Matasovic made Free Throw.,47,79
0:48,2529,Mario Matasovic made Free Throw.,48,79
0:31,77,Anthony Gaines made Layup.,48,81
0:10,2529,Kinnon LaRose missed Three Point Jumper.,48,81
0:10,2529,Sacred Heart Offensive Rebound.,48,81
0:03,2529,Mario Matasovic made Layup. Assisted by Sean Hoehn.,50,81
0:00,77,End of Game,50,81
