North Carolina,8,Arkansas,153
9:47,8,Arkansas Defensive Rebound.,64,50
9:33,8,Adrio Bailey made Layup. Assisted by Trey Thompson.,64,52
9:19,153,Theo Pinson made Layup.,66,52
8:56,8,Anton Beard made Three Point Jumper. Assisted by Trey Thompson.,66,55
8:51,153,Kenny Williams made Jumper.,68,55
8:36,8,Anton Beard missed Jumper.,68,55
8:36,153,Theo Pinson Block.,68,55
8:36,153,Kenny Williams Defensive Rebound.,68,55
8:36,153,Kenny Williams missed Layup.,68,55
8:36,8,Jaylen Barford Block.,68,55
8:36,153,Brandon Robinson Offensive Rebound.,68,55
8:27,153,Brandon Robinson made Layup.,70,55
8:07,153,Foul on Kenny Williams.,70,55
7:54,8,Anton Beard Turnover.,70,55
7:54,8,Official TV Timeout,70,55
7:37,153,Jalek Felton missed Three Point Jumper.,70,55
7:37,8,C.J. Jones Defensive Rebound.,70,55
7:26,8,Darious Hall made Jumper.,70,57
7:26,153,Foul on Theo Pinson.,70,57
7:26,8,Darious Hall made Free Throw.,70,58
7:21,153,Andrew Platek made Layup. Assisted by Theo Pinson.,72,58
7:08,8,Darious Hall missed Jumper.,72,58
7:08,153,Andrew Platek Block.,72,58
7:08,8,Darious Hall Offensive Rebound.,72,58
6:57,8,Trey Thompson missed Jumper.,72,58
6:57,153,Luke Maye Defensive Rebound.,72,58
6:45,153,Luke Maye made Layup. Assisted by Kenny Williams.,74,58
6:21,8,C.J. Jones missed Jumper.,74,58
6:21,153,Luke Maye Defensive Rebound.,74,58
6:15,153,Kenny Williams missed Three Point Jumper.,74,58
6:15,153,Luke Maye Offensive Rebound.,74,58
6:08,153,Joel Berry II missed Jumper.,74,58
6:08,8,Daniel Gafford Defensive Rebound.,74,58
6:05,153,Foul on Luke Maye.,74,58
5:43,8,Jaylen Barford missed Three Point Jumper.,74,58
5:43,8,Daniel Gafford Offensive Rebound.,74,58
5:37,8,C.J. Jones missed Three Point Jumper.,74,58
5:37,153,Kenny Williams Defensive Rebound.,74,58
5:29,153,Kenny Williams missed Layup.,74,58
5:29,153,North Carolina Offensive Rebound.,74,58
5:06,153,Theo Pinson Turnover.,74,58
4:49,153,Foul on Luke Maye.,74,58
4:49,8,Daniel Gafford missed Free Throw.,74,58
4:49,8,Arkansas Deadball Team Rebound.,74,58
4:49,8,Daniel Gafford made Free Throw.,74,59
4:41,153,Luke Maye Turnover.,74,59
4:41,8,Dustin Thomas Steal.,74,59
4:32,8,C.J. Jones made Three Point Jumper. Assisted by Jaylen Barford.,74,62
4:10,153,Andrew Platek missed Three Point Jumper.,74,62
4:10,8,C.J. Jones Defensive Rebound.,74,62
4:04,8,C.J. Jones made Three Point Jumper. Assisted by Anton Beard.,74,65
3:37,153,Luke Maye missed Layup.,74,65
3:37,8,Daniel Gafford Defensive Rebound.,74,65
3:32,8,Jaylen Barford made Jumper.,74,67
3:32,153,Foul on Kenny Williams.,74,67
3:32,8,Official TV Timeout,74,67
3:32,8,Jaylen Barford made Free Throw.,74,68
3:17,8,Foul on Jaylen Barford.,74,68
3:17,153,Joel Berry II made Free Throw.,75,68
3:17,153,Joel Berry II made Free Throw.,76,68
3:11,8,Foul on Dustin Thomas.,76,68
3:11,8,Dustin Thomas Turnover.,76,68
3:03,153,Theo Pinson made Dunk.,78,68
2:50,8,Anton Beard Turnover.,78,68
2:50,153,Joel Berry II Steal.,78,68
2:44,153,Kenny Williams made Layup. Assisted by Joel Berry II.,80,68
2:34,8,Arkansas  Timeout,80,68
2:25,8,Anton Beard missed Three Point Jumper.,80,68
2:25,153,Kenny Williams Defensive Rebound.,80,68
2:21,153,Kenny Williams Turnover.,80,68
2:05,8,Jaylen Barford missed Jumper.,80,68
2:05,153,Theo Pinson Defensive Rebound.,80,68
1:46,153,Luke Maye made Three Point Jumper. Assisted by Joel Berry II.,83,68
1:28,8,Daniel Gafford missed Jumper.,83,68
1:28,153,North Carolina Defensive Rebound.,83,68
1:13,153,Luke Maye missed Three Point Jumper.,83,68
1:13,153,Garrison Brooks Offensive Rebound.,83,68
1:06,153,Garrison Brooks missed Jumper.,83,68
1:06,8,Daniel Gafford Block.,83,68
1:06,8,Jaylen Barford Defensive Rebound.,83,68
1:01,8,Jaylen Barford missed Layup.,83,68
1:01,153,Luke Maye Defensive Rebound.,83,68
0:53,153,Kenny Williams made Layup. Assisted by Luke Maye.,85,68
0:43,153,North Carolina  Timeout,85,68
0:39,8,C.J. Jones missed Three Point Jumper.,85,68
0:39,8,Daniel Gafford Offensive Rebound.,85,68
0:34,8,Anton Beard missed Jumper.,85,68
0:34,153,Sterling Manley Defensive Rebound.,85,68
0:25,8,Foul on Anton Beard.,85,68
0:25,153,Sterling Manley made Free Throw.,86,68
0:25,153,Sterling Manley made Free Throw.,87,68
0:08,8,Anton Beard missed Three Point Jumper.,87,68
0:08,153,Sterling Manley Defensive Rebound.,87,68
0:00,8,End of Game,87,68
