Kansas State,45,George Washington,2306
6:48,45,Arnaldo Toro Defensive Rebound.,32,20
6:31,2306,Foul on Makol Mawien.,32,20
6:31,45,Arnaldo Toro made Free Throw.,32,21
6:31,45,Arnaldo Toro made Free Throw.,32,22
6:18,2306,Makol Mawien made Layup. Assisted by Amaad Wainright.,34,22
5:46,45,Arnaldo Toro missed Layup.,34,22
5:46,2306,Dean Wade Defensive Rebound.,34,22
5:18,2306,Kamau Stokes missed Jumper.,34,22
5:18,45,Jair Bolden Defensive Rebound.,34,22
5:00,45,Yuta Watanabe missed Dunk.,34,22
5:00,2306,Xavier Sneed Block.,34,22
5:00,45,George Washington Offensive Rebound.,34,22
4:58,45,Terry Nolan Jr. missed Three Point Jumper.,34,22
4:58,2306,Dean Wade Defensive Rebound.,34,22
4:47,2306,Kamau Stokes missed Layup.,34,22
4:47,45,Arnaldo Toro Defensive Rebound.,34,22
4:33,45,Arnaldo Toro made Layup.,34,24
4:14,2306,Cartier Diarra missed Layup.,34,24
4:14,45,Patrick Steeves Defensive Rebound.,34,24
3:50,45,Jair Bolden Turnover.,34,24
3:50,45,Official TV Timeout,34,24
3:26,2306,Foul on Makol Mawien.,34,24
3:26,2306,Makol Mawien Turnover.,34,24
3:13,45,Bo Zeigler Turnover.,34,24
3:12,2306,Kamau Stokes Steal.,34,24
3:04,2306,Kamau Stokes Turnover.,34,24
3:03,45,Arnaldo Toro Steal.,34,24
2:52,45,Bo Zeigler missed Layup.,34,24
2:52,2306,Dean Wade Block.,34,24
2:50,45,Bo Zeigler Offensive Rebound.,34,24
2:47,45,Bo Zeigler made Layup.,34,26
2:33,45,Foul on Terry Nolan Jr..,34,26
2:33,2306,Levi Stockard III missed Free Throw.,34,26
2:33,45,Maceo Jack Defensive Rebound.,34,26
2:14,45,Yuta Watanabe Turnover.,34,26
2:04,2306,Jr  Barry Brown missed Three Point Jumper.,34,26
2:04,45,Jair Bolden Defensive Rebound.,34,26
1:40,45,Arnaldo Toro missed Layup.,34,26
1:40,2306,Dean Wade Block.,34,26
1:38,45,Jair Bolden Offensive Rebound.,34,26
1:35,45,Jair Bolden missed Jumper.,34,26
1:35,45,Arnaldo Toro Offensive Rebound.,34,26
1:15,45,Jair Bolden missed Three Point Jumper.,34,26
1:15,2306,Kansas State Defensive Rebound.,34,26
0:42,2306,Dean Wade made Jumper.,36,26
0:26,45,Maceo Jack made Three Point Jumper. Assisted by Yuta Watanabe.,36,29
0:01,45,Foul on Yuta Watanabe.,36,29
0:01,2306,Dean Wade made Free Throw.,37,29
0:01,2306,Dean Wade made Free Throw.,38,29
0:00,45,End of 1st half,38,29
19:33,45,Arnaldo Toro made Three Point Jumper. Assisted by Jair Bolden.,38,32
19:06,45,Foul on Jair Bolden.,38,32
18:59,45,Foul on Terry Nolan Jr..,38,32
18:43,2306,Xavier Sneed missed Three Point Jumper.,38,32
18:43,45,Jair Bolden Defensive Rebound.,38,32
18:29,45,Jair Bolden missed Three Point Jumper.,38,32
18:29,2306,Dean Wade Defensive Rebound.,38,32
18:21,2306,Kamau Stokes made Jumper. Assisted by Jr  Barry Brown.,40,32
18:00,2306,Foul on Xavier Sneed.,40,32
18:00,45,Yuta Watanabe made Free Throw.,40,33
18:00,45,Yuta Watanabe made Free Throw.,40,34
17:48,2306,Jr  Barry Brown missed Jumper.,40,34
17:48,45,Patrick Steeves Defensive Rebound.,40,34
17:30,45,Yuta Watanabe missed Layup.,40,34
17:30,45,Arnaldo Toro Offensive Rebound.,40,34
17:10,45,Arnaldo Toro Turnover.,40,34
17:09,2306,Xavier Sneed Steal.,40,34
17:04,2306,Makol Mawien Turnover.,40,34
16:55,45,Yuta Watanabe made Jumper. Assisted by Justin Mazzulla.,40,36
16:33,2306,Dean Wade missed Three Point Jumper.,40,36
16:33,2306,Makol Mawien Offensive Rebound.,40,36
16:27,2306,Makol Mawien missed Jumper.,40,36
16:27,2306,Dean Wade Offensive Rebound.,40,36
16:07,2306,Xavier Sneed made Three Point Jumper. Assisted by Kamau Stokes.,43,36
15:43,45,Arnaldo Toro missed Three Point Jumper.,43,36
15:43,45,Justin Mazzulla Offensive Rebound.,43,36
15:27,2306,Foul on Xavier Sneed.,43,36
15:27,45,Official TV Timeout,43,36
15:27,45,Yuta Watanabe made Free Throw.,43,37
15:27,45,Yuta Watanabe missed Free Throw.,43,37
15:27,2306,Dean Wade Defensive Rebound.,43,37
15:07,2306,Dean Wade made Layup.,45,37
14:48,45,Yuta Watanabe missed Jumper.,45,37
14:48,2306,Makol Mawien Defensive Rebound.,45,37
14:24,2306,Kamau Stokes made Three Point Jumper. Assisted by Dean Wade.,48,37
13:56,45,Arnaldo Toro missed Layup.,48,37
13:56,2306,Makol Mawien Block.,48,37
13:55,2306,Makol Mawien Defensive Rebound.,48,37
13:51,2306,Jr  Barry Brown made Layup.,50,37
13:23,45,Yuta Watanabe missed Layup.,50,37
13:23,45,Yuta Watanabe Offensive Rebound.,50,37
12:56,45,Arnaldo Toro missed Jumper.,50,37
12:56,2306,Kamau Stokes Defensive Rebound.,50,37
12:27,2306,Kamau Stokes missed Layup.,50,37
12:27,45,Arnaldo Toro Defensive Rebound.,50,37
12:03,45,Patrick Steeves made Dunk. Assisted by Arnaldo Toro.,50,39
11:51,2306,Kamau Stokes missed Three Point Jumper.,50,39
11:51,45,Patrick Steeves Defensive Rebound.,50,39
11:27,45,Jair Bolden missed Three Point Jumper.,50,39
11:27,45,Yuta Watanabe Offensive Rebound.,50,39
11:24,45,Yuta Watanabe missed Layup.,50,39
11:24,2306,Kansas State Defensive Rebound.,50,39
11:24,45,Foul on Arnaldo Toro.,50,39
11:24,45,Official TV Timeout,50,39
11:15,2306,Dean Wade made Jumper.,52,39
10:53,45,Jair Bolden missed Three Point Jumper.,52,39
10:53,2306,Mawdo Sallah Defensive Rebound.,52,39
10:41,45,Foul on Bo Zeigler.,52,39
10:38,2306,Jr  Barry Brown made Layup.,54,39
10:12,45,Justin Williams Turnover.,54,39
9:51,2306,Jr  Barry Brown missed Layup.,54,39
9:51,45,Bo Zeigler Defensive Rebound.,54,39
9:28,45,Yuta Watanabe missed Three Point Jumper.,54,39
9:28,2306,Jr  Barry Brown Defensive Rebound.,54,39
9:17,2306,Dean Wade missed Jumper.,54,39
9:17,45,George Washington Defensive Rebound.,54,39
9:15,2306,Foul on Dean Wade.,54,39
8:55,45,Patrick Steeves made Jumper.,54,41
8:32,2306,Brian Patrick missed Three Point Jumper.,54,41
8:32,45,Patrick Steeves Defensive Rebound.,54,41
8:17,45,Arnaldo Toro made Three Point Jumper. Assisted by Terry Nolan Jr..,54,44
8:00,2306,Kamau Stokes missed Three Point Jumper.,54,44
8:00,45,Arnaldo Toro Defensive Rebound.,54,44
7:43,45,Arnaldo Toro missed Three Point Jumper.,54,44
7:43,45,George Washington Offensive Rebound.,54,44
7:40,45,Official TV Timeout,54,44
7:27,45,Jair Bolden missed Jumper.,54,44
7:27,45,Terry Nolan Jr. Offensive Rebound.,54,44
7:21,45,Terry Nolan Jr. made Layup.,54,46
7:01,2306,Kamau Stokes made Layup.,56,46
6:43,45,Jair Bolden made Three Point Jumper. Assisted by Terry Nolan Jr..,56,49
6:27,2306,Xavier Sneed missed Jumper.,56,49
6:27,45,Jair Bolden Defensive Rebound.,56,49
6:07,45,Yuta Watanabe missed Three Point Jumper.,56,49
6:07,45,Arnaldo Toro Offensive Rebound.,56,49
6:02,45,Patrick Steeves made Layup. Assisted by Yuta Watanabe.,56,51
6:00,2306,Kansas State  Timeout,56,51
5:36,2306,Makol Mawien Turnover.,56,51
5:36,45,Arnaldo Toro Steal.,56,51
5:21,2306,Foul on Kamau Stokes.,56,51
5:05,45,Arnaldo Toro made Layup. Assisted by Jair Bolden.,56,53
5:05,2306,Foul on Makol Mawien.,56,53
5:05,45,Arnaldo Toro made Free Throw.,56,54
4:43,45,Foul on Jair Bolden.,56,54
4:43,2306,Kamau Stokes made Free Throw.,57,54
4:43,2306,Kamau Stokes made Free Throw.,58,54
4:17,45,Jair Bolden missed Three Point Jumper.,58,54
4:17,2306,Kansas State Defensive Rebound.,58,54
3:46,2306,Dean Wade missed Three Point Jumper.,58,54
3:46,45,Jair Bolden Defensive Rebound.,58,54
3:37,45,Yuta Watanabe missed Jumper.,58,54
3:37,2306,Makol Mawien Defensive Rebound.,58,54
3:17,2306,Dean Wade made Layup.,60,54
2:45,45,Arnaldo Toro made Layup. Assisted by Jair Bolden.,60,56
2:25,45,Foul on Patrick Steeves.,60,56
2:25,45,Official TV Timeout,60,56
2:25,2306,Dean Wade made Free Throw.,61,56
2:25,2306,Dean Wade made Free Throw.,62,56
1:55,2306,Foul on Makol Mawien.,62,56
1:55,45,Terry Nolan Jr. made Free Throw.,62,57
1:55,45,Terry Nolan Jr. made Free Throw.,62,58
1:55,45,Terry Nolan Jr. missed Free Throw.,62,58
1:55,2306,Dean Wade Defensive Rebound.,62,58
1:30,2306,Jr  Barry Brown made Layup.,64,58
1:01,2306,Foul on Kamau Stokes.,64,58
1:01,45,Jair Bolden missed Free Throw.,64,58
1:01,45,George Washington Deadball Team Rebound.,64,58
1:01,45,Jair Bolden made Free Throw.,64,59
0:35,2306,Jr  Barry Brown missed Jumper.,64,59
0:35,2306,Dean Wade Offensive Rebound.,64,59
0:25,45,Foul on Terry Nolan Jr..,64,59
0:25,2306,Jr  Barry Brown made Free Throw.,65,59
0:25,2306,Jr  Barry Brown made Free Throw.,66,59
0:25,45,George Washington  Timeout,66,59
0:17,45,Jair Bolden Turnover.,66,59
0:15,2306,Dean Wade Steal.,66,59
0:13,45,Foul on Yuta Watanabe.,66,59
0:13,2306,Jr  Barry Brown made Free Throw.,67,59
0:13,2306,Jr  Barry Brown missed Free Throw.,67,59
0:13,45,Patrick Steeves Defensive Rebound.,67,59
0:05,45,Terry Nolan Jr. Turnover.,67,59
0:04,2306,Kamau Stokes Steal.,67,59
0:00,45,End of Game,67,59
