SMU,98,Western Kentucky,2567
3:47,2567,Jimmy Whitt Defensive Rebound.,27,22
3:24,2567,Jimmy Whitt made Jumper. Assisted by Shake Milton.,29,22
3:09,98,Taveion Hollingsworth made Layup.,29,24
2:40,2567,Jimmy Whitt missed Jumper.,29,24
2:40,98,Dwight Coleby Defensive Rebound.,29,24
2:24,98,Justin Johnson Turnover.,29,24
2:23,2567,Akoy Agau Steal.,29,24
2:15,2567,Jarrey Foster Turnover.,29,24
2:12,98,Tyler Miller Steal.,29,24
1:59,98,Justin Johnson missed Three Point Jumper.,29,24
1:59,2567,William Douglas Defensive Rebound.,29,24
1:40,2567,Jimmy Whitt missed Jumper.,29,24
1:40,98,Taveion Hollingsworth Defensive Rebound.,29,24
1:35,98,Foul on Darius Thompson.,29,24
1:35,98,Darius Thompson Turnover.,29,24
1:35,98,Official TV Timeout,29,24
1:05,2567,Elijah Landrum missed Three Point Jumper.,29,24
1:05,98,Western Kentucky Defensive Rebound.,29,24
0:33,98,Justin Johnson missed Layup.,29,24
0:33,2567,Ethan Chargois Block.,29,24
0:31,2567,William Douglas Defensive Rebound.,29,24
0:05,2567,Elijah Landrum missed Layup.,29,24
0:05,98,Dwight Coleby Defensive Rebound.,29,24
0:00,98,End of 1st half,29,24
19:49,2567,Ben Emelogu II missed Layup.,29,24
19:49,98,Justin Johnson Defensive Rebound.,29,24
19:44,98,Darius Thompson missed Jumper.,29,24
19:44,2567,Jimmy Whitt Defensive Rebound.,29,24
19:33,2567,Ethan Chargois made Layup.,31,24
19:15,98,Justin Johnson missed Layup.,31,24
19:15,2567,Shake Milton Block.,31,24
19:13,2567,Ben Emelogu II Defensive Rebound.,31,24
18:59,2567,Shake Milton missed Layup.,31,24
18:59,98,Dwight Coleby Defensive Rebound.,31,24
18:46,98,Lamonte Bearden Turnover.,31,24
18:45,2567,Shake Milton Steal.,31,24
18:41,2567,Shake Milton Turnover.,31,24
18:41,98,Lamonte Bearden Steal.,31,24
18:41,2567,Foul on Shake Milton.,31,24
18:26,98,Darius Thompson made Layup.,31,26
18:02,2567,Ethan Chargois made Layup.,33,26
17:47,98,Darius Thompson made Jumper.,33,28
17:47,2567,Foul on Ethan Chargois.,33,28
17:47,98,Darius Thompson made Free Throw.,33,29
17:25,2567,Ben Emelogu II Turnover.,33,29
17:24,98,Lamonte Bearden Steal.,33,29
17:20,98,Lamonte Bearden missed Three Point Jumper.,33,29
17:20,2567,Shake Milton Defensive Rebound.,33,29
17:12,2567,Foul on Shake Milton.,33,29
17:12,2567,Shake Milton Turnover.,33,29
16:52,98,Taveion Hollingsworth missed Jumper.,33,29
16:52,2567,Ethan Chargois Defensive Rebound.,33,29
16:39,2567,Jarrey Foster made Layup. Assisted by William Douglas.,35,29
16:27,2567,Foul on Jarrey Foster.,35,29
16:27,98,Dwight Coleby made Free Throw.,35,30
16:27,98,Dwight Coleby made Free Throw.,35,31
16:15,2567,William Douglas missed Layup.,35,31
16:15,98,Dwight Coleby Block.,35,31
16:11,2567,William Douglas Offensive Rebound.,35,31
16:03,2567,Ben Emelogu II Turnover.,35,31
16:02,98,Darius Thompson Steal.,35,31
16:00,98,Dwight Coleby Turnover.,35,31
16:00,2567,Elijah Landrum Steal.,35,31
16:00,2567,Elijah Landrum Turnover.,35,31
16:00,98,Official TV Timeout,35,31
15:55,98,Lamonte Bearden missed Jumper.,35,31
15:55,2567,Ben Emelogu II Defensive Rebound.,35,31
15:20,2567,Elijah Landrum missed Three Point Jumper.,35,31
15:20,98,Justin Johnson Defensive Rebound.,35,31
15:14,98,Justin Johnson Turnover.,35,31
15:13,2567,William Douglas Steal.,35,31
15:11,2567,Jarrey Foster missed Layup.,35,31
15:11,2567,Ethan Chargois Offensive Rebound.,35,31
15:08,2567,Ethan Chargois made Two Point Tip Shot.,37,31
14:51,98,Lamonte Bearden made Jumper.,37,33
14:51,2567,Foul on William Douglas.,37,33
14:51,98,Lamonte Bearden made Free Throw.,37,34
14:33,2567,Ben Emelogu II made Layup. Assisted by Shake Milton.,39,34
14:32,98,Foul on Dwight Coleby.,39,34
14:32,2567,Ben Emelogu II missed Free Throw.,39,34
14:32,98,Dwight Coleby Defensive Rebound.,39,34
14:22,98,Lamonte Bearden made Layup.,39,36
14:07,98,Foul on Taveion Hollingsworth.,39,36
13:52,2567,Jimmy Whitt missed Jumper.,39,36
13:52,98,Marek Nelson Defensive Rebound.,39,36
13:27,98,Lamonte Bearden Turnover.,39,36
13:05,98,Foul on Dwight Coleby.,39,36
13:05,2567,Ethan Chargois made Free Throw.,40,36
13:05,2567,Ethan Chargois made Free Throw.,41,36
12:35,98,Darius Thompson made Jumper.,41,38
12:16,2567,Ethan Chargois made Three Point Jumper. Assisted by Jimmy Whitt.,44,38
11:52,98,Dwight Coleby Turnover.,44,38
11:51,98,Official TV Timeout,44,38
11:43,2567,Shake Milton Turnover.,44,38
11:42,98,Lamonte Bearden Steal.,44,38
11:41,98,Lamonte Bearden missed Layup.,44,38
11:41,98,Darius Thompson Offensive Rebound.,44,38
11:37,98,Darius Thompson made Two Point Tip Shot.,44,40
11:07,2567,Shake Milton made Three Point Jumper. Assisted by Ben Emelogu II.,47,40
10:41,98,Darius Thompson missed Jumper.,47,40
10:41,2567,Ben Emelogu II Defensive Rebound.,47,40
10:22,2567,Ethan Chargois made Three Point Jumper. Assisted by Shake Milton.,50,40
9:54,98,Jake Ohmer made Three Point Jumper. Assisted by Justin Johnson.,50,43
9:33,98,Foul on Justin Johnson.,50,43
9:19,2567,Shake Milton made Layup.,52,43
8:52,98,Jake Ohmer made Three Point Jumper. Assisted by Justin Johnson.,52,46
8:37,2567,Ethan Chargois Turnover.,52,46
8:17,98,Taveion Hollingsworth missed Three Point Jumper.,52,46
8:17,2567,Jimmy Whitt Defensive Rebound.,52,46
8:11,2567,Ethan Chargois made Layup. Assisted by Ben Emelogu II.,54,46
7:58,98,Western Kentucky  Timeout,54,46
7:58,98,Official TV Timeout,54,46
7:46,98,Dwight Coleby made Layup. Assisted by Lamonte Bearden.,54,48
7:32,2567,William Douglas missed Three Point Jumper.,54,48
7:32,98,Taveion Hollingsworth Defensive Rebound.,54,48
7:19,98,Official TV Timeout,54,48
7:19,2567,Foul on William Douglas.,54,48
7:19,2567,SMU  Timeout,54,48
7:19,98,Official TV Timeout,54,48
7:19,98,Taveion Hollingsworth missed Free Throw.,54,48
7:19,98,Western Kentucky Deadball Team Rebound.,54,48
7:19,98,Taveion Hollingsworth made Free Throw.,54,49
6:50,2567,Shake Milton missed Jumper.,54,49
6:50,98,Jake Ohmer Defensive Rebound.,54,49
6:44,98,Darius Thompson made Layup. Assisted by Jake Ohmer.,54,51
6:19,2567,Ben Emelogu II Turnover.,54,51
6:18,98,Lamonte Bearden Steal.,54,51
6:15,98,Jake Ohmer missed Layup.,54,51
6:15,2567,Jimmy Whitt Block.,54,51
6:13,2567,Jarrey Foster Defensive Rebound.,54,51
5:47,2567,Ben Emelogu II missed Three Point Jumper.,54,51
5:47,2567,Jarrey Foster Offensive Rebound.,54,51
5:44,2567,Jarrey Foster made Layup.,56,51
5:21,98,Jake Ohmer missed Three Point Jumper.,56,51
5:21,2567,Akoy Agau Defensive Rebound.,56,51
4:49,98,Foul on Darius Thompson.,56,51
4:49,2567,Akoy Agau missed Free Throw.,56,51
4:49,2567,SMU Deadball Team Rebound.,56,51
4:49,2567,Akoy Agau made Free Throw.,57,51
4:38,2567,Foul on Ben Emelogu II.,57,51
4:38,98,Lamonte Bearden made Free Throw.,57,52
4:38,98,Lamonte Bearden missed Free Throw.,57,52
4:38,2567,Ethan Chargois Defensive Rebound.,57,52
4:23,2567,Jimmy Whitt Turnover.,57,52
4:22,98,Lamonte Bearden Steal.,57,52
4:20,98,Taveion Hollingsworth made Layup. Assisted by Lamonte Bearden.,57,54
3:54,2567,Jimmy Whitt made Jumper.,59,54
3:48,98,Taveion Hollingsworth missed Layup.,59,54
3:48,2567,Ben Emelogu II Defensive Rebound.,59,54
3:15,2567,Ben Emelogu II missed Layup.,59,54
3:15,98,Dwight Coleby Defensive Rebound.,59,54
3:15,98,Official TV Timeout,59,54
2:50,98,Lamonte Bearden missed Three Point Jumper.,59,54
2:50,98,Jake Ohmer Offensive Rebound.,59,54
2:47,98,Jake Ohmer missed Layup.,59,54
2:47,2567,Shake Milton Block.,59,54
2:44,2567,Ben Emelogu II Defensive Rebound.,59,54
2:44,98,Foul on Dwight Coleby.,59,54
2:26,2567,Ethan Chargois missed Layup.,59,54
2:26,98,Dwight Coleby Block.,59,54
2:23,2567,Jimmy Whitt Offensive Rebound.,59,54
2:22,2567,Jimmy Whitt missed Layup.,59,54
2:22,98,Darius Thompson Block.,59,54
2:22,98,Western Kentucky Defensive Rebound.,59,54
2:15,2567,Foul on Ben Emelogu II.,59,54
2:15,98,Lamonte Bearden made Free Throw.,59,55
2:15,98,Lamonte Bearden missed Free Throw.,59,55
2:15,2567,Shake Milton Defensive Rebound.,59,55
2:01,2567,Ethan Chargois Turnover.,59,55
1:50,98,Darius Thompson missed Three Point Jumper.,59,55
1:47,98,Lamonte Bearden Offensive Rebound.,59,55
1:41,98,Lamonte Bearden made Jumper.,59,57
1:41,98,Western Kentucky  Timeout,59,57
1:21,2567,Ethan Chargois missed Layup.,59,57
1:21,2567,Jarrey Foster Offensive Rebound.,59,57
1:18,2567,Jarrey Foster made Two Point Tip Shot.,61,57
1:03,98,Lamonte Bearden made Three Point Jumper.,61,60
0:38,2567,Shake Milton missed Jumper.,61,60
0:38,2567,Ben Emelogu II Offensive Rebound.,61,60
0:19,98,Foul on Darius Thompson.,61,60
0:19,2567,Shake Milton missed Free Throw.,61,60
0:19,98,Taveion Hollingsworth Defensive Rebound.,61,60
0:12,98,Western Kentucky  Timeout,61,60
0:05,98,Jake Ohmer made Three Point Jumper. Assisted by Justin Johnson.,61,63
0:04,2567,SMU  Timeout,61,63
0:04,2567,SMU  Timeout,61,63
0:00,2567,Ben Emelogu II missed Three Point Jumper.,61,63
0:00,98,Western Kentucky Defensive Rebound.,61,63
0:00,98,End of Game,61,63
