Nicholls,2378,UMBC,2447
14:00,2447,Kimani Jackson Block.,13,9
13:58,2447,Tevon Saddler Defensive Rebound.,13,9
13:55,2447,Tevon Saddler missed Layup.,13,9
13:55,2378,Max Portmann Defensive Rebound.,13,9
13:43,2447,Foul on Kimani Jackson.,13,9
13:43,2378,Arkel Lamar missed Free Throw.,13,9
13:43,2378,UMBC Deadball Team Rebound.,13,9
13:43,2378,Arkel Lamar missed Free Throw.,13,9
13:43,2447,Tevon Saddler Defensive Rebound.,13,9
13:40,2447,Kevin Johnson Turnover.,13,9
13:37,2378,Jairus Lyles Steal.,13,9
13:36,2378,Jairus Lyles Turnover.,13,9
13:35,2447,Kevin Johnson Steal.,13,9
13:32,2447,Lafayette Rutledge made Three Point Jumper. Assisted by Kevin Johnson.,16,9
13:08,2447,Foul on Kimani Jackson.,16,9
12:59,2378,Jairus Lyles Turnover.,16,9
12:42,2378,Foul on Max Portmann.,16,9
12:40,2447,Lafayette Rutledge made Three Point Jumper. Assisted by Jahvaughn Powell.,19,9
12:27,2378,Max Portmann Turnover.,19,9
12:26,2447,Jahvaughn Powell Steal.,19,9
12:13,2447,Daniel Regis made Layup.,21,9
12:13,2378,Foul on Max Portmann.,21,9
12:13,2447,Daniel Regis missed Free Throw.,21,9
12:13,2378,Joe Sherburne Defensive Rebound.,21,9
12:02,2447,Foul on Daniel Regis.,21,9
12:02,2378,Jourdan Grant made Free Throw.,21,10
12:02,2378,Jourdan Grant made Free Throw.,21,11
11:51,2378,Foul on Daniel Akin.,21,11
11:51,2378,Official TV Timeout,21,11
11:47,2447,Lafayette Rutledge missed Three Point Jumper.,21,11
11:47,2378,UMBC Defensive Rebound.,21,11
11:27,2378,Max Curran missed Three Point Jumper.,21,11
11:27,2447,Lafayette Rutledge Defensive Rebound.,21,11
11:08,2378,Foul on Jourdan Grant.,21,11
11:08,2447,Daniel Regis made Free Throw.,22,11
11:08,2447,Daniel Regis missed Free Throw.,22,11
11:08,2447,Lafayette Rutledge Offensive Rebound.,22,11
11:04,2447,Daniel Regis missed Layup.,22,11
11:04,2378,Jourdan Grant Defensive Rebound.,22,11
10:48,2378,Jairus Lyles missed Three Point Jumper.,22,11
10:48,2378,Nolan Gerrity Offensive Rebound.,22,11
10:36,2378,Joe Sherburne made Three Point Jumper. Assisted by K.J. Maura.,22,14
10:24,2447,Lafayette Rutledge made Three Point Jumper. Assisted by Kevin Johnson.,25,14
10:07,2378,Nolan Gerrity made Layup. Assisted by Joe Sherburne.,25,16
9:42,2447,Tevon Saddler missed Jumper.,25,16
9:42,2447,Daniel Regis Offensive Rebound.,25,16
9:38,2447,Tevon Saddler made Layup. Assisted by Daniel Regis.,27,16
9:25,2447,Foul on Kevin Johnson.,27,16
9:25,2378,Joe Sherburne missed Free Throw.,27,16
9:25,2378,UMBC Deadball Team Rebound.,27,16
9:25,2378,Joe Sherburne missed Free Throw.,27,16
9:25,2378,UMBC Deadball Team Rebound.,27,16
9:25,2378,Joe Sherburne made Free Throw.,27,17
9:20,2447,Lafayette Rutledge missed Three Point Jumper.,27,17
9:20,2378,Jourdan Grant Defensive Rebound.,27,17
9:10,2447,Foul on Daniel Regis.,27,17
9:10,2378,Arkel Lamar made Free Throw.,27,18
9:10,2378,Arkel Lamar made Free Throw.,27,19
8:44,2447,Tevon Saddler made Layup. Assisted by Jahvaughn Powell.,29,19
8:15,2378,Joe Sherburne missed Layup.,29,19
8:15,2447,Tevon Saddler Defensive Rebound.,29,19
7:51,2447,Kevin Johnson missed Three Point Jumper.,29,19
7:51,2447,Nicholls Offensive Rebound.,29,19
7:49,2378,Official TV Timeout,29,19
7:34,2447,Legend Robertin Turnover.,29,19
7:20,2378,Arkel Lamar made Three Point Jumper. Assisted by Jourdan Grant.,29,22
6:44,2447,Lafayette Rutledge made Three Point Jumper. Assisted by Tevon Saddler.,32,22
6:32,2447,Foul on Tevon Saddler.,32,22
6:32,2378,Jourdan Grant made Free Throw.,32,23
6:32,2378,Jourdan Grant made Free Throw.,32,24
6:14,2447,Kimani Jackson Turnover.,32,24
6:12,2378,Arkel Lamar Steal.,32,24
6:08,2378,Arkel Lamar made Three Point Jumper. Assisted by K.J. Maura.,32,27
6:06,2447,Nicholls  Timeout,32,27
5:51,2447,Kimani Jackson Turnover.,32,27
5:38,2378,Jourdan Grant missed Layup.,32,27
5:38,2447,Tevon Saddler Block.,32,27
5:36,2378,Max Curran Offensive Rebound.,32,27
5:33,2378,Max Curran made Layup.,32,29
5:23,2447,Jahvaughn Powell Turnover.,32,29
5:20,2378,K.J. Maura Steal.,32,29
5:20,2447,Foul on Jahvaughn Powell.,32,29
5:20,2378,K.J. Maura made Free Throw.,32,30
5:20,2378,K.J. Maura made Free Throw.,32,31
5:01,2447,Lafayette Rutledge missed Three Point Jumper.,32,31
5:01,2378,K.J. Maura Defensive Rebound.,32,31
4:52,2378,K.J. Maura made Jumper.,32,33
4:37,2447,Tevon Saddler Turnover.,32,33
4:34,2378,Joe Sherburne Steal.,32,33
4:30,2378,Jairus Lyles made Layup.,32,35
4:26,2447,Nicholls  Timeout,32,35
4:26,2378,Official TV Timeout,32,35
4:08,2447,Tevon Saddler missed Jumper.,32,35
4:08,2378,Arkel Lamar Defensive Rebound.,32,35
4:01,2378,Max Curran made Dunk. Assisted by K.J. Maura.,32,37
3:42,2447,Kevin Johnson missed Three Point Jumper.,32,37
3:42,2378,Arkel Lamar Defensive Rebound.,32,37
3:19,2378,Arkel Lamar missed Jumper.,32,37
3:19,2447,Legend Robertin Defensive Rebound.,32,37
3:11,2447,Jahvaughn Powell missed Three Point Jumper.,32,37
3:11,2378,Max Curran Defensive Rebound.,32,37
2:52,2378,Max Curran missed Layup.,32,37
2:52,2447,Tevon Saddler Defensive Rebound.,32,37
2:30,2378,Foul on Jairus Lyles.,32,37
2:23,2447,Daniel Regis Turnover.,32,37
2:12,2378,Jairus Lyles missed Layup.,32,37
2:12,2447,Daniel Regis Defensive Rebound.,32,37
2:11,2378,Foul on Max Curran.,32,37
1:54,2447,Tevon Saddler Turnover.,32,37
1:42,2378,K.J. Maura Turnover.,32,37
1:40,2447,Tevon Saddler Steal.,32,37
1:34,2447,Lafayette Rutledge missed Three Point Jumper.,32,37
1:34,2447,Daniel Regis Offensive Rebound.,32,37
1:28,2378,Foul on Arkel Lamar.,32,37
1:28,2447,Daniel Regis made Free Throw.,33,37
1:28,2447,Daniel Regis missed Free Throw.,33,37
1:28,2447,Nicholls Deadball Team Rebound.,33,37
1:09,2378,K.J. Maura missed Jumper.,33,37
1:09,2447,Tevon Saddler Defensive Rebound.,33,37
0:59,2447,Tevon Saddler missed Jumper.,33,37
0:59,2378,Arkel Lamar Defensive Rebound.,33,37
0:43,2447,Foul on Tevon Saddler.,33,37
0:43,2378,Jairus Lyles made Free Throw.,33,38
0:43,2378,Jairus Lyles made Free Throw.,33,39
0:18,2447,Lafayette Rutledge missed Three Point Jumper.,33,39
0:18,2378,Arkel Lamar Defensive Rebound.,33,39
0:17,2447,Foul on Stevie Repichowski.,33,39
0:17,2378,Arkel Lamar missed Free Throw.,33,39
0:17,2378,UMBC Deadball Team Rebound.,33,39
0:17,2378,Arkel Lamar made Free Throw.,33,40
0:01,2447,Stevie Repichowski made Jumper.,35,40
0:00,2378,End of 1st half,35,40
19:32,2378,Jourdan Grant made Three Point Jumper. Assisted by Arkel Lamar.,35,43
19:15,2378,Foul on Arkel Lamar.,35,43
19:05,2447,Roddy Peters made Layup.,37,43
18:53,2378,Max Curran made Layup.,37,45
18:53,2447,Foul on Daniel Regis.,37,45
18:53,2378,Max Curran missed Free Throw.,37,45
18:53,2447,Tevon Saddler Defensive Rebound.,37,45
18:41,2447,Daniel Regis Turnover.,37,45
18:36,2378,Jairus Lyles Turnover.,37,45
18:36,2447,Jahvaughn Powell Steal.,37,45
18:25,2447,Roddy Peters missed Layup.,37,45
18:25,2378,Nolan Gerrity Block.,37,45
18:23,2378,Max Curran Defensive Rebound.,37,45
18:21,2378,Max Curran Turnover.,37,45
18:19,2447,Jahvaughn Powell Steal.,37,45
18:17,2378,Foul on Nolan Gerrity.,37,45
18:03,2447,Daniel Regis made Layup. Assisted by Jahvaughn Powell.,39,45
17:46,2378,Arkel Lamar made Three Point Jumper. Assisted by Jairus Lyles.,39,48
17:36,2447,Tevon Saddler missed Three Point Jumper.,39,48
17:36,2378,Nolan Gerrity Defensive Rebound.,39,48
17:35,2447,Foul on Daniel Regis.,39,48
17:23,2378,Nolan Gerrity Turnover.,39,48
17:22,2447,Kimani Jackson Steal.,39,48
17:10,2378,Foul on Nolan Gerrity.,39,48
17:02,2447,Roddy Peters made Three Point Jumper. Assisted by Jahvaughn Powell.,42,48
16:48,2447,Foul on Jahvaughn Powell.,42,48
16:44,2447,Foul on Jahvaughn Powell.,42,48
16:40,2378,Nolan Gerrity Turnover.,42,48
16:27,2447,Lafayette Rutledge made Three Point Jumper. Assisted by Tevon Saddler.,45,48
16:10,2378,K.J. Maura made Jumper.,45,50
16:01,2447,Lafayette Rutledge made Three Point Jumper.,48,50
16:01,2447,Foul on Kimani Jackson.,48,50
15:49,2378,Joe Sherburne made Jumper. Assisted by K.J. Maura.,48,52
15:39,2378,Foul on Nolan Gerrity.,48,52
15:39,2378,Official TV Timeout,48,52
15:35,2447,Roddy Peters missed Layup.,48,52
15:35,2378,Joe Sherburne Defensive Rebound.,48,52
15:29,2378,Jairus Lyles made Layup.,48,54
15:16,2447,Lafayette Rutledge made Three Point Jumper. Assisted by Roddy Peters.,51,54
14:49,2447,Foul on Kimani Jackson.,51,54
14:41,2378,Jairus Lyles made Layup.,51,56
14:32,2447,Lafayette Rutledge made Three Point Jumper. Assisted by Tevon Saddler.,54,56
14:17,2378,Jairus Lyles Turnover.,54,56
14:15,2447,Lafayette Rutledge Steal.,54,56
14:09,2447,Roddy Peters Turnover.,54,56
14:08,2378,Arkel Lamar Steal.,54,56
14:02,2378,Joe Sherburne made Layup.,54,58
13:42,2447,Stevie Repichowski made Three Point Jumper. Assisted by Kevin Johnson.,57,58
13:20,2378,K.J. Maura made Layup.,57,60
13:02,2447,Roddy Peters missed Three Point Jumper.,57,60
13:02,2378,Jourdan Grant Defensive Rebound.,57,60
12:51,2378,K.J. Maura made Layup. Assisted by Joe Sherburne.,57,62
12:26,2447,Kevin Johnson missed Three Point Jumper.,57,62
12:26,2378,Arkel Lamar Defensive Rebound.,57,62
12:24,2447,Foul on Tevon Saddler.,57,62
12:24,2378,Arkel Lamar missed Free Throw.,57,62
12:24,2447,Roddy Peters Defensive Rebound.,57,62
12:21,2447,Lafayette Rutledge missed Three Point Jumper.,57,62
12:21,2378,K.J. Maura Defensive Rebound.,57,62
12:13,2378,Jourdan Grant missed Layup.,57,62
12:13,2447,Roddy Peters Defensive Rebound.,57,62
12:10,2378,Foul on Arkel Lamar.,57,62
11:53,2447,Tevon Saddler made Layup. Assisted by Lafayette Rutledge.,59,62
11:46,2378,Jairus Lyles Turnover.,59,62
11:46,2447,Kevin Johnson Steal.,59,62
11:46,2378,Official TV Timeout,59,62
11:41,2447,Stevie Repichowski made Three Point Jumper. Assisted by Tevon Saddler.,62,62
11:22,2378,Max Curran missed Three Point Jumper.,62,62
11:22,2447,Tevon Saddler Defensive Rebound.,62,62
11:16,2447,Lafayette Rutledge made Three Point Jumper. Assisted by Roddy Peters.,65,62
10:55,2378,Joe Sherburne made Three Point Jumper. Assisted by Jourdan Grant.,65,65
10:44,2378,UMBC  Timeout,65,65
10:20,2378,Foul on Arkel Lamar.,65,65
10:13,2447,Stevie Repichowski made Three Point Jumper. Assisted by Roddy Peters.,68,65
10:06,2378,K.J. Maura made Jumper.,68,67
9:45,2378,Foul on K.J. Maura.,68,67
9:45,2447,Tevon Saddler missed Free Throw.,68,67
9:45,2447,Nicholls Deadball Team Rebound.,68,67
9:45,2447,Tevon Saddler made Free Throw.,69,67
9:28,2378,Joe Sherburne missed Three Point Jumper.,69,67
9:28,2378,Nolan Gerrity Offensive Rebound.,69,67
9:22,2378,Nolan Gerrity made Layup.,69,69
9:14,2447,Tevon Saddler made Layup.,71,69
8:58,2378,Nolan Gerrity missed Jumper.,71,69
8:58,2378,Max Curran Offensive Rebound.,71,69
8:53,2378,Max Curran missed Layup.,71,69
8:53,2378,Nolan Gerrity Offensive Rebound.,71,69
8:50,2447,Foul on Stevie Repichowski.,71,69
8:50,2378,Nolan Gerrity missed Free Throw.,71,69
8:50,2447,Tevon Saddler Defensive Rebound.,71,69
8:43,2447,Tevon Saddler made Layup.,73,69
8:23,2378,Jairus Lyles made Three Point Jumper.,73,72
8:16,2378,Foul on Max Curran.,73,72
8:16,2447,Roddy Peters made Free Throw.,74,72
8:16,2447,Roddy Peters made Free Throw.,75,72
8:01,2378,K.J. Maura missed Jumper.,75,72
8:01,2447,Roddy Peters Defensive Rebound.,75,72
7:55,2447,Roddy Peters missed Layup.,75,72
7:55,2378,Jairus Lyles Defensive Rebound.,75,72
7:48,2378,Jairus Lyles missed Layup.,75,72
7:48,2447,Roddy Peters Defensive Rebound.,75,72
7:38,2447,Stevie Repichowski missed Three Point Jumper.,75,72
7:38,2378,Joe Sherburne Defensive Rebound.,75,72
7:28,2378,Joe Sherburne made Layup.,75,74
7:00,2447,Roddy Peters made Layup.,77,74
6:38,2378,K.J. Maura missed Three Point Jumper.,77,74
6:38,2378,UMBC Offensive Rebound.,77,74
6:37,2378,Official TV Timeout,77,74
6:31,2378,K.J. Maura missed Three Point Jumper.,77,74
6:31,2378,UMBC Offensive Rebound.,77,74
6:30,2447,Foul on Roddy Peters.,77,74
6:30,2378,Nolan Gerrity missed Free Throw.,77,74
6:30,2378,K.J. Maura Offensive Rebound.,77,74
6:30,2447,Foul on Stevie Repichowski.,77,74
6:30,2378,K.J. Maura made Free Throw.,77,75
6:30,2378,K.J. Maura missed Free Throw.,77,75
6:30,2447,Tevon Saddler Defensive Rebound.,77,75
6:11,2447,Lafayette Rutledge missed Three Point Jumper.,77,75
6:11,2447,Kevin Johnson Offensive Rebound.,77,75
6:08,2447,Kevin Johnson made Layup.,79,75
5:54,2378,Arkel Lamar missed Three Point Jumper.,79,75
5:54,2447,Roddy Peters Defensive Rebound.,79,75
5:30,2447,Tevon Saddler made Layup.,81,75
5:10,2378,Jourdan Grant missed Layup.,81,75
5:10,2447,Tevon Saddler Defensive Rebound.,81,75
4:55,2447,Roddy Peters Turnover.,81,75
4:54,2378,Jairus Lyles Steal.,81,75
4:50,2378,Jairus Lyles made Layup. Assisted by Jourdan Grant.,81,77
4:45,2447,Foul on Tevon Saddler.,81,77
4:45,2378,Jairus Lyles made Free Throw.,81,78
4:38,2447,Stevie Repichowski missed Three Point Jumper.,81,78
4:38,2378,Arkel Lamar Defensive Rebound.,81,78
4:31,2378,K.J. Maura made Three Point Jumper. Assisted by Jairus Lyles.,81,81
4:11,2447,Nicholls  Timeout,81,81
4:11,2378,Official TV Timeout,81,81
3:56,2378,Foul on Jourdan Grant.,81,81
3:56,2447,Foul on Tevon Saddler.,81,81
3:53,2447,Lafayette Rutledge missed Three Point Jumper.,81,81
3:53,2378,Jourdan Grant Defensive Rebound.,81,81
3:38,2378,Jairus Lyles made Layup.,81,83
3:22,2447,Roddy Peters missed Jumper.,81,83
3:22,2378,Jairus Lyles Defensive Rebound.,81,83
3:05,2378,Jairus Lyles missed Layup.,81,83
3:05,2447,Kimani Jackson Block.,81,83
3:03,2447,Roddy Peters Defensive Rebound.,81,83
2:58,2447,Lafayette Rutledge made Three Point Jumper.,84,83
2:43,2378,Jairus Lyles Turnover.,84,83
2:23,2447,Roddy Peters missed Layup.,84,83
2:23,2378,Jairus Lyles Defensive Rebound.,84,83
2:17,2378,Jairus Lyles Turnover.,84,83
2:16,2447,Lafayette Rutledge Steal.,84,83
2:10,2447,Lafayette Rutledge missed Three Point Jumper.,84,83
2:10,2447,Kevin Johnson Offensive Rebound.,84,83
2:07,2447,Kevin Johnson made Two Point Tip Shot.,86,83
1:53,2378,Joe Sherburne made Three Point Jumper. Assisted by Jairus Lyles.,86,86
1:21,2447,Roddy Peters missed Three Point Jumper.,86,86
1:21,2447,Kimani Jackson Offensive Rebound.,86,86
1:16,2447,Kimani Jackson Turnover.,86,86
1:03,2378,UMBC  Timeout,86,86
0:59,2378,Jairus Lyles missed Layup.,86,86
0:59,2447,Kimani Jackson Block.,86,86
0:57,2447,Roddy Peters Defensive Rebound.,86,86
0:53,2447,Roddy Peters made Layup.,88,86
0:41,2447,Foul on Kimani Jackson.,88,86
0:41,2378,Arkel Lamar missed Free Throw.,88,86
0:41,2378,UMBC Deadball Team Rebound.,88,86
0:41,2378,Arkel Lamar made Free Throw.,88,87
0:19,2447,Kevin Johnson missed Jumper.,88,87
0:19,2447,Daniel Regis Offensive Rebound.,88,87
0:12,2447,Daniel Regis Turnover.,88,87
0:12,2378,Jairus Lyles Steal.,88,87
0:12,2447,Foul on Daniel Regis.,88,87
0:12,2378,Jairus Lyles made Free Throw.,88,88
0:12,2378,Jairus Lyles made Free Throw.,88,89
0:07,2447,Nicholls  Timeout,88,89
0:04,2447,Roddy Peters missed Three Point Jumper.,88,89
0:04,2378,Jairus Lyles Defensive Rebound.,88,89
0:00,2378,End of Game,88,89
