North Carolina Central,356,Illinois,2428
19:11,2428,C.J. Wiggins missed Jumper.,35,34
19:11,2428,C.J. Wiggins Offensive Rebound.,35,34
19:08,2428,Brandon Goldsmith missed Jumper.,35,34
19:08,356,Illinois Deadball Team Rebound.,35,34
19:05,2428,Foul on Raasean Davis.,35,34
18:57,356,Aaron Jordan made Three Point Jumper. Assisted by Leron Black.,35,37
18:35,2428,Zacarry Douglas made Jumper.,37,37
18:24,356,Aaron Jordan missed Three Point Jumper.,37,37
18:24,2428,Zacarry Douglas Block.,37,37
18:21,2428,Raasean Davis Defensive Rebound.,37,37
18:16,2428,Foul on Zacarry Douglas.,37,37
18:16,2428,Zacarry Douglas Turnover.,37,37
17:56,356,Mark Alstork missed Jumper.,37,37
17:56,356,Leron Black Offensive Rebound.,37,37
17:53,2428,Foul on Larry McKnight Jr..,37,37
17:43,356,Michael Finke made Three Point Jumper. Assisted by Te'Jon Lucas.,37,40
17:25,2428,Zacarry Douglas missed Jumper.,37,40
17:25,356,Michael Finke Block.,37,40
17:23,2428,Zacarry Douglas Offensive Rebound.,37,40
17:23,2428,Zacarry Douglas Turnover.,37,40
17:11,356,Michael Finke made Three Point Jumper. Assisted by Te'Jon Lucas.,37,43
16:51,2428,C.J. Wiggins missed Jumper.,37,43
16:51,356,Michael Finke Defensive Rebound.,37,43
16:43,356,Mark Alstork missed Jumper.,37,43
16:43,356,Leron Black Offensive Rebound.,37,43
16:41,2428,Foul on Raasean Davis.,37,43
16:28,356,Te'Jon Lucas made Layup.,37,45
16:09,356,Foul on Te'Jon Lucas.,37,45
16:09,2428,Jordan Perkins made Free Throw.,38,45
16:09,2428,Jordan Perkins made Free Throw.,39,45
15:53,356,Michael Finke made Dunk. Assisted by Trent Frazier.,39,47
15:40,2428,Dominique Reid made Jumper. Assisted by Jordan Perkins.,41,47
15:29,356,Aaron Jordan made Three Point Jumper. Assisted by Trent Frazier.,41,50
15:18,2428,Jordan Perkins made Layup.,43,50
15:18,356,Foul on Trent Frazier.,43,50
15:18,356,Official TV Timeout,43,50
15:18,2428,Jordan Perkins made Free Throw.,44,50
15:07,356,Michael Finke made Dunk. Assisted by Kipper Nichols.,44,52
14:56,2428,Foul on Jordan Perkins.,44,52
14:45,356,Mark Smith Turnover.,44,52
14:32,2428,Larry McKnight Jr. missed Jumper.,44,52
14:32,356,Kipper Nichols Block.,44,52
14:29,356,Mark Smith Defensive Rebound.,44,52
14:23,356,Da'Monte Williams Turnover.,44,52
14:21,2428,Dominique Reid Steal.,44,52
14:14,2428,Reginald Gardner Jr made Jumper.,46,52
14:14,356,Foul on Mark Smith.,46,52
14:14,2428,Reginald Gardner Jr made Free Throw.,47,52
14:01,356,Mark Smith missed Jumper.,47,52
14:01,356,Kipper Nichols Offensive Rebound.,47,52
13:57,356,Kipper Nichols made Two Point Tip Shot.,47,54
13:47,356,Foul on Leron Black.,47,54
13:47,356,Foul on Te'Jon Lucas.,47,54
13:47,356,Technical Foul on Leron Black.,47,54
13:47,2428,Technical Foul on Jordan Perkins.,47,54
13:43,2428,Foul on Dominique Reid.,47,54
13:43,2428,Dominique Reid Turnover.,47,54
13:27,2428,Foul on Dominique Reid.,47,54
13:27,356,Kipper Nichols made Free Throw.,47,55
13:27,356,Kipper Nichols made Free Throw.,47,56
13:26,2428,Zacarry Douglas Turnover.,47,56
13:17,356,Aaron Jordan made Three Point Jumper. Assisted by Te'Jon Lucas.,47,59
13:03,2428,Alston Jones Turnover.,47,59
13:03,356,Aaron Jordan made Layup. Assisted by Mark Alstork.,47,61
12:46,2428,Zacarry Douglas missed Three Point Jumper.,47,61
12:46,356,Kipper Nichols Defensive Rebound.,47,61
12:42,2428,Foul on Pablo Rivas.,47,61
12:42,356,Kipper Nichols missed Free Throw.,47,61
12:42,2428,Zacarry Douglas Defensive Rebound.,47,61
12:30,2428,North Carolina Central  Timeout,47,61
12:29,356,Foul on Trent Frazier.,47,61
12:29,2428,Larry McKnight Jr. made Free Throw.,48,61
12:29,2428,Larry McKnight Jr. missed Free Throw.,48,61
12:29,356,Michael Finke Defensive Rebound.,48,61
12:02,356,Mark Alstork missed Three Point Jumper.,48,61
12:02,356,Mark Alstork Offensive Rebound.,48,61
11:55,356,Michael Finke missed Three Point Jumper.,48,61
11:55,2428,Pablo Rivas Defensive Rebound.,48,61
11:51,356,Foul on Mark Smith.,48,61
11:51,356,Official TV Timeout,48,61
11:51,2428,Pablo Rivas made Free Throw.,49,61
11:51,2428,Pablo Rivas made Free Throw.,50,61
11:39,356,Leron Black made Jumper.,50,63
11:14,2428,C.J. Wiggins Turnover.,50,63
10:52,356,Leron Black made Jumper. Assisted by Trent Frazier.,50,65
10:38,2428,Zacarry Douglas missed Layup.,50,65
10:38,356,Leron Black Defensive Rebound.,50,65
10:24,356,Kipper Nichols missed Layup.,50,65
10:24,2428,Pablo Rivas Block.,50,65
10:23,2428,Larry McKnight Jr. Defensive Rebound.,50,65
10:18,356,Foul on Aaron Jordan.,50,65
10:18,2428,Larry McKnight Jr. made Free Throw.,51,65
10:18,2428,Larry McKnight Jr. made Free Throw.,52,65
9:57,2428,Foul on Larry McKnight Jr..,52,65
9:57,356,Te'Jon Lucas made Free Throw.,52,66
9:57,356,Te'Jon Lucas made Free Throw.,52,67
9:44,2428,Jordan Perkins made Jumper.,54,67
9:23,356,Leron Black made Layup. Assisted by Mark Alstork.,54,69
9:06,2428,Reginald Gardner Jr missed Jumper.,54,69
9:06,356,Michael Finke Defensive Rebound.,54,69
8:53,356,Michael Finke made Three Point Jumper. Assisted by Mark Alstork.,54,72
8:27,2428,Larry McKnight Jr. missed Layup.,54,72
8:27,356,Michael Finke Defensive Rebound.,54,72
8:13,356,Leron Black Turnover.,54,72
8:12,2428,Raasean Davis Steal.,54,72
8:04,2428,Pablo Rivas missed Jumper.,54,72
8:04,2428,Raasean Davis Offensive Rebound.,54,72
8:02,2428,Raasean Davis made Layup.,56,72
8:02,356,Foul on Mark Alstork.,56,72
8:02,2428,Raasean Davis missed Free Throw.,56,72
8:02,356,Leron Black Defensive Rebound.,56,72
7:42,2428,Foul on Brandon Goldsmith.,56,72
7:42,356,Da'Monte Williams made Free Throw.,56,73
7:42,356,Da'Monte Williams made Free Throw.,56,74
7:35,2428,Foul on Pablo Rivas.,56,74
7:35,2428,Pablo Rivas Turnover.,56,74
7:10,356,Kipper Nichols made Three Point Jumper. Assisted by Te'Jon Lucas.,56,77
6:47,2428,Raasean Davis missed Jumper.,56,77
6:47,356,Kipper Nichols Block.,56,77
6:47,2428,North Carolina Central Offensive Rebound.,56,77
6:42,2428,Jordan Perkins made Jumper.,58,77
6:10,356,Kipper Nichols missed Layup.,58,77
6:10,2428,Jordan Perkins Defensive Rebound.,58,77
6:03,2428,Brandon Goldsmith made Jumper.,60,77
5:39,356,Leron Black missed Jumper.,60,77
5:39,356,Illinois Deadball Team Rebound.,60,77
5:39,2428,Foul on Reginald Gardner Jr.,60,77
5:39,356,Kipper Nichols made Free Throw.,60,78
5:39,356,Kipper Nichols made Free Throw.,60,79
5:25,2428,Raasean Davis made Jumper.,62,79
4:58,356,Leron Black missed Jumper.,62,79
4:58,2428,Reginald Gardner Jr Defensive Rebound.,62,79
4:50,2428,Reginald Gardner Jr made Three Point Jumper. Assisted by Brandon Goldsmith.,65,79
4:47,2428,North Carolina Central  Timeout,65,79
4:26,2428,Foul on Raasean Davis.,65,79
4:26,356,Mark Smith made Free Throw.,65,80
4:26,356,Mark Smith missed Free Throw.,65,80
4:26,2428,Pablo Rivas Defensive Rebound.,65,80
4:18,2428,Jordan Perkins made Jumper.,67,80
3:58,356,Mark Smith made Jumper. Assisted by Mark Alstork.,67,82
3:33,2428,Zacarry Douglas Turnover.,67,82
3:32,356,Mark Alstork Steal.,67,82
