Alabama A&amp;M,333,Alabama,2010
5:43,2010,Amari Goulbourne missed Free Throw.,56,89
5:43,2010,Alabama A&M Deadball Team Rebound.,56,89
5:43,2010,Amari Goulbourne missed Free Throw.,56,89
5:43,333,Galin Smith Defensive Rebound.,56,89
5:36,333,Herb Jones missed Jumper.,56,89
5:36,333,Galin Smith Offensive Rebound.,56,89
5:33,2010,Foul on Andre Kennedy.,56,89
5:33,333,Galin Smith missed Free Throw.,56,89
5:33,333,Alabama Deadball Team Rebound.,56,89
5:33,333,Galin Smith missed Free Throw.,56,89
5:33,333,Herb Jones Offensive Rebound.,56,89
5:31,2010,Foul on Evan Wiley.,56,89
5:31,333,Herb Jones made Free Throw.,56,90
5:31,333,Herb Jones missed Free Throw.,56,90
5:31,333,Alabama Offensive Rebound.,56,90
5:26,333,Alex Reese missed Jumper.,56,90
5:26,2010,Mohamed Sherif Defensive Rebound.,56,90
5:11,2010,De'Ederick Petty missed Jumper.,56,90
5:11,333,Alex Reese Defensive Rebound.,56,90
5:07,333,Galin Smith made Dunk. Assisted by Lawson Schaffer.,56,92
4:57,2010,Amari Goulbourne missed Three Point Jumper.,56,92
4:57,333,Avery Johnson Jr. Defensive Rebound.,56,92
4:47,333,Alex Reese made Dunk. Assisted by Avery Johnson Jr..,56,94
4:25,2010,Alabama A&M  Timeout,56,94
4:07,2010,De'Ederick Petty made Jumper.,58,94
3:52,333,Alex Reese made Layup. Assisted by Lawson Schaffer.,58,96
3:34,2010,Evan Wiley made Jumper.,60,96
3:17,333,Alex Reese made Jumper. Assisted by Lawson Schaffer.,60,98
3:00,2010,De'Ederick Petty made Jumper.,62,98
2:47,333,Alex Reese Turnover.,62,98
2:39,2010,Marcus Merriweather made Three Point Jumper. Assisted by Amari Goulbourne.,65,98
2:11,333,Lawson Schaffer Turnover.,65,98
2:03,2010,Amari Goulbourne missed Jumper.,65,98
2:03,2010,Evan Wiley Offensive Rebound.,65,98
1:59,2010,Evan Wiley missed Jumper.,65,98
1:59,333,Alex Reese Defensive Rebound.,65,98
