UT San Antonio,324,Coastal Carolina,2636
5:34,2636,Jhivvan Jackson missed Three Point Jumper.,19,27
5:34,324,Demario Beck Defensive Rebound.,19,27
5:29,324,Demario Beck Turnover.,19,27
5:28,2636,Giovanni De Nicolao Steal.,19,27
5:23,2636,Toby Van Ry missed Layup.,19,27
5:23,324,Zac Cuthbertson Block.,19,27
5:21,324,Artur Labinowicz Defensive Rebound.,19,27
5:14,324,Foul on Jaylen Shaw.,19,27
5:14,324,Jaylen Shaw Turnover.,19,27
4:59,2636,Jhivvan Jackson made Three Point Jumper. Assisted by Byron Frohnen.,22,27
4:45,324,Matt Lindsey made Jumper.,22,29
4:30,2636,Jhivvan Jackson missed Jumper.,22,29
4:30,324,Demario Beck Defensive Rebound.,22,29
4:14,2636,Foul on Byron Frohnen.,22,29
4:14,324,Zac Cuthbertson made Free Throw.,22,30
4:14,324,Zac Cuthbertson made Free Throw.,22,31
4:04,2636,Keaton Wallace Turnover.,22,31
4:03,324,Matt Lindsey Steal.,22,31
4:00,2636,Foul on George Willborn III.,22,31
4:00,324,Artur Labinowicz missed Free Throw.,22,31
4:00,324,Coastal Carolina Deadball Team Rebound.,22,31
4:00,324,Artur Labinowicz missed Free Throw.,22,31
4:00,2636,UT San Antonio Defensive Rebound.,22,31
3:57,324,Foul on Matt Lindsey.,22,31
3:57,324,Official TV Timeout,22,31
3:46,2636,George Willborn III missed Layup.,22,31
3:46,324,Demario Beck Block.,22,31
3:45,2636,UT San Antonio Offensive Rebound.,22,31
3:35,2636,Keaton Wallace missed Jumper.,22,31
3:35,324,Zac Cuthbertson Defensive Rebound.,22,31
3:33,2636,Foul on Keaton Wallace.,22,31
3:33,324,Zac Cuthbertson made Free Throw.,22,32
3:33,324,Zac Cuthbertson made Free Throw.,22,33
3:21,2636,Jhivvan Jackson missed Jumper.,22,33
3:21,2636,Jhivvan Jackson Offensive Rebound.,22,33
3:19,324,Foul on Zac Cuthbertson.,22,33
3:19,2636,Jhivvan Jackson missed Free Throw.,22,33
3:19,2636,UT San Antonio Deadball Team Rebound.,22,33
3:19,2636,Jhivvan Jackson made Free Throw.,23,33
3:06,324,Zac Cuthbertson missed Jumper.,23,33
3:06,2636,Kendell Ramlal Block.,23,33
3:04,324,Ajay Sanders Offensive Rebound.,23,33
3:01,324,Zac Cuthbertson missed Three Point Jumper.,23,33
3:01,2636,Giovanni De Nicolao Defensive Rebound.,23,33
2:51,2636,Deon Lyle missed Three Point Jumper.,23,33
2:51,324,Christian Adams Defensive Rebound.,23,33
2:44,324,Ajay Sanders Turnover.,23,33
2:42,2636,Kendell Ramlal Steal.,23,33
2:40,2636,Jhivvan Jackson Turnover.,23,33
2:28,324,Josh Coleman missed Layup.,23,33
2:28,324,Josh Coleman Offensive Rebound.,23,33
2:24,324,Josh Coleman missed Jumper.,23,33
2:24,2636,Kendell Ramlal Defensive Rebound.,23,33
2:15,2636,Giovanni De Nicolao missed Layup.,23,33
2:15,324,Christian Adams Block.,23,33
2:11,2636,Giovanni De Nicolao Offensive Rebound.,23,33
2:11,2636,UT San Antonio  Timeout,23,33
2:08,2636,Kendell Ramlal Turnover.,23,33
1:44,324,Ajay Sanders made Three Point Jumper. Assisted by Artur Labinowicz.,23,36
1:29,2636,Austin Karrer missed Three Point Jumper.,23,36
1:29,324,Christian Adams Defensive Rebound.,23,36
1:26,2636,Foul on Giovanni De Nicolao.,23,36
1:26,324,Christian Adams made Free Throw.,23,37
1:26,324,Christian Adams made Free Throw.,23,38
1:18,2636,Deon Lyle made Three Point Jumper.,26,38
0:53,324,Artur Labinowicz made Three Point Jumper. Assisted by Christian Adams.,26,41
0:42,2636,Deon Lyle made Three Point Jumper. Assisted by Keaton Wallace.,29,41
0:13,324,Artur Labinowicz missed Three Point Jumper.,29,41
0:13,2636,Deon Lyle Defensive Rebound.,29,41
0:10,324,Foul on Demario Beck.,29,41
0:10,2636,Deon Lyle made Free Throw.,30,41
0:10,2636,Deon Lyle missed Free Throw.,30,41
0:10,324,Demario Beck Defensive Rebound.,30,41
0:02,324,Ajay Sanders missed Three Point Jumper.,30,41
0:02,2636,Austin Karrer Defensive Rebound.,30,41
0:00,324,End of 1st half,30,41
19:40,2636,Foul on Nick Allen.,30,41
19:40,324,Demario Beck made Free Throw.,30,42
19:40,324,Demario Beck missed Free Throw.,30,42
19:40,2636,Byron Frohnen Defensive Rebound.,30,42
19:28,2636,Keaton Wallace missed Three Point Jumper.,30,42
19:28,324,Ajay Sanders Defensive Rebound.,30,42
19:12,324,Demario Beck missed Jumper.,30,42
19:12,324,Demario Beck Offensive Rebound.,30,42
19:08,324,Demario Beck missed Layup.,30,42
19:08,2636,Nick Allen Defensive Rebound.,30,42
18:57,324,Foul on Josh Coleman.,30,42
18:57,2636,Austin Karrer missed Free Throw.,30,42
18:57,2636,UT San Antonio Deadball Team Rebound.,30,42
18:57,2636,Austin Karrer missed Free Throw.,30,42
18:57,2636,Nick Allen Offensive Rebound.,30,42
18:55,2636,Nick Allen made Layup.,32,42
18:30,324,Matt Lindsey made Three Point Jumper.,32,45
18:16,2636,Giovanni De Nicolao made Three Point Jumper.,35,45
17:59,2636,Foul on Giovanni De Nicolao.,35,45
17:47,324,Jaylen Shaw made Jumper.,35,47
17:18,2636,Austin Karrer Turnover.,35,47
16:53,324,Matt Lindsey missed Jumper.,35,47
16:53,2636,Jhivvan Jackson Defensive Rebound.,35,47
16:41,2636,Keaton Wallace made Three Point Jumper. Assisted by Austin Karrer.,38,47
16:19,324,Jaylen Shaw made Layup.,38,49
15:59,2636,Byron Frohnen missed Three Point Jumper.,38,49
15:59,324,Jaylen Shaw Defensive Rebound.,38,49
15:32,324,Ajay Sanders missed Three Point Jumper.,38,49
15:32,324,Coastal Carolina Deadball Team Rebound.,38,49
15:29,2636,Foul on Austin Karrer.,38,49
15:29,324,Official TV Timeout,38,49
15:21,2636,Foul on Jhivvan Jackson.,38,49
15:05,324,Matt Lindsey missed Three Point Jumper.,38,49
15:05,2636,Austin Karrer Defensive Rebound.,38,49
14:53,2636,Jhivvan Jackson made Layup. Assisted by Keaton Wallace.,40,49
14:31,324,Zac Cuthbertson missed Three Point Jumper.,40,49
14:29,2636,Jhivvan Jackson Defensive Rebound.,40,49
14:20,2636,Jhivvan Jackson made Three Point Jumper.,43,49
14:06,324,Artur Labinowicz missed Jumper.,43,49
14:06,324,Josh Coleman Offensive Rebound.,43,49
14:02,324,Josh Coleman made Layup.,43,51
13:41,324,Foul on Matt Lindsey.,43,51
13:36,324,Foul on Ajay Sanders.,43,51
13:36,2636,George Willborn III missed Free Throw.,43,51
13:36,2636,UT San Antonio Deadball Team Rebound.,43,51
13:36,2636,George Willborn III missed Free Throw.,43,51
13:36,2636,Nick Allen Offensive Rebound.,43,51
13:29,2636,Keaton Wallace missed Three Point Jumper.,43,51
13:29,324,Ajay Sanders Defensive Rebound.,43,51
13:25,324,Ajay Sanders Turnover.,43,51
13:23,2636,Jhivvan Jackson missed Three Point Jumper.,43,51
13:23,2636,UT San Antonio Offensive Rebound.,43,51
13:12,324,Foul on Zac Cuthbertson.,43,51
13:12,2636,Jhivvan Jackson made Free Throw.,44,51
13:12,2636,Jhivvan Jackson made Free Throw.,45,51
12:59,324,Artur Labinowicz made Three Point Jumper. Assisted by Ajay Sanders.,45,54
12:57,2636,Foul on George Willborn III.,45,54
12:57,324,Artur Labinowicz missed Free Throw.,45,54
12:57,324,Zac Cuthbertson Offensive Rebound.,45,54
12:53,2636,Foul on Deon Lyle.,45,54
12:53,324,Zac Cuthbertson missed Free Throw.,45,54
12:53,324,Coastal Carolina Deadball Team Rebound.,45,54
12:53,324,Zac Cuthbertson made Free Throw.,45,55
12:45,2636,Jhivvan Jackson made Layup.,47,55
12:26,324,Trevion Brown made Three Point Jumper. Assisted by Ajay Sanders.,47,58
12:11,2636,Keaton Wallace missed Three Point Jumper.,47,58
12:11,2636,George Willborn III Offensive Rebound.,47,58
12:07,2636,George Willborn III made Layup.,49,58
11:52,324,Artur Labinowicz Turnover.,49,58
11:52,324,Foul on Artur Labinowicz.,49,58
11:52,324,Official TV Timeout,49,58
11:40,2636,Jhivvan Jackson made Jumper.,51,58
11:20,324,Ajay Sanders missed Three Point Jumper.,51,58
11:20,324,Demario Beck Offensive Rebound.,51,58
11:14,324,Demario Beck made Layup.,51,60
10:58,2636,Jhivvan Jackson missed Three Point Jumper.,51,60
10:58,324,Demario Beck Defensive Rebound.,51,60
10:46,324,Demario Beck missed Three Point Jumper.,51,60
10:46,2636,George Willborn III Defensive Rebound.,51,60
10:38,324,Foul on Trevion Brown.,51,60
10:28,2636,Jhivvan Jackson Turnover.,51,60
10:26,324,Demario Beck Steal.,51,60
10:22,324,Jaylen Shaw missed Layup.,51,60
10:22,324,Coastal Carolina Offensive Rebound.,51,60
10:05,324,Zac Cuthbertson missed Jumper.,51,60
10:05,2636,Jhivvan Jackson Defensive Rebound.,51,60
9:54,2636,Byron Frohnen Turnover.,51,60
9:52,324,Matt Lindsey Steal.,51,60
9:34,324,Jaylen Shaw missed Three Point Jumper.,51,60
9:34,2636,Jhivvan Jackson Defensive Rebound.,51,60
9:14,2636,Nick Allen made Jumper. Assisted by Giovanni De Nicolao.,53,60
8:46,324,Ajay Sanders Turnover.,53,60
8:46,324,Foul on Ajay Sanders.,53,60
8:37,2636,Giovanni De Nicolao made Jumper. Assisted by Nick Allen.,55,60
8:14,324,Matt Lindsey made Three Point Jumper. Assisted by Ajay Sanders.,55,63
8:01,324,Foul on Matt Lindsey.,55,63
8:01,2636,Giovanni De Nicolao made Free Throw.,56,63
8:01,2636,Giovanni De Nicolao made Free Throw.,57,63
7:44,324,Artur Labinowicz missed Layup.,57,63
7:44,2636,Jhivvan Jackson Block.,57,63
7:43,324,Coastal Carolina Offensive Rebound.,57,63
7:43,324,Official TV Timeout,57,63
7:35,2636,Foul on Giovanni De Nicolao.,57,63
7:35,324,Jaylen Shaw made Free Throw.,57,64
7:35,324,Jaylen Shaw made Free Throw.,57,65
7:20,2636,Byron Frohnen missed Jumper.,57,65
7:20,324,Zac Cuthbertson Defensive Rebound.,57,65
6:58,324,Artur Labinowicz made Three Point Jumper. Assisted by Ajay Sanders.,57,68
6:48,2636,Jhivvan Jackson made Layup.,59,68
6:48,324,Foul on Ajay Sanders.,59,68
6:48,2636,Jhivvan Jackson made Free Throw.,60,68
6:30,2636,Foul on Jhivvan Jackson.,60,68
6:30,324,Artur Labinowicz made Free Throw.,60,69
6:30,324,Artur Labinowicz made Free Throw.,60,70
6:30,324,Artur Labinowicz made Free Throw.,60,71
6:11,2636,Nick Allen missed Three Point Jumper.,60,71
6:11,2636,Austin Karrer Offensive Rebound.,60,71
6:06,2636,Jhivvan Jackson missed Three Point Jumper.,60,71
6:06,2636,Byron Frohnen Offensive Rebound.,60,71
6:00,2636,Byron Frohnen made Layup.,62,71
6:00,2636,UT San Antonio  Timeout,62,71
6:00,324,Official TV Timeout,62,71
5:41,324,Josh Coleman made Layup. Assisted by Zac Cuthbertson.,62,73
5:24,2636,Keaton Wallace made Jumper.,64,73
5:07,324,Artur Labinowicz missed Jumper.,64,73
5:07,2636,UT San Antonio Defensive Rebound.,64,73
4:50,2636,Keaton Wallace Turnover.,64,73
4:48,324,Zac Cuthbertson Steal.,64,73
4:44,324,Jaylen Shaw made Layup. Assisted by Zac Cuthbertson.,64,75
4:31,2636,Nick Allen made Dunk.,66,75
4:07,324,Jaylen Shaw Turnover.,66,75
3:56,2636,Byron Frohnen missed Jumper.,66,75
3:56,324,Josh Coleman Defensive Rebound.,66,75
3:26,324,Jaylen Shaw Turnover.,66,75
3:24,2636,Jhivvan Jackson Steal.,66,75
3:20,2636,Jhivvan Jackson missed Three Point Jumper.,66,75
3:20,324,Ajay Sanders Defensive Rebound.,66,75
3:03,324,Artur Labinowicz missed Three Point Jumper.,66,75
3:03,2636,Nick Allen Defensive Rebound.,66,75
2:53,2636,Nick Allen made Jumper. Assisted by Giovanni De Nicolao.,68,75
2:39,324,Coastal Carolina  Timeout,68,75
2:39,324,Official TV Timeout,68,75
2:36,324,Demario Beck missed Layup.,68,75
2:36,2636,Byron Frohnen Block.,68,75
2:34,2636,UT San Antonio Defensive Rebound.,68,75
2:23,2636,Keaton Wallace missed Jumper.,68,75
2:23,2636,Byron Frohnen Offensive Rebound.,68,75
2:16,2636,Giovanni De Nicolao missed Three Point Jumper.,68,75
2:16,324,Demario Beck Defensive Rebound.,68,75
2:08,324,Jaylen Shaw missed Jumper.,68,75
2:08,2636,Nick Allen Defensive Rebound.,68,75
1:57,2636,Jhivvan Jackson missed Layup.,68,75
1:57,324,Matt Lindsey Defensive Rebound.,68,75
1:38,324,Jaylen Shaw Turnover.,68,75
1:38,2636,Giovanni De Nicolao Steal.,68,75
1:38,324,Foul on Zac Cuthbertson.,68,75
1:38,2636,Giovanni De Nicolao made Free Throw.,69,75
1:38,2636,Giovanni De Nicolao missed Free Throw.,69,75
1:38,324,Zac Cuthbertson Defensive Rebound.,69,75
1:08,324,Jaylen Shaw made Three Point Jumper. Assisted by Demario Beck.,69,78
1:02,2636,Keaton Wallace missed Three Point Jumper.,69,78
1:02,2636,Byron Frohnen Offensive Rebound.,69,78
0:56,2636,UT San Antonio  Timeout,69,78
0:52,2636,Jhivvan Jackson missed Three Point Jumper.,69,78
0:52,324,Zac Cuthbertson Defensive Rebound.,69,78
0:48,2636,Foul on Nick Allen.,69,78
0:48,324,Zac Cuthbertson made Free Throw.,69,79
0:48,324,Zac Cuthbertson made Free Throw.,69,80
0:48,2636,Jhivvan Jackson missed Jumper.,69,80
0:48,324,Artur Labinowicz Defensive Rebound.,69,80
0:37,2636,Foul on Byron Frohnen.,69,80
0:37,324,Ajay Sanders missed Free Throw.,69,80
0:37,324,Coastal Carolina Deadball Team Rebound.,69,80
0:37,324,Ajay Sanders made Free Throw.,69,81
0:34,2636,Keaton Wallace missed Three Point Jumper.,69,81
0:34,324,Ajay Sanders Defensive Rebound.,69,81
0:30,2636,Foul on Deon Lyle.,69,81
0:30,324,Ajay Sanders made Free Throw.,69,82
0:30,324,Ajay Sanders made Free Throw.,69,83
0:22,2636,Keaton Wallace Turnover.,69,83
0:00,324,End of Game,69,83
