Northern Colorado,2492,Pepperdine,2458
5:12,2492,Nolan Taylor made Layup. Assisted by Darnell Dunn.,71,67
4:57,2492,Foul on Trae Berhow.,71,67
4:57,2458,Ibrahim Sylla missed Free Throw.,71,67
4:57,2458,Northern Colorado Deadball Team Rebound.,71,67
4:57,2458,Ibrahim Sylla missed Free Throw.,71,67
4:57,2492,Jade' Smith Defensive Rebound.,71,67
4:45,2492,Colbey Ross made Three Point Jumper. Assisted by Darnell Dunn.,71,70
4:36,2458,Northern Colorado  Timeout,71,70
4:16,2458,Tanner Morgan made Layup. Assisted by Jonah Radebaugh.,73,70
3:58,2492,Trae Berhow missed Three Point Jumper.,73,70
3:58,2458,Tanner Morgan Defensive Rebound.,73,70
3:54,2492,Foul on Nolan Taylor.,73,70
3:54,2492,Official TV Timeout,73,70
3:54,2458,Tanner Morgan made Free Throw.,74,70
3:54,2458,Tanner Morgan made Free Throw.,75,70
3:40,2492,Colbey Ross missed Jumper.,75,70
3:40,2492,Darnell Dunn Offensive Rebound.,75,70
3:34,2492,Darnell Dunn missed Layup.,75,70
3:34,2492,Nolan Taylor Offensive Rebound.,75,70
3:32,2492,Nolan Taylor made Layup.,75,72
3:16,2458,Jordan Davis made Jumper.,77,72
3:08,2492,Nolan Taylor missed Layup.,77,72
3:08,2458,Tanner Morgan Block.,77,72
3:06,2458,Jordan Davis Defensive Rebound.,77,72
3:01,2458,Jalen Sanders missed Jumper.,77,72
3:01,2458,Tanner Morgan Offensive Rebound.,77,72
2:38,2458,Andre Spight made Layup.,79,72
2:23,2492,Jade' Smith missed Jumper.,79,72
2:23,2458,Jalen Sanders Defensive Rebound.,79,72
2:13,2492,Pepperdine  Timeout,79,72
1:50,2458,Jonah Radebaugh missed Three Point Jumper.,79,72
1:50,2492,Colbey Ross Defensive Rebound.,79,72
1:45,2458,Foul on Jonah Radebaugh.,79,72
1:45,2492,Colbey Ross made Free Throw.,79,73
1:45,2492,Colbey Ross made Free Throw.,79,74
1:27,2458,Anthony Johnson Turnover.,79,74
1:12,2492,Trae Berhow made Jumper. Assisted by Colbey Ross.,79,76
0:56,2492,Foul on Kameron Edwards.,79,76
0:56,2458,Andre Spight made Free Throw.,80,76
0:56,2458,Andre Spight missed Free Throw.,80,76
0:56,2492,Nolan Taylor Defensive Rebound.,80,76
0:40,2458,Foul on Andre Spight.,80,76
0:40,2492,Colbey Ross made Free Throw.,80,77
0:40,2492,Colbey Ross made Free Throw.,80,78
0:40,2492,Pepperdine  Timeout,80,78
0:19,2458,Andre Spight missed Jumper.,80,78
0:19,2458,Anthony Johnson Offensive Rebound.,80,78
0:15,2492,Foul on Knox Hellums.,80,78
0:15,2458,Anthony Johnson made Free Throw.,81,78
0:15,2458,Anthony Johnson made Free Throw.,82,78
0:15,2458,Northern Colorado  Timeout,82,78
0:08,2458,Foul on Tanner Morgan.,82,78
0:08,2492,Colbey Ross made Free Throw.,82,79
0:08,2492,Colbey Ross made Free Throw.,82,80
0:08,2458,Northern Colorado  Timeout,82,80
0:08,2492,Foul on Trae Berhow.,82,80
0:08,2458,Anthony Johnson made Free Throw.,83,80
0:08,2458,Anthony Johnson made Free Throw.,84,80
0:01,2492,Jade' Smith made Layup.,84,82
0:01,2492,Pepperdine  Timeout,84,82
0:00,2492,End of Game,84,82
