Central Connecticut,151,East Carolina,2115
0:56,151,B.J. Tyson made Free Throw.,35,31
0:56,151,B.J. Tyson made Free Throw.,35,32
0:51,2115,Tyler Kohl Turnover.,35,32
0:50,151,B.J. Tyson Steal.,35,32
0:48,151,B.J. Tyson made Dunk.,35,34
0:25,2115,Mustafa Jones made Layup. Assisted by Tyler Kohl.,37,34
0:03,151,Jabari Craig made Layup. Assisted by B.J. Tyson.,37,36
0:00,151,End of 1st half,37,36
19:50,151,Kentrell Barkley made Layup.,37,38
19:49,2115,Foul on Tyler Kohl.,37,38
19:49,151,Kentrell Barkley made Free Throw.,37,39
19:33,2115,Mustafa Jones missed Jumper.,37,39
19:33,151,Isaac Fleming Defensive Rebound.,37,39
19:27,151,Jabari Craig missed Layup.,37,39
19:27,2115,Tyler Kohl Defensive Rebound.,37,39
19:02,2115,Mustafa Jones missed Layup.,37,39
19:02,151,Jabari Craig Block.,37,39
19:00,151,East Carolina Defensive Rebound.,37,39
18:41,151,Justin Whatley missed Three Point Jumper.,37,39
18:41,2115,Tyler Kohl Defensive Rebound.,37,39
18:13,2115,Tyler Kohl missed Layup.,37,39
18:13,2115,Tyler Kohl Offensive Rebound.,37,39
18:07,2115,Austin Nehls made Three Point Jumper. Assisted by Tyler Kohl.,40,39
17:49,151,Foul on Jabari Craig.,40,39
17:49,151,Jabari Craig Turnover.,40,39
17:35,2115,Austin Nehls missed Three Point Jumper.,40,39
17:35,2115,Mustafa Jones Offensive Rebound.,40,39
17:21,2115,Tyler Kohl made Layup.,42,39
17:20,151,Foul on B.J. Tyson.,42,39
17:20,2115,Tyler Kohl made Free Throw.,43,39
17:09,151,Justin Whatley missed Layup.,43,39
17:09,2115,Mustafa Jones Defensive Rebound.,43,39
17:01,2115,Eric Bowles Turnover.,43,39
17:00,151,Justin Whatley Steal.,43,39
16:56,151,Isaac Fleming missed Layup.,43,39
16:56,2115,Mustafa Jones Block.,43,39
16:54,2115,Mustafa Jones Defensive Rebound.,43,39
16:45,2115,Austin Nehls missed Three Point Jumper.,43,39
16:45,151,B.J. Tyson Defensive Rebound.,43,39
16:34,2115,Foul on Deion Bute.,43,39
16:34,151,Kentrell Barkley made Free Throw.,43,40
16:34,151,Kentrell Barkley made Free Throw.,43,41
16:14,151,Foul on Usman Haruna.,43,41
16:14,2115,Austin Nehls made Free Throw.,44,41
16:14,2115,Austin Nehls made Free Throw.,45,41
15:57,151,Foul on Justin Whatley.,45,41
15:57,151,Justin Whatley Turnover.,45,41
15:57,151,Official TV Timeout,45,41
15:42,151,Foul on Usman Haruna.,45,41
15:39,151,Foul on Usman Haruna.,45,41
15:27,151,Foul on Usman Haruna.,45,41
15:27,2115,Tyler Kohl made Free Throw.,46,41
15:27,2115,Tyler Kohl missed Free Throw.,46,41
15:27,151,B.J. Tyson Defensive Rebound.,46,41
15:10,151,Isaac Fleming missed Three Point Jumper.,46,41
15:10,2115,Deion Bute Defensive Rebound.,46,41
14:40,2115,Tyler Kohl made Jumper.,48,41
14:19,151,B.J. Tyson missed Layup.,48,41
14:19,2115,Mustafa Jones Defensive Rebound.,48,41
14:11,2115,Austin Nehls made Layup.,50,41
14:08,151,East Carolina  Timeout,50,41
13:44,151,Kentrell Barkley made Layup.,50,43
13:23,2115,Deion Bute made Layup.,52,43
13:12,151,Shawn Williams Turnover.,52,43
12:47,2115,Mustafa Jones missed Jumper.,52,43
12:47,151,B.J. Tyson Defensive Rebound.,52,43
12:36,151,Shawn Williams missed Jumper.,52,43
12:36,2115,Tyler Kohl Defensive Rebound.,52,43
12:21,2115,Tyler Kohl Turnover.,52,43
12:19,151,Dimitri Spasojevic Steal.,52,43
12:15,151,B.J. Tyson missed Three Point Jumper.,52,43
12:15,151,Dimitri Spasojevic Offensive Rebound.,52,43
12:10,151,Dimitri Spasojevic Turnover.,52,43
12:09,2115,Tyler Kohl Steal.,52,43
11:53,2115,Foul on Deion Bute.,52,43
11:53,2115,Deion Bute Turnover.,52,43
11:53,151,Official TV Timeout,52,43
11:39,2115,Foul on Mustafa Jones.,52,43
11:39,151,B.J. Tyson made Free Throw.,52,44
11:39,151,B.J. Tyson made Free Throw.,52,45
11:15,2115,Shakaris Laney missed Layup.,52,45
11:15,151,Kentrell Barkley Defensive Rebound.,52,45
11:08,151,Dimitri Spasojevic made Layup. Assisted by Kentrell Barkley.,52,47
10:44,2115,Mustafa Jones made Dunk. Assisted by Tyler Kohl.,54,47
10:32,151,Kentrell Barkley made Layup.,54,49
10:18,2115,Eric Bowles made Layup.,56,49
10:07,2115,Foul on Mustafa Jones.,56,49
10:07,151,Kentrell Barkley made Free Throw.,56,50
10:07,151,Kentrell Barkley missed Free Throw.,56,50
10:07,2115,Deion Bute Defensive Rebound.,56,50
9:48,2115,Tyler Kohl made Layup. Assisted by Shakaris Laney.,58,50
9:30,151,Dimitri Spasojevic made Layup.,58,52
9:07,2115,Tyler Kohl Turnover.,58,52
8:56,151,Kentrell Barkley made Jumper. Assisted by Isaac Fleming.,58,54
8:44,2115,Central Connecticut  Timeout,58,54
8:24,2115,Joe Hugley made Layup.,60,54
7:58,151,Isaac Fleming missed Layup.,60,54
7:58,151,Dimitri Spasojevic Offensive Rebound.,60,54
7:56,2115,Foul on Austin Nehls.,60,54
7:56,151,Official TV Timeout,60,54
7:56,151,Dimitri Spasojevic missed Free Throw.,60,54
7:56,151,East Carolina Deadball Team Rebound.,60,54
7:56,151,Dimitri Spasojevic missed Free Throw.,60,54
7:56,2115,Austin Nehls Defensive Rebound.,60,54
7:54,151,Official TV Timeout,60,54
7:42,2115,Tyler Kohl made Layup.,62,54
7:11,151,Kentrell Barkley missed Three Point Jumper.,62,54
7:11,2115,Deion Bute Defensive Rebound.,62,54
6:49,2115,Joe Hugley missed Layup.,62,54
6:49,151,Isaac Fleming Defensive Rebound.,62,54
6:42,151,B.J. Tyson made Three Point Jumper. Assisted by Isaac Fleming.,62,57
6:39,151,East Carolina  Timeout,62,57
6:20,2115,Austin Nehls missed Three Point Jumper.,62,57
6:20,2115,Tyler Kohl Offensive Rebound.,62,57
6:11,2115,Tyler Kohl Turnover.,62,57
6:10,151,B.J. Tyson Steal.,62,57
6:08,151,Isaac Fleming made Layup. Assisted by B.J. Tyson.,62,59
5:43,2115,Deion Bute made Jumper.,64,59
5:29,151,B.J. Tyson missed Three Point Jumper.,64,59
5:29,2115,Deion Bute Defensive Rebound.,64,59
5:06,2115,Tyler Kohl made Jumper.,66,59
5:04,151,Foul on B.J. Tyson.,66,59
5:04,2115,Tyler Kohl missed Free Throw.,66,59
5:04,151,Dimitri Spasojevic Defensive Rebound.,66,59
4:50,151,Justin Whatley made Layup. Assisted by Isaac Fleming.,66,61
4:21,2115,Eric Bowles made Layup.,68,61
3:55,151,Isaac Fleming missed Three Point Jumper.,68,61
3:55,2115,Mustafa Jones Defensive Rebound.,68,61
3:22,2115,Eric Bowles missed Three Point Jumper.,68,61
3:22,151,Kentrell Barkley Defensive Rebound.,68,61
3:19,151,Official TV Timeout,68,61
3:10,151,Dimitri Spasojevic missed Jumper.,68,61
3:10,2115,Tyler Kohl Defensive Rebound.,68,61
2:42,2115,Austin Nehls made Three Point Jumper. Assisted by Tyler Kohl.,71,61
2:26,151,Dimitri Spasojevic missed Layup.,71,61
2:26,2115,Deion Bute Block.,71,61
2:24,151,Dimitri Spasojevic Offensive Rebound.,71,61
2:23,2115,Foul on Austin Nehls.,71,61
2:23,151,Dimitri Spasojevic missed Free Throw.,71,61
2:23,151,East Carolina Deadball Team Rebound.,71,61
2:23,151,Dimitri Spasojevic missed Free Throw.,71,61
2:23,2115,Central Connecticut Defensive Rebound.,71,61
2:03,2115,Austin Nehls made Three Point Jumper. Assisted by Mustafa Jones.,74,61
1:47,151,Kentrell Barkley made Jumper.,74,63
1:44,151,East Carolina  Timeout,74,63
1:28,2115,Eric Bowles Turnover.,74,63
1:19,151,Kentrell Barkley made Three Point Jumper. Assisted by Isaac Fleming.,74,66
0:59,151,Foul on Kentrell Barkley.,74,66
0:59,2115,Eric Bowles missed Free Throw.,74,66
0:59,2115,Deion Bute Offensive Rebound.,74,66
0:52,151,Foul on Isaac Fleming.,74,66
0:52,2115,Austin Nehls made Free Throw.,76,66
0:52,2115,Austin Nehls made Free Throw.,75,66
0:48,151,Kentrell Barkley missed Three Point Jumper.,76,66
0:48,2115,Mustafa Jones Defensive Rebound.,76,66
0:41,151,Foul on Isaac Fleming.,76,66
0:41,2115,Austin Nehls made Free Throw.,77,66
0:41,2115,Austin Nehls missed Free Throw.,77,66
0:41,151,Justin Whatley Defensive Rebound.,77,66
0:32,151,Justin Whatley made Layup.,77,68
0:30,151,Foul on Dimitri Spasojevic.,77,68
0:30,2115,Tyler Kohl made Free Throw.,78,68
0:30,2115,Tyler Kohl made Free Throw.,79,68
0:22,151,Isaac Fleming missed Three Point Jumper.,79,68
0:22,2115,Deion Bute Defensive Rebound.,79,68
0:00,151,End of Game,79,68
