Stony Brook,2050,Ball State,2619
3:54,2050,Sean Sellers Steal.,31,32
3:44,2050,Trey Moses missed Jumper.,31,32
3:44,2619,Akwasi Yeboah Defensive Rebound.,31,32
3:32,2619,Tyrell Sturdivant made Three Point Jumper. Assisted by Junior Saintel.,34,32
3:13,2050,Francis Kiapway missed Jumper.,34,32
3:13,2619,UC Iroegbu Block.,34,32
3:12,2050,Ball State Offensive Rebound.,34,32
3:12,2050,Official TV Timeout,34,32
3:11,2050,Kyle Mallers missed Jumper.,34,32
3:11,2619,Michael Almonacy Defensive Rebound.,34,32
2:53,2619,Tyrell Sturdivant made Three Point Jumper. Assisted by Junior Saintel.,37,32
2:40,2050,Francis Kiapway missed Three Point Jumper.,37,32
2:40,2619,Junior Saintel Defensive Rebound.,37,32
2:27,2619,Tyrell Sturdivant made Three Point Jumper. Assisted by Junior Saintel.,40,32
2:11,2050,Tayler Persons Turnover.,40,32
2:11,2050,Ball State  Timeout,40,32
1:56,2619,Tyrell Sturdivant Turnover.,40,32
1:56,2050,Tahjai Teague Steal.,40,32
1:33,2050,Tayler Persons missed Jumper.,40,32
1:33,2619,UC Iroegbu Defensive Rebound.,40,32
1:25,2619,UC Iroegbu missed Layup.,40,32
1:25,2050,Tayler Persons Block.,40,32
1:24,2619,Stony Brook Offensive Rebound.,40,32
1:07,2619,Junior Saintel missed Layup.,40,32
1:07,2050,Tahjai Teague Defensive Rebound.,40,32
0:57,2050,Tayler Persons made Layup.,40,34
0:45,2619,Stony Brook  Timeout,40,34
0:30,2619,Junior Saintel made Layup.,42,34
0:30,2050,Foul on Kyle Mallers.,42,34
0:30,2619,Junior Saintel missed Free Throw.,42,34
0:30,2619,Junior Saintel Offensive Rebound.,42,34
0:25,2619,Tyrell Sturdivant Turnover.,42,34
0:03,2050,Tayler Persons missed Three Point Jumper.,42,34
0:03,2619,Junior Saintel Defensive Rebound.,42,34
0:00,2050,End of 1st half,42,34
19:36,2050,Tayler Persons made Jumper.,42,36
19:18,2619,Junior Saintel missed Layup.,42,36
19:18,2619,Junior Saintel Offensive Rebound.,42,36
19:14,2619,Junior Saintel missed Layup.,42,36
19:14,2050,Tayler Persons Defensive Rebound.,42,36
19:06,2050,Tayler Persons made Jumper.,42,38
18:49,2619,Akwasi Yeboah made Three Point Jumper. Assisted by Junior Saintel.,45,38
18:26,2050,Tahjai Teague made Layup.,45,40
18:05,2619,UC Iroegbu made Jumper.,47,40
17:44,2050,Kyle Mallers made Layup.,47,42
17:22,2619,Tyrell Sturdivant Turnover.,47,42
17:21,2050,Tahjai Teague Steal.,47,42
17:18,2619,Foul on Jordan McKenzie.,47,42
17:18,2050,Tahjai Teague missed Free Throw.,47,42
17:18,2050,Ball State Deadball Team Rebound.,47,42
17:18,2050,Tahjai Teague made Free Throw.,47,43
17:03,2619,UC Iroegbu Turnover.,47,43
17:02,2050,Tayler Persons Steal.,47,43
16:56,2050,Kyle Mallers made Three Point Jumper. Assisted by Sean Sellers.,47,46
16:33,2619,Junior Saintel Turnover.,47,46
16:32,2050,Tahjai Teague Steal.,47,46
16:26,2050,Tayler Persons missed Three Point Jumper.,47,46
16:26,2619,Jordan McKenzie Defensive Rebound.,47,46
16:19,2619,Junior Saintel made Dunk. Assisted by UC Iroegbu.,49,46
15:51,2050,Tayler Persons missed Jumper.,49,46
15:51,2619,Junior Saintel Defensive Rebound.,49,46
15:42,2050,Foul on Sean Sellers.,49,46
15:42,2050,Official TV Timeout,49,46
15:38,2619,UC Iroegbu missed Three Point Jumper.,49,46
15:38,2050,Tayler Persons Defensive Rebound.,49,46
15:22,2050,Trey Moses made Layup. Assisted by Jontrell Walker.,49,48
14:59,2619,UC Iroegbu made Layup.,51,48
14:33,2619,Foul on Junior Saintel.,51,48
14:25,2619,Foul on Elijah Olaniyi.,51,48
14:10,2619,Foul on Tyrell Sturdivant.,51,48
14:10,2050,Trey Moses missed Free Throw.,51,48
14:10,2050,Ball State Deadball Team Rebound.,51,48
14:10,2050,Trey Moses made Free Throw.,51,49
13:52,2619,Akwasi Yeboah missed Jumper.,51,49
13:52,2619,Stony Brook Offensive Rebound.,51,49
13:36,2050,Foul on Zach Gunn.,51,49
13:19,2619,Elijah Olaniyi made Jumper.,53,49
13:06,2619,Foul on Michael Almonacy.,53,49
12:57,2050,Tayler Persons made Jumper.,53,51
12:40,2619,Elijah Olaniyi missed Three Point Jumper.,53,51
12:40,2619,Akwasi Yeboah Offensive Rebound.,53,51
12:35,2619,UC Iroegbu missed Three Point Jumper.,53,51
12:35,2050,Trey Moses Defensive Rebound.,53,51
12:22,2050,Kyle Mallers made Layup. Assisted by Ishmael El-Amin.,53,53
12:22,2619,Foul on Akwasi Yeboah.,53,53
12:22,2050,Kyle Mallers made Free Throw.,53,54
11:58,2619,UC Iroegbu missed Layup.,53,54
11:58,2619,Jakub Petras Offensive Rebound.,53,54
11:55,2619,Jakub Petras missed Layup.,53,54
11:53,2619,UC Iroegbu Offensive Rebound.,53,54
11:53,2050,Foul on Ishmael El-Amin.,53,54
11:53,2050,Official TV Timeout,53,54
11:53,2619,UC Iroegbu made Free Throw.,54,54
11:53,2619,UC Iroegbu made Free Throw.,55,54
11:41,2050,Ishmael El-Amin missed Jumper.,55,54
11:41,2619,Elijah Olaniyi Defensive Rebound.,55,54
11:16,2619,UC Iroegbu made Jumper.,57,54
10:55,2050,Sean Sellers missed Three Point Jumper.,57,54
10:55,2619,Michael Almonacy Defensive Rebound.,57,54
10:41,2619,Michael Almonacy missed Jumper.,57,54
10:41,2050,Ishmael El-Amin Defensive Rebound.,57,54
10:31,2050,Sean Sellers made Layup.,57,56
10:31,2619,Foul on Bryan Sekunda.,57,56
10:31,2050,Sean Sellers made Free Throw.,57,57
10:18,2050,Foul on Zach Gunn.,57,57
10:02,2050,Foul on Francis Kiapway.,57,57
10:02,2619,UC Iroegbu made Free Throw.,58,57
10:02,2619,UC Iroegbu made Free Throw.,59,57
9:45,2619,Foul on Jakub Petras.,59,57
9:45,2050,Zach Gunn made Free Throw.,59,58
9:45,2050,Zach Gunn made Free Throw.,59,59
9:33,2050,Foul on Zach Gunn.,59,59
9:28,2619,Michael Almonacy missed Three Point Jumper.,59,59
9:28,2619,Bryan Sekunda Offensive Rebound.,59,59
9:18,2050,Foul on Tayler Persons.,59,59
9:18,2619,Jakub Petras made Free Throw.,60,59
9:18,2619,Jakub Petras made Free Throw.,61,59
8:56,2050,Tayler Persons made Layup.,61,61
8:37,2619,Jakub Petras Turnover.,61,61
8:37,2619,Foul on Jakub Petras.,61,61
8:37,2050,Tahjai Teague made Free Throw.,61,62
8:37,2050,Tahjai Teague made Free Throw.,61,63
8:18,2619,Junior Saintel missed Layup.,61,63
8:18,2050,Tahjai Teague Block.,61,63
8:15,2050,Tayler Persons Defensive Rebound.,61,63
8:10,2050,Jontrell Walker missed Three Point Jumper.,61,63
8:10,2619,Stony Brook Defensive Rebound.,61,63
7:48,2619,UC Iroegbu made Layup.,63,63
7:38,2619,Foul on Junior Saintel.,63,63
7:38,2050,Official TV Timeout,63,63
7:38,2050,Jontrell Walker missed Free Throw.,63,63
7:38,2050,Ball State Deadball Team Rebound.,63,63
7:38,2050,Jontrell Walker made Free Throw.,63,64
7:25,2619,UC Iroegbu missed Three Point Jumper.,63,64
7:25,2050,Kyle Mallers Defensive Rebound.,63,64
7:02,2050,Zach Gunn made Layup.,63,66
7:02,2619,Foul on Akwasi Yeboah.,63,66
7:02,2050,Zach Gunn made Free Throw.,63,67
6:48,2619,Tyrell Sturdivant missed Layup.,63,67
6:48,2619,Junior Saintel Offensive Rebound.,63,67
6:47,2050,Foul on Tayler Persons.,63,67
6:46,2619,Technical Foul on Junior Saintel.,63,67
6:46,2050,Technical Foul on Sean Sellers.,63,67
6:46,2050,Foul on Sean Sellers.,63,67
6:46,2619,Foul on Junior Saintel.,63,67
6:46,2619,Junior Saintel missed Free Throw.,63,67
6:46,2050,Tayler Persons Defensive Rebound.,63,67
6:29,2050,Sean Sellers missed Three Point Jumper.,63,67
6:29,2050,Zach Gunn Offensive Rebound.,63,67
6:24,2050,Zach Gunn Turnover.,63,67
6:02,2050,Foul on Sean Sellers.,63,67
6:02,2619,Junior Saintel missed Free Throw.,63,67
6:02,2619,Stony Brook Deadball Team Rebound.,63,67
6:02,2619,Junior Saintel made Free Throw.,64,67
5:36,2050,Francis Kiapway missed Three Point Jumper.,64,67
5:36,2050,Tahjai Teague Offensive Rebound.,64,67
5:19,2050,Tayler Persons made Three Point Jumper. Assisted by Jontrell Walker.,64,70
5:16,2619,Stony Brook  Timeout,64,70
5:16,2050,Official TV Timeout,64,70
5:00,2050,Foul on Tahjai Teague.,64,70
5:00,2619,Akwasi Yeboah made Free Throw.,65,70
5:00,2619,Akwasi Yeboah made Free Throw.,66,70
4:47,2050,Tayler Persons made Jumper.,66,72
4:32,2619,UC Iroegbu missed Three Point Jumper.,66,72
4:32,2619,Tyrell Sturdivant Offensive Rebound.,66,72
4:29,2050,Foul on Zach Gunn.,66,72
4:29,2619,Tyrell Sturdivant missed Free Throw.,66,72
4:29,2619,Stony Brook Deadball Team Rebound.,66,72
4:29,2619,Tyrell Sturdivant missed Free Throw.,66,72
4:29,2050,Tahjai Teague Defensive Rebound.,66,72
4:17,2619,Foul on Michael Almonacy.,66,72
4:17,2050,Jontrell Walker made Free Throw.,66,73
4:17,2050,Jontrell Walker made Free Throw.,66,74
4:10,2050,Foul on Kyle Mallers.,66,74
4:10,2619,Akwasi Yeboah missed Free Throw.,66,74
4:10,2619,Stony Brook Deadball Team Rebound.,66,74
4:10,2619,Akwasi Yeboah made Free Throw.,67,74
4:10,2619,Akwasi Yeboah missed Free Throw.,67,74
4:10,2050,Kyle Mallers Defensive Rebound.,67,74
3:47,2050,Tayler Persons Turnover.,67,74
3:45,2619,Elijah Olaniyi Steal.,67,74
3:35,2050,Foul on Kyle Mallers.,67,74
3:35,2050,Official TV Timeout,67,74
3:35,2619,Akwasi Yeboah made Free Throw.,68,74
3:35,2619,Akwasi Yeboah made Free Throw.,69,74
3:11,2050,Tayler Persons made Jumper.,69,76
2:59,2619,Tyrell Sturdivant missed Three Point Jumper.,69,76
2:59,2619,Junior Saintel Offensive Rebound.,69,76
2:55,2619,Junior Saintel Turnover.,69,76
2:29,2050,Tayler Persons made Three Point Jumper.,69,79
2:25,2619,Stony Brook  Timeout,69,79
2:17,2619,Tyrell Sturdivant Turnover.,69,79
1:57,2050,Jontrell Walker missed Layup.,69,79
1:57,2619,Akwasi Yeboah Block.,69,79
1:52,2050,Tahjai Teague Offensive Rebound.,69,79
1:50,2050,Tahjai Teague made Layup.,69,81
1:40,2050,Foul on Tayler Persons.,69,81
1:40,2619,Michael Almonacy made Free Throw.,70,81
1:40,2619,Michael Almonacy made Free Throw.,71,81
1:13,2050,Tayler Persons Turnover.,71,81
1:11,2619,Akwasi Yeboah Steal.,71,81
1:09,2619,UC Iroegbu made Three Point Jumper. Assisted by Akwasi Yeboah.,74,81
1:07,2619,Stony Brook  Timeout,74,81
1:01,2619,Foul on Junior Saintel.,74,81
1:01,2050,Kyle Mallers made Free Throw.,74,82
1:01,2050,Kyle Mallers missed Free Throw.,74,82
1:01,2619,Junior Saintel Defensive Rebound.,74,82
0:51,2619,Junior Saintel missed Layup.,74,82
0:51,2050,Kyle Mallers Block.,74,82
0:49,2050,Tahjai Teague Defensive Rebound.,74,82
0:41,2619,Foul on Junior Saintel.,74,82
0:41,2050,Kyle Mallers made Free Throw.,74,83
0:41,2619,Stony Brook  Timeout,74,83
0:41,2050,Kyle Mallers made Free Throw.,74,84
0:35,2619,Michael Almonacy made Layup.,76,84
0:35,2050,Ball State  Timeout,76,84
0:34,2619,Foul on UC Iroegbu.,76,84
0:34,2050,Tayler Persons made Free Throw.,76,85
0:34,2050,Tayler Persons missed Free Throw.,76,85
0:34,2619,Akwasi Yeboah Defensive Rebound.,76,85
0:29,2619,UC Iroegbu missed Three Point Jumper.,76,85
0:29,2619,Bryan Sekunda Offensive Rebound.,76,85
0:25,2619,Akwasi Yeboah missed Three Point Jumper.,76,85
0:25,2619,Tyrell Sturdivant Offensive Rebound.,76,85
0:22,2619,Tyrell Sturdivant missed Layup.,76,85
0:22,2619,Stony Brook Offensive Rebound.,76,85
0:19,2619,Akwasi Yeboah Turnover.,76,85
0:17,2050,Kyle Mallers Steal.,76,85
0:15,2050,Kyle Mallers made Layup.,76,87
0:11,2619,Bryan Sekunda missed Three Point Jumper.,76,87
0:11,2050,Tahjai Teague Defensive Rebound.,76,87
0:00,2050,End of Game,76,87
