Savannah State,309,Louisiana,2542
7:14,309,Justin Miller made Free Throw.,30,46
7:06,2542,Jahir Cabeza made Layup.,32,46
7:06,309,Foul on Justin Miller.,32,46
7:06,2542,Jahir Cabeza missed Free Throw.,32,46
7:06,309,Bryce Washington Defensive Rebound.,32,46
6:57,309,Marcus Stroman Turnover.,32,46
6:49,2542,Alante Fenner Turnover.,32,46
6:30,309,JaKeenan Gant Turnover.,32,46
6:24,2542,Ty'lik Evans missed Layup.,32,46
6:24,309,Cedric Russell Defensive Rebound.,32,46
6:13,309,Malik Marquetti missed Three Point Jumper.,32,46
6:13,309,Bryce Washington Offensive Rebound.,32,46
6:01,309,JaKeenan Gant missed Three Point Jumper.,32,46
6:01,309,Bryce Washington Offensive Rebound.,32,46
5:58,309,Bryce Washington made Layup.,32,48
5:47,2542,Alante Fenner missed Layup.,32,48
5:47,309,JaKeenan Gant Block.,32,48
5:45,309,Marcus Stroman Defensive Rebound.,32,48
5:41,309,Cedric Russell made Layup.,32,50
5:28,2542,Ralueke Orizu Turnover.,32,50
5:03,309,Bryce Washington missed Layup.,32,50
5:03,2542,Jahir Cabeza Defensive Rebound.,32,50
4:57,2542,Zach Sellers Turnover.,32,50
4:55,309,Malik Marquetti Steal.,32,50
4:52,309,JaKeenan Gant made Layup. Assisted by Malik Marquetti.,32,52
4:39,2542,Jahir Cabeza made Three Point Jumper. Assisted by Zach Sellers.,35,52
4:11,309,Cedric Russell made Three Point Jumper. Assisted by JaKeenan Gant.,35,55
3:51,309,Foul on Cedric Russell.,35,55
3:51,309,Official TV Timeout,35,55
3:51,2542,Alante Fenner made Free Throw.,36,55
3:51,2542,Alante Fenner made Free Throw.,37,55
3:31,309,Bryce Washington Turnover.,37,55
3:29,2542,Zach Sellers Steal.,37,55
3:27,309,Foul on Marcus Stroman.,37,55
3:27,2542,Zach Sellers missed Free Throw.,37,55
3:27,2542,Savannah State Deadball Team Rebound.,37,55
3:27,2542,Zach Sellers made Free Throw.,38,55
3:15,309,P.J. Hardy made Three Point Jumper. Assisted by Jerekius Davis.,38,58
2:57,2542,Jahir Cabeza missed Jumper.,38,58
2:57,2542,Jahir Cabeza Offensive Rebound.,38,58
2:44,309,P.J. Hardy missed Jumper.,38,58
2:44,2542,Zach Sellers Defensive Rebound.,38,58
2:37,309,Jerekius Davis made Layup.,38,60
2:28,2542,Dexter McClanahan made Three Point Jumper.,41,60
1:51,309,Malik Marquetti made Jumper.,41,62
1:39,2542,Jahir Cabeza missed Layup.,41,62
1:39,309,JaKeenan Gant Defensive Rebound.,41,62
1:33,309,P.J. Hardy Turnover.,41,62
1:20,2542,John Grant Jr. missed Three Point Jumper.,41,62
1:20,309,Malik Marquetti Defensive Rebound.,41,62
1:01,309,P.J. Hardy missed Three Point Jumper.,41,62
1:01,309,P.J. Hardy Offensive Rebound.,41,62
0:53,309,Jacob Broussard missed Three Point Jumper.,41,62
0:53,2542,Savannah State Deadball Team Rebound.,41,62
0:52,309,Foul on JaKeenan Gant.,41,62
0:52,2542,Dexter McClanahan missed Free Throw.,41,62
0:52,2542,Savannah State Deadball Team Rebound.,41,62
0:52,2542,Dexter McClanahan made Free Throw.,42,62
0:32,309,Jacob Broussard made Three Point Jumper. Assisted by Malik Marquetti.,42,65
0:23,309,Foul on Larenz Stalcup.,42,65
0:23,2542,Alante Fenner made Free Throw.,43,65
0:23,2542,Alante Fenner made Free Throw.,44,65
0:23,309,Louisiana  Timeout,44,65
0:04,309,Malik Marquetti missed Layup.,44,65
0:03,309,Bryce Washington Offensive Rebound.,44,65
0:02,309,Bryce Washington missed Layup.,44,65
0:02,309,Louisiana Offensive Rebound.,44,65
0:02,2542,John Grant Jr. Block.,44,65
0:01,309,Bryce Washington made Layup. Assisted by Malik Marquetti.,44,67
0:00,309,End of 1st half,44,65
19:50,2542,Zach Sellers missed Layup.,44,67
19:50,2542,Maricus Glenn Offensive Rebound.,44,67
19:49,309,Foul on Malik Marquetti.,44,67
19:49,2542,Maricus Glenn made Free Throw.,45,67
19:49,2542,Maricus Glenn missed Free Throw.,45,67
19:49,309,Bryce Washington Defensive Rebound.,45,67
19:39,309,JaKeenan Gant made Dunk. Assisted by Bryce Washington.,45,69
19:18,2542,Alante Fenner made Layup.,47,69
18:55,309,JaKeenan Gant made Layup. Assisted by Marcus Stroman.,47,71
18:38,2542,Jahir Cabeza missed Layup.,47,71
18:38,309,JaKeenan Gant Defensive Rebound.,47,71
18:18,309,Marcus Stroman Turnover.,47,71
18:17,2542,Alante Fenner Steal.,47,71
18:11,2542,Dexter McClanahan made Layup.,49,71
18:10,2542,Savannah State  Timeout,49,71
17:47,309,Malik Marquetti Turnover.,49,71
17:40,2542,Zach Sellers Turnover.,49,71
17:40,309,Marcus Stroman Steal.,49,71
17:20,309,Frank Bartley IV missed Three Point Jumper.,49,71
17:20,309,Malik Marquetti Offensive Rebound.,49,71
17:13,309,Frank Bartley IV missed Layup.,49,71
17:13,2542,Zach Sellers Defensive Rebound.,49,71
17:09,2542,Dexter McClanahan made Layup.,51,71
16:45,309,Malik Marquetti missed Layup.,51,71
16:45,2542,Maricus Glenn Defensive Rebound.,51,71
16:39,2542,Zach Sellers made Layup.,53,71
16:28,309,Frank Bartley IV made Three Point Jumper. Assisted by Marcus Stroman.,53,74
16:14,2542,Zach Sellers missed Three Point Jumper.,53,74
16:14,309,JaKeenan Gant Defensive Rebound.,53,74
16:07,309,Bryce Washington made Layup. Assisted by Marcus Stroman.,53,76
16:07,2542,Foul on Jahir Cabeza.,53,76
16:07,309,Bryce Washington missed Free Throw.,53,76
16:07,2542,Javaris Jenkins Defensive Rebound.,53,76
15:52,2542,John Grant Jr. Turnover.,53,76
15:50,309,Malik Marquetti Steal.,53,76
15:35,309,Bryce Washington made Layup. Assisted by Marcus Stroman.,53,78
15:23,2542,Jahlin Smith made Dunk. Assisted by Ty'lik Evans.,55,78
15:05,309,Marcus Stroman Turnover.,55,78
15:05,309,Official TV Timeout,55,78
15:02,2542,Javaris Jenkins made Three Point Jumper. Assisted by Alante Fenner.,58,78
14:43,309,Frank Bartley IV Turnover.,58,78
14:30,2542,Ty'lik Evans Turnover.,58,78
14:29,309,Cedric Russell Steal.,58,78
14:11,2542,Foul on John Grant Jr..,58,78
14:11,309,JaKeenan Gant missed Free Throw.,58,78
14:11,309,Louisiana Deadball Team Rebound.,58,78
14:11,309,JaKeenan Gant missed Free Throw.,58,78
14:11,2542,Ralueke Orizu Defensive Rebound.,58,78
14:06,309,Foul on JaKeenan Gant.,58,78
14:00,2542,Ralueke Orizu missed Layup.,58,78
14:00,2542,Ty'lik Evans Offensive Rebound.,58,78
13:47,2542,Alante Fenner missed Layup.,58,78
13:47,2542,Ralueke Orizu Offensive Rebound.,58,78
13:43,2542,Ralueke Orizu missed Layup.,58,78
13:43,309,Frank Bartley IV Defensive Rebound.,58,78
13:23,309,Justin Miller missed Layup.,58,78
13:23,2542,Ralueke Orizu Block.,58,78
13:21,309,Justin Miller Offensive Rebound.,58,78
13:19,309,Justin Miller missed Layup.,58,78
13:19,309,Justin Miller Offensive Rebound.,58,78
13:16,309,Justin Miller missed Layup.,58,78
13:16,309,Louisiana Offensive Rebound.,58,78
13:09,309,Frank Bartley IV made Three Point Jumper. Assisted by Cedric Russell.,58,81
13:01,2542,Javaris Jenkins made Layup.,60,81
12:39,309,Frank Bartley IV missed Three Point Jumper.,60,81
12:39,309,Malik Marquetti Offensive Rebound.,60,81
12:36,309,Frank Bartley IV made Three Point Jumper. Assisted by Malik Marquetti.,60,84
12:18,309,Bryce Washington Block.,60,84
12:18,309,Frank Bartley IV Defensive Rebound.,60,84
12:11,309,Justin Miller missed Layup.,60,84
12:11,309,Bryce Washington Offensive Rebound.,60,84
12:07,309,Bryce Washington made Layup.,60,86
12:07,2542,Foul on Javaris Jenkins.,60,86
12:07,309,Bryce Washington missed Free Throw.,60,86
12:07,309,Louisiana Offensive Rebound.,60,86
11:52,309,Justin Miller Turnover.,60,86
11:52,309,Official TV Timeout,60,86
11:50,2542,Zach Sellers missed Jumper.,60,86
11:50,2542,Ralueke Orizu Offensive Rebound.,60,86
11:43,309,Foul on Malik Marquetti.,60,86
11:43,2542,Ralueke Orizu made Free Throw.,61,86
11:43,2542,Ralueke Orizu made Free Throw.,62,86
11:17,309,P.J. Hardy missed Three Point Jumper.,62,86
11:17,309,Justin Miller Offensive Rebound.,62,86
11:14,309,Louisiana  Timeout,62,86
10:54,309,P.J. Hardy missed Three Point Jumper.,62,86
10:54,309,Bryce Washington Offensive Rebound.,62,86
10:37,2542,Foul on Ralueke Orizu.,62,86
10:37,309,Justin Miller missed Free Throw.,62,86
10:37,309,Louisiana Deadball Team Rebound.,62,86
10:37,309,Justin Miller made Free Throw.,62,87
10:26,2542,Ralueke Orizu missed Layup.,62,87
10:26,309,Bryce Washington Defensive Rebound.,62,87
10:13,309,P.J. Hardy missed Three Point Jumper.,62,87
10:13,2542,Chris Dubose Defensive Rebound.,62,87
10:05,2542,Zach Sellers made Three Point Jumper.,65,87
9:31,309,Cedric Russell missed Jumper.,65,87
9:31,2542,Zach Sellers Defensive Rebound.,65,87
9:22,309,Foul on Larenz Stalcup.,65,87
9:22,2542,Dexter McClanahan made Free Throw.,66,87
9:22,2542,Dexter McClanahan made Free Throw.,67,87
8:57,309,Frank Bartley IV made Three Point Jumper. Assisted by Marcus Stroman.,67,90
8:48,2542,Alante Fenner missed Layup.,67,90
8:48,309,Larenz Stalcup Defensive Rebound.,67,90
8:38,309,Frank Bartley IV missed Three Point Jumper.,67,90
8:38,309,Bryce Washington Offensive Rebound.,67,90
8:33,309,Frank Bartley IV missed Layup.,67,90
8:33,309,Bryce Washington Offensive Rebound.,67,90
8:28,2542,Foul on John Grant Jr..,67,90
8:16,309,Cedric Russell missed Three Point Jumper.,67,90
8:16,2542,Dexter McClanahan Defensive Rebound.,67,90
8:10,2542,Dexter McClanahan missed Layup.,67,90
8:10,2542,Maricus Glenn Offensive Rebound.,67,90
8:07,2542,Maricus Glenn missed Layup.,67,90
8:07,309,Cedric Russell Defensive Rebound.,67,90
7:53,309,Frank Bartley IV missed Layup.,67,90
7:53,2542,Ty'lik Evans Defensive Rebound.,67,90
7:48,2542,Ty'lik Evans made Layup.,69,90
7:30,309,Larenz Stalcup made Dunk. Assisted by Marcus Stroman.,69,92
7:27,309,Louisiana  Timeout,69,92
7:26,2542,Ty'lik Evans made Layup.,71,92
7:02,309,Cedric Russell made Three Point Jumper. Assisted by Marcus Stroman.,71,95
6:50,2542,John Grant Jr. missed Three Point Jumper.,71,95
6:50,309,Marcus Stroman Defensive Rebound.,71,95
6:44,309,Bryce Washington made Dunk. Assisted by Marcus Stroman.,71,97
6:33,309,Foul on Larenz Stalcup.,71,97
6:33,2542,Ralueke Orizu made Free Throw.,72,97
6:33,2542,Ralueke Orizu made Free Throw.,73,97
6:19,309,Cedric Russell made Three Point Jumper. Assisted by Malik Marquetti.,73,100
6:08,2542,Ty'lik Evans missed Three Point Jumper.,73,100
6:08,309,Cedric Russell Defensive Rebound.,73,100
6:00,309,P.J. Hardy Turnover.,73,100
5:53,2542,Ty'lik Evans missed Layup.,73,100
5:53,309,Larenz Stalcup Block.,73,100
5:51,309,Louisiana Defensive Rebound.,73,100
5:32,309,Cedric Russell missed Jumper.,73,100
5:32,2542,Ralueke Orizu Defensive Rebound.,73,100
5:24,2542,Zach Sellers missed Three Point Jumper.,73,100
5:24,309,Larenz Stalcup Defensive Rebound.,73,100
4:58,309,Cedric Russell missed Jumper.,73,100
4:58,309,JaKeenan Gant Offensive Rebound.,73,100
4:54,309,JaKeenan Gant made Layup.,73,102
4:44,2542,Jahir Cabeza Turnover.,73,102
4:32,309,Malik Marquetti made Three Point Jumper. Assisted by P.J. Hardy.,73,105
4:20,309,Foul on P.J. Hardy.,73,105
4:12,2542,Zach Sellers Turnover.,73,105
4:11,309,Larenz Stalcup Steal.,73,105
4:06,309,P.J. Hardy Turnover.,73,105
4:04,2542,Chris Dubose Steal.,73,105
3:59,309,Foul on Larenz Stalcup.,73,105
3:59,309,Official TV Timeout,73,105
3:59,2542,Ralueke Orizu made Free Throw.,74,105
3:59,2542,Ralueke Orizu made Free Throw.,75,105
3:41,309,Jerekius Davis made Layup.,75,107
3:33,2542,Zach Sellers missed Layup.,75,107
3:33,309,Larenz Stalcup Block.,75,107
3:33,2542,Savannah State Offensive Rebound.,75,107
3:31,309,Foul on Larenz Stalcup.,75,107
3:31,2542,Ralueke Orizu made Free Throw.,76,107
3:31,2542,Ralueke Orizu made Free Throw.,77,107
3:21,309,Jacob Broussard Turnover.,77,107
3:18,2542,Ralueke Orizu Turnover.,77,107
3:16,309,Cedric Russell Steal.,77,107
3:14,309,Justin Miller made Layup. Assisted by Cedric Russell.,77,109
3:10,2542,Ralueke Orizu missed Layup.,77,109
3:10,309,Jerekius Davis Defensive Rebound.,77,109
2:54,309,Malik Marquetti Turnover.,77,109
2:49,2542,Alante Fenner missed Layup.,77,109
2:49,309,Malik Marquetti Defensive Rebound.,77,109
2:41,309,Jacob Broussard missed Three Point Jumper.,77,109
2:41,2542,Ralueke Orizu Defensive Rebound.,77,109
2:39,309,Foul on Justin Miller.,77,109
2:39,2542,Ralueke Orizu missed Free Throw.,77,109
2:39,309,Louisiana Defensive Rebound.,77,109
2:26,309,Cedric Russell Turnover.,77,109
2:25,2542,Zach Sellers Steal.,77,109
2:23,2542,Zach Sellers made Layup.,79,109
2:18,309,Jacob Broussard Turnover.,79,109
2:18,2542,Zach Sellers Steal.,79,109
2:17,309,Foul on Jacob Broussard.,79,109
2:17,2542,Ralueke Orizu missed Free Throw.,79,109
2:17,2542,Savannah State Deadball Team Rebound.,79,109
2:17,2542,Ralueke Orizu missed Free Throw.,79,109
2:17,309,Jerekius Davis Defensive Rebound.,79,109
1:48,309,Jacob Broussard made Three Point Jumper. Assisted by Jerekius Davis.,79,112
1:38,309,Foul on Cedric Russell.,79,112
1:38,2542,Dexter McClanahan missed Free Throw.,79,112
1:38,2542,Savannah State Deadball Team Rebound.,79,112
1:38,2542,Dexter McClanahan made Free Throw.,80,112
1:15,309,Mason Aucoin missed Three Point Jumper.,80,112
1:15,2542,John Grant Jr. Defensive Rebound.,80,112
1:07,2542,Chris Dubose missed Three Point Jumper.,80,112
1:07,309,Jacob Broussard Defensive Rebound.,80,112
0:54,309,P.J. Hardy made Three Point Jumper. Assisted by Cedric Russell.,80,115
0:50,309,Foul on P.J. Hardy.,80,115
0:50,2542,Chris Dubose made Free Throw.,81,115
0:50,2542,Chris Dubose made Free Throw.,82,115
0:35,309,Jerekius Davis missed Three Point Jumper.,82,115
0:35,2542,Ralueke Orizu Defensive Rebound.,82,115
0:22,2542,Khalen Pinkett missed Layup.,82,115
0:22,309,Mason Aucoin Defensive Rebound.,82,115
0:00,309,End of Game,82,115
