Columbia,213,Penn State,171
13:43,171,Foul on Nate Hickman.,8,11
13:43,171,Nate Hickman Turnover.,8,11
13:30,213,Deividas Zemgulis missed Three Point Jumper.,8,11
13:30,171,Jaron Faulds Defensive Rebound.,8,11
13:22,171,Nate Hickman missed Layup.,8,11
13:22,213,Satchel Pierce Defensive Rebound.,8,11
13:15,213,Shep Garner made Three Point Jumper.,8,14
12:58,171,Mike Smith missed Jumper.,8,14
12:58,213,Deividas Zemgulis Defensive Rebound.,8,14
12:44,171,Foul on Jaron Faulds.,8,14
12:44,213,Lamar Stevens missed Free Throw.,8,14
12:44,213,Penn State Deadball Team Rebound.,8,14
12:44,213,Lamar Stevens missed Free Throw.,8,14
12:44,171,Nate Hickman Defensive Rebound.,8,14
12:33,213,Foul on Deividas Zemgulis.,8,14
12:25,171,Mike Smith Turnover.,8,14
12:24,213,Nazeer Bostick Steal.,8,14
12:12,213,Mike Watkins missed Jumper.,8,14
12:12,213,Jamari Wheeler Offensive Rebound.,8,14
12:10,213,Jamari Wheeler made Jumper.,8,16
11:57,171,Quinton Adlesh missed Jumper.,8,16
11:57,213,Mike Watkins Defensive Rebound.,8,16
11:47,171,Foul on Mike Smith.,8,16
11:47,213,Official TV Timeout,8,16
11:47,213,Jamari Wheeler made Free Throw.,8,17
11:47,213,Jamari Wheeler made Free Throw.,8,18
11:47,213,Jamari Wheeler made Free Throw.,8,19
11:38,213,Foul on Mike Watkins.,8,19
11:34,171,Gabe Stefanini Turnover.,8,19
11:22,213,Shep Garner missed Three Point Jumper.,8,19
11:22,213,Lamar Stevens Offensive Rebound.,8,19
11:18,213,Shep Garner missed Three Point Jumper.,8,19
11:18,171,Columbia Defensive Rebound.,8,19
11:04,171,Gabe Stefanini Turnover.,8,19
11:03,213,Shep Garner Steal.,8,19
11:00,213,Shep Garner missed Layup.,8,19
11:00,213,Nazeer Bostick Offensive Rebound.,8,19
10:58,213,Nazeer Bostick missed Layup.,8,19
10:58,213,Lamar Stevens Offensive Rebound.,8,19
10:52,171,Foul on Patrick Tape.,8,19
10:29,213,Jamari Wheeler missed Layup.,8,19
10:29,171,Patrick Tape Defensive Rebound.,8,19
10:29,213,Foul on Nazeer Bostick.,8,19
10:16,171,Lukas Meisner missed Jumper.,8,19
10:16,213,Mike Watkins Defensive Rebound.,8,19
10:00,213,Nazeer Bostick made Layup.,8,21
9:41,171,Patrick Tape Turnover.,8,21
9:39,213,Lamar Stevens Steal.,8,21
9:21,213,Foul on Lamar Stevens.,8,21
9:21,213,Lamar Stevens Turnover.,8,21
9:10,171,Gabe Stefanini Turnover.,8,21
8:53,213,Foul on Mike Watkins.,8,21
8:53,213,Mike Watkins Turnover.,8,21
8:42,171,Lukas Meisner Turnover.,8,21
8:27,213,Satchel Pierce missed Layup.,8,21
8:27,213,Deividas Zemgulis Offensive Rebound.,8,21
8:10,171,Foul on Quinton Adlesh.,8,21
8:10,213,Satchel Pierce missed Free Throw.,8,21
8:10,213,Penn State Deadball Team Rebound.,8,21
8:10,213,Satchel Pierce made Free Throw.,8,22
7:59,171,Quinton Adlesh made Three Point Jumper. Assisted by Mike Smith.,11,22
7:49,213,Shep Garner made Three Point Jumper. Assisted by Jamari Wheeler.,11,25
7:38,171,Lukas Meisner made Three Point Jumper. Assisted by Mike Smith.,14,25
7:07,213,Jamari Wheeler missed Layup.,14,25
7:07,213,Satchel Pierce Offensive Rebound.,14,25
7:05,213,Satchel Pierce made Dunk.,14,27
6:45,171,Mike Smith Turnover.,14,27
6:45,213,Jamari Wheeler Steal.,14,27
6:41,213,Jamari Wheeler missed Layup.,14,27
6:41,171,Mike Smith Defensive Rebound.,14,27
6:35,171,Quinton Adlesh made Three Point Jumper. Assisted by Mike Smith.,17,27
6:12,213,Foul on Satchel Pierce.,17,27
6:12,213,Satchel Pierce Turnover.,17,27
6:12,213,Official TV Timeout,17,27
5:55,171,Quinton Adlesh missed Three Point Jumper.,17,27
5:55,213,Deividas Zemgulis Defensive Rebound.,17,27
5:40,171,Foul on Lukas Meisner.,17,27
5:40,213,Satchel Pierce made Free Throw.,17,28
5:40,213,Satchel Pierce made Free Throw.,17,29
5:33,171,Mike Smith missed Jumper.,17,29
5:33,213,Jamari Wheeler Defensive Rebound.,17,29
5:14,213,Satchel Pierce missed Jumper.,17,29
5:14,171,Nate Hickman Defensive Rebound.,17,29
5:02,171,Mike Smith made Layup.,19,29
4:44,213,Satchel Pierce missed Three Point Jumper.,19,29
4:44,171,Columbia Defensive Rebound.,19,29
4:33,171,Mike Smith made Jumper.,21,29
4:10,213,Shep Garner made Three Point Jumper. Assisted by Deividas Zemgulis.,21,32
3:54,171,Jaron Faulds made Jumper.,23,32
3:27,213,Shep Garner made Layup.,23,34
3:14,171,Jaron Faulds made Jumper. Assisted by Mike Smith.,25,34
3:12,213,Penn State  Timeout,25,34
3:12,213,Official TV Timeout,25,34
2:58,213,Shep Garner made Jumper.,25,36
2:47,171,Mike Smith missed Jumper.,25,36
2:47,213,Julian Moore Defensive Rebound.,25,36
2:32,213,Julian Moore Turnover.,25,36
2:22,213,Foul on Julian Moore.,25,36
2:22,171,Nate Hickman made Free Throw.,26,36
2:22,171,Nate Hickman made Free Throw.,27,36
2:13,213,Jamari Wheeler missed Three Point Jumper.,27,36
2:13,171,Quinton Adlesh Defensive Rebound.,27,36
1:59,171,Mike Smith missed Layup.,27,36
1:59,171,Jaron Faulds Offensive Rebound.,27,36
1:57,171,Jaron Faulds made Layup.,29,36
1:49,213,Shep Garner missed Three Point Jumper.,29,36
1:49,171,Nate Hickman Defensive Rebound.,29,36
1:32,171,Gabe Stefanini missed Jumper.,29,36
1:32,213,Nazeer Bostick Defensive Rebound.,29,36
1:10,213,Julian Moore Turnover.,29,36
1:10,171,Quinton Adlesh Steal.,29,36
1:09,213,Foul on Shep Garner.,29,36
1:09,171,Quinton Adlesh made Free Throw.,30,36
1:09,171,Quinton Adlesh made Free Throw.,31,36
0:39,213,Nazeer Bostick missed Three Point Jumper.,31,36
0:39,171,Myles Hanson Defensive Rebound.,31,36
0:34,213,Foul on Nazeer Bostick.,31,36
0:34,171,Nate Hickman made Free Throw.,32,36
0:34,171,Nate Hickman missed Free Throw.,32,36
0:34,213,Lamar Stevens Defensive Rebound.,32,36
0:06,213,Lamar Stevens made Layup.,32,38
0:00,171,Gabe Stefanini made Three Point Jumper.,35,38
0:00,213,End of 1st half,35,38
19:50,171,Nate Hickman Turnover.,35,38
19:50,213,Shep Garner Steal.,35,38
19:31,213,Julian Moore Turnover.,35,38
19:30,171,Mike Smith Steal.,35,38
19:25,171,Mike Smith missed Layup.,35,38
19:25,213,Julian Moore Defensive Rebound.,35,38
19:03,213,Shep Garner made Jumper.,35,40
18:34,171,Foul on Patrick Tape.,35,40
18:34,171,Patrick Tape Turnover.,35,40
18:11,213,Shep Garner made Jumper.,35,42
18:05,171,Mike Smith Turnover.,35,42
17:56,213,Nazeer Bostick missed Jumper.,35,42
17:56,171,Quinton Adlesh Defensive Rebound.,35,42
17:46,171,Lukas Meisner made Three Point Jumper. Assisted by Quinton Adlesh.,38,42
17:20,213,Lamar Stevens missed Jumper.,38,42
17:20,171,Columbia Defensive Rebound.,38,42
17:12,171,Mike Smith missed Layup.,38,42
17:12,213,Mike Watkins Defensive Rebound.,38,42
17:01,213,Shep Garner missed Jumper.,38,42
17:01,213,Nazeer Bostick Offensive Rebound.,38,42
16:56,213,Nazeer Bostick missed Two Point Tip Shot.,38,42
16:56,171,Lukas Meisner Defensive Rebound.,38,42
16:47,171,Patrick Tape Turnover.,38,42
16:35,213,Mike Watkins made Jumper. Assisted by Shep Garner.,38,44
16:15,171,Quinton Adlesh missed Jumper.,38,44
16:15,213,Mike Watkins Defensive Rebound.,38,44
15:50,213,Nazeer Bostick missed Layup.,38,44
15:50,213,Mike Watkins Offensive Rebound.,38,44
15:48,213,Mike Watkins made Layup.,38,46
15:40,171,Mike Smith made Layup.,40,46
15:19,213,Lamar Stevens made Three Point Jumper. Assisted by Jamari Wheeler.,40,49
15:01,171,Mike Smith Turnover.,40,49
15:01,213,Official TV Timeout,40,49
14:49,171,Foul on Quinton Adlesh.,40,49
14:49,213,Satchel Pierce made Free Throw.,40,50
14:49,213,Satchel Pierce made Free Throw.,40,51
14:35,171,Mike Smith made Layup.,42,51
14:35,213,Foul on Lamar Stevens.,42,51
14:35,171,Mike Smith made Free Throw.,43,51
14:13,213,Lamar Stevens missed Three Point Jumper.,43,51
14:13,171,Quinton Adlesh Defensive Rebound.,43,51
13:57,171,Jaron Faulds missed Jumper.,43,51
13:57,213,Satchel Pierce Defensive Rebound.,43,51
13:49,213,Jamari Wheeler missed Three Point Jumper.,43,51
13:49,213,Lamar Stevens Offensive Rebound.,43,51
13:30,213,Foul on Satchel Pierce.,43,51
13:30,213,Satchel Pierce Turnover.,43,51
13:04,171,Jaron Faulds missed Jumper.,43,51
13:04,213,Mike Watkins Block.,43,51
13:04,171,Columbia Offensive Rebound.,43,51
12:59,171,Quinton Adlesh missed Three Point Jumper.,43,51
12:59,171,Columbia Deadball Team Rebound.,43,51
12:59,171,Columbia  Turnover.,43,51
12:47,213,Shep Garner missed Three Point Jumper.,43,51
12:47,171,Myles Hanson Defensive Rebound.,43,51
12:39,213,Foul on Jamari Wheeler.,43,51
12:39,171,Mike Smith made Free Throw.,44,51
12:39,171,Mike Smith made Free Throw.,45,51
12:39,171,Mike Smith made Free Throw.,46,51
12:16,213,Mike Watkins made Layup. Assisted by Jamari Wheeler.,46,53
12:01,171,Mike Smith missed Three Point Jumper.,46,53
12:01,213,Mike Watkins Defensive Rebound.,46,53
11:32,171,Foul on Nate Hickman.,46,53
11:32,213,Official TV Timeout,46,53
11:32,213,Nazeer Bostick made Free Throw.,46,54
11:32,213,Nazeer Bostick made Free Throw.,46,55
11:19,171,Jaron Faulds Turnover.,46,55
11:18,213,Mike Watkins Steal.,46,55
11:00,213,Nazeer Bostick missed Jumper.,46,55
11:00,171,Nate Hickman Defensive Rebound.,46,55
10:50,171,Nate Hickman Turnover.,46,55
10:49,213,Shep Garner Steal.,46,55
10:26,213,Jamari Wheeler missed Layup.,46,55
10:26,171,Jaron Faulds Block.,46,55
10:25,213,Deividas Zemgulis Offensive Rebound.,46,55
10:22,213,Jamari Wheeler missed Three Point Jumper.,46,55
10:22,171,Jaron Faulds Defensive Rebound.,46,55
10:08,171,Mike Smith missed Jumper.,46,55
10:08,213,Mike Watkins Defensive Rebound.,46,55
9:57,213,Shep Garner made Three Point Jumper.,46,58
9:43,171,Mike Smith Turnover.,46,58
9:43,213,Jamari Wheeler Steal.,46,58
9:38,213,Jamari Wheeler made Layup. Assisted by Nazeer Bostick.,46,60
9:30,171,Columbia  Timeout,46,60
9:30,213,Official TV Timeout,46,60
9:16,171,Jaron Faulds missed Layup.,46,60
9:16,213,Mike Watkins Block.,46,60
9:15,213,Mike Watkins Defensive Rebound.,46,60
8:54,213,Mike Watkins made Layup. Assisted by Nazeer Bostick.,46,62
8:41,171,Mike Smith missed Jumper.,46,62
8:41,213,Mike Watkins Block.,46,62
8:40,171,Columbia Offensive Rebound.,46,62
8:32,171,Mike Smith missed Jumper.,46,62
8:32,213,Mike Watkins Defensive Rebound.,46,62
8:12,213,Mike Watkins made Dunk.,46,64
8:12,171,Foul on Jaron Faulds.,46,64
8:12,213,Mike Watkins made Free Throw.,46,65
7:57,171,Nate Hickman made Three Point Jumper. Assisted by Mike Smith.,49,65
7:40,213,Official TV Timeout,49,65
7:33,213,Lamar Stevens missed Jumper.,49,65
7:33,171,Patrick Tape Block.,49,65
7:33,213,Penn State Offensive Rebound.,49,65
7:33,213,Foul on Jamari Wheeler.,49,65
7:33,213,Jamari Wheeler Turnover.,49,65
7:18,171,Lukas Meisner made Layup. Assisted by Nate Hickman.,51,65
6:52,213,Lamar Stevens made Jumper.,51,67
6:33,171,Patrick Tape made Dunk. Assisted by Nate Hickman.,53,67
6:13,213,Lamar Stevens missed Jumper.,53,67
6:13,171,Quinton Adlesh Defensive Rebound.,53,67
6:07,171,Mike Smith missed Three Point Jumper.,53,67
6:07,171,Patrick Tape Offensive Rebound.,53,67
5:50,171,Patrick Tape Turnover.,53,67
5:48,213,Nazeer Bostick Steal.,53,67
5:30,213,Lamar Stevens made Jumper.,53,69
5:12,171,Mike Smith made Layup.,55,69
4:51,213,Satchel Pierce made Layup. Assisted by Lamar Stevens.,55,71
4:41,171,Patrick Tape made Layup. Assisted by Quinton Adlesh.,57,71
4:36,213,Penn State  Timeout,57,71
4:19,213,Lamar Stevens missed Three Point Jumper.,57,71
4:19,171,Quinton Adlesh Defensive Rebound.,57,71
4:08,171,Mike Smith made Layup.,59,71
3:45,213,Nazeer Bostick Turnover.,59,71
3:45,213,Official TV Timeout,59,71
3:34,171,Mike Smith made Layup.,61,71
3:10,171,Foul on Nate Hickman.,61,71
2:53,213,Shep Garner Turnover.,61,71
2:45,171,Quinton Adlesh missed Three Point Jumper.,61,71
2:45,213,Mike Watkins Defensive Rebound.,61,71
2:23,213,Lamar Stevens made Three Point Jumper. Assisted by Nazeer Bostick.,61,74
2:10,171,Mike Smith missed Jumper.,61,74
2:10,213,Nazeer Bostick Defensive Rebound.,61,74
2:03,171,Foul on Quinton Adlesh.,61,74
2:03,171,Columbia  Timeout,61,74
1:47,171,Foul on Patrick Tape.,61,74
1:47,213,Nazeer Bostick made Free Throw.,61,75
1:47,213,Nazeer Bostick made Free Throw.,61,76
1:35,171,Quinton Adlesh missed Three Point Jumper.,61,76
1:35,213,Nazeer Bostick Defensive Rebound.,61,76
1:33,213,Nazeer Bostick Turnover.,61,76
1:26,171,Nate Hickman made Layup.,63,76
1:20,171,Foul on Lukas Meisner.,63,76
1:20,213,Shep Garner made Free Throw.,63,77
1:20,213,Shep Garner missed Free Throw.,63,77
1:20,171,Patrick Tape Defensive Rebound.,63,77
1:08,171,Nate Hickman missed Three Point Jumper.,63,77
1:08,213,Nazeer Bostick Defensive Rebound.,63,77
1:08,171,Foul on Patrick Tape.,63,77
1:08,213,Nazeer Bostick made Free Throw.,63,78
1:08,213,Nazeer Bostick made Free Throw.,63,79
0:57,171,Patrick Tape made Layup. Assisted by Mike Smith.,65,79
0:27,213,Nazeer Bostick missed Layup.,65,79
0:27,171,Lukas Meisner Block.,65,79
0:27,213,Penn State Deadball Team Rebound.,65,79
0:27,213,Penn State  Turnover.,65,79
0:12,171,Nate Hickman missed Layup.,65,79
0:12,213,Mike Watkins Block.,65,79
0:10,171,Nate Hickman Offensive Rebound.,65,79
0:07,171,Mike Smith missed Three Point Jumper.,65,79
0:07,213,Mike Watkins Defensive Rebound.,65,79
0:00,213,End of Game,65,79
