Drake,154,Wake Forest,2181
11:56,154,Brandon Childress made Three Point Jumper. Assisted by Doral Moore.,13,20
11:56,2181,Foul on Graham Woodward.,13,20
11:56,154,Official TV Timeout,13,20
11:56,154,Brandon Childress made Free Throw.,13,21
11:26,2181,Jalen Gibbs missed Three Point Jumper.,13,21
11:26,154,Chaundee Brown Defensive Rebound.,13,21
11:15,154,Chaundee Brown Turnover.,13,21
11:13,2181,Casey Schlatter Steal.,13,21
11:10,2181,C.J. Rivers missed Layup.,13,21
11:10,154,Doral Moore Defensive Rebound.,13,21
11:02,154,Chaundee Brown missed Three Point Jumper.,13,21
11:02,2181,Reed Timmer Defensive Rebound.,13,21
10:54,2181,Graham Woodward made Three Point Jumper. Assisted by Reed Timmer.,16,21
10:33,154,Terrence Thompson Turnover.,16,21
10:14,2181,C.J. Rivers made Layup.,18,21
10:01,154,Chaundee Brown missed Three Point Jumper.,18,21
10:01,154,Terrence Thompson Offensive Rebound.,18,21
9:56,154,Terrence Thompson missed Layup.,18,21
9:56,2181,Kory Kuenstling Block.,18,21
9:53,2181,Kory Kuenstling Defensive Rebound.,18,21
9:48,2181,Graham Woodward missed Three Point Jumper.,18,21
9:48,2181,Noah Thomas Offensive Rebound.,18,21
9:40,2181,Graham Woodward missed Layup.,18,21
9:40,154,Olivier Sarr Block.,18,21
9:37,2181,De'Antae McMurray Offensive Rebound.,18,21
9:29,2181,Kory Kuenstling Turnover.,18,21
9:08,154,Chaundee Brown made Three Point Jumper. Assisted by Brandon Childress.,18,24
8:40,2181,Noah Thomas made Three Point Jumper. Assisted by Kory Kuenstling.,21,24
8:13,154,Bryant Crawford Turnover.,21,24
7:55,2181,Noah Thomas missed Three Point Jumper.,21,24
7:55,154,Brandon Childress Defensive Rebound.,21,24
7:40,154,Bryant Crawford Turnover.,21,24
7:40,154,Official TV Timeout,21,24
7:27,2181,Foul on Reed Timmer.,21,24
7:27,2181,Reed Timmer Turnover.,21,24
7:13,154,Chaundee Brown missed Three Point Jumper.,21,24
7:13,154,Bryant Crawford Offensive Rebound.,21,24
7:07,154,Brandon Childress made Three Point Jumper. Assisted by Bryant Crawford.,21,27
6:44,2181,De'Antae McMurray missed Layup.,21,27
6:44,154,Doral Moore Block.,21,27
6:41,2181,Drake Offensive Rebound.,21,27
6:39,2181,Reed Timmer missed Jumper.,21,27
6:39,2181,Nick McGlynn Offensive Rebound.,21,27
6:34,2181,Nick McGlynn missed Layup.,21,27
6:34,154,Wake Forest Defensive Rebound.,21,27
6:33,2181,Foul on Nick McGlynn.,21,27
6:33,154,Doral Moore made Free Throw.,21,28
6:33,154,Doral Moore missed Free Throw.,21,28
6:33,2181,De'Antae McMurray Defensive Rebound.,21,28
6:23,2181,Noah Thomas Turnover.,21,28
6:06,154,Doral Moore made Dunk. Assisted by Chaundee Brown.,21,30
5:46,2181,Noah Thomas missed Three Point Jumper.,21,30
5:46,2181,Noah Thomas Offensive Rebound.,21,30
5:39,2181,Casey Schlatter missed Layup.,21,30
5:39,154,Bryant Crawford Block.,21,30
5:37,2181,Drake Offensive Rebound.,21,30
5:32,2181,De'Antae McMurray missed Three Point Jumper.,21,30
5:32,154,Bryant Crawford Defensive Rebound.,21,30
5:24,154,Keyshawn Woods made Jumper. Assisted by Chaundee Brown.,21,32
5:21,2181,Drake  Timeout,21,32
4:57,2181,Casey Schlatter missed Layup.,21,32
4:57,154,Chaundee Brown Defensive Rebound.,21,32
4:52,154,Keyshawn Woods missed Three Point Jumper.,21,32
4:52,2181,De'Antae McMurray Defensive Rebound.,21,32
4:45,2181,Ore Arogundade made Three Point Jumper. Assisted by De'Antae McMurray.,24,32
4:26,154,Chaundee Brown made Three Point Jumper. Assisted by Brandon Childress.,24,35
4:04,2181,Casey Schlatter made Jumper.,26,35
3:38,154,Keyshawn Woods missed Jumper.,26,35
3:38,2181,Drake Defensive Rebound.,26,35
3:36,154,Foul on Doral Moore.,26,35
3:36,154,Official TV Timeout,26,35
3:26,2181,Jalen Gibbs missed Layup.,26,35
3:26,2181,Graham Woodward Offensive Rebound.,26,35
3:08,2181,Graham Woodward made Three Point Jumper. Assisted by Reed Timmer.,29,35
2:20,154,Melo Eggleston missed Layup.,29,35
2:20,2181,Graham Woodward Defensive Rebound.,29,35
2:16,2181,Reed Timmer made Layup.,31,35
2:04,154,Mitchell Wilbekin made Three Point Jumper.,31,38
1:38,2181,Reed Timmer made Three Point Jumper. Assisted by Graham Woodward.,34,38
1:37,154,Wake Forest  Timeout,34,38
1:35,154,Mitchell Wilbekin missed Three Point Jumper.,34,38
1:34,2181,De'Antae McMurray Defensive Rebound.,34,38
1:32,2181,Reed Timmer missed Jumper.,34,38
1:32,2181,Casey Schlatter Offensive Rebound.,34,38
1:29,2181,Reed Timmer missed Three Point Jumper.,34,38
1:29,154,Doral Moore Defensive Rebound.,34,38
0:44,154,Bryant Crawford missed Jumper.,34,38
0:44,2181,Reed Timmer Defensive Rebound.,34,38
0:35,2181,Ore Arogundade made Layup.,36,38
0:30,154,Foul on Mitchell Wilbekin.,36,38
0:14,2181,Ore Arogundade missed Free Throw.,36,38
0:14,2181,Casey Schlatter Offensive Rebound.,36,38
0:13,2181,Graham Woodward missed Three Point Jumper.,36,38
0:13,154,Doral Moore Defensive Rebound.,36,38
0:07,154,Brandon Childress missed Three Point Jumper.,36,38
0:07,2181,Jalen Gibbs Defensive Rebound.,36,38
0:00,154,End of 1st half,36,38
19:48,154,Doral Moore missed Layup.,36,38
19:48,2181,Nick McGlynn Defensive Rebound.,36,38
19:40,2181,Reed Timmer made Three Point Jumper.,39,38
19:26,154,Keyshawn Woods made Three Point Jumper. Assisted by Bryant Crawford.,39,41
19:05,2181,Nick McGlynn missed Layup.,39,41
19:05,154,Bryant Crawford Block.,39,41
19:05,2181,Drake Offensive Rebound.,39,41
19:01,2181,Reed Timmer missed Three Point Jumper.,39,41
19:01,154,Doral Moore Defensive Rebound.,39,41
18:48,2181,Foul on De'Antae McMurray.,39,41
18:48,154,Bryant Crawford made Free Throw.,39,42
18:48,154,Bryant Crawford made Free Throw.,39,43
18:48,154,Bryant Crawford made Free Throw.,39,44
18:28,2181,De'Antae McMurray made Three Point Jumper. Assisted by C.J. Rivers.,42,44
18:13,154,Terrence Thompson missed Three Point Jumper.,42,44
18:13,154,Doral Moore Offensive Rebound.,42,44
18:08,154,Doral Moore made Layup.,42,46
17:44,2181,Nick McGlynn missed Jumper.,42,46
17:44,154,Chaundee Brown Defensive Rebound.,42,46
17:35,154,Doral Moore made Dunk. Assisted by Bryant Crawford.,42,48
17:18,2181,De'Antae McMurray Turnover.,42,48
16:50,154,Chaundee Brown made Layup.,42,50
16:42,2181,De'Antae McMurray missed Three Point Jumper.,42,50
16:42,154,Terrence Thompson Defensive Rebound.,42,50
16:30,2181,Foul on Reed Timmer.,42,50
16:30,154,Wake Forest  Timeout,42,50
16:21,2181,Foul on De'Antae McMurray.,42,50
16:07,154,Chaundee Brown missed Jumper.,42,50
16:07,2181,Casey Schlatter Defensive Rebound.,42,50
15:46,154,Foul on Chaundee Brown.,42,50
15:46,154,Official TV Timeout,42,50
15:46,2181,Reed Timmer made Free Throw.,43,50
15:46,2181,Reed Timmer missed Free Throw.,43,50
15:46,154,Chaundee Brown Defensive Rebound.,43,50
15:31,154,Chaundee Brown missed Three Point Jumper.,43,50
15:31,2181,Ore Arogundade Defensive Rebound.,43,50
15:22,2181,Ore Arogundade missed Layup.,43,50
15:22,154,Olivier Sarr Block.,43,50
15:22,2181,Drake Offensive Rebound.,43,50
15:16,2181,Graham Woodward missed Three Point Jumper.,43,50
15:16,154,Chaundee Brown Defensive Rebound.,43,50
15:06,154,Olivier Sarr missed Dunk.,43,50
15:06,2181,Casey Schlatter Defensive Rebound.,43,50
14:55,2181,Graham Woodward made Three Point Jumper. Assisted by Reed Timmer.,46,50
14:28,154,Brandon Childress Turnover.,46,50
14:26,2181,Graham Woodward Steal.,46,50
14:24,2181,Reed Timmer made Three Point Jumper. Assisted by Graham Woodward.,49,50
14:19,154,Wake Forest  Timeout,49,50
13:55,154,Keyshawn Woods Turnover.,49,50
13:53,2181,Ore Arogundade Steal.,49,50
13:45,2181,Reed Timmer missed Jumper.,49,50
13:45,154,Doral Moore Defensive Rebound.,49,50
13:22,154,Keyshawn Woods missed Layup.,49,50
13:22,154,Keyshawn Woods Offensive Rebound.,49,50
13:19,154,Keyshawn Woods made Layup.,49,52
13:19,2181,Foul on Casey Schlatter.,49,52
13:19,154,Keyshawn Woods made Free Throw.,49,53
12:58,2181,Ore Arogundade Turnover.,49,53
12:40,154,Keyshawn Woods missed Jumper.,49,53
12:40,2181,Casey Schlatter Defensive Rebound.,49,53
12:27,2181,Casey Schlatter missed Jumper.,49,53
12:27,154,Doral Moore Defensive Rebound.,49,53
12:16,154,Bryant Crawford Turnover.,49,53
12:15,2181,Ore Arogundade Steal.,49,53
12:11,2181,Reed Timmer Turnover.,49,53
12:09,154,Brandon Childress Steal.,49,53
12:04,154,Mitchell Wilbekin made Three Point Jumper. Assisted by Bryant Crawford.,49,56
11:47,2181,Noah Thomas missed Three Point Jumper.,49,56
11:47,154,Doral Moore Defensive Rebound.,49,56
11:20,154,Doral Moore made Jumper. Assisted by Bryant Crawford.,49,58
10:48,2181,Casey Schlatter missed Jumper.,49,58
10:48,154,Doral Moore Defensive Rebound.,49,58
10:30,2181,Foul on Noah Thomas.,49,58
10:30,154,Official TV Timeout,49,58
10:30,154,Bryant Crawford made Free Throw.,49,59
10:30,154,Bryant Crawford made Free Throw.,49,60
10:02,2181,Noah Thomas Turnover.,49,60
9:57,154,Foul on Olivier Sarr.,49,60
9:57,154,Olivier Sarr Turnover.,49,60
9:43,2181,Reed Timmer made Three Point Jumper. Assisted by De'Antae McMurray.,52,60
9:14,154,Chaundee Brown made Jumper.,52,62
8:47,2181,De'Antae McMurray missed Three Point Jumper.,52,62
8:47,2181,Ore Arogundade Offensive Rebound.,52,62
8:30,2181,Graham Woodward Turnover.,52,62
8:29,154,Keyshawn Woods Steal.,52,62
8:11,154,Bryant Crawford missed Three Point Jumper.,52,62
8:11,2181,Drake Defensive Rebound.,52,62
7:48,2181,Nick McGlynn Turnover.,52,62
7:48,154,Official TV Timeout,52,62
7:20,154,Keyshawn Woods missed Jumper.,52,62
7:20,2181,C.J. Rivers Defensive Rebound.,52,62
7:13,2181,Reed Timmer made Layup.,54,62
6:43,154,Mitchell Wilbekin missed Three Point Jumper.,54,62
6:43,2181,De'Antae McMurray Defensive Rebound.,54,62
6:39,154,Foul on Chaundee Brown.,54,62
6:22,2181,Graham Woodward made Three Point Jumper. Assisted by Reed Timmer.,57,62
6:02,154,Keyshawn Woods Turnover.,57,62
5:42,2181,De'Antae McMurray made Jumper.,59,62
5:24,154,Brandon Childress Turnover.,59,62
5:22,2181,Reed Timmer Steal.,59,62
5:19,2181,Graham Woodward made Three Point Jumper. Assisted by Reed Timmer.,62,62
5:19,154,Foul on Bryant Crawford.,62,62
5:19,2181,Graham Woodward made Free Throw.,63,62
4:57,154,Doral Moore made Dunk. Assisted by Bryant Crawford.,63,64
4:42,2181,Reed Timmer made Three Point Jumper. Assisted by Graham Woodward.,66,64
4:19,154,Bryant Crawford made Three Point Jumper. Assisted by Brandon Childress.,66,67
4:00,154,Foul on Keyshawn Woods.,66,67
4:00,154,Official TV Timeout,66,67
3:57,154,Foul on Doral Moore.,66,67
3:55,2181,Reed Timmer made Free Throw.,67,67
3:55,2181,Reed Timmer made Free Throw.,68,67
3:40,154,Chaundee Brown missed Three Point Jumper.,68,67
3:40,2181,De'Antae McMurray Defensive Rebound.,68,67
3:29,2181,De'Antae McMurray made Jumper.,70,67
3:15,2181,Foul on Casey Schlatter.,70,67
3:09,154,Doral Moore made Layup. Assisted by Bryant Crawford.,70,69
2:47,2181,Graham Woodward missed Three Point Jumper.,70,69
2:47,154,Wake Forest Defensive Rebound.,70,69
2:31,154,Bryant Crawford missed Layup.,70,69
2:31,2181,Casey Schlatter Defensive Rebound.,70,69
2:29,154,Foul on Keyshawn Woods.,70,69
2:29,2181,Casey Schlatter made Free Throw.,71,69
2:29,2181,Casey Schlatter missed Free Throw.,71,69
2:29,154,Doral Moore Defensive Rebound.,71,69
2:19,154,Bryant Crawford missed Three Point Jumper.,71,69
2:19,2181,Graham Woodward Defensive Rebound.,71,69
2:14,154,Foul on Bryant Crawford.,71,69
2:14,2181,Graham Woodward made Free Throw.,72,69
2:14,2181,Graham Woodward made Free Throw.,73,69
2:03,154,Brandon Childress Turnover.,73,69
2:00,2181,Casey Schlatter Steal.,73,69
1:46,2181,Graham Woodward made Jumper. Assisted by C.J. Rivers.,75,69
1:31,154,Keyshawn Woods missed Three Point Jumper.,75,69
1:31,154,Doral Moore Offensive Rebound.,75,69
1:27,2181,Foul on De'Antae McMurray.,75,69
1:27,154,Doral Moore missed Free Throw.,75,69
1:27,2181,Casey Schlatter Defensive Rebound.,75,69
1:17,2181,De'Antae McMurray Turnover.,75,69
1:08,154,Doral Moore missed Dunk.,75,69
1:08,2181,Graham Woodward Defensive Rebound.,75,69
1:04,2181,Drake  Timeout,75,69
0:52,154,Foul on Mitchell Wilbekin.,75,69
0:52,2181,Reed Timmer made Free Throw.,76,69
0:52,2181,Reed Timmer made Free Throw.,77,69
0:47,2181,Foul on De'Antae McMurray.,77,69
0:47,154,Bryant Crawford made Free Throw.,77,70
0:47,154,Bryant Crawford made Free Throw.,77,71
0:47,2181,Reed Timmer Turnover.,77,71
0:42,154,Keyshawn Woods made Three Point Jumper. Assisted by Bryant Crawford.,77,74
0:40,154,Wake Forest  Timeout,77,74
0:13,2181,Ore Arogundade missed Jumper.,77,74
0:13,154,Doral Moore Defensive Rebound.,77,74
0:02,154,Bryant Crawford missed Three Point Jumper.,77,74
0:02,2181,Drake Defensive Rebound.,77,74
0:00,154,End of Game,77,74
