Georgia State,145,Ole Miss,2247
6:44,145,Bruce Stevens Defensive Rebound.,61,64
6:14,145,Markel Crawford Turnover.,61,64
6:13,2247,Jordan Session Steal.,61,64
5:58,2247,D'Marcus Simonds Turnover.,61,64
5:57,145,Bruce Stevens Steal.,61,64
5:40,145,Deandre Burnett missed Three Point Jumper.,61,64
5:40,2247,Jeff Thomas Defensive Rebound.,61,64
5:33,2247,D'Marcus Simonds missed Three Point Jumper.,61,64
5:33,2247,Georgia State Offensive Rebound.,61,64
5:11,2247,Kane Williams Turnover.,61,64
4:49,145,Bruce Stevens made Jumper. Assisted by Markel Crawford.,61,66
4:24,2247,Jeff Thomas Turnover.,61,66
4:01,145,Devontae Shuler made Three Point Jumper.,61,69
3:47,145,Foul on Devontae Shuler.,61,69
3:47,145,Official TV Timeout,61,69
3:47,2247,D'Marcus Simonds made Free Throw.,62,69
3:47,2247,D'Marcus Simonds made Free Throw.,63,69
3:32,2247,Foul on Jordan Session.,63,69
3:32,145,Bruce Stevens made Free Throw.,63,70
3:32,145,Bruce Stevens made Free Throw.,63,71
3:22,2247,D'Marcus Simonds missed Three Point Jumper.,63,71
3:22,145,Breein Tyree Defensive Rebound.,63,71
2:59,145,Bruce Stevens missed Jumper.,63,71
2:59,145,Bruce Stevens Offensive Rebound.,63,71
2:56,145,Bruce Stevens missed Jumper.,63,71
2:56,145,Marcanvis Hymon Offensive Rebound.,63,71
2:53,145,Marcanvis Hymon missed Jumper.,63,71
2:53,2247,Jeff Thomas Defensive Rebound.,63,71
2:51,145,Foul on Breein Tyree.,63,71
2:51,2247,Jeff Thomas made Free Throw.,64,71
2:51,2247,Jeff Thomas missed Free Throw.,64,71
2:51,145,Marcanvis Hymon Defensive Rebound.,64,71
2:39,145,Markel Crawford missed Three Point Jumper.,64,71
2:39,2247,Georgia State Defensive Rebound.,64,71
2:21,2247,D'Marcus Simonds made Jumper.,66,71
2:06,145,Ole Miss  Timeout,66,71
1:51,145,Foul on Terence Davis.,66,71
1:51,145,Terence Davis Turnover.,66,71
1:39,2247,Jeff Thomas made Jumper.,68,71
1:35,2247,Georgia State  Timeout,68,71
1:17,145,Markel Crawford Turnover.,68,71
1:01,2247,Foul on D'Marcus Simonds.,68,71
1:01,2247,D'Marcus Simonds Turnover.,68,71
0:37,2247,Foul on Kane Williams.,68,71
0:37,145,Deandre Burnett made Free Throw.,68,72
0:37,145,Deandre Burnett made Free Throw.,68,73
0:31,145,Foul on Marcanvis Hymon.,68,73
0:31,2247,D'Marcus Simonds made Free Throw.,69,73
0:31,2247,D'Marcus Simonds made Free Throw.,70,73
0:29,2247,Foul on D'Marcus Simonds.,70,73
0:29,145,Deandre Burnett missed Free Throw.,70,73
0:29,2247,Jordan Session Defensive Rebound.,70,73
0:20,2247,Kane Williams missed Three Point Jumper.,70,73
0:20,145,Markel Crawford Defensive Rebound.,70,73
0:17,2247,Foul on Malik Benlevi.,70,73
0:17,145,Markel Crawford made Free Throw.,70,74
0:17,145,Markel Crawford made Free Throw.,70,75
0:13,2247,Kane Williams missed Layup.,70,75
0:13,145,Marcanvis Hymon Block.,70,75
0:11,145,Markel Crawford Defensive Rebound.,70,75
0:10,2247,Foul on Jeff Thomas.,70,75
0:10,145,Markel Crawford made Free Throw.,70,76
0:10,145,Markel Crawford made Free Throw.,70,77
0:07,2247,Devin Mitchell missed Three Point Jumper.,70,77
0:07,2247,Kane Williams Offensive Rebound.,70,77
0:04,2247,Kane Williams made Jumper.,72,77
0:00,145,End of Game,72,77
