Ohio,2168,Dayton,195
8:26,195,Teyvion Kirk Turnover.,53,65
8:26,2168,Xeyrius Williams Steal.,53,65
8:25,2168,Dayton  Timeout,53,65
8:25,2168,Official TV Timeout,53,65
8:02,2168,Foul on Xeyrius Williams.,53,65
8:02,2168,Xeyrius Williams Turnover.,53,65
7:53,195,Teyvion Kirk Turnover.,53,65
7:53,2168,Jalen Crutcher Steal.,53,65
7:53,195,Foul on Mike Laster.,53,65
7:42,2168,Darrell Davis missed Jumper.,53,65
7:42,195,Gavin Block Defensive Rebound.,53,65
7:25,195,Foul on Zach Butler.,53,65
7:25,195,Zach Butler Turnover.,53,65
7:09,2168,Xeyrius Williams made Jumper.,53,67
6:51,195,James Gollon made Layup.,55,67
6:31,2168,Jalen Crutcher Turnover.,55,67
6:31,195,James Gollon Steal.,55,67
6:21,195,Mike Laster Turnover.,55,67
6:02,2168,Jalen Crutcher missed Three Point Jumper.,55,67
6:02,195,Jordan Dartis Defensive Rebound.,55,67
5:54,195,Jordan Dartis made Layup.,57,67
5:32,2168,Josh Cunningham missed Jumper.,57,67
5:32,2168,Josh Cunningham Offensive Rebound.,57,67
5:30,2168,Josh Cunningham made Layup.,57,69
5:19,195,Gavin Block made Three Point Jumper. Assisted by Jordan Dartis.,60,69
4:53,2168,Jalen Crutcher missed Three Point Jumper.,60,69
4:53,195,Doug Taylor Defensive Rebound.,60,69
4:44,195,Gavin Block missed Three Point Jumper.,60,69
4:44,2168,Josh Cunningham Defensive Rebound.,60,69
4:14,2168,Darrell Davis missed Three Point Jumper.,60,69
4:14,2168,Josh Cunningham Offensive Rebound.,60,69
4:11,195,Foul on Doug Taylor.,60,69
4:09,2168,Darrell Davis missed Three Point Jumper.,60,69
4:09,195,Doug Taylor Defensive Rebound.,60,69
3:57,195,Jordan Dartis missed Layup.,60,69
3:57,2168,Josh Cunningham Defensive Rebound.,60,69
3:40,2168,Josh Cunningham made Dunk. Assisted by Darrell Davis.,60,71
3:26,195,Gavin Block missed Layup.,60,71
3:26,2168,Dayton Defensive Rebound.,60,71
3:24,2168,Official TV Timeout,60,71
3:01,2168,Josh Cunningham missed Jumper.,60,71
3:01,195,Gavin Block Defensive Rebound.,60,71
2:42,195,James Gollon missed Three Point Jumper.,60,71
2:42,2168,Xeyrius Williams Defensive Rebound.,60,71
2:14,195,Foul on Doug Taylor.,60,71
2:14,2168,Xeyrius Williams made Free Throw.,60,72
2:14,2168,Xeyrius Williams made Free Throw.,60,73
2:02,195,Mike Laster missed Jumper.,60,73
2:02,2168,John Crosby Defensive Rebound.,60,73
1:36,2168,Xeyrius Williams missed Three Point Jumper.,60,73
1:36,195,Doug Taylor Defensive Rebound.,60,73
1:26,195,Gavin Block missed Three Point Jumper.,60,73
1:26,195,Ohio Offensive Rebound.,60,73
1:23,2168,Foul on Xeyrius Williams.,60,73
1:23,195,Doug Taylor made Free Throw.,61,73
1:23,195,Doug Taylor missed Free Throw.,61,73
1:23,195,Gavin Block Offensive Rebound.,61,73
1:20,195,Jordan Dartis missed Three Point Jumper.,61,73
1:20,195,Doug Taylor Offensive Rebound.,61,73
1:17,2168,Foul on Darrell Davis.,61,73
1:17,195,Doug Taylor missed Free Throw.,61,73
1:17,195,Ohio Deadball Team Rebound.,61,73
1:17,195,Doug Taylor made Free Throw.,62,73
1:01,195,Foul on Gavin Block.,62,73
1:01,2168,Darrell Davis made Free Throw.,62,74
1:01,2168,Darrell Davis made Free Throw.,62,75
0:55,195,Jordan Dartis made Layup.,64,75
0:55,195,Ohio  Timeout,64,75
0:48,195,Foul on Jordan Dartis.,64,75
0:48,2168,Darrell Davis made Free Throw.,64,76
0:48,2168,Darrell Davis made Free Throw.,64,77
0:40,2168,Foul on John Crosby.,64,77
0:40,195,Gavin Block missed Free Throw.,64,77
0:40,195,Ohio Deadball Team Rebound.,64,77
0:40,195,Gavin Block made Free Throw.,65,77
0:35,195,Foul on Kevin Mickle.,65,77
0:35,2168,Darrell Davis made Free Throw.,65,78
0:35,2168,Darrell Davis made Free Throw.,65,79
0:28,195,Teyvion Kirk Turnover.,65,79
0:00,2168,End of Game,65,79
