Indiana State,295,Old Dominion,282
6:10,295,B.J. Stith made Jumper. Assisted by Ahmad Caver.,16,23
5:51,282,Devin Thomas made Layup.,18,23
5:51,295,Foul on Aaron Carver.,18,23
5:51,282,Devin Thomas made Free Throw.,19,23
5:38,295,Brandan Stith missed Layup.,19,23
5:38,295,Trey Porter Offensive Rebound.,19,23
5:35,295,Trey Porter made Layup.,19,25
5:03,282,Indiana State  Turnover.,19,25
5:03,282,Jordan Barnes missed Jumper.,19,25
5:03,295,Trey Porter Block.,19,25
5:01,282,Indiana State Offensive Rebound.,19,25
4:51,282,Foul on Brenton Scott.,19,25
4:51,295,Ahmad Caver made Free Throw.,19,26
4:51,295,Ahmad Caver missed Free Throw.,19,26
4:51,282,Devin Thomas Defensive Rebound.,19,26
4:43,282,Devin Thomas missed Three Point Jumper.,19,26
4:43,282,Qiydar Davis Offensive Rebound.,19,26
4:39,282,Qiydar Davis missed Layup.,19,26
4:39,295,Brandan Stith Block.,19,26
4:38,295,Xavier Green Defensive Rebound.,19,26
4:22,295,B.J. Stith missed Three Point Jumper.,19,26
4:22,295,B.J. Stith Offensive Rebound.,19,26
4:01,282,Foul on Demonte Ojinnaka.,19,26
4:01,295,Xavier Green missed Free Throw.,19,26
4:01,295,Old Dominion Deadball Team Rebound.,19,26
4:01,295,Xavier Green missed Free Throw.,19,26
4:01,295,Brandan Stith Offensive Rebound.,19,26
3:49,282,Foul on Qiydar Davis.,19,26
3:49,295,Official TV Timeout,19,26
3:49,295,B.J. Stith made Free Throw.,19,27
3:49,295,B.J. Stith made Free Throw.,19,28
3:38,295,Foul on Keith Pinckney.,19,28
3:33,282,Jordan Barnes made Jumper. Assisted by Bronson Kessinger.,21,28
3:12,295,Keith Pinckney missed Three Point Jumper.,21,28
3:12,282,Indiana State Defensive Rebound.,21,28
2:43,282,Tyreke Key made Three Point Jumper. Assisted by Brandon Murphy.,24,28
2:20,295,B.J. Stith missed Jumper.,24,28
2:20,295,Trey Porter Offensive Rebound.,24,28
2:17,295,Trey Porter made Layup.,24,30
2:11,282,Demonte Ojinnaka missed Three Point Jumper.,24,30
2:11,282,Indiana State Offensive Rebound.,24,30
2:03,282,Tyreke Key missed Jumper.,24,30
2:03,295,Xavier Green Block.,24,30
2:02,282,Indiana State Offensive Rebound.,24,30
1:50,282,Jordan Barnes missed Jumper.,24,30
1:50,282,Bronson Kessinger Offensive Rebound.,24,30
1:47,295,Foul on Brandan Stith.,24,30
1:47,282,Bronson Kessinger made Free Throw.,25,30
1:47,282,Bronson Kessinger missed Free Throw.,25,30
1:47,295,B.J. Stith Defensive Rebound.,25,30
1:30,295,Trey Porter Turnover.,25,30
1:17,295,Foul on Brandan Stith.,25,30
1:11,282,Demonte Ojinnaka missed Three Point Jumper.,25,30
1:11,295,Trey Porter Defensive Rebound.,25,30
0:57,282,Foul on Jordan Barnes.,25,30
0:57,282,Indiana State  Timeout,25,30
0:57,295,Ahmad Caver made Free Throw.,25,31
0:57,295,Ahmad Caver made Free Throw.,25,32
0:48,282,Jordan Barnes missed Jumper.,25,32
0:46,295,B.J. Stith Defensive Rebound.,25,32
0:18,295,B.J. Stith missed Jumper.,25,32
0:18,295,Trey Porter Offensive Rebound.,25,32
0:15,282,Foul on Devin Thomas.,25,32
0:15,295,Trey Porter made Free Throw.,25,33
0:15,295,Trey Porter missed Free Throw.,25,33
0:15,282,Brandon Murphy Defensive Rebound.,25,33
0:00,282,Brenton Scott missed Jumper.,25,33
0:00,295,Randy Haynes Block.,25,33
0:00,295,Aaron Carver Defensive Rebound.,25,33
0:00,295,End of 1st half,25,33
19:40,282,Devin Thomas made Three Point Jumper. Assisted by Jordan Barnes.,28,33
19:06,295,Ahmad Caver missed Layup.,28,33
19:06,282,Brandon Murphy Block.,28,33
19:06,295,Old Dominion Offensive Rebound.,28,33
19:03,295,Trey Porter missed Layup.,28,33
19:03,282,Brandon Murphy Defensive Rebound.,28,33
18:41,282,Brenton Scott missed Layup.,28,33
18:41,295,Trey Porter Defensive Rebound.,28,33
18:31,295,Brandan Stith made Dunk. Assisted by Ahmad Caver.,28,35
18:13,282,Brandon Murphy made Dunk. Assisted by Jordan Barnes.,30,35
17:54,295,Ahmad Caver missed Three Point Jumper.,30,35
17:54,282,Brenton Scott Defensive Rebound.,30,35
17:46,282,Brenton Scott Turnover.,30,35
17:45,295,Randy Haynes Steal.,30,35
17:42,282,Foul on Brenton Scott.,30,35
17:42,295,Randy Haynes made Free Throw.,30,36
17:42,295,Randy Haynes made Free Throw.,30,37
17:29,282,Brandon Murphy Turnover.,30,37
17:25,295,Foul on Randy Haynes.,30,37
17:25,295,Randy Haynes Turnover.,30,37
16:55,282,Tyreke Key missed Jumper.,30,37
16:55,295,B.J. Stith Defensive Rebound.,30,37
16:39,282,Foul on Emondre Rickman.,30,37
16:35,295,Randy Haynes missed Jumper.,30,37
16:35,295,Brandan Stith Offensive Rebound.,30,37
16:30,295,Brandan Stith missed Jumper.,30,37
16:30,295,Brandan Stith Offensive Rebound.,30,37
16:27,282,Foul on Tyreke Key.,30,37
16:21,295,B.J. Stith missed Jumper.,30,37
16:21,282,Tyreke Key Defensive Rebound.,30,37
16:13,282,Jordan Barnes Turnover.,30,37
16:11,295,B.J. Stith Steal.,30,37
16:06,295,Randy Haynes missed Three Point Jumper.,30,37
16:06,295,Randy Haynes Offensive Rebound.,30,37
15:50,295,Trey Porter made Layup. Assisted by Ahmad Caver.,30,39
15:38,282,Clayton Hughes Turnover.,30,39
15:38,295,B.J. Stith Steal.,30,39
15:32,282,Foul on Qiydar Davis.,30,39
15:32,295,Official TV Timeout,30,39
15:32,295,Brandan Stith made Free Throw.,30,40
15:32,295,Brandan Stith missed Free Throw.,30,40
15:32,282,Tyreke Key Defensive Rebound.,30,40
15:08,282,Jordan Barnes Turnover.,30,40
15:04,295,Ahmad Caver Steal.,30,40
14:44,295,B.J. Stith missed Jumper.,30,40
14:44,282,Jordan Barnes Defensive Rebound.,30,40
14:27,282,Brandon Murphy missed Layup.,30,40
14:27,282,Brandon Murphy Offensive Rebound.,30,40
14:25,295,Foul on Brandan Stith.,30,40
14:25,282,Brandon Murphy missed Free Throw.,30,40
14:25,282,Indiana State Deadball Team Rebound.,30,40
14:25,282,Brandon Murphy missed Free Throw.,30,40
14:25,282,Devin Thomas Offensive Rebound.,30,40
14:10,282,Brandon Murphy Turnover.,30,40
14:09,295,Trey Porter Steal.,30,40
14:02,295,B.J. Stith missed Jumper.,30,40
14:02,295,Old Dominion Offensive Rebound.,30,40
14:01,282,Foul on Clayton Hughes.,30,40
13:43,295,Aaron Carver made Layup.,30,42
13:31,282,Tyreke Key Turnover.,30,42
13:12,295,Trey Porter made Layup. Assisted by Xavier Green.,30,44
13:12,282,Foul on Emondre Rickman.,30,44
13:12,295,Trey Porter made Free Throw.,30,45
13:02,282,Emondre Rickman made Layup. Assisted by Brenton Scott.,32,45
12:46,295,Ahmad Caver missed Three Point Jumper.,32,45
12:46,282,Brenton Scott Defensive Rebound.,32,45
12:41,295,Foul on Trey Porter.,32,45
12:26,282,Brenton Scott Turnover.,32,45
12:11,282,Foul on Emondre Rickman.,32,45
12:11,295,Trey Porter made Free Throw.,32,46
12:11,295,Trey Porter made Free Throw.,32,47
11:55,282,Tyreke Key made Layup.,34,47
11:55,295,Foul on Randy Haynes.,34,47
11:55,295,Official TV Timeout,34,47
11:55,282,Tyreke Key made Free Throw.,35,47
11:40,295,Trey Porter made Dunk. Assisted by Ahmad Caver.,35,49
11:30,282,Qiydar Davis missed Jumper.,35,49
11:30,295,Aaron Carver Defensive Rebound.,35,49
11:25,282,Foul on Jordan Barnes.,35,49
11:25,295,Ahmad Caver missed Free Throw.,35,49
11:25,295,Old Dominion Deadball Team Rebound.,35,49
11:25,295,Ahmad Caver made Free Throw.,35,50
11:11,282,Tyreke Key Turnover.,35,50
11:10,295,Ahmad Caver Steal.,35,50
11:06,295,Foul on Trey Porter.,35,50
11:06,295,Trey Porter Turnover.,35,50
10:51,282,Devin Thomas missed Layup.,35,50
10:51,295,Aaron Carver Block.,35,50
10:44,295,Xavier Green Defensive Rebound.,35,50
10:34,295,Aaron Carver missed Jumper.,35,50
10:34,282,Tyreke Key Defensive Rebound.,35,50
10:26,282,Tyreke Key missed Three Point Jumper.,35,50
10:26,295,Aaron Carver Defensive Rebound.,35,50
10:11,295,Ahmad Caver missed Jumper.,35,50
10:11,282,Brandon Murphy Defensive Rebound.,35,50
10:02,282,Brenton Scott missed Three Point Jumper.,35,50
10:02,295,Aaron Carver Defensive Rebound.,35,50
9:41,295,Ahmad Caver made Layup.,35,52
9:41,282,Foul on Devin Thomas.,35,52
9:41,282,Indiana State  Timeout,35,52
9:41,295,Official TV Timeout,35,52
9:41,295,Ahmad Caver made Free Throw.,35,53
9:16,295,Foul on Stephen Vassor.,35,53
9:06,282,Demonte Ojinnaka missed Three Point Jumper.,35,53
9:06,295,Aaron Carver Defensive Rebound.,35,53
8:59,295,Xavier Green missed Three Point Jumper.,35,53
8:59,282,Brenton Scott Defensive Rebound.,35,53
8:33,282,Emondre Rickman made Jumper.,37,53
8:12,295,Xavier Green missed Jumper.,37,53
8:12,295,Xavier Green Offensive Rebound.,37,53
8:08,295,B.J. Stith made Three Point Jumper. Assisted by Xavier Green.,37,56
7:35,282,Jordan Barnes made Layup.,39,56
7:19,295,Xavier Green missed Jumper.,39,56
7:19,282,Brenton Scott Defensive Rebound.,39,56
6:55,282,Foul on Demonte Ojinnaka.,39,56
6:55,282,Demonte Ojinnaka Turnover.,39,56
6:55,295,Official TV Timeout,39,56
6:32,295,Keith Pinckney missed Three Point Jumper.,39,56
6:32,282,Qiydar Davis Defensive Rebound.,39,56
6:25,282,Tyreke Key missed Layup.,39,56
6:25,295,Aaron Carver Defensive Rebound.,39,56
6:15,282,Foul on Jordan Barnes.,39,56
6:15,295,Ahmad Caver made Free Throw.,39,57
6:15,295,Ahmad Caver made Free Throw.,39,58
5:55,282,Jordan Barnes missed Three Point Jumper.,39,58
5:55,282,Brandon Murphy Offensive Rebound.,39,58
5:52,295,Foul on Randy Haynes.,39,58
5:52,282,Brandon Murphy made Free Throw.,40,58
5:52,282,Brandon Murphy missed Free Throw.,40,58
5:52,295,Randy Haynes Defensive Rebound.,40,58
5:33,295,Randy Haynes Turnover.,40,58
5:32,282,Jordan Barnes Steal.,40,58
5:24,282,Brandon Murphy made Layup. Assisted by Jordan Barnes.,42,58
4:55,295,Foul on Aaron Carver.,42,58
4:55,295,Aaron Carver Turnover.,42,58
4:31,282,Brandon Murphy missed Layup.,42,58
4:31,282,Indiana State Offensive Rebound.,42,58
4:20,282,Jordan Barnes missed Jumper.,42,58
4:20,295,Old Dominion Defensive Rebound.,42,58
3:58,295,Michael Hueitt Jr missed Three Point Jumper.,42,58
3:58,295,Brandan Stith Offensive Rebound.,42,58
3:37,295,Brandan Stith made Layup. Assisted by Ahmad Caver.,42,60
3:23,295,Official TV Timeout,42,60
3:15,282,Qiydar Davis made Layup.,44,60
2:45,295,Brandan Stith missed Jumper.,44,60
2:45,282,Brenton Scott Defensive Rebound.,44,60
2:24,282,Qiydar Davis missed Jumper.,44,60
2:24,295,Aaron Carver Block.,44,60
2:22,295,Old Dominion Defensive Rebound.,44,60
1:58,295,Brandan Stith made Layup.,44,62
1:41,282,Qiydar Davis missed Three Point Jumper.,44,62
1:41,282,Brandon Murphy Offensive Rebound.,44,62
1:34,282,Brandon Murphy missed Jumper.,44,62
1:34,295,Aaron Carver Defensive Rebound.,44,62
1:04,295,Keith Pinckney missed Jumper.,44,62
1:04,282,Daniel Huenermann Defensive Rebound.,44,62
0:52,282,Demonte Ojinnaka missed Three Point Jumper.,44,62
0:52,282,Matt Deady Offensive Rebound.,44,62
0:47,295,Foul on Marquis Godwin.,44,62
0:47,282,Matt Deady missed Free Throw.,44,62
0:47,295,Michael Hueitt Jr Defensive Rebound.,44,62
0:39,295,Marquis Godwin missed Three Point Jumper.,44,62
0:39,282,Emondre Rickman Defensive Rebound.,44,62
0:03,282,Indiana State  Turnover.,44,62
0:00,295,End of Game,44,62
