Omaha,97,Louisville,2437
4:14,2437,Ayo Akinwole Steal.,18,31
3:53,2437,Matt Pile missed Jumper.,18,31
3:53,97,Deng Adel Defensive Rebound.,18,31
3:40,97,Anas Mahmoud missed Jumper.,18,31
3:40,2437,Defensive Rebound.,18,31
3:29,2437,Ayo Akinwole made Three Point Jumper. Assisted by JT Gibson.,21,31
3:19,97,Malik Williams made Three Point Jumper. Assisted by Quentin Snider.,21,34
3:01,2437,JT Gibson missed Three Point Jumper.,21,34
3:01,2437,Matt Pile Offensive Rebound.,21,34
2:57,2437,Matt Pile missed Layup.,21,34
2:57,97,Anas Mahmoud Block.,21,34
2:56,97,V.J. King Defensive Rebound.,21,34
2:51,97,V.J. King Turnover.,21,34
2:50,2437,Steal.,21,34
2:49,97,Foul on Deng Adel.,21,34
2:49,97,Official TV Timeout,21,34
2:49,2437,Zach Jackson made Free Throw.,22,34
2:49,2437,Zach Jackson made Free Throw.,23,34
2:36,97,Malik Williams missed Three Point Jumper.,23,34
2:36,2437,Daniel Norl Defensive Rebound.,23,34
2:28,2437,Matt Pile missed Layup.,23,34
2:28,97,Malik Williams Block.,23,34
2:27,97,Anas Mahmoud Defensive Rebound.,23,34
2:24,97,V.J. King made Layup. Assisted by Quentin Snider.,23,36
2:02,2437,Daniel Norl missed Three Point Jumper.,23,36
2:02,2437,Zach Jackson Offensive Rebound.,23,36
1:58,2437,Matt Pile made Layup. Assisted by Zach Jackson.,25,36
1:44,97,Quentin Snider missed Three Point Jumper.,25,36
1:44,97,Anas Mahmoud Offensive Rebound.,25,36
1:38,97,Anas Mahmoud Turnover.,25,36
1:37,2437,Zach Jackson Steal.,25,36
1:19,2437,Matt Pile missed Layup.,25,36
1:19,2437,Offensive Rebound.,25,36
1:16,2437,missed Layup.,25,36
1:16,97,Malik Williams Defensive Rebound.,25,36
1:13,2437,Foul on Ayo Akinwole.,25,36
1:13,97,Quentin Snider made Free Throw.,25,37
1:13,97,Quentin Snider made Free Throw.,25,38
0:55,2437,missed Jumper.,25,38
0:55,97,V.J. King Defensive Rebound.,25,38
0:33,97,Anas Mahmoud made Layup. Assisted by Deng Adel.,25,40
0:01,2437,JT Gibson missed Three Point Jumper.,25,40
0:01,97,Anas Mahmoud Defensive Rebound.,25,40
0:00,97,End of 1st half,25,40
19:49,97,Deng Adel made Layup.,25,42
19:33,97,Foul on Quentin Snider.,25,42
19:33,2437,KJ Robinson made Free Throw.,26,42
19:33,2437,KJ Robinson made Free Throw.,27,42
19:19,97,Ray Spalding missed Layup.,27,42
19:19,97,Quentin Snider Offensive Rebound.,27,42
19:11,97,Ray Spalding made Dunk. Assisted by Quentin Snider.,27,44
18:43,2437,Daniel Meyer missed Layup.,27,44
18:43,2437,Offensive Rebound.,27,44
18:38,2437,made Two Point Tip Shot.,29,44
18:30,97,Ray Spalding made Jumper.,29,46
18:17,2437,Daniel Norl made Layup.,31,46
18:06,97,Malik Williams made Layup. Assisted by Ray Spalding.,31,48
18:06,2437,Foul on  .,31,48
18:06,97,Malik Williams made Free Throw.,31,49
17:56,2437,Daniel Meyer missed Jumper.,31,49
17:56,97,Deng Adel Defensive Rebound.,31,49
17:50,97,Ray Spalding made Layup. Assisted by Deng Adel.,31,51
17:29,2437,KJ Robinson Turnover.,31,51
17:27,97,Quentin Snider Steal.,31,51
17:26,97,Ray Spalding missed Dunk.,31,51
17:26,2437,Omaha Defensive Rebound.,31,51
17:22,2437,Daniel Norl made Layup.,33,51
17:07,97,Quentin Snider missed Three Point Jumper.,33,51
17:07,97,Ray Spalding Offensive Rebound.,33,51
17:04,97,Ray Spalding made Dunk.,33,53
16:45,2437,missed Layup.,33,53
16:45,97,Malik Williams Block.,33,53
16:44,2437,Offensive Rebound.,33,53
16:43,2437,made Layup.,35,53
16:28,97,Malik Williams missed Jumper.,35,53
16:28,97,V.J. King Offensive Rebound.,35,53
16:25,97,V.J. King missed Two Point Tip Shot.,35,53
16:25,2437,KJ Robinson Defensive Rebound.,35,53
16:19,2437,KJ Robinson missed Jumper.,35,53
16:19,2437,KJ Robinson Offensive Rebound.,35,53
16:15,2437,Daniel Norl made Three Point Jumper. Assisted by KJ Robinson.,38,53
15:53,97,Quentin Snider Turnover.,38,53
15:52,2437,KJ Robinson Steal.,38,53
15:44,2437,Daniel Norl made Layup.,40,53
15:44,97,Foul on Malik Williams.,40,53
15:44,97,Official TV Timeout,40,53
15:44,2437,Daniel Norl made Free Throw.,41,53
15:36,2437,Foul on JT Gibson.,41,53
15:36,97,V.J. King missed Free Throw.,41,53
15:36,97,Louisville Deadball Team Rebound.,41,53
15:36,97,V.J. King made Free Throw.,41,54
15:28,2437,JT Gibson made Jumper.,43,54
15:16,97,Anas Mahmoud missed Jumper.,43,54
15:16,2437,Daniel Norl Defensive Rebound.,43,54
15:09,2437,Daniel Norl missed Jumper.,43,54
15:09,97,Anas Mahmoud Block.,43,54
15:07,2437,Omaha Offensive Rebound.,43,54
14:53,2437,Zach Jackson made Three Point Jumper. Assisted by JT Gibson.,46,54
14:33,97,Deng Adel made Layup.,46,56
14:22,2437,Zach Jackson Turnover.,46,56
14:09,97,Ray Spalding missed Layup.,46,56
14:09,97,Ray Spalding Offensive Rebound.,46,56
14:06,97,Ray Spalding made Layup.,46,58
13:49,2437,Zach Jackson missed Three Point Jumper.,46,58
13:49,97,Anas Mahmoud Defensive Rebound.,46,58
13:41,97,Ray Spalding missed Dunk.,46,58
13:41,2437,Matt Pile Block.,46,58
13:38,2437,Zach Jackson Defensive Rebound.,46,58
13:35,2437,Zach Jackson Turnover.,46,58
13:34,97,Ray Spalding Steal.,46,58
13:33,97,Ray Spalding made Layup.,46,60
13:15,2437,Ayo Akinwole made Three Point Jumper. Assisted by JT Gibson.,49,60
13:13,2437,Omaha  Timeout,49,60
13:06,97,Jordan Nwora made Layup. Assisted by Ray Spalding.,49,62
12:37,2437,Zach Jackson missed Jumper.,49,62
12:37,97,Darius Perry Defensive Rebound.,49,62
12:30,97,Jordan Nwora Turnover.,49,62
12:11,2437,KJ Robinson missed Jumper.,49,62
12:11,97,Louisville Deadball Team Rebound.,49,62
12:01,97,Darius Perry Turnover.,49,62
12:00,2437,Ayo Akinwole Steal.,49,62
11:57,2437,Daniel Norl made Layup.,51,62
11:57,97,Foul on Jordan Nwora.,51,62
11:57,97,Official TV Timeout,51,62
11:57,2437,Daniel Norl missed Free Throw.,51,62
11:57,97,Ray Spalding Defensive Rebound.,51,62
11:43,97,Ray Spalding missed Jumper.,51,62
11:43,97,Jordan Nwora Offensive Rebound.,51,62
11:41,97,Jordan Nwora missed Jumper.,51,62
11:41,97,Jordan Nwora Offensive Rebound.,51,62
11:38,97,Jordan Nwora missed Jumper.,51,62
11:38,2437,Zach Jackson Defensive Rebound.,51,62
11:13,2437,JT Gibson missed Three Point Jumper.,51,62
11:13,97,Anas Mahmoud Block.,51,62
11:12,97,Anas Mahmoud Defensive Rebound.,51,62
11:05,97,Quentin Snider missed Layup.,51,62
11:05,2437,Zach Jackson Block.,51,62
11:03,97,Quentin Snider Offensive Rebound.,51,62
11:01,97,Quentin Snider missed Layup.,51,62
11:01,97,Ray Spalding Offensive Rebound.,51,62
10:59,97,Ray Spalding made Dunk.,51,64
10:49,2437,JT Gibson missed Three Point Jumper.,51,64
10:49,97,Deng Adel Defensive Rebound.,51,64
10:33,97,Anas Mahmoud made Layup.,51,66
10:02,2437,missed Three Point Jumper.,51,66
10:02,2437,Daniel Norl Offensive Rebound.,51,66
9:47,2437,Daniel Norl missed Three Point Jumper.,51,66
9:47,2437,Offensive Rebound.,51,66
9:27,2437,Daniel Meyer missed Layup.,51,66
9:27,97,Anas Mahmoud Block.,51,66
9:26,97,Deng Adel Defensive Rebound.,51,66
9:26,2437,Foul on KJ Robinson.,51,66
9:14,97,Deng Adel missed Three Point Jumper.,51,66
9:14,97,Dwayne Sutton Offensive Rebound.,51,66
9:03,97,Quentin Snider missed Layup.,51,66
9:03,2437,Zach Jackson Defensive Rebound.,51,66
8:45,2437,KJ Robinson missed Jumper.,51,66
8:45,97,Dwayne Sutton Defensive Rebound.,51,66
8:28,97,Quentin Snider made Three Point Jumper. Assisted by Anas Mahmoud.,51,69
8:00,97,Foul on Dwayne Sutton.,51,69
8:00,97,Official TV Timeout,51,69
8:00,2437,Zach Jackson made Free Throw.,52,69
8:00,2437,Zach Jackson missed Free Throw.,52,69
8:00,97,Malik Williams Defensive Rebound.,52,69
7:43,97,Anas Mahmoud made Jumper.,52,71
7:29,2437,Zach Jackson made Layup. Assisted by KJ Robinson.,54,71
7:20,97,Quentin Snider Turnover.,54,71
7:19,2437,Steal.,54,71
7:09,2437,Zach Jackson made Layup.,56,71
7:07,97,Louisville  Timeout,56,71
6:51,97,Dwayne Sutton missed Three Point Jumper.,56,71
6:51,2437,KJ Robinson Defensive Rebound.,56,71
6:39,2437,Alex Allbery made Three Point Jumper. Assisted by JT Gibson.,59,71
6:14,97,Deng Adel Turnover.,59,71
6:14,2437,Steal.,59,71
6:08,2437,KJ Robinson missed Three Point Jumper.,59,71
6:08,2437,Offensive Rebound.,59,71
6:05,2437,made Layup.,61,71
5:49,97,Anas Mahmoud Turnover.,61,71
5:48,2437,KJ Robinson Steal.,61,71
5:45,2437,KJ Robinson made Three Point Jumper.,64,71
5:43,97,Louisville  Timeout,64,71
5:23,97,V.J. King missed Layup.,64,71
5:23,97,Anas Mahmoud Offensive Rebound.,64,71
5:21,97,Anas Mahmoud made Layup.,64,73
4:58,97,Foul on Anas Mahmoud.,64,73
4:47,2437,KJ Robinson missed Three Point Jumper.,64,73
4:47,2437,Daniel Norl Offensive Rebound.,64,73
4:42,2437,Alex Allbery missed Three Point Jumper.,64,73
4:42,97,Dwayne Sutton Defensive Rebound.,64,73
4:36,97,Darius Perry made Layup.,64,75
4:36,2437,Foul on KJ Robinson.,64,75
4:36,97,Darius Perry made Free Throw.,64,76
4:19,2437,Zach Jackson missed Jumper.,64,76
4:19,97,Dwayne Sutton Defensive Rebound.,64,76
3:57,2437,Foul on JT Gibson.,64,76
3:57,97,Official TV Timeout,64,76
3:57,97,Darius Perry made Free Throw.,64,77
3:57,97,Darius Perry made Free Throw.,64,78
3:45,2437,made Three Point Jumper. Assisted by KJ Robinson.,67,78
3:28,2437,Foul on Daniel Norl.,67,78
3:28,97,Deng Adel missed Free Throw.,67,78
3:28,97,Louisville Deadball Team Rebound.,67,78
3:28,97,Deng Adel made Free Throw.,67,79
3:06,2437,missed Jumper.,67,79
3:06,2437,Omaha Offensive Rebound.,67,79
2:59,2437,Daniel Norl missed Jumper.,67,79
2:59,97,Dwayne Sutton Defensive Rebound.,67,79
2:35,97,Ray Spalding Turnover.,67,79
2:32,2437,Daniel Norl Steal.,67,79
2:29,2437,JT Gibson made Jumper.,69,79
2:27,2437,Omaha  Timeout,69,79
2:12,97,V.J. King missed Jumper.,69,79
2:12,2437,Block.,69,79
2:10,2437,Defensive Rebound.,69,79
2:07,2437,Zach Jackson made Layup.,71,79
2:02,2437,Foul on Daniel Norl.,71,79
2:02,97,Deng Adel made Free Throw.,71,80
2:02,97,Deng Adel made Free Throw.,71,81
1:50,2437,Zach Jackson missed Three Point Jumper.,71,81
1:50,97,Deng Adel Defensive Rebound.,71,81
1:35,97,Darius Perry Turnover.,71,81
1:34,2437,KJ Robinson Steal.,71,81
1:32,2437,KJ Robinson made Layup.,73,81
1:06,97,Darius Perry missed Three Point Jumper.,73,81
1:06,97,Dwayne Sutton Offensive Rebound.,73,81
1:03,2437,Foul on JT Gibson.,73,81
1:03,97,Dwayne Sutton made Free Throw.,73,82
1:03,97,Dwayne Sutton made Free Throw.,73,83
0:56,2437,JT Gibson missed Three Point Jumper.,73,83
0:56,2437,Zach Jackson Offensive Rebound.,73,83
0:53,97,Foul on Deng Adel.,73,83
0:53,2437,Zach Jackson made Free Throw.,74,83
0:53,2437,Zach Jackson missed Free Throw.,74,83
0:53,97,Deng Adel Defensive Rebound.,74,83
0:52,2437,Foul on Zach Jackson.,74,83
0:52,97,Deng Adel made Free Throw.,74,84
0:52,97,Deng Adel made Free Throw.,74,85
0:41,2437,KJ Robinson made Layup.,76,85
0:41,2437,Omaha  Timeout,76,85
0:28,2437,Foul on  .,76,85
0:28,97,Deng Adel made Free Throw.,76,86
0:28,97,Deng Adel made Free Throw.,76,87
0:21,2437,KJ Robinson missed Three Point Jumper.,76,87
0:21,97,Ray Spalding Block.,76,87
0:19,2437,Offensive Rebound.,76,87
0:16,2437,Daniel Norl missed Layup.,76,87
0:16,97,Deng Adel Block.,76,87
0:15,97,Dwayne Sutton Defensive Rebound.,76,87
0:09,97,Deng Adel Turnover.,76,87
0:07,2437,Zach Jackson Steal.,76,87
0:06,2437,made Dunk.,78,87
0:00,97,End of Game,78,87
