Auburn,218,Temple,2
12:35,218,Quinton Rose made Layup. Assisted by Damion Moore.,11,14
12:04,2,Davion Mitchell missed Three Point Jumper.,11,14
12:04,2,Malik Dunbar Offensive Rebound.,11,14
11:50,2,Jared Harper missed Three Point Jumper.,11,14
11:50,2,Horace Spencer Offensive Rebound.,11,14
11:43,218,Foul on Shizz Alston Jr..,11,14
11:43,218,Official TV Timeout,11,14
11:43,2,Desean Murray missed Layup.,11,14
11:43,218,De'Vondre Perry Block.,11,14
11:43,2,Desean Murray Offensive Rebound.,11,14
11:41,218,Foul on Damion Moore.,11,14
11:41,2,Desean Murray missed Free Throw.,11,14
11:41,2,Auburn Deadball Team Rebound.,11,14
11:41,2,Desean Murray missed Free Throw.,11,14
11:41,218,De'Vondre Perry Defensive Rebound.,11,14
11:32,218,Alani Moore II missed Three Point Jumper.,11,14
11:32,2,Jared Harper Defensive Rebound.,11,14
11:23,2,Jared Harper Turnover.,11,14
11:19,218,Alani Moore II missed Three Point Jumper.,11,14
11:19,218,Damion Moore Offensive Rebound.,11,14
11:12,218,Josh Brown missed Three Point Jumper.,11,14
11:12,2,Auburn Defensive Rebound.,11,14
10:50,2,Jared Harper made Three Point Jumper. Assisted by Davion Mitchell.,14,14
10:32,218,Damion Moore missed Layup.,14,14
10:32,218,Temple Offensive Rebound.,14,14
10:29,218,De'Vondre Perry missed Three Point Jumper.,14,14
10:29,2,Mustapha Heron Defensive Rebound.,14,14
10:17,218,Foul on Alani Moore II.,14,14
10:05,2,Anfernee McLemore made Three Point Jumper. Assisted by Bryce Brown.,17,14
9:51,218,Shizz Alston Jr. missed Jumper.,17,14
9:51,2,Anfernee McLemore Block.,17,14
9:51,218,Damion Moore Offensive Rebound.,17,14
9:44,218,Damion Moore made Layup.,17,16
9:40,218,Foul on De'Vondre Perry.,17,16
9:40,2,Jared Harper made Free Throw.,18,16
9:40,2,Jared Harper made Free Throw.,19,16
9:20,2,Foul on Chuma Okeke.,19,16
9:20,218,Josh Brown Turnover.,19,16
9:11,2,Bryce Brown missed Jumper.,19,16
9:11,218,Temple Defensive Rebound.,19,16
9:01,218,Alani Moore II missed Three Point Jumper.,19,16
9:01,2,Chuma Okeke Defensive Rebound.,19,16
8:48,2,Anfernee McLemore missed Layup.,19,16
8:48,2,Chuma Okeke Offensive Rebound.,19,16
8:42,2,Chuma Okeke made Layup.,21,16
8:42,218,Foul on Obi Enechionyia.,21,16
8:42,2,Chuma Okeke made Free Throw.,22,16
8:37,218,Shizz Alston Jr. made Jumper.,22,18
8:20,2,Mustapha Heron missed Jumper.,22,18
8:20,218,Quinton Rose Defensive Rebound.,22,18
8:12,218,Alani Moore II missed Three Point Jumper.,22,18
8:12,2,Anfernee McLemore Defensive Rebound.,22,18
7:28,2,Bryce Brown missed Three Point Jumper.,22,18
7:28,218,Shizz Alston Jr. Defensive Rebound.,22,18
7:28,218,Alani Moore II missed Layup.,22,18
7:28,2,Anfernee McLemore Block.,22,18
7:28,218,Temple Offensive Rebound.,22,18
7:28,218,Official TV Timeout,22,18
7:24,218,Quinton Rose missed Jumper.,22,18
7:24,2,Anfernee McLemore Block.,22,18
7:24,2,Chuma Okeke Defensive Rebound.,22,18
7:24,2,Bryce Brown missed Three Point Jumper.,22,18
7:24,2,Anfernee McLemore Offensive Rebound.,22,18
7:01,2,Anfernee McLemore Turnover.,22,18
7:01,218,Obi Enechionyia Steal.,22,18
6:57,218,Alani Moore II made Layup.,22,20
6:48,2,Mustapha Heron missed Three Point Jumper.,22,20
6:48,218,Shizz Alston Jr. Defensive Rebound.,22,20
6:36,218,Alani Moore II Turnover.,22,20
6:36,2,Mustapha Heron Steal.,22,20
6:30,2,Davion Mitchell made Layup.,24,20
6:16,218,Obi Enechionyia missed Three Point Jumper.,24,20
6:16,2,Bryce Brown Defensive Rebound.,24,20
5:46,2,Bryce Brown missed Layup.,24,20
5:46,218,Obi Enechionyia Defensive Rebound.,24,20
5:32,218,Quinton Rose made Three Point Jumper. Assisted by Alani Moore II.,24,23
5:26,2,Auburn  Timeout,24,23
5:05,2,Chuma Okeke missed Three Point Jumper.,24,23
5:05,218,Obi Enechionyia Defensive Rebound.,24,23
4:56,218,Quinton Rose missed Three Point Jumper.,24,23
4:56,2,Horace Spencer Defensive Rebound.,24,23
4:42,2,Mustapha Heron Turnover.,24,23
4:42,218,J.P. Moorman II Steal.,24,23
4:28,218,Shizz Alston Jr. made Layup.,24,25
4:09,218,Foul on J.P. Moorman II.,24,25
4:09,2,Mustapha Heron missed Free Throw.,24,25
4:09,2,Auburn Deadball Team Rebound.,24,25
4:09,2,Mustapha Heron made Free Throw.,25,25
3:59,218,Obi Enechionyia missed Three Point Jumper.,25,25
3:59,2,Desean Murray Defensive Rebound.,25,25
3:47,2,Mustapha Heron missed Jumper.,25,25
3:47,218,J.P. Moorman II Defensive Rebound.,25,25
3:38,2,Foul on Horace Spencer.,25,25
3:38,218,Official TV Timeout,25,25
3:38,218,J.P. Moorman II made Free Throw.,25,26
3:38,218,J.P. Moorman II missed Free Throw.,25,26
3:38,2,Horace Spencer Defensive Rebound.,25,26
3:22,2,Horace Spencer made Jumper. Assisted by Bryce Brown.,27,26
3:01,218,Shizz Alston Jr. made Three Point Jumper. Assisted by Obi Enechionyia.,27,29
2:37,2,Desean Murray missed Layup.,27,29
2:37,218,Obi Enechionyia Defensive Rebound.,27,29
2:28,218,J.P. Moorman II missed Three Point Jumper.,27,29
2:28,2,Auburn Defensive Rebound.,27,29
2:25,2,Desean Murray missed Layup.,27,29
2:25,2,Desean Murray Offensive Rebound.,27,29
2:25,2,Desean Murray missed Two Point Tip Shot.,27,29
2:25,218,J.P. Moorman II Defensive Rebound.,27,29
2:25,218,Quinton Rose missed Layup.,27,29
2:25,2,Horace Spencer Defensive Rebound.,27,29
2:25,2,Jared Harper missed Three Point Jumper.,27,29
2:25,218,Obi Enechionyia Defensive Rebound.,27,29
1:35,218,Quinton Rose missed Layup.,27,29
1:35,2,Auburn Defensive Rebound.,27,29
1:35,2,Anfernee McLemore missed Three Point Jumper.,27,29
1:35,218,Shizz Alston Jr. Defensive Rebound.,27,29
1:01,218,Obi Enechionyia made Layup. Assisted by Alani Moore II.,27,31
1:01,2,Foul on Anfernee McLemore.,27,31
1:01,218,Obi Enechionyia made Free Throw.,27,32
0:50,218,Foul on J.P. Moorman II.,27,32
0:50,2,Anfernee McLemore made Free Throw.,28,32
0:50,2,Anfernee McLemore made Free Throw.,29,32
0:27,218,Foul on Josh Brown.,29,32
0:27,218,Josh Brown Turnover.,29,32
0:27,218,Temple  Timeout,29,32
0:07,218,Foul on Obi Enechionyia.,29,32
0:07,2,Jared Harper made Free Throw.,30,32
0:07,2,Jared Harper made Free Throw.,31,32
0:04,218,Quinton Rose Turnover.,31,32
0:03,2,Mustapha Heron missed Three Point Jumper.,31,32
0:03,2,Desean Murray Offensive Rebound.,31,32
0:00,218,End of 1st half,31,32
20:00,218,Jump Ball won by Temple,31,32
19:55,218,Josh Brown made Jumper.,31,34
19:42,2,Mustapha Heron missed Three Point Jumper.,31,34
19:42,218,Quinton Rose Defensive Rebound.,31,34
19:30,218,Ernest Aflakpui made Jumper. Assisted by Quinton Rose.,31,36
19:11,218,Foul on Ernest Aflakpui.,31,36
18:59,2,Jared Harper missed Three Point Jumper.,31,36
18:59,218,Quinton Rose Defensive Rebound.,31,36
18:41,218,Shizz Alston Jr. made Jumper.,31,38
18:27,2,Horace Spencer missed Jumper.,31,38
18:27,218,Josh Brown Defensive Rebound.,31,38
18:18,218,Quinton Rose Turnover.,31,38
18:18,2,Horace Spencer Steal.,31,38
18:04,2,Desean Murray made Layup.,33,38
17:45,2,Foul on Horace Spencer.,33,38
17:45,218,Damion Moore made Free Throw.,33,39
17:45,218,Damion Moore made Free Throw.,33,40
17:39,2,Bryce Brown made Three Point Jumper. Assisted by Desean Murray.,36,40
17:21,2,Foul on Desean Murray.,36,40
17:21,2,Foul on Desean Murray.,36,40
17:16,2,Foul on Mustapha Heron.,36,40
17:10,218,Damion Moore made Layup. Assisted by Quinton Rose.,36,42
16:59,2,Mustapha Heron made Jumper. Assisted by Desean Murray.,38,42
16:40,218,Quinton Rose missed Three Point Jumper.,38,42
16:39,2,Desean Murray Defensive Rebound.,38,42
16:25,2,Mustapha Heron missed Three Point Jumper.,38,42
16:24,218,Obi Enechionyia Defensive Rebound.,38,42
15:59,218,Obi Enechionyia missed Jumper.,38,42
15:58,218,Damion Moore Offensive Rebound.,38,42
15:56,218,Official TV Timeout,38,42
15:56,218,Damion Moore made Free Throw.,38,43
15:56,218,Damion Moore missed Free Throw.,38,43
15:56,218,Temple Deadball Team Rebound.,38,43
15:41,2,Anfernee McLemore made Dunk. Assisted by Bryce Brown.,40,43
15:23,218,Obi Enechionyia missed Three Point Jumper.,40,43
15:23,2,Anfernee McLemore Defensive Rebound.,40,43
14:53,2,Jared Harper missed Three Point Jumper.,40,43
14:53,218,Damion Moore Defensive Rebound.,40,43
14:42,218,Josh Brown made Jumper.,40,45
14:26,2,Bryce Brown missed Three Point Jumper.,40,45
14:26,218,Quinton Rose Defensive Rebound.,40,45
14:10,218,Damion Moore Turnover.,40,45
13:58,2,Chuma Okeke made Three Point Jumper. Assisted by Jared Harper.,43,45
13:38,2,Foul on Chuma Okeke.,43,45
13:36,218,Obi Enechionyia made Three Point Jumper. Assisted by Josh Brown.,43,48
13:16,2,Chuma Okeke made Three Point Jumper. Assisted by Jared Harper.,46,48
12:56,218,Foul on Quinton Rose.,46,48
12:56,218,Quinton Rose Turnover.,46,48
12:41,2,Jared Harper missed Layup.,46,48
12:41,2,Anfernee McLemore Offensive Rebound.,46,48
12:41,2,Anfernee McLemore made Dunk.,48,48
12:41,2,Technical Foul on Anfernee McLemore.,48,48
12:41,218,Shizz Alston Jr. made Free Throw.,48,49
12:41,2,Foul on Anfernee McLemore.,48,48
12:41,218,Shizz Alston Jr. made Free Throw.,48,50
12:28,218,Obi Enechionyia made Jumper.,48,52
12:28,218,Josh Brown missed Layup.,48,52
12:28,2,Anfernee McLemore Block.,48,52
12:28,2,Anfernee McLemore Defensive Rebound.,48,52
12:15,2,Anfernee McLemore made Dunk.,50,52
12:03,218,Damion Moore missed Layup.,50,52
12:03,2,Chuma Okeke Defensive Rebound.,50,52
11:52,2,Bryce Brown missed Three Point Jumper.,50,52
11:52,218,Obi Enechionyia Defensive Rebound.,50,52
11:29,218,Damion Moore made Dunk. Assisted by Shizz Alston Jr..,50,54
10:54,218,Foul on Damion Moore.,50,54
10:54,218,Official TV Timeout,50,54
10:54,2,Anfernee McLemore made Free Throw.,51,54
10:54,2,Anfernee McLemore made Free Throw.,52,54
10:54,2,Danjel Purifoy Turnover.,52,54
10:52,218,J.P. Moorman II Turnover.,52,54
10:52,2,Jared Harper Steal.,52,54
10:48,2,Chuma Okeke made Dunk. Assisted by Jared Harper.,54,54
10:26,218,De'Vondre Perry Turnover.,54,54
10:26,2,Jared Harper Steal.,54,54
10:21,2,Jared Harper made Layup.,56,54
9:52,218,Shizz Alston Jr. made Three Point Jumper.,56,57
9:24,218,Foul on De'Vondre Perry.,56,57
9:24,2,Horace Spencer missed Free Throw.,56,57
9:24,2,Auburn Deadball Team Rebound.,56,57
9:24,2,Horace Spencer made Free Throw.,57,57
9:10,2,Foul on Horace Spencer.,57,57
9:10,218,Obi Enechionyia made Free Throw.,57,58
9:10,218,Obi Enechionyia made Free Throw.,57,59
9:02,2,Chuma Okeke missed Three Point Jumper.,57,59
9:02,218,Alani Moore II Defensive Rebound.,57,59
8:49,218,Alani Moore II made Three Point Jumper. Assisted by Josh Brown.,57,62
8:33,2,Jared Harper missed Three Point Jumper.,57,62
8:33,2,Desean Murray Offensive Rebound.,57,62
8:27,2,Desean Murray made Layup.,59,62
8:08,218,Obi Enechionyia made Jumper.,59,64
7:54,2,Horace Spencer missed Jumper.,59,64
7:54,218,Temple Defensive Rebound.,59,64
7:50,218,Official TV Timeout,59,64
7:35,218,Quinton Rose made Three Point Jumper. Assisted by Josh Brown.,59,67
7:13,2,Desean Murray made Layup. Assisted by Bryce Brown.,61,67
6:58,2,Foul on Bryce Brown.,61,67
6:58,218,Josh Brown missed Free Throw.,61,67
6:58,2,Mustapha Heron Defensive Rebound.,61,67
6:53,2,Mustapha Heron Turnover.,61,67
6:49,218,Alani Moore II made Layup.,61,69
6:29,2,Bryce Brown missed Jumper.,61,69
6:29,218,Obi Enechionyia Defensive Rebound.,61,69
6:16,2,Foul on Davion Mitchell.,61,69
6:16,218,Alani Moore II made Free Throw.,61,70
6:16,218,Alani Moore II missed Free Throw.,61,70
6:16,2,Mustapha Heron Defensive Rebound.,61,70
5:55,2,Bryce Brown made Three Point Jumper. Assisted by Jared Harper.,64,70
5:32,218,Obi Enechionyia missed Three Point Jumper.,64,70
5:32,2,Bryce Brown Defensive Rebound.,64,70
5:08,2,Mustapha Heron made Three Point Jumper. Assisted by Jared Harper.,67,70
4:49,218,Quinton Rose made Three Point Jumper.,67,73
4:23,218,Foul on Alani Moore II.,67,73
4:19,2,Desean Murray Turnover.,67,73
4:19,218,Alani Moore II Steal.,67,73
4:09,218,Obi Enechionyia made Dunk. Assisted by Quinton Rose.,67,75
3:56,2,Anfernee McLemore made Dunk. Assisted by Jared Harper.,69,75
3:39,218,Quinton Rose made Three Point Jumper. Assisted by Obi Enechionyia.,69,78
3:22,2,Jared Harper Turnover.,69,78
3:22,218,Quinton Rose Steal.,69,78
3:13,218,Quinton Rose missed Three Point Jumper.,69,78
3:13,218,Obi Enechionyia Offensive Rebound.,69,78
2:45,218,Quinton Rose missed Layup.,69,78
2:45,218,Shizz Alston Jr. Offensive Rebound.,69,78
2:45,218,Shizz Alston Jr. made Two Point Tip Shot.,69,80
2:32,218,Foul on Josh Brown.,69,80
2:32,218,Official TV Timeout,69,80
2:32,2,Bryce Brown made Free Throw.,70,80
2:32,2,Bryce Brown missed Free Throw.,70,80
2:32,218,Temple Defensive Rebound.,70,80
2:07,218,Alani Moore II made Layup.,70,82
1:56,2,Jared Harper made Layup.,72,82
1:27,2,Foul on Bryce Brown.,72,82
1:27,218,Josh Brown made Free Throw.,72,83
1:27,218,Josh Brown made Free Throw.,72,84
1:23,2,Jared Harper missed Layup.,72,84
1:23,2,Desean Murray Offensive Rebound.,72,84
1:15,2,Bryce Brown missed Three Point Jumper.,72,84
1:15,2,Desean Murray Offensive Rebound.,72,84
1:15,2,Desean Murray Turnover.,72,84
1:10,218,Temple  Timeout,72,84
1:06,2,Foul on Chuma Okeke.,72,84
1:06,218,Shizz Alston Jr. made Free Throw.,72,85
1:06,218,Shizz Alston Jr. made Free Throw.,72,86
1:01,2,Bryce Brown missed Jumper.,72,86
1:01,2,Auburn Offensive Rebound.,72,86
0:53,2,Jared Harper missed Layup.,72,86
0:53,2,Desean Murray Offensive Rebound.,72,86
0:50,2,Desean Murray made Layup.,74,86
0:50,2,Auburn  Timeout,74,86
0:42,218,Quinton Rose made Dunk. Assisted by Alani Moore II.,74,88
0:36,2,Bryce Brown missed Three Point Jumper.,74,88
0:36,218,Quinton Rose Defensive Rebound.,74,88
0:10,218,Josh Brown missed Jumper.,74,88
0:02,218,Alani Moore II Offensive Rebound.,74,88
0:00,218,End of Game,74,88
