Coppin State,325,Cleveland State,2154
8:19,325,Jamarcus Hairston made Layup. Assisted by Stefan Kenic.,41,71
8:08,2154,Cedric Council Jr. missed Three Point Jumper.,41,71
8:08,325,Jamarcus Hairston Defensive Rebound.,41,71
7:55,325,Kenny Carpenter missed Three Point Jumper.,41,71
7:55,2154,Keandre Fair Defensive Rebound.,41,71
7:36,2154,Keandre Fair missed Layup.,41,71
7:36,325,Terrell Hales Block.,41,71
7:36,2154,Coppin State Offensive Rebound.,41,71
7:36,325,Official TV Timeout,41,71
7:27,2154,Dejuan Clayton missed Three Point Jumper.,41,71
7:27,325,Kenny Carpenter Defensive Rebound.,41,71
7:16,325,Foul on Evan Clayborne.,41,71
7:16,325,Evan Clayborne Turnover.,41,71
6:56,325,Foul on Evan Clayborne.,41,71
6:56,2154,Adam Traore made Free Throw.,42,71
6:56,2154,Adam Traore made Free Throw.,43,71
6:45,325,Tyree Appleby made Layup.,43,73
6:28,2154,Keandre Fair made Three Point Jumper. Assisted by Adam Traore.,46,73
6:13,325,Kenny Carpenter missed Three Point Jumper.,46,73
6:13,325,Anthony Wright Offensive Rebound.,46,73
6:06,325,Anthony Wright made Layup.,46,75
5:49,2154,Adam Traore Turnover.,46,75
5:23,325,Stefan Kenic Turnover.,46,75
5:14,2154,Keandre Fair missed Three Point Jumper.,46,75
5:14,325,Anthony Wright Defensive Rebound.,46,75
5:05,325,Anthony Wright missed Three Point Jumper.,46,75
5:05,2154,Coppin State Defensive Rebound.,46,75
4:49,2154,Chad Andrews-Fulton missed Jumper.,46,75
4:49,325,Kenny Carpenter Defensive Rebound.,46,75
4:39,325,Stefan Kenic missed Three Point Jumper.,46,75
4:39,2154,Chad Andrews-Fulton Defensive Rebound.,46,75
4:17,2154,Chad Andrews-Fulton made Layup. Assisted by Adam Traore.,48,75
4:01,2154,Foul on Dejuan Clayton.,48,75
4:01,325,Tyree Appleby made Free Throw.,48,76
4:01,325,Tyree Appleby made Free Throw.,48,77
3:47,2154,Taqwain Drummond missed Three Point Jumper.,48,77
3:47,325,Jamarcus Hairston Defensive Rebound.,48,77
3:18,2154,Foul on Adam Traore.,48,77
3:18,325,Official TV Timeout,48,77
3:18,325,Kasheem Thomas made Free Throw.,48,78
3:18,325,Kasheem Thomas missed Free Throw.,48,78
3:18,2154,Adam Traore Defensive Rebound.,48,78
2:52,2154,Keandre Fair missed Three Point Jumper.,48,78
2:52,325,Cleveland State Defensive Rebound.,48,78
2:37,325,Anthony Wright missed Jumper.,48,78
2:37,2154,Keandre Fair Defensive Rebound.,48,78
2:21,325,Foul on Tyree Appleby.,48,78
2:21,2154,Adam Traore made Free Throw.,49,78
2:21,2154,Adam Traore made Free Throw.,50,78
2:09,325,Bobby Word Turnover.,50,78
1:57,2154,Taqwain Drummond missed Three Point Jumper.,50,78
1:57,2154,Coppin State Offensive Rebound.,50,78
1:51,2154,Keandre Fair missed Three Point Jumper.,50,78
1:51,2154,Coppin State Offensive Rebound.,50,78
1:45,325,Foul on Shawn Christian Jr..,50,78
1:45,2154,Chad Andrews-Fulton missed Free Throw.,50,78
1:45,2154,Coppin State Deadball Team Rebound.,50,78
1:45,2154,Chad Andrews-Fulton missed Free Throw.,50,78
1:45,325,David Payne Defensive Rebound.,50,78
1:27,325,David Payne missed Three Point Jumper.,50,78
1:27,2154,Chad Andrews-Fulton Defensive Rebound.,50,78
1:15,2154,Keandre Fair made Three Point Jumper. Assisted by Dejuan Clayton.,53,78
0:51,2154,Foul on Chad Andrews-Fulton.,53,78
0:51,325,Kasheem Thomas made Free Throw.,53,79
0:51,325,Kasheem Thomas made Free Throw.,53,80
0:42,2154,Chad Andrews-Fulton missed Layup.,53,80
0:42,325,Kasheem Thomas Defensive Rebound.,53,80
0:35,325,Shawn Christian Jr. missed Three Point Jumper.,53,80
0:35,2154,Dejuan Clayton Defensive Rebound.,53,80
0:23,2154,Dejuan Clayton made Three Point Jumper.,56,80
0:00,325,End of Game,56,80
