Southern,150,Duke,2582
2:34,2582,Foul on Jamar Sandifer.,27,37
2:34,2582,Jamar Sandifer Turnover.,27,37
2:08,150,Jordan Goldwire missed Three Point Jumper.,27,37
2:08,2582,Southern Defensive Rebound.,27,37
1:53,2582,Torrey Mayo made Layup.,29,37
1:34,150,Gary Trent Jr made Three Point Jumper. Assisted by Grayson Allen.,29,40
1:15,150,Foul on Marvin Bagley III.,29,40
1:15,2582,Chris Thomas missed Free Throw.,29,40
1:15,2582,Southern Deadball Team Rebound.,29,40
1:15,2582,Chris Thomas made Free Throw.,30,40
1:08,2582,Foul on Chris Thomas.,30,40
1:08,150,Grayson Allen made Free Throw.,30,41
1:08,150,Grayson Allen missed Free Throw.,30,41
1:08,150,Duke Offensive Rebound.,30,41
0:58,150,Gary Trent Jr missed Jumper.,30,41
0:58,150,Gary Trent Jr Offensive Rebound.,30,41
0:50,2582,Foul on Patrick Smith.,30,41
0:50,150,Javin DeLaurier missed Free Throw.,30,41
0:50,150,Duke Deadball Team Rebound.,30,41
0:50,150,Javin DeLaurier made Free Throw.,30,42
0:29,2582,Torrey Mayo made Jumper.,32,42
0:04,150,Gary Trent Jr missed Three Point Jumper.,32,42
0:04,150,Javin DeLaurier Offensive Rebound.,32,42
0:01,150,Javin DeLaurier missed Jumper.,32,42
0:01,2582,Mubashar Ali Block.,32,42
0:01,150,Duke Offensive Rebound.,32,42
0:01,150,Alex O'Connell missed Three Point Jumper.,32,42
0:01,150,Duke Offensive Rebound.,32,42
0:00,150,End of 1st half,32,42
20:00,2582,Jump Ball won by Southern,32,42
19:43,2582,Jared Sam missed Jumper.,32,42
19:43,150,Gary Trent Jr Defensive Rebound.,32,42
19:25,150,Grayson Allen made Jumper.,32,44
19:00,2582,Jared Sam missed Jumper.,32,44
19:00,150,Wendell Carter Jr Block.,32,44
19:00,2582,Jared Sam Offensive Rebound.,32,44
18:55,2582,Jared Sam made Jumper.,34,44
18:47,150,Gary Trent Jr missed Three Point Jumper.,34,44
18:47,2582,Jared Sam Defensive Rebound.,34,44
18:28,2582,Jared Sam missed Jumper.,34,44
18:28,150,Wendell Carter Jr Block.,34,44
18:28,2582,Jared Sam Offensive Rebound.,34,44
18:25,150,Foul on Wendell Carter Jr.,34,44
18:22,2582,Jamar Sandifer missed Jumper.,34,44
18:22,150,Wendell Carter Jr Block.,34,44
18:22,2582,Jamar Sandifer Offensive Rebound.,34,44
18:18,2582,Jamar Sandifer missed Jumper.,34,44
18:18,150,Wendell Carter Jr Block.,34,44
18:18,150,Trevon Duval Defensive Rebound.,34,44
18:10,150,Trevon Duval made Layup.,34,46
17:52,2582,Jared Sam missed Jumper.,34,46
17:52,2582,Emanual Shepherd Offensive Rebound.,34,46
17:47,2582,Chris Thomas missed Three Point Jumper.,34,46
17:47,150,Marvin Bagley III Defensive Rebound.,34,46
17:40,150,Grayson Allen missed Three Point Jumper.,34,46
17:40,150,Wendell Carter Jr Offensive Rebound.,34,46
17:33,150,Wendell Carter Jr Turnover.,34,46
17:33,2582,Jamar Sandifer Steal.,34,46
17:31,150,Foul on Grayson Allen.,34,46
17:13,2582,Jared Sam missed Jumper.,34,46
17:13,150,Gary Trent Jr Defensive Rebound.,34,46
17:02,150,Grayson Allen made Layup. Assisted by Trevon Duval.,34,48
17:02,2582,Foul on Jared Sam.,34,48
17:02,150,Grayson Allen made Free Throw.,34,49
16:45,2582,Jared Sam made Jumper.,36,49
16:31,150,Trevon Duval missed Three Point Jumper.,36,49
16:31,2582,Eddie Reese Defensive Rebound.,36,49
16:22,2582,Jamar Sandifer made Three Point Jumper. Assisted by Eddie Reese.,39,49
16:06,150,Gary Trent Jr missed Jumper.,39,49
16:06,2582,Emanual Shepherd Defensive Rebound.,39,49
15:47,2582,Jared Sam missed Jumper.,39,49
15:47,150,Marvin Bagley III Defensive Rebound.,39,49
15:40,2582,Foul on Torrey Mayo.,39,49
15:40,150,Official TV Timeout,39,49
15:40,150,Grayson Allen made Free Throw.,39,50
15:40,150,Grayson Allen made Free Throw.,39,51
15:27,150,Marques Bolden made Dunk. Assisted by Grayson Allen.,39,53
15:08,2582,Eddie Reese missed Three Point Jumper.,39,53
15:08,2582,Brendon Ganaway Offensive Rebound.,39,53
14:41,2582,Jared Sam Turnover.,39,53
14:28,2582,Foul on Shaquille Benson.,39,53
14:28,150,Marques Bolden made Free Throw.,39,54
14:28,150,Marques Bolden missed Free Throw.,39,54
14:28,2582,Jamar Sandifer Defensive Rebound.,39,54
14:12,2582,Shaquille Benson made Layup. Assisted by Emanual Shepherd.,41,54
13:55,2582,Foul on Shaquille Benson.,41,54
13:55,150,Javin DeLaurier made Free Throw.,41,55
13:55,150,Javin DeLaurier missed Free Throw.,41,55
13:55,2582,Emanual Shepherd Defensive Rebound.,41,55
13:39,2582,Mubashar Ali missed Jumper.,41,55
13:39,150,Javin DeLaurier Defensive Rebound.,41,55
13:28,150,Marques Bolden missed Layup.,41,55
13:28,150,Gary Trent Jr Offensive Rebound.,41,55
13:28,150,Gary Trent Jr made Two Point Tip Shot.,41,57
13:16,2582,Southern  Timeout,41,57
12:59,2582,Jamar Sandifer missed Three Point Jumper.,41,57
12:59,150,Trevon Duval Defensive Rebound.,41,57
12:46,2582,Foul on Richard Lee.,41,57
12:32,150,Marques Bolden missed Jumper.,41,57
12:32,150,Gary Trent Jr Offensive Rebound.,41,57
12:27,150,Trevon Duval missed Jumper.,41,57
12:27,2582,Southern Defensive Rebound.,41,57
12:03,2582,Emanual Shepherd made Layup.,43,57
11:55,150,Grayson Allen missed Three Point Jumper.,43,57
11:55,2582,Emanual Shepherd Defensive Rebound.,43,57
11:38,150,Foul on Grayson Allen.,43,57
11:38,150,Official TV Timeout,43,57
11:38,2582,Mubashar Ali missed Free Throw.,43,57
11:38,2582,Southern Deadball Team Rebound.,43,57
11:38,2582,Mubashar Ali made Free Throw.,44,57
11:28,2582,Foul on Patrick Smith.,44,57
11:26,150,Wendell Carter Jr made Dunk. Assisted by Trevon Duval.,44,59
10:54,2582,Torrey Mayo made Three Point Jumper. Assisted by Jamar Sandifer.,47,59
10:45,150,Trevon Duval made Layup.,47,61
10:23,2582,Richard Lee missed Three Point Jumper.,47,61
10:23,150,Marvin Bagley III Defensive Rebound.,47,61
10:07,2582,Foul on Richard Lee.,47,61
10:07,150,Alex O'Connell made Free Throw.,47,62
10:07,150,Alex O'Connell made Free Throw.,47,63
9:42,2582,Torrey Mayo made Three Point Jumper.,50,63
9:22,150,Trevon Duval missed Three Point Jumper.,50,63
9:22,150,Wendell Carter Jr Offensive Rebound.,50,63
9:16,150,Wendell Carter Jr made Layup.,50,65
8:48,2582,Jamar Sandifer made Three Point Jumper. Assisted by Torrey Mayo.,53,65
8:38,2582,Foul on Torrey Mayo.,53,65
8:38,150,Trevon Duval made Free Throw.,53,66
8:38,150,Trevon Duval missed Free Throw.,53,66
8:38,2582,Mubashar Ali Defensive Rebound.,53,66
8:26,2582,Eddie Reese missed Three Point Jumper.,53,66
8:26,150,Marvin Bagley III Defensive Rebound.,53,66
8:16,150,Trevon Duval missed Layup.,53,66
8:16,2582,Eddie Reese Defensive Rebound.,53,66
8:10,2582,Torrey Mayo Turnover.,53,66
8:10,150,Gary Trent Jr Steal.,53,66
7:52,150,Marvin Bagley III missed Layup.,53,66
7:52,2582,Mubashar Ali Block.,53,66
7:52,2582,Mubashar Ali Defensive Rebound.,53,66
7:22,2582,Mubashar Ali missed Jumper.,53,66
7:22,150,Alex O'Connell Defensive Rebound.,53,66
7:04,150,Marvin Bagley III missed Three Point Jumper.,53,66
7:04,150,Wendell Carter Jr Offensive Rebound.,53,66
6:59,150,Wendell Carter Jr made Layup.,53,68
6:27,150,Foul on Gary Trent Jr.,53,68
6:27,150,Official TV Timeout,53,68
6:23,2582,LaQuentin Collins missed Jumper.,53,68
6:23,150,Gary Trent Jr Defensive Rebound.,53,68
6:06,150,Gary Trent Jr missed Three Point Jumper.,53,68
6:06,2582,Torrey Mayo Defensive Rebound.,53,68
5:36,2582,Jared Sam missed Jumper.,53,68
5:36,150,Wendell Carter Jr Block.,53,68
5:36,150,Trevon Duval Defensive Rebound.,53,68
5:26,150,Marvin Bagley III made Layup. Assisted by Wendell Carter Jr.,53,70
5:26,2582,Foul on Emanual Shepherd.,53,70
5:26,150,Marvin Bagley III made Free Throw.,53,71
5:06,2582,Mubashar Ali missed Jumper.,53,71
5:06,150,Gary Trent Jr Defensive Rebound.,53,71
4:56,150,Marques Bolden Turnover.,53,71
4:39,2582,Torrey Mayo missed Jumper.,53,71
4:39,150,Gary Trent Jr Defensive Rebound.,53,71
4:29,150,Marvin Bagley III made Layup. Assisted by Grayson Allen.,53,73
4:14,150,Foul on Trevon Duval.,53,73
4:14,2582,Torrey Mayo missed Free Throw.,53,73
4:14,2582,Southern Deadball Team Rebound.,53,73
4:14,2582,Torrey Mayo made Free Throw.,54,73
3:58,150,Grayson Allen missed Three Point Jumper.,54,73
3:58,2582,Jamar Sandifer Block.,54,73
3:58,150,Grayson Allen Offensive Rebound.,54,73
3:51,2582,Foul on Mubashar Ali.,54,73
3:51,150,Official TV Timeout,54,73
3:51,150,Trevon Duval made Free Throw.,54,74
3:51,150,Trevon Duval made Free Throw.,54,75
3:38,150,Foul on Marvin Bagley III.,54,75
3:38,2582,Patrick Smith missed Free Throw.,54,75
3:38,2582,Southern Deadball Team Rebound.,54,75
3:38,2582,Patrick Smith made Free Throw.,55,75
3:27,150,Marvin Bagley III missed Jumper.,55,75
3:27,150,Marvin Bagley III Offensive Rebound.,55,75
3:23,150,Marvin Bagley III made Dunk.,55,77
3:09,2582,DeRias Johnson made Three Point Jumper.,58,77
2:51,150,Gary Trent Jr missed Jumper.,58,77
2:48,150,Antonio Vrankovic Offensive Rebound.,58,77
2:46,150,Foul on Marvin Bagley III.,58,77
2:46,2582,DeRias Johnson made Free Throw.,59,77
2:46,2582,DeRias Johnson made Free Throw.,60,77
2:30,150,Alex O'Connell Turnover.,60,77
2:16,2582,DeRias Johnson missed Three Point Jumper.,60,77
2:16,150,Marques Bolden Defensive Rebound.,60,77
2:08,150,Jordan Goldwire Turnover.,60,77
2:08,2582,DeRias Johnson Steal.,60,77
1:56,2582,Jared Sam Turnover.,60,77
1:53,150,Jack White Turnover.,60,77
1:53,2582,Torrey Mayo Steal.,60,77
1:48,2582,Mubashar Ali missed Jumper.,60,77
1:48,150,Javin DeLaurier Block.,60,77
1:48,150,Marques Bolden Defensive Rebound.,60,77
1:39,150,Javin DeLaurier Turnover.,60,77
1:39,2582,Jared Sam Steal.,60,77
1:30,150,Foul on Javin DeLaurier.,60,77
1:30,2582,Jared Sam missed Free Throw.,60,77
1:30,2582,Southern Deadball Team Rebound.,60,77
1:30,2582,Jared Sam made Free Throw.,61,77
1:18,2582,Foul on Chris Thomas.,61,77
1:18,150,Marques Bolden made Free Throw.,61,78
1:18,150,Marques Bolden missed Free Throw.,61,78
1:18,2582,Jared Sam Defensive Rebound.,61,78
1:06,2582,Mubashar Ali missed Jumper.,61,78
1:06,150,Jack White Defensive Rebound.,61,78
0:35,150,Jordan Goldwire missed Three Point Jumper.,61,78
0:35,150,Alex O'Connell Offensive Rebound.,61,78
0:00,150,End of Game,61,78
