Yale,399,Albany,43
19:40,43,Trey Phills missed Three Point Jumper.,39,36
19:40,399,Greig Stire Defensive Rebound.,39,36
19:25,399,David Nichols made Jumper.,39,38
19:09,43,Blake Reynolds missed Jumper.,39,38
19:09,399,Greig Stire Defensive Rebound.,39,38
18:56,399,Travis Charles made Jumper. Assisted by Joe Cremo.,39,40
18:24,43,Alex Copeland missed Jumper.,39,40
18:24,43,Miye Oni Offensive Rebound.,39,40
18:22,399,Foul on David Nichols.,39,40
18:22,43,Paul Atkinson Turnover.,39,40
18:22,399,Greig Stire Steal.,39,40
17:50,399,Devonte Campbell missed Jumper.,39,40
17:50,43,Paul Atkinson Block.,39,40
17:50,399,Albany Offensive Rebound.,39,40
17:44,399,David Nichols missed Jumper.,39,40
17:44,399,Travis Charles Offensive Rebound.,39,40
17:40,43,Foul on Blake Reynolds.,39,40
17:26,399,Travis Charles missed Jumper.,39,40
17:26,43,Miye Oni Defensive Rebound.,39,40
17:10,43,Trey Phills missed Three Point Jumper.,39,40
17:10,399,David Nichols Defensive Rebound.,39,40
16:59,399,Joe Cremo missed Three Point Jumper.,39,40
16:59,43,Trey Phills Defensive Rebound.,39,40
16:52,43,Alex Copeland made Jumper.,41,40
16:19,399,Joe Cremo made Jumper.,41,42
15:49,43,Paul Atkinson missed Layup.,41,42
15:49,399,Greig Stire Defensive Rebound.,41,42
15:42,399,Devonte Campbell made Layup. Assisted by Joe Cremo.,41,44
15:29,43,Miye Oni missed Three Point Jumper.,41,44
15:29,399,Albany Defensive Rebound.,41,44
15:27,43,Foul on Blake Reynolds.,41,44
15:27,399,Official TV Timeout,41,44
15:19,399,Devonte Campbell missed Three Point Jumper.,41,44
15:19,399,Devonte Campbell Offensive Rebound.,41,44
15:11,399,Joe Cremo made Jumper. Assisted by Devonte Campbell.,41,46
14:57,43,Miye Oni made Three Point Jumper. Assisted by Trey Phills.,44,46
14:40,399,Alex Foster made Jumper. Assisted by Greig Stire.,44,48
14:24,43,Alex Copeland missed Layup.,44,48
14:24,399,Alex Foster Defensive Rebound.,44,48
14:06,43,Foul on Paul Atkinson.,44,48
14:06,399,Devonte Campbell missed Free Throw.,44,48
14:06,399,Albany Deadball Team Rebound.,44,48
14:06,399,Devonte Campbell made Free Throw.,44,49
13:50,43,Miye Oni Turnover.,44,49
13:31,399,Devonte Campbell missed Jumper.,44,49
13:31,399,Greig Stire Offensive Rebound.,44,49
13:27,399,Greig Stire made Layup.,44,51
13:21,399,Foul on Alex Foster.,44,51
13:21,43,Miye Oni made Free Throw.,45,51
13:21,43,Miye Oni missed Free Throw.,45,51
13:21,399,Alex Foster Defensive Rebound.,45,51
13:06,43,Foul on Paul Atkinson.,45,51
12:58,399,Costa Anderson missed Three Point Jumper.,45,51
12:58,399,Albany Offensive Rebound.,45,51
12:52,399,Joe Cremo made Three Point Jumper. Assisted by Devonte Campbell.,45,54
12:34,43,Miye Oni missed Three Point Jumper.,45,54
12:34,43,Jameel Alausa Offensive Rebound.,45,54
12:30,43,Jameel Alausa missed Layup.,45,54
12:30,399,Alex Foster Block.,45,54
12:28,43,Blake Reynolds Offensive Rebound.,45,54
12:21,399,Foul on Devonte Campbell.,45,54
12:21,43,Miye Oni missed Three Point Jumper.,45,54
12:21,399,Joe Cremo Defensive Rebound.,45,54
11:59,399,Joe Cremo missed Jumper.,45,54
11:59,43,Yale Defensive Rebound.,45,54
11:57,399,Official TV Timeout,45,54
11:34,43,Azar Swain missed Three Point Jumper.,45,54
11:34,399,Alex Foster Defensive Rebound.,45,54
11:08,399,Costa Anderson missed Layup.,45,54
11:08,43,Eric Monroe Block.,45,54
11:05,43,Blake Reynolds Defensive Rebound.,45,54
11:03,43,Azar Swain made Layup. Assisted by Blake Reynolds.,47,54
10:39,399,Joe Cremo made Layup.,47,56
10:28,43,Blake Reynolds made Layup. Assisted by Azar Swain.,49,56
10:13,399,Costa Anderson Turnover.,49,56
10:11,43,Miye Oni Steal.,49,56
10:08,43,Eric Monroe missed Three Point Jumper.,49,56
10:08,43,Blake Reynolds Offensive Rebound.,49,56
9:53,43,Miye Oni Turnover.,49,56
9:38,399,Travis Charles made Jumper. Assisted by Devonte Campbell.,49,58
9:19,43,Blake Reynolds missed Three Point Jumper.,49,58
9:19,399,David Nichols Defensive Rebound.,49,58
9:07,399,David Nichols missed Layup.,49,58
9:07,399,Greig Stire Offensive Rebound.,49,58
9:03,43,Foul on Jameel Alausa.,49,58
9:03,399,Greig Stire made Free Throw.,49,59
9:03,399,Greig Stire made Free Throw.,49,60
8:39,43,Azar Swain missed Jumper.,49,60
8:39,399,Greig Stire Defensive Rebound.,49,60
8:22,43,Foul on Jameel Alausa.,49,60
8:22,399,Travis Charles missed Free Throw.,49,60
8:22,399,Albany Deadball Team Rebound.,49,60
8:22,399,Travis Charles made Free Throw.,49,61
8:09,43,Blake Reynolds missed Layup.,49,61
8:09,43,Yale Offensive Rebound.,49,61
8:07,399,Foul on Alex Foster.,49,61
7:58,43,Jameel Alausa missed Jumper.,49,61
7:58,399,Ahmad Clark Defensive Rebound.,49,61
7:40,399,Costa Anderson made Three Point Jumper. Assisted by Devonte Campbell.,49,64
7:22,43,Alex Copeland made Jumper.,51,64
7:22,399,Foul on Devonte Campbell.,51,64
7:22,399,Official TV Timeout,51,64
7:22,43,Alex Copeland made Free Throw.,52,64
6:50,399,David Nichols made Jumper.,52,66
6:40,43,Blake Reynolds Turnover.,52,66
6:18,399,Travis Charles made Layup. Assisted by David Nichols.,52,68
6:07,43,Trey Phills made Layup.,54,68
5:40,43,Foul on Miye Oni.,54,68
5:40,399,Joe Cremo made Free Throw.,54,69
5:40,399,Joe Cremo made Free Throw.,54,70
5:25,43,Miye Oni missed Three Point Jumper.,54,70
5:25,43,Alex Copeland Offensive Rebound.,54,70
5:14,43,Alex Copeland made Jumper.,56,70
4:55,399,Foul on David Nichols.,56,70
4:55,399,David Nichols Turnover.,56,70
4:46,43,Alex Copeland made Three Point Jumper.,59,70
4:20,399,Travis Charles made Jumper.,59,72
4:03,43,Alex Copeland made Layup.,61,72
4:03,43,Yale  Timeout,61,72
4:03,399,Official TV Timeout,61,72
3:41,399,Joe Cremo missed Jumper.,61,72
3:41,43,Paul Atkinson Defensive Rebound.,61,72
3:32,43,Blake Reynolds made Three Point Jumper. Assisted by Miye Oni.,64,72
3:15,399,Albany  Timeout,64,72
3:15,399,Official TV Timeout,64,72
3:07,399,Joe Cremo Turnover.,64,72
3:06,43,Alex Copeland Steal.,64,72
3:03,43,Alex Copeland made Layup.,66,72
2:35,399,David Nichols Turnover.,66,72
2:15,43,Alex Copeland missed Jumper.,66,72
2:15,43,Trey Phills Offensive Rebound.,66,72
2:07,43,Trey Phills made Two Point Tip Shot.,68,72
1:53,399,David Nichols made Jumper.,68,74
1:44,399,Foul on Joe Cremo.,68,74
1:44,43,Trey Phills made Free Throw.,69,74
1:44,43,Trey Phills missed Free Throw.,69,74
1:44,399,Travis Charles Defensive Rebound.,69,74
1:25,399,David Nichols missed Three Point Jumper.,69,74
1:25,43,Miye Oni Defensive Rebound.,69,74
1:19,43,Alex Copeland missed Jumper.,69,74
1:19,399,Greig Stire Defensive Rebound.,69,74
0:54,43,Foul on Trey Phills.,69,74
0:54,399,Devonte Campbell made Free Throw.,69,75
0:54,399,Devonte Campbell made Free Throw.,69,76
0:46,43,Miye Oni missed Three Point Jumper.,69,76
0:46,43,Blake Reynolds Offensive Rebound.,69,76
0:41,43,Alex Copeland missed Three Point Jumper.,69,76
0:41,399,Travis Charles Defensive Rebound.,69,76
0:33,43,Foul on Miye Oni.,69,76
0:33,399,David Nichols missed Free Throw.,69,76
0:33,43,Blake Reynolds Defensive Rebound.,69,76
0:29,43,Trey Phills missed Three Point Jumper.,69,76
0:29,399,Albany Defensive Rebound.,69,76
0:24,43,Foul on Miye Oni.,69,76
0:24,399,David Nichols missed Free Throw.,69,76
0:24,399,Albany Deadball Team Rebound.,69,76
0:24,399,David Nichols made Free Throw.,69,77
0:18,43,Azar Swain missed Three Point Jumper.,69,77
0:18,399,Greig Stire Defensive Rebound.,69,77
0:14,43,Foul on Blake Reynolds.,69,77
0:14,399,Greig Stire missed Free Throw.,69,77
0:14,399,Albany Deadball Team Rebound.,69,77
0:14,399,Greig Stire made Free Throw.,69,78
0:12,43,Miye Oni made Three Point Jumper.,72,78
0:10,43,Foul on Alex Copeland.,72,78
0:10,399,Travis Charles made Free Throw.,72,79
0:10,399,Travis Charles made Free Throw.,72,80
0:06,43,Miye Oni Turnover.,72,80
0:04,399,Joe Cremo Steal.,72,80
0:00,399,End of Game,72,80
