UC Irvine,2306,Kansas State,300
3:44,2306,Official TV Timeout,15,28
3:44,300,Evan Leonard made Free Throw.,16,28
3:44,300,Evan Leonard missed Free Throw.,16,28
3:44,2306,Brian Patrick Defensive Rebound.,16,28
3:19,2306,Xavier Sneed missed Three Point Jumper.,16,28
3:19,2306,Kansas State Offensive Rebound.,16,28
3:07,2306,Xavier Sneed made Jumper.,16,30
2:47,300,Brad Greene made Layup. Assisted by Evan Leonard.,18,30
2:35,2306,Makol Mawien Turnover.,18,30
2:34,300,Justin Wertner Steal.,18,30
2:21,300,Brad Greene made Jumper. Assisted by Justin Wertner.,20,30
2:09,2306,Brian Patrick made Three Point Jumper. Assisted by Kamau Stokes.,20,33
1:43,300,Justin Wertner missed Three Point Jumper.,20,33
1:43,2306,Makol Mawien Defensive Rebound.,20,33
1:29,2306,Xavier Sneed missed Three Point Jumper.,20,33
1:29,300,Max Hazzard Defensive Rebound.,20,33
1:19,2306,Foul on Xavier Sneed.,20,33
1:19,300,Max Hazzard made Free Throw.,21,33
1:19,300,Max Hazzard made Free Throw.,22,33
0:55,2306,Mawdo Sallah missed Layup.,22,33
0:55,300,Jonathan Galloway Block.,22,33
0:53,300,John Edgar Jr. Defensive Rebound.,22,33
0:51,300,Evan Leonard Turnover.,22,33
0:50,2306,Barry Brown Steal.,22,33
0:48,2306,Amaad Wainright made Layup. Assisted by Barry Brown.,22,35
0:48,300,UC Irvine  Timeout,22,35
0:39,300,John Edgar Jr. missed Three Point Jumper.,22,35
0:39,2306,Barry Brown Defensive Rebound.,22,35
0:10,300,Foul on Evan Leonard.,22,35
0:10,2306,Kamau Stokes made Free Throw.,22,36
0:10,2306,Kamau Stokes made Free Throw.,22,37
0:02,2306,Foul on Nigel Shadd.,22,37
0:02,300,Eyassu Worku made Free Throw.,23,37
0:02,300,Eyassu Worku made Free Throw.,24,37
0:00,2306,End of 1st half,24,37
19:47,2306,Barry Brown missed Jumper.,24,37
19:47,300,Tommy Rutherford Defensive Rebound.,24,37
19:37,300,Evan Leonard Turnover.,24,37
19:26,2306,Kamau Stokes made Jumper. Assisted by Xavier Sneed.,24,39
19:03,300,Tommy Rutherford missed Layup.,24,39
19:03,300,UC Irvine Offensive Rebound.,24,39
19:03,2306,Foul on Makol Mawien.,24,39
18:56,300,Tommy Rutherford missed Jumper.,24,39
18:56,2306,Makol Mawien Block.,24,39
18:55,2306,Dean Wade Defensive Rebound.,24,39
18:49,2306,Xavier Sneed Turnover.,24,39
18:22,300,Eyassu Worku Turnover.,24,39
18:15,2306,Barry Brown Turnover.,24,39
18:02,300,Evan Leonard missed Three Point Jumper.,24,39
18:02,2306,Xavier Sneed Defensive Rebound.,24,39
17:55,2306,Xavier Sneed Turnover.,24,39
17:55,300,Evan Leonard Turnover.,24,39
17:55,2306,Barry Brown Steal.,24,39
17:55,2306,Dean Wade missed Jumper.,24,39
17:55,300,Eyassu Worku Defensive Rebound.,24,39
17:34,300,Eyassu Worku missed Jumper.,24,39
17:34,2306,Kamau Stokes Defensive Rebound.,24,39
17:27,2306,Kamau Stokes missed Jumper.,24,39
17:27,300,Tommy Rutherford Defensive Rebound.,24,39
17:11,300,Justin Wertner made Three Point Jumper. Assisted by Evan Leonard.,27,39
16:16,2306,Dean Wade missed Jumper.,27,39
16:16,300,Jonathan Galloway Defensive Rebound.,27,39
16:08,300,Justin Wertner made Three Point Jumper. Assisted by Eyassu Worku.,30,39
15:42,300,Foul on Justin Wertner.,30,39
15:42,2306,Official TV Timeout,30,39
15:31,2306,Barry Brown missed Layup.,30,39
15:30,300,Jonathan Galloway Block.,30,39
15:29,300,UC Irvine Deadball Team Rebound.,30,39
15:21,2306,Foul on Barry Brown.,30,39
15:15,300,Evan Leonard Turnover.,30,39
15:14,2306,Xavier Sneed Steal.,30,39
15:02,2306,Kamau Stokes made Layup.,30,41
14:44,300,Evan Leonard missed Three Point Jumper.,30,41
14:44,2306,Dean Wade Defensive Rebound.,30,41
14:33,2306,Dean Wade missed Dunk.,30,41
14:33,300,Elston Jones Block.,30,41
14:30,2306,Mawdo Sallah Offensive Rebound.,30,41
14:28,2306,Mawdo Sallah missed Jumper.,30,41
14:28,2306,Dean Wade Offensive Rebound.,30,41
14:28,2306,Dean Wade Turnover.,30,41
14:08,2306,Foul on Kamau Stokes.,30,41
13:55,300,Justin Wertner missed Three Point Jumper.,30,41
13:55,2306,Mawdo Sallah Defensive Rebound.,30,41
13:42,300,Foul on Jonathan Galloway.,30,41
13:34,2306,Dean Wade made Jumper.,30,43
13:06,300,Eyassu Worku missed Three Point Jumper.,30,43
13:06,300,Elston Jones Offensive Rebound.,30,43
12:57,300,John Edgar Jr. made Layup.,32,43
12:34,2306,Cartier Diarra missed Layup.,32,43
12:34,2306,Cartier Diarra Offensive Rebound.,32,43
12:31,300,Foul on Tommy Rutherford.,32,43
12:27,2306,Xavier Sneed missed Jumper.,32,43
12:27,300,John Edgar Jr. Defensive Rebound.,32,43
12:00,300,John Edgar Jr. Turnover.,32,43
12:00,300,Foul on John Edgar Jr..,32,43
12:00,2306,Official TV Timeout,32,43
11:46,300,Foul on Elston Jones.,32,43
11:46,2306,Mawdo Sallah missed Free Throw.,32,43
11:46,2306,Kansas State Deadball Team Rebound.,32,43
11:46,2306,Mawdo Sallah missed Free Throw.,32,43
11:46,300,Tommy Rutherford Defensive Rebound.,32,43
11:38,300,Tommy Rutherford Turnover.,32,43
11:34,2306,Xavier Sneed missed Three Point Jumper.,32,43
11:34,2306,Brian Patrick Offensive Rebound.,32,43
11:13,2306,Brian Patrick made Three Point Jumper. Assisted by Xavier Sneed.,32,46
10:55,2306,Foul on Cartier Diarra.,32,46
10:45,300,John Edgar Jr. Turnover.,32,46
10:43,2306,Barry Brown Steal.,32,46
10:40,2306,Cartier Diarra made Three Point Jumper. Assisted by Brian Patrick.,32,49
10:22,300,Max Hazzard missed Jumper.,32,49
10:22,2306,Kansas State Defensive Rebound.,32,49
10:09,2306,Mawdo Sallah made Jumper. Assisted by Brian Patrick.,32,51
9:55,300,Evan Leonard missed Three Point Jumper.,32,51
9:55,2306,Brian Patrick Defensive Rebound.,32,51
9:25,300,Foul on Evan Leonard.,32,51
9:15,2306,Barry Brown missed Jumper.,32,51
9:15,2306,Xavier Sneed Offensive Rebound.,32,51
9:08,300,Foul on Brad Greene.,32,51
9:08,2306,Xavier Sneed made Free Throw.,32,52
9:08,2306,Xavier Sneed made Free Throw.,32,53
8:50,300,John Edgar Jr. made Jumper.,34,53
8:25,2306,Xavier Sneed made Three Point Jumper. Assisted by Cartier Diarra.,34,56
8:11,300,Eyassu Worku missed Layup.,34,56
8:11,2306,Mawdo Sallah Defensive Rebound.,34,56
8:07,2306,Barry Brown missed Layup.,34,56
8:07,300,Jonathan Galloway Defensive Rebound.,34,56
7:59,300,Evan Leonard made Layup. Assisted by Jonathan Galloway.,36,56
7:42,2306,Xavier Sneed made Three Point Jumper. Assisted by Brian Patrick.,36,59
7:22,2306,Foul on Xavier Sneed.,36,59
7:22,2306,Official TV Timeout,36,59
7:10,300,Brad Greene missed Jumper.,36,59
7:10,2306,Dean Wade Defensive Rebound.,36,59
6:51,2306,Brian Patrick missed Three Point Jumper.,36,59
6:51,300,Jonathan Galloway Defensive Rebound.,36,59
6:20,2306,Foul on Levi Stockard III.,36,59
6:20,300,Jonathan Galloway made Free Throw.,37,59
6:20,300,Jonathan Galloway made Free Throw.,38,59
6:01,2306,Kamau Stokes made Jumper.,38,61
5:31,300,Justin Wertner Turnover.,38,61
5:31,2306,Kamau Stokes Steal.,38,61
5:28,2306,Cartier Diarra made Layup. Assisted by Kamau Stokes.,38,63
5:03,2306,Foul on Brian Patrick.,38,63
5:03,300,Darrian Traylor made Free Throw.,39,63
5:03,300,Darrian Traylor made Free Throw.,40,63
5:00,2306,Cartier Diarra missed Three Point Jumper.,40,63
5:00,2306,Amaad Wainright Offensive Rebound.,40,63
4:45,300,Foul on Riley Welch.,40,63
4:45,2306,Cartier Diarra made Free Throw.,40,64
4:45,2306,Cartier Diarra made Free Throw.,40,65
4:28,300,Darrian Traylor missed Three Point Jumper.,40,65
4:28,300,Brad Greene Offensive Rebound.,40,65
4:23,300,Brad Greene missed Two Point Tip Shot.,40,65
4:23,2306,Amaad Wainright Defensive Rebound.,40,65
4:01,300,Foul on Riley Welch.,40,65
4:01,2306,Kamau Stokes missed Free Throw.,40,65
4:01,2306,Kansas State Deadball Team Rebound.,40,65
4:01,2306,Kamau Stokes made Free Throw.,40,66
3:44,300,Darrian Traylor Turnover.,40,66
3:44,2306,Official TV Timeout,40,66
3:29,2306,Brian Patrick missed Three Point Jumper.,40,66
3:29,300,Darrian Traylor Defensive Rebound.,40,66
3:15,300,Justin Wertner missed Three Point Jumper.,40,66
3:15,300,John Edgar Jr. Offensive Rebound.,40,66
3:11,300,Darrian Traylor made Three Point Jumper. Assisted by John Edgar Jr..,43,66
2:53,2306,Amaad Wainright missed Jumper.,43,66
2:53,300,Tommy Rutherford Defensive Rebound.,43,66
2:40,300,John Edgar Jr. made Three Point Jumper. Assisted by Riley Welch.,46,66
2:18,2306,Cartier Diarra missed Jumper.,46,66
2:18,300,John Edgar Jr. Defensive Rebound.,46,66
2:04,300,Darrian Traylor missed Three Point Jumper.,46,66
2:04,300,Justin Wertner Offensive Rebound.,46,66
1:59,300,John Edgar Jr. Turnover.,46,66
1:59,300,Foul on John Edgar Jr..,46,66
1:45,300,Foul on Darrian Traylor.,46,66
1:45,2306,Pierson McAtee made Free Throw.,46,67
1:45,2306,Pierson McAtee made Free Throw.,46,68
1:28,300,Tommy Rutherford made Layup. Assisted by Riley Welch.,48,68
1:27,2306,Foul on Nigel Shadd.,48,68
1:27,300,Tommy Rutherford made Free Throw.,49,68
1:07,2306,Cartier Diarra made Three Point Jumper. Assisted by Amaad Wainright.,49,71
1:06,2306,Kansas State  Timeout,49,71
1:06,2306,Official TV Timeout,49,71
0:57,2306,Foul on Pierson McAtee.,49,71
0:57,300,Tommy Rutherford missed Free Throw.,49,71
0:57,2306,Nigel Shadd Defensive Rebound.,49,71
0:40,2306,Nigel Shadd missed Jumper.,49,71
0:40,2306,Nigel Shadd Offensive Rebound.,49,71
0:35,2306,Nigel Shadd missed Jumper.,49,71
0:35,300,Brad Greene Defensive Rebound.,49,71
0:22,300,Tommy Rutherford missed Layup.,49,71
0:22,2306,Amaad Wainright Defensive Rebound.,49,71
0:00,2306,End of Game,49,71
