Alcorn State,239,Baylor,2016
6:07,239,Jake Lindsey Defensive Rebound.,52,69
5:44,239,Nuni Omot missed Three Point Jumper.,52,69
5:44,239,Tristan Clark Offensive Rebound.,52,69
5:38,2016,Foul on Dante Sterling.,52,69
5:38,239,Manu Lecomte made Free Throw.,52,70
5:38,239,Manu Lecomte made Free Throw.,52,71
5:33,239,Foul on Jo Lual-Acuil Jr..,52,71
5:33,2016,Dante Sterling missed Free Throw.,52,71
5:33,2016,Alcorn State Deadball Team Rebound.,52,71
5:33,2016,Dante Sterling made Free Throw.,53,71
5:03,239,Jo Lual-Acuil Jr. made Dunk. Assisted by Jake Lindsey.,53,73
4:56,2016,Khari Jabriel Allen Turnover.,53,73
4:38,239,Manu Lecomte missed Three Point Jumper.,53,73
4:38,239,Mark Vital Offensive Rebound.,53,73
4:33,239,Mark Vital Turnover.,53,73
4:32,2016,Dante Sterling Steal.,53,73
4:30,2016,Foul on Dante Sterling.,53,73
4:30,2016,Dante Sterling Turnover.,53,73
4:13,2016,Foul on Yalen Reed.,53,73
4:13,239,Jo Lual-Acuil Jr. made Free Throw.,53,74
4:13,239,Jo Lual-Acuil Jr. made Free Throw.,53,75
4:10,239,Foul on Jake Lindsey.,53,75
4:06,2016,A.J. Mosby missed Jumper.,53,75
4:06,239,Jo Lual-Acuil Jr. Defensive Rebound.,53,75
3:58,239,Manu Lecomte missed Three Point Jumper.,53,75
3:58,2016,Avery Patterson Defensive Rebound.,53,75
3:48,2016,Yalen Reed missed Jumper.,53,75
3:48,239,Jo Lual-Acuil Jr. Defensive Rebound.,53,75
3:34,239,Tristan Clark made Jumper. Assisted by Jake Lindsey.,53,77
3:11,2016,Avery Patterson missed Three Point Jumper.,53,77
3:11,239,Jo Lual-Acuil Jr. Defensive Rebound.,53,77
3:01,239,Baylor  Timeout,53,77
2:51,239,Mark Vital Turnover.,53,77
2:49,239,Official TV Timeout,53,77
2:32,2016,Maurice Howard missed Three Point Jumper.,53,77
2:32,239,King McClure Defensive Rebound.,53,77
2:13,239,Jonathan Davis Turnover.,53,77
2:09,2016,A.J. Mosby made Jumper. Assisted by Yalen Reed.,55,77
2:09,239,Foul on King McClure.,55,77
2:09,2016,A.J. Mosby made Free Throw.,56,77
1:52,239,Tristan Clark missed Jumper.,56,77
1:52,2016,Maurice Howard Defensive Rebound.,56,77
1:16,2016,Avery Patterson made Three Point Jumper. Assisted by Maurice Howard.,59,77
1:15,2016,Alcorn State  Timeout,59,77
1:00,2016,Foul on Troymain Crosby.,59,77
1:00,239,Jake Lindsey missed Free Throw.,59,77
1:00,239,Baylor Deadball Team Rebound.,59,77
1:00,239,Jake Lindsey made Free Throw.,59,78
0:48,2016,Juwan Henderson made Jumper.,61,78
0:38,239,Jake Lindsey missed Three Point Jumper.,61,78
0:38,2016,Alcorn State Defensive Rebound.,61,78
0:29,2016,Dante Sterling Turnover.,61,78
0:10,239,Jake Lindsey missed Three Point Jumper.,61,78
0:10,239,King McClure Offensive Rebound.,61,78
0:00,239,End of Game,61,78
