Virginia Tech,264,Washington,259
0:48,259,Ahmed Hill made Free Throw.,57,26
0:36,264,Nahziah Carter made Jumper.,57,28
0:10,259,Chris Clarke made Layup. Assisted by Devin Wilson.,59,28
0:00,264,End of 1st half,59,28
20:00,259,Jump Ball won by Virginia Tech,59,28
19:49,259,Justin Bibbs Turnover.,59,28
19:49,264,Jaylen Nowell Steal.,59,28
19:32,264,Noah Dickerson made Layup.,59,30
19:12,259,Kerry Blackshear Jr. Turnover.,59,30
19:12,264,Matisse Thybulle Steal.,59,30
19:06,264,David Crisp made Layup. Assisted by Matisse Thybulle.,59,32
18:50,259,Justin Bibbs made Jumper.,61,32
18:37,264,Matisse Thybulle Turnover.,61,32
18:37,259,Justin Robinson Steal.,61,32
18:32,259,Justin Robinson made Layup.,63,32
18:20,264,Matisse Thybulle missed Three Point Jumper.,63,32
18:20,264,Sam Timmins Offensive Rebound.,63,32
18:07,264,Sam Timmins made Layup.,63,34
17:48,259,Nickeil Alexander-Walker Turnover.,63,34
17:33,264,Carlos Johnson Turnover.,63,34
17:33,259,Nickeil Alexander-Walker Steal.,63,34
17:28,264,Foul on Carlos Johnson.,63,34
17:28,259,Nickeil Alexander-Walker made Free Throw.,64,34
17:28,259,Nickeil Alexander-Walker made Free Throw.,65,34
17:21,264,Foul on Noah Dickerson.,65,34
17:21,264,Noah Dickerson Turnover.,65,34
17:04,259,Nickeil Alexander-Walker made Three Point Jumper. Assisted by Ahmed Hill.,68,34
16:46,264,Carlos Johnson made Layup.,68,36
16:32,259,Kerry Blackshear Jr. missed Jumper.,68,36
16:32,264,Carlos Johnson Defensive Rebound.,68,36
16:19,259,Foul on Kerry Blackshear Jr..,68,36
16:18,259,Foul on Kerry Blackshear Jr..,68,36
16:17,264,Jaylen Nowell Turnover.,68,36
16:17,259,Chris Clarke Steal.,68,36
16:14,259,Justin Bibbs Turnover.,68,36
16:08,264,David Crisp missed Jumper.,68,36
16:08,264,Noah Dickerson Offensive Rebound.,68,36
16:06,259,Foul on Chris Clarke.,68,36
16:06,264,Noah Dickerson made Free Throw.,68,37
16:06,264,Noah Dickerson missed Free Throw.,68,37
16:06,259,Nickeil Alexander-Walker Defensive Rebound.,68,37
15:54,259,Justin Robinson Turnover.,68,37
15:54,264,Official TV Timeout,68,37
15:38,264,David Crisp Turnover.,68,37
15:38,259,Justin Robinson Steal.,68,37
15:32,264,Foul on Nahziah Carter.,68,37
15:32,259,Justin Robinson made Free Throw.,69,37
15:32,259,Justin Robinson made Free Throw.,70,37
15:14,259,Foul on Justin Bibbs.,70,37
15:14,264,Carlos Johnson missed Free Throw.,70,37
15:14,264,Washington Deadball Team Rebound.,70,37
15:14,264,Carlos Johnson missed Free Throw.,70,37
15:14,259,Nickeil Alexander-Walker Defensive Rebound.,70,37
15:03,259,Nickeil Alexander-Walker Turnover.,70,37
14:57,264,Dan Kingma Turnover.,70,37
14:48,259,Justin Bibbs missed Jumper.,70,37
14:48,264,Jaylen Nowell Defensive Rebound.,70,37
14:41,264,Jaylen Nowell made Jumper.,70,39
14:13,259,Foul on Chris Clarke.,70,39
14:13,259,Chris Clarke Turnover.,70,39
13:59,264,Dan Kingma missed Three Point Jumper.,70,39
13:59,259,Tyrie Jackson Defensive Rebound.,70,39
13:50,264,Foul on Dan Kingma.,70,39
13:50,259,Chris Clarke missed Free Throw.,70,39
13:50,259,Virginia Tech Deadball Team Rebound.,70,39
13:50,259,Chris Clarke made Free Throw.,71,39
13:42,264,Dan Kingma made Three Point Jumper. Assisted by Jaylen Nowell.,71,42
13:23,259,Nickeil Alexander-Walker Turnover.,71,42
13:12,264,Dan Kingma made Three Point Jumper. Assisted by Matisse Thybulle.,71,45
12:42,259,Foul on Tyrie Jackson.,71,45
12:42,259,Tyrie Jackson Turnover.,71,45
12:35,264,Jaylen Nowell made Layup.,71,47
12:10,259,Justin Robinson missed Three Point Jumper.,71,47
12:10,264,Dominic Green Defensive Rebound.,71,47
11:53,264,Jaylen Nowell made Dunk. Assisted by Matisse Thybulle.,71,49
11:25,264,Foul on Sam Timmins.,71,49
11:25,264,Official TV Timeout,71,49
11:25,259,Technical Foul on Chris Clarke.,71,49
11:25,259,Foul on Chris Clarke.,71,49
11:25,264,Technical Foul on Jaylen Nowell.,71,49
11:25,264,Foul on Jaylen Nowell.,71,49
11:25,259,Nick Fullard missed Free Throw.,71,49
11:25,259,Virginia Tech Deadball Team Rebound.,71,49
11:25,259,Nick Fullard missed Free Throw.,71,49
11:25,259,Virginia Tech Offensive Rebound.,71,49
11:24,259,Ahmed Hill made Three Point Jumper. Assisted by Justin Robinson.,74,49
11:10,259,Foul on P.J. Horne.,74,49
11:10,264,Noah Dickerson made Free Throw.,74,50
11:10,264,Noah Dickerson made Free Throw.,74,51
10:52,264,Foul on Noah Dickerson.,74,51
10:52,259,Tyrie Jackson made Free Throw.,75,51
10:52,259,Tyrie Jackson made Free Throw.,76,51
10:45,264,Matisse Thybulle missed Three Point Jumper.,76,51
10:45,259,Tyrie Jackson Defensive Rebound.,76,51
10:37,259,Tyrie Jackson made Layup. Assisted by Justin Robinson.,78,51
10:20,264,Matisse Thybulle made Jumper.,78,53
10:03,264,Foul on Dominic Green.,78,53
10:03,259,Justin Bibbs made Free Throw.,79,53
10:03,259,Justin Bibbs made Free Throw.,80,53
9:54,264,Matisse Thybulle made Layup.,80,55
9:34,259,Justin Bibbs missed Three Point Jumper.,80,55
9:34,259,P.J. Horne Offensive Rebound.,80,55
9:28,259,P.J. Horne made Dunk.,82,55
9:03,259,Foul on Justin Bibbs.,82,55
9:03,264,Nahziah Carter made Free Throw.,82,56
9:03,264,Nahziah Carter missed Free Throw.,82,56
9:03,259,Tyrie Jackson Defensive Rebound.,82,56
8:56,259,Tyrie Jackson missed Jumper.,82,56
8:56,264,Washington Defensive Rebound.,82,56
8:54,259,Foul on Justin Bibbs.,82,56
8:54,264,Nahziah Carter missed Free Throw.,82,56
8:54,264,Washington Deadball Team Rebound.,82,56
8:54,264,Nahziah Carter made Free Throw.,82,57
8:45,264,Foul on Nahziah Carter.,82,57
8:45,259,Justin Bibbs made Free Throw.,83,57
8:45,259,Justin Bibbs made Free Throw.,84,57
8:29,264,Foul on Nahziah Carter.,84,57
8:29,264,Nahziah Carter Turnover.,84,57
8:25,259,Tyrie Jackson Turnover.,84,57
8:25,264,David Crisp Steal.,84,57
8:17,259,Foul on Wabissa Bede.,84,57
8:17,264,David Crisp made Free Throw.,84,58
8:17,264,David Crisp made Free Throw.,84,59
7:59,259,Nickeil Alexander-Walker missed Three Point Jumper.,84,59
7:59,264,Carlos Johnson Defensive Rebound.,84,59
7:50,264,David Crisp missed Three Point Jumper.,84,59
7:50,259,Nickeil Alexander-Walker Defensive Rebound.,84,59
7:42,259,Justin Bibbs made Layup. Assisted by Nickeil Alexander-Walker.,86,59
7:27,264,Carlos Johnson made Jumper.,86,61
7:05,259,Wabissa Bede made Jumper.,88,61
6:52,259,Foul on P.J. Horne.,88,61
6:52,264,Official TV Timeout,88,61
6:52,264,Nahziah Carter made Free Throw.,88,62
6:52,264,Nahziah Carter missed Free Throw.,88,62
6:52,259,Chris Clarke Defensive Rebound.,88,62
6:43,259,Foul on P.J. Horne.,88,62
6:43,259,P.J. Horne Turnover.,88,62
6:25,259,Foul on Wabissa Bede.,88,62
6:25,264,Jaylen Nowell made Free Throw.,88,63
6:25,264,Jaylen Nowell made Free Throw.,88,64
6:07,259,Justin Bibbs made Jumper. Assisted by Chris Clarke.,90,64
5:51,264,Jaylen Nowell made Jumper.,90,66
5:32,259,Justin Bibbs made Three Point Jumper. Assisted by Wabissa Bede.,93,66
5:16,264,Dan Kingma made Jumper.,93,68
4:56,264,Foul on Carlos Johnson.,93,68
4:56,259,Nickeil Alexander-Walker made Free Throw.,94,68
4:56,259,Nickeil Alexander-Walker made Free Throw.,95,68
4:46,264,Nahziah Carter missed Jumper.,95,68
4:46,259,Wabissa Bede Defensive Rebound.,95,68
4:39,264,Foul on Nahziah Carter.,95,68
4:39,259,Wabissa Bede missed Free Throw.,95,68
4:39,259,Virginia Tech Deadball Team Rebound.,95,68
4:39,259,Wabissa Bede missed Free Throw.,95,68
4:39,264,Hameir Wright Defensive Rebound.,95,68
4:23,259,Foul on Wabissa Bede.,95,68
4:23,264,Dan Kingma made Free Throw.,95,69
4:23,264,Dan Kingma made Free Throw.,95,70
4:02,259,Ahmed Hill missed Layup.,95,70
4:02,259,Nickeil Alexander-Walker Offensive Rebound.,95,70
3:58,264,Foul on Hameir Wright.,95,70
3:58,264,Official TV Timeout,95,70
3:58,259,Nickeil Alexander-Walker made Free Throw.,96,70
3:58,259,Nickeil Alexander-Walker made Free Throw.,97,70
3:51,259,Foul on Nickeil Alexander-Walker.,97,70
3:51,264,Dan Kingma missed Free Throw.,97,70
3:51,264,Dan Kingma missed Free Throw.,97,70
3:51,259,Nickeil Alexander-Walker Defensive Rebound.,97,70
3:33,264,Foul on Hameir Wright.,97,70
3:33,259,Devin Wilson missed Free Throw.,97,70
3:33,259,Virginia Tech Deadball Team Rebound.,97,70
3:33,259,Devin Wilson made Free Throw.,98,70
3:30,264,Matisse Thybulle missed Three Point Jumper.,98,70
3:30,259,Devin Wilson Defensive Rebound.,98,70
3:23,259,Devin Wilson made Jumper.,100,70
3:06,264,Hameir Wright made Layup.,100,72
2:42,259,Nickeil Alexander-Walker Turnover.,100,72
2:42,264,Matisse Thybulle Steal.,100,72
2:32,264,Dominic Green made Three Point Jumper. Assisted by Dan Kingma.,100,75
2:32,259,Devin Wilson missed Layup.,100,75
2:32,264,Hameir Wright Block.,100,75
2:32,259,Devin Wilson Offensive Rebound.,100,75
2:08,259,Nickeil Alexander-Walker made Three Point Jumper. Assisted by Wabissa Bede.,103,75
2:04,259,Virginia Tech  Timeout,103,75
1:54,264,Dominic Green missed Three Point Jumper.,103,75
1:54,259,Nickeil Alexander-Walker Defensive Rebound.,103,75
1:35,259,Devin Wilson missed Layup.,103,75
1:35,259,Tyrie Jackson Offensive Rebound.,103,75
1:35,259,Tyrie Jackson missed Two Point Tip Shot.,103,75
1:35,264,Dominic Green Defensive Rebound.,103,75
1:34,259,Foul on Tyrie Jackson.,103,75
1:34,264,Dominic Green missed Free Throw.,103,75
1:34,264,Washington Deadball Team Rebound.,103,75
1:34,264,Dominic Green made Free Throw.,103,76
1:23,259,Nickeil Alexander-Walker missed Three Point Jumper.,103,76
1:23,264,Matisse Thybulle Defensive Rebound.,103,76
1:13,264,Jaylen Nowell made Three Point Jumper. Assisted by Matisse Thybulle.,103,79
0:49,259,Nick Fullard Turnover.,103,79
0:38,264,Matisse Thybulle missed Three Point Jumper.,103,79
0:38,259,Devin Wilson Defensive Rebound.,103,79
0:28,259,Nickeil Alexander-Walker missed Jumper.,103,79
0:28,264,Hameir Wright Block.,103,79
0:28,264,Hameir Wright Defensive Rebound.,103,79
0:00,264,End of Game,103,79
