Holy Cross,2529,Sacred Heart,107
2:50,2529,Charles Tucker Jr. Offensive Rebound.,37,31
2:42,2529,Matej Buovac missed Three Point Jumper.,37,31
2:42,107,Matt Zignorski Defensive Rebound.,37,31
2:39,2529,Foul on Shawn Montague.,37,31
2:39,107,Matt Zignorski missed Free Throw.,37,31
2:39,107,Holy Cross Deadball Team Rebound.,37,31
2:39,107,Matt Zignorski made Free Throw.,38,31
2:21,2529,Charles Tucker Jr. missed Layup.,38,31
2:21,2529,Joseph Lopez Offensive Rebound.,38,31
2:17,2529,Joseph Lopez made Two Point Tip Shot.,38,33
1:51,107,Jehyve Floyd Turnover.,38,33
1:49,2529,Joseph Lopez Steal.,38,33
1:45,2529,Charles Tucker Jr. missed Layup.,38,33
1:45,107,Jehyve Floyd Block.,38,33
1:44,2529,Shawn Montague Offensive Rebound.,38,33
1:42,2529,Shawn Montague made Layup.,38,35
1:16,107,Anthony Thompson missed Three Point Jumper.,38,35
1:16,107,Malachi Alexander Offensive Rebound.,38,35
0:48,107,Malachi Alexander made Three Point Jumper. Assisted by Anthony Thompson.,41,35
0:17,2529,Joseph Lopez missed Layup.,41,35
0:17,2529,Joseph Lopez Offensive Rebound.,41,35
0:06,2529,Sean Hoehn missed Three Point Jumper.,41,35
0:06,107,Malachi Alexander Defensive Rebound.,41,35
0:00,2529,End of 1st half,41,35
19:39,2529,Joseph Lopez made Layup. Assisted by Sean Hoehn.,41,37
19:23,107,Malachi Alexander Turnover.,41,37
19:22,2529,Quincy McKnight Steal.,41,37
19:19,2529,Quincy McKnight missed Layup.,41,37
19:19,107,Robert Champion Defensive Rebound.,41,37
19:00,107,Matt Husek missed Three Point Jumper.,41,37
19:00,2529,Quincy McKnight Defensive Rebound.,41,37
18:50,2529,Sean Hoehn Turnover.,41,37
18:49,107,Karl Charles Steal.,41,37
18:33,107,Patrick Benzan made Layup.,43,37
18:04,2529,Joseph Lopez missed Layup.,43,37
18:04,107,Matt Husek Block.,43,37
18:03,107,Matt Husek Defensive Rebound.,43,37
17:48,2529,Foul on De'von Barnett.,43,37
17:46,107,Robert Champion made Layup. Assisted by Karl Charles.,45,37
17:36,107,Foul on Robert Champion.,45,37
17:34,2529,Charles Tucker Jr. missed Three Point Jumper.,45,37
17:34,107,Malachi Alexander Defensive Rebound.,45,37
17:14,107,Karl Charles missed Layup.,45,37
17:14,2529,De'von Barnett Block.,45,37
17:14,107,Holy Cross Offensive Rebound.,45,37
17:02,107,Robert Champion missed Three Point Jumper.,45,37
17:02,2529,Joseph Lopez Defensive Rebound.,45,37
16:53,2529,Sean Hoehn Turnover.,45,37
16:48,107,Robert Champion Turnover.,45,37
16:39,2529,Joseph Lopez made Dunk. Assisted by Sean Hoehn.,45,39
16:22,2529,Foul on Sean Hoehn.,45,39
16:14,107,Matt Husek missed Jumper.,45,39
16:14,2529,De'von Barnett Defensive Rebound.,45,39
16:05,2529,Joseph Lopez made Layup.,45,41
15:52,107,Foul on Karl Charles.,45,41
15:52,107,Karl Charles Turnover.,45,41
15:52,2529,Sacred Heart  Timeout,45,41
15:39,2529,Quincy McKnight made Layup.,45,43
15:22,2529,Foul on Joseph Lopez.,45,43
14:58,2529,Foul on Quincy McKnight.,45,43
14:55,107,Foul on Karl Charles.,45,43
14:55,2529,Foul on Quincy McKnight.,45,43
14:55,2529,Technical Foul on Quincy McKnight.,45,43
14:55,107,Technical Foul on Karl Charles.,45,43
14:54,2529,Foul on Joseph Lopez.,45,43
14:45,107,Malachi Alexander made Layup.,47,43
14:19,107,Foul on Robert Champion.,47,43
14:10,107,Foul on Matt Zignorski.,47,43
14:04,2529,Chris Robinson made Three Point Jumper. Assisted by Sean Hoehn.,47,46
13:53,107,Foul on Patrick Benzan.,47,46
13:53,107,Patrick Benzan Turnover.,47,46
13:27,2529,Sean Hoehn missed Three Point Jumper.,47,46
13:27,107,Jehyve Floyd Defensive Rebound.,47,46
13:24,2529,Foul on Matej Buovac.,47,46
13:24,107,Jehyve Floyd made Free Throw.,48,46
13:24,107,Jehyve Floyd made Free Throw.,49,46
13:05,2529,Charles Tucker Jr. Turnover.,49,46
12:48,107,Anthony Thompson made Three Point Jumper. Assisted by Jehyve Floyd.,52,46
12:30,2529,Charles Tucker Jr. missed Layup.,52,46
12:29,107,Jehyve Floyd Defensive Rebound.,52,46
12:08,107,Matt Zignorski made Layup. Assisted by Anthony Thompson.,54,46
11:56,2529,Sean Hoehn missed Three Point Jumper.,54,46
11:56,107,Malachi Alexander Defensive Rebound.,54,46
11:26,107,Anthony Thompson missed Three Point Jumper.,54,46
11:26,2529,Matej Buovac Defensive Rebound.,54,46
11:14,2529,Matej Buovac missed Layup.,54,46
11:14,107,Jehyve Floyd Defensive Rebound.,54,46
11:05,107,Holy Cross  Timeout,54,46
10:58,107,Anthony Thompson missed Three Point Jumper.,54,46
10:58,2529,Charles Tucker Jr. Defensive Rebound.,54,46
10:48,2529,Charles Tucker Jr. made Layup.,54,48
10:21,107,Malachi Alexander made Jumper.,56,48
10:13,2529,Matej Buovac made Three Point Jumper. Assisted by Charles Tucker Jr..,56,51
9:45,107,Malachi Alexander missed Layup.,56,51
9:44,107,Matt Zignorski Offensive Rebound.,56,51
9:19,107,Patrick Benzan missed Layup.,56,51
9:19,2529,Chris Robinson Defensive Rebound.,56,51
9:14,2529,Charles Tucker Jr. Turnover.,56,51
9:14,2529,Official TV Timeout,56,51
8:47,107,Matt Zignorski missed Three Point Jumper.,56,51
8:47,2529,Joseph Lopez Defensive Rebound.,56,51
8:25,2529,Chris Robinson missed Jumper.,56,51
8:25,2529,De'von Barnett Offensive Rebound.,56,51
8:22,2529,Matej Buovac missed Three Point Jumper.,56,51
8:22,107,Jehyve Floyd Defensive Rebound.,56,51
7:52,107,Malachi Alexander made Three Point Jumper. Assisted by Patrick Benzan.,59,51
7:35,2529,De'von Barnett made Jumper. Assisted by Chris Robinson.,59,53
7:11,107,Malachi Alexander missed Layup.,59,53
7:11,2529,Joseph Lopez Defensive Rebound.,59,53
7:04,2529,Matej Buovac made Three Point Jumper. Assisted by Charles Tucker Jr..,59,56
6:42,2529,Foul on Matej Buovac.,59,56
6:42,107,Holy Cross  Timeout,59,56
6:42,107,Matt Zignorski made Free Throw.,60,56
6:42,107,Matt Zignorski missed Free Throw.,60,56
6:42,2529,Joseph Lopez Defensive Rebound.,60,56
6:20,2529,Joseph Lopez missed Layup.,60,56
6:20,107,Jehyve Floyd Block.,60,56
6:18,107,Jehyve Floyd Defensive Rebound.,60,56
5:51,107,Robert Champion missed Three Point Jumper.,60,56
5:51,107,Patrick Benzan Offensive Rebound.,60,56
5:21,107,Robert Champion made Layup.,62,56
5:03,2529,Matej Buovac missed Three Point Jumper.,62,56
5:03,107,Robert Champion Defensive Rebound.,62,56
4:32,107,Robert Champion missed Three Point Jumper.,62,56
4:32,2529,Quincy McKnight Defensive Rebound.,62,56
4:17,2529,Chris Robinson missed Three Point Jumper.,62,56
4:17,2529,Joseph Lopez Offensive Rebound.,62,56
4:15,107,Foul on Patrick Benzan.,62,56
4:15,2529,Joseph Lopez made Free Throw.,62,57
4:15,2529,Joseph Lopez missed Free Throw.,62,57
4:14,107,Malachi Alexander Defensive Rebound.,62,57
3:49,107,Malachi Alexander made Three Point Jumper. Assisted by Karl Charles.,65,57
3:34,2529,Sacred Heart  Timeout,65,57
3:31,107,Foul on Patrick Benzan.,65,57
3:31,2529,Quincy McKnight made Free Throw.,65,58
3:31,2529,Quincy McKnight made Free Throw.,65,59
3:08,107,Malachi Alexander Turnover.,65,59
2:58,2529,Quincy McKnight made Layup.,65,61
2:24,107,Karl Charles missed Three Point Jumper.,65,61
2:24,2529,Charles Tucker Jr. Defensive Rebound.,65,61
2:15,2529,Charles Tucker Jr. missed Three Point Jumper.,65,61
2:15,2529,Quincy McKnight Offensive Rebound.,65,61
2:00,2529,Sean Hoehn made Three Point Jumper. Assisted by Charles Tucker Jr..,65,64
1:35,107,Malachi Alexander Turnover.,65,64
1:33,2529,De'von Barnett Steal.,65,64
1:22,2529,Joseph Lopez missed Layup.,65,64
1:22,107,Malachi Alexander Defensive Rebound.,65,64
0:54,107,Karl Charles made Layup.,67,64
0:45,2529,Sean Hoehn made Three Point Jumper.,67,67
0:43,2529,Sacred Heart  Timeout,67,67
0:22,107,Malachi Alexander made Layup.,69,67
0:11,107,Foul on Anthony Thompson.,69,67
0:11,2529,Charles Tucker Jr. missed Free Throw.,69,67
0:11,2529,Sacred Heart Deadball Team Rebound.,69,67
0:11,2529,Charles Tucker Jr. missed Free Throw.,69,67
0:11,107,Karl Charles Defensive Rebound.,69,67
0:10,2529,Foul on Chris Robinson.,69,67
0:10,107,Karl Charles made Free Throw.,70,67
0:10,107,Holy Cross  Timeout,70,67
0:10,107,Karl Charles made Free Throw.,71,67
0:05,2529,Charles Tucker Jr. missed Layup.,71,67
0:05,107,Malachi Alexander Defensive Rebound.,71,67
0:03,2529,Foul on Joseph Lopez.,71,67
0:03,107,Malachi Alexander missed Free Throw.,71,67
0:03,107,Holy Cross Deadball Team Rebound.,71,67
0:03,107,Malachi Alexander made Free Throw.,72,67
0:03,2529,Sacred Heart  Timeout,72,67
0:01,2529,Quincy McKnight missed Three Point Jumper.,72,67
0:01,2529,Sean Hoehn Offensive Rebound.,72,67
0:00,2529,End of Game,72,67
