Akron,300,UC Irvine,2006
5:33,300,Max Hazzard Defensive Rebound.,25,35
5:07,2006,Foul on Michael Hughes.,25,35
5:07,300,Jaron Martin missed Free Throw.,25,35
5:07,300,UC Irvine Deadball Team Rebound.,25,35
5:07,300,Jaron Martin made Free Throw.,25,36
4:56,300,Foul on Tommy Rutherford.,25,36
4:56,2006,Isaiah Johnson made Free Throw.,26,36
4:56,2006,Isaiah Johnson made Free Throw.,27,36
4:31,300,Brandon Smith missed Layup.,27,36
4:31,2006,Jimond Ivey Defensive Rebound.,27,36
4:24,2006,Antino Jackson made Three Point Jumper.,30,36
4:07,300,Eyassu Worku Turnover.,30,36
3:58,2006,Antino Jackson missed Three Point Jumper.,30,36
3:58,2006,Isaiah Johnson Offensive Rebound.,30,36
3:49,300,Official TV Timeout,30,36
3:46,2006,Kwan Cheatham Jr. missed Three Point Jumper.,30,36
3:46,2006,Antino Jackson Offensive Rebound.,30,36
3:24,300,Foul on Eyassu Worku.,30,36
3:24,2006,Noah Robotham made Free Throw.,31,36
3:24,2006,Noah Robotham made Free Throw.,32,36
3:06,300,Eyassu Worku Turnover.,32,36
3:05,2006,Kwan Cheatham Jr. Steal.,32,36
3:02,2006,Noah Robotham Turnover.,32,36
2:54,300,Jonathan Galloway Turnover.,32,36
2:54,300,Foul on Jonathan Galloway.,32,36
2:32,2006,Josh Williams made Three Point Jumper. Assisted by Kwan Cheatham Jr..,35,36
2:06,300,Brad Greene missed Jumper.,35,36
2:06,300,Brad Greene Offensive Rebound.,35,36
1:56,300,Brandon Smith missed Jumper.,35,36
1:56,300,Eyassu Worku Offensive Rebound.,35,36
1:53,300,Eyassu Worku made Layup.,35,38
1:32,2006,Josh Williams made Three Point Jumper. Assisted by Kwan Cheatham Jr..,38,38
1:29,300,UC Irvine  Timeout,38,38
1:14,2006,Foul on Isaiah Johnson.,38,38
1:14,300,Tommy Rutherford made Free Throw.,38,39
1:14,300,Tommy Rutherford made Free Throw.,38,40
0:59,300,Foul on Tommy Rutherford.,38,40
0:59,2006,Michael Hughes missed Free Throw.,38,40
0:59,2006,Akron Deadball Team Rebound.,38,40
0:59,2006,Michael Hughes made Free Throw.,39,40
0:34,300,Eyassu Worku Turnover.,39,40
0:17,2006,Josh Williams made Three Point Jumper. Assisted by Jimond Ivey.,42,40
0:01,300,Eyassu Worku missed Jumper.,42,40
0:01,2006,Jimond Ivey Defensive Rebound.,42,40
0:00,300,End of 1st half,42,40
19:46,300,Foul on Jaron Martin.,42,40
19:44,300,Foul on Ioannis Dimakopoulos.,42,40
19:36,2006,Isaiah Johnson missed Free Throw.,42,40
19:36,2006,Akron Deadball Team Rebound.,42,40
19:36,2006,Isaiah Johnson made Free Throw.,43,40
19:19,300,Ioannis Dimakopoulos Turnover.,43,40
19:01,2006,Noah Robotham missed Jumper.,43,40
19:01,300,Brandon Smith Defensive Rebound.,43,40
18:52,300,Brandon Smith Turnover.,43,40
18:33,2006,Isaiah Johnson missed Jumper.,43,40
18:33,300,Max Hazzard Defensive Rebound.,43,40
18:26,300,Max Hazzard missed Layup.,43,40
18:26,300,Brad Greene Offensive Rebound.,43,40
18:23,300,Brad Greene made Two Point Tip Shot.,43,42
18:00,2006,Isaiah Johnson missed Jumper.,43,42
18:00,300,Brad Greene Defensive Rebound.,43,42
17:54,300,Max Hazzard made Jumper.,43,44
17:37,2006,Antino Jackson made Three Point Jumper.,46,44
17:20,300,Jaron Martin missed Three Point Jumper.,46,44
17:20,2006,Kwan Cheatham Jr. Defensive Rebound.,46,44
16:59,2006,Antino Jackson made Jumper.,48,44
16:30,300,Brandon Smith missed Three Point Jumper.,48,44
16:30,2006,Jimond Ivey Defensive Rebound.,48,44
16:22,300,Foul on Jaron Martin.,48,44
16:15,2006,Emmanuel Olojakpoke made Dunk. Assisted by Antino Jackson.,50,44
15:58,2006,Foul on Kwan Cheatham Jr..,50,44
15:58,300,Official TV Timeout,50,44
15:49,300,Ioannis Dimakopoulos made Layup. Assisted by Tommy Rutherford.,50,46
15:29,2006,Noah Robotham made Three Point Jumper. Assisted by Josh Williams.,53,46
15:08,300,Max Hazzard missed Three Point Jumper.,53,46
15:08,2006,Antino Jackson Defensive Rebound.,53,46
14:53,2006,Josh Williams missed Three Point Jumper.,53,46
14:53,300,Ioannis Dimakopoulos Defensive Rebound.,53,46
14:46,300,Brandon Smith Turnover.,53,46
14:42,2006,Kwan Cheatham Jr. Steal.,53,46
14:39,2006,Josh Williams made Three Point Jumper. Assisted by Antino Jackson.,56,46
14:28,300,UC Irvine  Timeout,56,46
14:13,2006,Foul on Kwan Cheatham Jr..,56,46
14:13,300,Ioannis Dimakopoulos made Free Throw.,56,47
14:13,300,Ioannis Dimakopoulos made Free Throw.,56,48
14:02,2006,Noah Robotham missed Jumper.,56,48
14:02,300,UC Irvine Defensive Rebound.,56,48
13:33,300,Ioannis Dimakopoulos made Jumper. Assisted by Brandon Smith.,56,50
13:18,2006,Antino Jackson made Layup.,58,50
13:03,300,Ioannis Dimakopoulos missed Three Point Jumper.,58,50
13:03,2006,Antino Jackson Defensive Rebound.,58,50
12:48,2006,Antino Jackson missed Jumper.,58,50
12:48,300,Tommy Rutherford Defensive Rebound.,58,50
12:36,300,Ioannis Dimakopoulos made Layup. Assisted by Eyassu Worku.,58,52
12:12,2006,Isaiah Johnson missed Jumper.,58,52
12:12,2006,Isaiah Johnson Offensive Rebound.,58,52
12:08,2006,Isaiah Johnson made Layup.,60,52
11:44,300,Jaron Martin Turnover.,60,52
11:43,2006,Aaron Jackson Steal.,60,52
11:42,300,Foul on Brandon Smith.,60,52
11:42,300,Official TV Timeout,60,52
11:33,2006,Aaron Jackson missed Three Point Jumper.,60,52
11:33,300,Brad Greene Defensive Rebound.,60,52
11:14,300,Jaron Martin missed Jumper.,60,52
11:14,2006,Tavian Dunn-Martin Defensive Rebound.,60,52
11:02,2006,Isaiah Johnson missed Jumper.,60,52
11:02,300,Brad Greene Block.,60,52
11:00,2006,Isaiah Johnson Offensive Rebound.,60,52
10:55,300,Foul on Jonathan Galloway.,60,52
10:55,2006,Jimond Ivey missed Free Throw.,60,52
10:55,2006,Akron Deadball Team Rebound.,60,52
10:55,2006,Jimond Ivey made Free Throw.,61,52
10:43,2006,Foul on Emmanuel Olojakpoke.,61,52
10:40,300,Jaron Martin missed Layup.,61,52
10:40,300,Brad Greene Offensive Rebound.,61,52
10:35,300,Brad Greene made Layup.,61,54
10:15,2006,Isaiah Johnson missed Jumper.,61,54
10:15,300,Brad Greene Defensive Rebound.,61,54
9:47,300,Evan Leonard missed Three Point Jumper.,61,54
9:47,300,Jonathan Galloway Offensive Rebound.,61,54
9:46,2006,Foul on Jimond Ivey.,61,54
9:29,300,Jonathan Galloway missed Jumper.,61,54
9:29,300,Evan Leonard Offensive Rebound.,61,54
9:25,300,Evan Leonard made Three Point Jumper.,61,57
8:59,2006,Michael Hughes Turnover.,61,57
8:58,300,Eyassu Worku Steal.,61,57
8:56,300,Eyassu Worku made Layup.,61,59
8:39,2006,Tavian Dunn-Martin made Three Point Jumper.,64,59
8:21,300,Jaron Martin missed Three Point Jumper.,64,59
8:21,2006,Jimond Ivey Defensive Rebound.,64,59
8:05,2006,Tavian Dunn-Martin made Jumper.,66,59
7:39,300,Eyassu Worku missed Three Point Jumper.,66,59
7:39,2006,Josh Williams Defensive Rebound.,66,59
7:29,300,Foul on Jaron Martin.,66,59
7:29,300,Official TV Timeout,66,59
7:29,2006,Tavian Dunn-Martin made Free Throw.,67,59
7:29,2006,Tavian Dunn-Martin made Free Throw.,68,59
7:12,300,Ioannis Dimakopoulos made Jumper. Assisted by Jaron Martin.,68,61
6:51,2006,Antino Jackson missed Three Point Jumper.,68,61
6:51,300,Tommy Rutherford Defensive Rebound.,68,61
6:37,300,Evan Leonard missed Jumper.,68,61
6:37,2006,Kwan Cheatham Jr. Defensive Rebound.,68,61
6:23,2006,Kwan Cheatham Jr. made Jumper.,70,61
5:49,300,Tommy Rutherford missed Layup.,70,61
5:49,2006,Kwan Cheatham Jr. Defensive Rebound.,70,61
5:30,2006,Isaiah Johnson made Layup.,72,61
5:21,300,Jaron Martin missed Layup.,72,61
5:21,2006,Isaiah Johnson Defensive Rebound.,72,61
5:00,2006,Isaiah Johnson missed Jumper.,72,61
5:00,300,Ioannis Dimakopoulos Block.,72,61
4:59,300,Max Hazzard Defensive Rebound.,72,61
4:55,300,Max Hazzard made Layup.,72,63
4:55,2006,Foul on Noah Robotham.,72,63
4:55,300,Max Hazzard made Free Throw.,72,64
4:33,2006,Noah Robotham missed Three Point Jumper.,72,64
4:33,300,Eyassu Worku Defensive Rebound.,72,64
4:20,300,Brad Greene made Jumper. Assisted by Eyassu Worku.,72,66
3:58,2006,Jimond Ivey missed Three Point Jumper.,72,66
3:58,300,UC Irvine Defensive Rebound.,72,66
3:56,300,Official TV Timeout,72,66
3:38,2006,Foul on Kwan Cheatham Jr..,72,66
3:38,300,Jaron Martin made Free Throw.,72,67
3:38,300,Jaron Martin made Free Throw.,72,68
3:15,2006,Antino Jackson made Jumper.,74,68
2:57,300,Jaron Martin made Three Point Jumper.,74,71
2:28,2006,Josh Williams missed Three Point Jumper.,74,71
2:28,300,Jonathan Galloway Defensive Rebound.,74,71
2:22,2006,Foul on Noah Robotham.,74,71
2:22,300,Eyassu Worku made Free Throw.,74,72
2:22,300,Eyassu Worku missed Free Throw.,74,72
2:22,2006,Akron Defensive Rebound.,74,72
1:58,2006,Isaiah Johnson made Jumper.,76,72
1:42,2006,Foul on Noah Robotham.,76,72
1:42,300,Eyassu Worku made Free Throw.,76,73
1:42,300,Eyassu Worku made Free Throw.,76,74
1:23,2006,Josh Williams made Three Point Jumper. Assisted by Isaiah Johnson.,79,74
1:13,300,Eyassu Worku missed Jumper.,79,74
1:13,2006,Antino Jackson Defensive Rebound.,79,74
1:11,300,Foul on Brandon Smith.,79,74
1:11,2006,Antino Jackson made Free Throw.,80,74
1:11,2006,Antino Jackson made Free Throw.,81,74
0:50,300,Ioannis Dimakopoulos missed Layup.,81,74
0:50,2006,Kwan Cheatham Jr. Defensive Rebound.,81,74
0:41,300,Foul on Eyassu Worku.,81,74
0:41,2006,Noah Robotham made Free Throw.,82,74
0:41,2006,Noah Robotham made Free Throw.,83,74
0:31,2006,Foul on Antino Jackson.,83,74
0:31,300,Jaron Martin made Free Throw.,83,75
0:31,300,Jaron Martin made Free Throw.,83,76
0:31,300,Jaron Martin missed Free Throw.,83,76
0:31,2006,Isaiah Johnson Defensive Rebound.,83,76
0:30,300,Foul on Darrian Traylor.,83,76
0:30,2006,Isaiah Johnson made Free Throw.,84,76
0:30,2006,Isaiah Johnson made Free Throw.,85,76
0:22,300,Jaron Martin made Layup.,85,78
0:22,300,UC Irvine  Timeout,85,78
0:21,300,Foul on Jaron Martin.,85,78
0:21,2006,Antino Jackson made Free Throw.,86,78
0:21,2006,Antino Jackson made Free Throw.,87,78
0:16,300,Jaron Martin missed Three Point Jumper.,87,78
0:16,2006,Noah Robotham Defensive Rebound.,87,78
0:15,300,Foul on Evan Leonard.,87,78
0:15,2006,Noah Robotham made Free Throw.,88,78
0:15,2006,Noah Robotham missed Free Throw.,88,78
0:15,300,Darrian Traylor Defensive Rebound.,88,78
0:07,300,Jaron Martin made Layup.,88,80
0:00,300,End of Game,88,80
