Morgan State,213,Penn State,2415
9:30,213,Mike Watkins made Free Throw.,17,26
9:17,2415,Kyle Thomas missed Jumper.,17,26
9:17,213,Mike Watkins Defensive Rebound.,17,26
8:59,213,Mike Watkins missed Layup.,17,26
8:59,2415,Alex Ennis Defensive Rebound.,17,26
8:42,2415,Alex Ennis made Jumper. Assisted by Kyle Thomas.,19,26
8:30,213,Josh Reaves missed Layup.,19,26
8:30,2415,David Syfax Block.,19,26
8:29,2415,Martez Cameron Defensive Rebound.,19,26
8:25,2415,Martez Cameron missed Layup.,19,26
8:25,2415,Stanley Davis Offensive Rebound.,19,26
8:22,2415,Stanley Davis missed Layup.,19,26
8:22,213,Mike Watkins Defensive Rebound.,19,26
8:15,213,Tony Carr made Layup.,19,28
7:46,2415,Martez Cameron missed Jumper.,19,28
7:46,213,Tony Carr Defensive Rebound.,19,28
7:40,2415,Foul on Stanley Davis.,19,28
7:40,213,Official TV Timeout,19,28
7:37,213,Lamar Stevens made Layup.,19,30
7:37,2415,Foul on Stanley Davis.,19,30
7:37,213,Lamar Stevens made Free Throw.,19,31
7:26,2415,Morgan St  Turnover.,19,31
7:19,213,Lamar Stevens made Layup. Assisted by Josh Reaves.,19,33
7:09,2415,Martez Cameron Turnover.,19,33
6:38,213,Shep Garner missed Three Point Jumper.,19,33
6:38,213,Penn State Deadball Team Rebound.,19,33
6:38,213,Penn State  Turnover.,19,33
6:21,2415,David Syfax Turnover.,19,33
5:56,213,Terrence Samuel missed Jumper.,19,33
5:56,213,Lamar Stevens Offensive Rebound.,19,33
5:51,2415,Foul on Tyjhai Byers.,19,33
5:51,213,Lamar Stevens missed Free Throw.,19,33
5:51,213,Penn State Deadball Team Rebound.,19,33
5:51,213,Lamar Stevens made Free Throw.,19,34
5:43,213,Foul on Terrence Samuel.,19,34
5:39,213,Foul on Terrence Samuel.,19,34
5:33,2415,Kyle Thomas missed Jumper.,19,34
5:33,213,Julian Moore Defensive Rebound.,19,34
5:25,213,Shep Garner made Layup. Assisted by Tony Carr.,19,36
5:07,2415,Kyle Thomas missed Three Point Jumper.,19,36
5:07,213,Julian Moore Defensive Rebound.,19,36
4:59,213,Payton Banks missed Three Point Jumper.,19,36
4:59,2415,Kyle Thomas Defensive Rebound.,19,36
4:29,2415,Phillip Carr missed Jumper.,19,36
4:29,213,Julian Moore Defensive Rebound.,19,36
4:26,2415,Foul on David Syfax.,19,36
4:26,213,Julian Moore made Free Throw.,19,37
4:26,213,Julian Moore made Free Throw.,19,38
4:10,2415,Martez Cameron Turnover.,19,38
4:09,213,Josh Reaves Steal.,19,38
3:52,213,Payton Banks made Layup. Assisted by Tony Carr.,19,40
3:25,213,Foul on Payton Banks.,19,40
3:25,213,Official TV Timeout,19,40
3:13,2415,David Syfax missed Layup.,19,40
3:13,213,Lamar Stevens Defensive Rebound.,19,40
3:06,213,Mike Watkins missed Layup.,19,40
3:06,2415,Kyle Thomas Block.,19,40
3:02,2415,David Syfax Defensive Rebound.,19,40
2:54,2415,Martez Cameron made Jumper.,21,40
2:46,213,Mike Watkins made Dunk. Assisted by Josh Reaves.,21,42
2:38,2415,Kyle Thomas made Three Point Jumper. Assisted by David Syfax.,24,42
2:29,213,Tony Carr Turnover.,24,42
2:29,2415,Martez Cameron Steal.,24,42
2:29,213,Foul on Josh Reaves.,24,42
2:29,2415,Martez Cameron missed Free Throw.,24,42
2:29,213,Julian Moore Defensive Rebound.,24,42
2:14,213,Julian Moore made Dunk. Assisted by Lamar Stevens.,24,44
1:59,2415,David Syfax missed Layup.,24,44
1:59,2415,Alex Ennis Offensive Rebound.,24,44
1:56,2415,Alex Ennis made Two Point Tip Shot.,26,44
1:44,213,Tony Carr Turnover.,26,44
1:43,2415,Martez Cameron Steal.,26,44
1:31,2415,David Syfax Turnover.,26,44
1:30,213,Tony Carr Steal.,26,44
1:22,213,Shep Garner missed Three Point Jumper.,26,44
1:22,2415,Morgan St Defensive Rebound.,26,44
1:04,2415,Kyle Thomas missed Jumper.,26,44
1:04,213,Shep Garner Defensive Rebound.,26,44
0:54,213,Tony Carr missed Jumper.,26,44
0:54,213,Penn State Offensive Rebound.,26,44
0:50,213,Shep Garner missed Jumper.,26,44
0:50,2415,Kyle Thomas Defensive Rebound.,26,44
0:41,213,Foul on Tony Carr.,26,44
0:41,2415,David Syfax made Free Throw.,27,44
0:41,2415,David Syfax made Free Throw.,28,44
0:20,213,Tony Carr made Three Point Jumper. Assisted by Shep Garner.,28,47
0:03,213,Foul on Isaiah Washington.,28,47
0:03,2415,Martez Cameron made Free Throw.,29,47
0:03,2415,Technical Foul on Martez Cameron.,29,47
0:03,2415,Foul on Martez Cameron.,29,47
0:03,213,Shep Garner made Free Throw.,29,48
0:03,213,Shep Garner made Free Throw.,29,49
0:03,2415,Martez Cameron missed Free Throw.,29,49
0:03,2415,Kyle Thomas Offensive Rebound.,29,49
0:00,213,End of 1st half,29,49
19:36,2415,Kyle Thomas missed Three Point Jumper.,29,49
19:36,213,Tony Carr Defensive Rebound.,29,49
19:31,213,Shep Garner missed Layup.,29,49
19:31,2415,Kyle Thomas Block.,29,49
19:26,2415,Tyjhai Byers Defensive Rebound.,29,49
19:24,2415,Phillip Carr made Jumper.,31,49
19:24,213,Foul on Lamar Stevens.,31,49
19:24,2415,Phillip Carr missed Free Throw.,31,49
19:24,213,Mike Watkins Defensive Rebound.,31,49
19:16,213,Shep Garner missed Three Point Jumper.,31,49
19:16,213,Mike Watkins Offensive Rebound.,31,49
19:11,213,Mike Watkins made Layup.,31,51
18:49,2415,Phillip Carr made Jumper.,33,51
18:28,213,Josh Reaves missed Dunk.,33,51
18:28,2415,Phillip Carr Defensive Rebound.,33,51
18:15,2415,Kyle Thomas Turnover.,33,51
18:14,213,Josh Reaves Steal.,33,51
18:09,2415,Foul on Tyjhai Byers.,33,51
18:01,213,Mike Watkins missed Jumper.,33,51
18:01,2415,Tyjhai Byers Block.,33,51
18:00,213,Mike Watkins Offensive Rebound.,33,51
17:57,213,Mike Watkins missed Jumper.,33,51
17:57,2415,Kyle Thomas Defensive Rebound.,33,51
17:46,2415,Phillip Carr missed Jumper.,33,51
17:46,213,Josh Reaves Defensive Rebound.,33,51
17:32,213,Tony Carr missed Three Point Jumper.,33,51
17:32,2415,David Syfax Defensive Rebound.,33,51
17:08,2415,Kyle Thomas missed Jumper.,33,51
17:08,213,Mike Watkins Block.,33,51
17:07,213,Tony Carr Defensive Rebound.,33,51
17:03,213,Lamar Stevens made Dunk. Assisted by Tony Carr.,33,53
16:47,2415,Phillip Carr made Jumper.,35,53
16:28,213,Lamar Stevens made Layup. Assisted by Josh Reaves.,35,55
16:18,2415,David Syfax missed Three Point Jumper.,35,55
16:18,213,Josh Reaves Defensive Rebound.,35,55
16:05,213,Mike Watkins made Dunk. Assisted by Josh Reaves.,35,57
16:05,2415,Foul on Tyjhai Byers.,35,57
16:05,213,Mike Watkins missed Free Throw.,35,57
16:05,2415,Kyle Thomas Defensive Rebound.,35,57
15:43,213,Foul on Tony Carr.,35,57
15:43,213,Official TV Timeout,35,57
15:36,2415,Phillip Carr made Jumper.,37,57
15:15,213,Terrence Samuel missed Three Point Jumper.,37,57
15:15,213,Lamar Stevens Offensive Rebound.,37,57
15:13,213,Lamar Stevens made Two Point Tip Shot.,37,59
15:02,2415,Kyle Thomas Turnover.,37,59
15:01,213,Julian Moore Steal.,37,59
14:57,213,Payton Banks missed Three Point Jumper.,37,59
14:57,213,Lamar Stevens Offensive Rebound.,37,59
14:52,213,Lamar Stevens missed Jumper.,37,59
14:52,2415,Alex Ennis Block.,37,59
14:52,213,Lamar Stevens Offensive Rebound.,37,59
14:49,213,Josh Reaves made Layup. Assisted by Terrence Samuel.,37,61
14:43,213,Foul on Josh Reaves.,37,61
14:43,213,Foul on Josh Reaves.,37,61
14:15,2415,Foul on Phillip Carr.,37,61
14:15,2415,Phillip Carr Turnover.,37,61
13:59,2415,Foul on Kyle Thomas.,37,61
13:59,213,Julian Moore made Free Throw.,37,62
13:59,213,Julian Moore made Free Throw.,37,63
13:47,2415,Isiah Graves made Layup.,39,63
13:30,213,Lamar Stevens missed Dunk.,39,63
13:30,2415,David Syfax Defensive Rebound.,39,63
13:23,2415,David Syfax missed Layup.,39,63
13:23,213,Julian Moore Block.,39,63
13:21,213,Payton Banks Defensive Rebound.,39,63
13:16,213,Terrence Samuel made Layup. Assisted by Shep Garner.,39,65
13:13,213,Penn State  Timeout,39,65
13:13,213,Official TV Timeout,39,65
12:58,2415,Kyle Thomas missed Layup.,39,65
12:58,213,Payton Banks Defensive Rebound.,39,65
12:31,213,Payton Banks missed Three Point Jumper.,39,65
12:31,2415,David Syfax Defensive Rebound.,39,65
12:15,2415,Kyle Thomas missed Three Point Jumper.,39,65
12:15,213,Tony Carr Defensive Rebound.,39,65
11:54,213,Payton Banks missed Three Point Jumper.,39,65
11:54,213,Lamar Stevens Offensive Rebound.,39,65
11:36,213,Terrence Samuel made Three Point Jumper. Assisted by Payton Banks.,39,68
11:19,2415,Isiah Graves missed Layup.,39,68
11:19,213,Julian Moore Defensive Rebound.,39,68
11:00,2415,Foul on Isiah Graves.,39,68
10:41,213,Lamar Stevens made Layup.,39,70
10:18,213,Foul on Mike Watkins.,39,70
10:18,2415,Isiah Graves made Free Throw.,40,70
10:18,2415,Isiah Graves made Free Throw.,41,70
10:00,213,Mike Watkins made Dunk. Assisted by Terrence Samuel.,41,72
9:46,2415,Isiah Graves missed Three Point Jumper.,41,72
9:46,213,Payton Banks Defensive Rebound.,41,72
9:17,213,Payton Banks missed Layup.,41,72
9:17,213,Lamar Stevens Offensive Rebound.,41,72
9:16,213,Lamar Stevens made Two Point Tip Shot.,41,74
9:01,2415,David Syfax Turnover.,41,74
9:00,213,Mike Watkins Steal.,41,74
8:44,2415,Foul on Isiah Graves.,41,74
8:39,2415,Foul on Isiah Graves.,41,74
8:39,213,Tony Carr made Free Throw.,41,75
8:39,213,Tony Carr made Free Throw.,41,76
8:17,2415,Stanley Davis missed Layup.,41,76
8:17,213,Mike Watkins Defensive Rebound.,41,76
7:52,213,Terrence Samuel made Layup.,41,78
7:33,2415,Stanley Davis missed Layup.,41,78
7:33,213,Mike Watkins Block.,41,78
7:32,213,Tony Carr Defensive Rebound.,41,78
7:19,2415,Foul on Tyjhai Byers.,41,78
7:19,213,Official TV Timeout,41,78
7:19,213,Tony Carr made Free Throw.,41,79
7:19,213,Tony Carr made Free Throw.,41,80
7:07,2415,Antonio Gillespie missed Three Point Jumper.,41,80
7:07,213,Mike Watkins Defensive Rebound.,41,80
6:49,213,Isaiah Washington missed Three Point Jumper.,41,80
6:49,2415,Stanley Davis Defensive Rebound.,41,80
6:43,2415,Stanley Davis made Layup.,43,80
6:15,213,Mike Watkins Turnover.,43,80
6:14,2415,Stanley Davis Steal.,43,80
6:12,2415,Antonio Gillespie missed Three Point Jumper.,43,80
6:12,2415,Alex Ennis Offensive Rebound.,43,80
6:09,213,Foul on Nazeer Bostick.,43,80
6:08,213,Foul on Nazeer Bostick.,43,80
6:08,2415,Phillip Carr made Free Throw.,44,80
6:08,2415,Phillip Carr made Free Throw.,45,80
5:49,213,Payton Banks made Three Point Jumper. Assisted by Tony Carr.,45,83
5:37,2415,Kyle Thomas made Three Point Jumper. Assisted by Stanley Davis.,48,83
5:28,2415,Foul on Kyle Thomas.,48,83
5:28,213,Isaiah Washington made Free Throw.,48,84
5:28,213,Isaiah Washington missed Free Throw.,48,84
5:28,2415,Phillip Carr Defensive Rebound.,48,84
5:14,2415,Alex Ennis missed Layup.,48,84
5:14,213,Julian Moore Block.,48,84
5:12,213,Julian Moore Defensive Rebound.,48,84
4:56,213,Julian Moore made Layup.,48,86
4:42,2415,Alex Ennis Turnover.,48,86
4:41,213,Tony Carr Steal.,48,86
4:26,213,Julian Moore made Layup. Assisted by Tony Carr.,48,88
4:09,213,Foul on Deividas Zemgulis.,48,88
4:09,2415,Phillip Carr made Free Throw.,49,88
4:09,2415,Phillip Carr made Free Throw.,50,88
4:09,2415,Phillip Carr made Free Throw.,51,88
3:59,213,Official TV Timeout,51,88
3:47,213,Isaiah Washington missed Three Point Jumper.,51,88
3:47,213,Deividas Zemgulis Offensive Rebound.,51,88
3:45,213,Deividas Zemgulis made Layup.,51,90
3:38,2415,Stanley Davis Turnover.,51,90
3:33,213,Nazeer Bostick missed Three Point Jumper.,51,90
3:33,2415,Alex Ennis Defensive Rebound.,51,90
3:19,213,Foul on Deividas Zemgulis.,51,90
3:19,2415,Phillip Carr made Free Throw.,52,90
3:19,2415,Phillip Carr made Free Throw.,53,90
3:00,213,Julian Moore missed Layup.,53,90
3:00,2415,Phillip Carr Defensive Rebound.,53,90
2:53,2415,Stanley Davis missed Jumper.,53,90
2:53,213,Nazeer Bostick Defensive Rebound.,53,90
2:33,213,Nazeer Bostick made Dunk. Assisted by Tony Carr.,53,92
2:02,2415,Antonio Gillespie missed Three Point Jumper.,53,92
2:02,213,Tony Carr Defensive Rebound.,53,92
1:54,2415,Foul on Stanley Davis.,53,92
1:54,213,Nazeer Bostick made Free Throw.,53,93
1:54,213,Nazeer Bostick made Free Throw.,53,94
1:40,2415,Phillip Carr missed Jumper.,53,94
1:40,213,Isaiah Washington Defensive Rebound.,53,94
1:27,213,Isaiah Washington missed Three Point Jumper.,53,94
1:27,2415,Kyle Thomas Defensive Rebound.,53,94
1:25,213,Foul on Nazeer Bostick.,53,94
1:25,2415,Kyle Thomas made Free Throw.,54,94
1:25,2415,Kyle Thomas made Free Throw.,55,94
1:13,213,Grant Hazle made Layup.,55,96
0:46,2415,Kyle Thomas missed Three Point Jumper.,55,96
0:46,213,Terrence Samuel Defensive Rebound.,55,96
0:16,213,Nazeer Bostick missed Jumper.,55,96
0:16,2415,Phillip Carr Defensive Rebound.,55,96
0:00,213,End of Game,55,96
