Maryland-Eastern Shore,2638,UTEP,2379
14:26,2379,Dontae Caldwell missed Three Point Jumper.,9,7
14:26,2638,Jake Flaggert Defensive Rebound.,9,7
14:08,2638,Dominic Artis missed Jumper.,9,7
14:08,2379,Bakari Copeland Defensive Rebound.,9,7
13:46,2638,Foul on Jake Flaggert.,9,7
13:46,2638,Official TV Timeout,9,7
13:45,2379,Derrico Peck made Free Throw.,10,7
13:45,2379,Derrico Peck missed Free Throw.,10,7
13:45,2638,Jake Flaggert Defensive Rebound.,10,7
13:17,2638,Omega Harris made Jumper.,10,9
12:56,2379,Logan McIntosh missed Jumper.,10,9
12:56,2638,Jake Flaggert Defensive Rebound.,10,9
12:50,2638,UTEP  Timeout,10,9
12:33,2638,Dominic Artis made Jumper.,10,11
12:10,2379,Tyler Jones missed Three Point Jumper.,10,11
12:10,2638,Jake Flaggert Defensive Rebound.,10,11
11:58,2379,Foul on Michael Chambers.,10,11
11:58,2638,Official TV Timeout,10,11
11:42,2379,Foul on Michael Chambers.,10,11
11:18,2638,Matt Willms missed Jumper.,10,11
11:18,2379,Dontae Caldwell Defensive Rebound.,10,11
11:11,2379,Dontae Caldwell made Jumper.,12,11
11:11,2638,Foul on Chris Barnes.,12,11
11:11,2379,Dontae Caldwell missed Free Throw.,12,11
11:11,2638,Omega Harris Defensive Rebound.,12,11
10:49,2638,Chris Barnes missed Three Point Jumper.,12,11
10:49,2379,Bakari Copeland Defensive Rebound.,12,11
10:21,2379,Isaac Taylor missed Layup.,12,11
10:21,2638,Matt Willms Defensive Rebound.,12,11
10:04,2379,Foul on Isaac Taylor.,12,11
9:58,2638,Jake Flaggert Turnover.,12,11
9:56,2379,Derrico Peck Steal.,12,11
9:54,2379,Bakari Copeland made Layup. Assisted by Dontae Caldwell.,14,11
9:36,2638,Matt Willms missed Jumper.,14,11
9:36,2379,Ryan Andino Defensive Rebound.,14,11
9:28,2379,Derrico Peck made Dunk. Assisted by Bakari Copeland.,16,11
9:03,2638,Dominic Artis made Layup.,16,13
9:03,2379,Foul on Thomas Rivera.,16,13
9:03,2638,Dominic Artis missed Free Throw.,16,13
9:03,2379,Dontae Caldwell Defensive Rebound.,16,13
8:48,2379,Ryan Andino missed Three Point Jumper.,16,13
8:48,2638,Dominic Artis Defensive Rebound.,16,13
8:46,2379,Foul on Derrico Peck.,16,13
8:28,2638,Dominic Artis missed Jumper.,16,13
8:28,2379,Thomas Rivera Defensive Rebound.,16,13
8:11,2379,Derrico Peck made Layup. Assisted by Thomas Rivera.,18,13
7:56,2638,Kelvin Jones Turnover.,18,13
7:56,2638,Foul on Kelvin Jones.,18,13
7:56,2638,Official TV Timeout,18,13
7:37,2379,Logan McIntosh missed Three Point Jumper.,18,13
7:37,2379,Derrico Peck Offensive Rebound.,18,13
7:33,2379,Derrico Peck missed Dunk.,18,13
7:33,2638,Dominic Artis Defensive Rebound.,18,13
7:29,2638,Dominic Artis made Jumper.,18,15
7:13,2379,Bakari Copeland made Layup. Assisted by Logan McIntosh.,20,15
7:13,2638,Foul on Matt Willms.,20,15
7:13,2379,Bakari Copeland made Free Throw.,21,15
6:55,2379,Foul on Logan McIntosh.,21,15
6:55,2638,Matt Willms made Free Throw.,21,16
6:55,2638,Matt Willms made Free Throw.,21,17
6:34,2379,Thomas Rivera missed Three Point Jumper.,21,17
6:34,2638,UTEP Defensive Rebound.,21,17
6:22,2638,Omega Harris missed Layup.,21,17
6:22,2379,Derrico Peck Block.,21,17
6:20,2379,Dontae Caldwell Defensive Rebound.,21,17
6:15,2379,Derrico Peck missed Jumper.,21,17
6:15,2638,Paul Thomas Block.,21,17
6:13,2379,Derrico Peck Offensive Rebound.,21,17
5:52,2379,Logan McIntosh missed Three Point Jumper.,21,17
5:52,2638,Dominic Artis Defensive Rebound.,21,17
5:43,2638,Dominic Artis missed Layup.,21,17
5:43,2638,Matt Willms Offensive Rebound.,21,17
5:39,2638,Matt Willms made Two Point Tip Shot.,21,19
5:22,2379,Dontae Caldwell missed Three Point Jumper.,21,19
5:22,2638,Dominic Artis Defensive Rebound.,21,19
5:12,2638,Omega Harris missed Three Point Jumper.,21,19
5:12,2379,Logan McIntosh Defensive Rebound.,21,19
5:06,2379,Maryland-Eastern Shore  Timeout,21,19
4:43,2379,Bakari Copeland made Three Point Jumper. Assisted by Ryan Andino.,24,19
4:29,2638,Matt Willms Turnover.,24,19
4:29,2638,Foul on Matt Willms.,24,19
4:18,2379,Tyler Jones missed Three Point Jumper.,24,19
4:18,2638,Paul Thomas Defensive Rebound.,24,19
3:59,2638,Official TV Timeout,24,19
3:54,2638,Paul Thomas Turnover.,24,19
3:46,2638,Foul on Jake Flaggert.,24,19
3:46,2379,Bakari Copeland made Free Throw.,25,19
3:46,2379,Bakari Copeland missed Free Throw.,25,19
3:46,2638,Jake Flaggert Defensive Rebound.,25,19
3:34,2638,Dominic Artis made Layup.,25,21
3:15,2379,Dontae Caldwell made Jumper.,27,21
2:52,2379,Foul on Ryan Andino.,27,21
2:52,2638,Omega Harris made Free Throw.,27,22
2:52,2638,Omega Harris made Free Throw.,27,23
2:49,2379,Dontae Caldwell missed Three Point Jumper.,27,23
2:49,2638,Dominic Artis Defensive Rebound.,27,23
2:40,2379,Foul on Dontae Caldwell.,27,23
2:40,2638,Dominic Artis made Free Throw.,27,24
2:40,2638,Dominic Artis missed Free Throw.,27,24
2:40,2379,Ryan Andino Defensive Rebound.,27,24
2:32,2379,Dontae Caldwell made Layup. Assisted by Logan McIntosh.,29,24
2:24,2638,Omega Harris Turnover.,29,24
2:02,2379,Logan McIntosh Turnover.,29,24
2:02,2379,Foul on Logan McIntosh.,29,24
1:40,2638,Deon Barrett missed Three Point Jumper.,29,24
1:40,2638,Matt Willms Offensive Rebound.,29,24
1:22,2638,Omega Harris made Three Point Jumper. Assisted by Dominic Artis.,29,27
1:02,2379,Bakari Copeland made Three Point Jumper. Assisted by Thomas Rivera.,32,27
0:40,2638,Matt Willms made Dunk. Assisted by Deon Barrett.,32,29
0:07,2379,Dontae Caldwell missed Three Point Jumper.,32,29
0:07,2638,Matt Willms Defensive Rebound.,32,29
0:01,2638,Jake Flaggert missed Three Point Jumper.,32,29
0:01,2379,Maryland-Eastern Shore Defensive Rebound.,32,29
0:00,2638,End of 1st half,32,29
19:43,2379,Dontae Caldwell made Layup.,34,29
19:27,2638,Omega Harris made Three Point Jumper. Assisted by Matt Willms.,34,32
19:07,2379,Isaac Taylor missed Layup.,34,32
19:07,2638,Paul Thomas Block.,34,32
19:05,2638,Matt Willms Defensive Rebound.,34,32
18:56,2638,Dominic Artis missed Three Point Jumper.,34,32
18:56,2379,Bakari Copeland Defensive Rebound.,34,32
18:35,2379,Dontae Caldwell missed Jumper.,34,32
18:35,2638,Omega Harris Defensive Rebound.,34,32
18:28,2638,Dominic Artis Turnover.,34,32
18:27,2379,Dontae Caldwell Steal.,34,32
18:24,2379,Ryan Andino made Three Point Jumper. Assisted by Logan McIntosh.,37,32
17:59,2638,Matt Willms Turnover.,37,32
17:58,2379,Bakari Copeland Steal.,37,32
17:52,2379,Ryan Andino made Three Point Jumper. Assisted by Logan McIntosh.,40,32
17:33,2638,Matt Willms Turnover.,40,32
17:33,2638,Foul on Matt Willms.,40,32
17:24,2379,Bakari Copeland Turnover.,40,32
17:24,2638,Kelvin Jones Steal.,40,32
17:06,2379,Foul on Isaac Taylor.,40,32
17:06,2638,Dominic Artis made Free Throw.,40,33
17:06,2638,Dominic Artis made Free Throw.,40,34
16:54,2379,Bakari Copeland missed Three Point Jumper.,40,34
16:54,2638,Omega Harris Defensive Rebound.,40,34
16:50,2379,Foul on Ryan Andino.,40,34
16:47,2638,Paul Thomas made Layup. Assisted by Omega Harris.,40,36
16:27,2379,Dontae Caldwell missed Layup.,40,36
16:27,2379,Derrico Peck Offensive Rebound.,40,36
16:22,2379,Dontae Caldwell made Jumper. Assisted by Derrico Peck.,42,36
16:05,2638,Paul Thomas missed Jumper.,42,36
16:05,2379,Bakari Copeland Defensive Rebound.,42,36
16:03,2638,Foul on Paul Thomas.,42,36
15:44,2379,Ryan Andino missed Three Point Jumper.,42,36
15:44,2638,Omega Harris Defensive Rebound.,42,36
15:38,2638,Dominic Artis Turnover.,42,36
15:38,2638,Foul on Dominic Artis.,42,36
15:38,2638,Official TV Timeout,42,36
15:25,2379,Thomas Rivera Turnover.,42,36
15:17,2379,Foul on Logan McIntosh.,42,36
15:01,2638,Deon Barrett missed Three Point Jumper.,42,36
15:01,2638,Kelvin Jones Offensive Rebound.,42,36
14:54,2638,Kelvin Jones missed Layup.,42,36
14:54,2379,Derrico Peck Defensive Rebound.,42,36
14:26,2379,Logan McIntosh made Three Point Jumper. Assisted by Bakari Copeland.,45,36
13:57,2638,Dominic Artis missed Three Point Jumper.,45,36
13:57,2638,UTEP Offensive Rebound.,45,36
13:56,2638,Matt Willms made Dunk.,45,38
13:26,2638,Foul on Matt Willms.,45,38
13:26,2379,Maryland-Eastern Shore  Timeout,45,38
13:25,2379,Isaac Taylor Turnover.,45,38
13:16,2379,Foul on Isaac Taylor.,45,38
13:07,2379,Foul on Bakari Copeland.,45,38
13:07,2638,Paul Thomas made Free Throw.,45,39
13:07,2638,Paul Thomas made Free Throw.,45,40
12:58,2379,Dontae Caldwell Turnover.,45,40
12:57,2638,Trey Touchet Steal.,45,40
12:48,2638,Dominic Artis missed Jumper.,45,40
12:48,2379,Dontae Caldwell Defensive Rebound.,45,40
12:25,2379,Dontae Caldwell missed Three Point Jumper.,45,40
12:25,2638,Jake Flaggert Defensive Rebound.,45,40
12:16,2638,Trey Touchet made Layup.,45,42
11:53,2379,Bakari Copeland made Jumper.,47,42
11:24,2638,Paul Thomas made Jumper. Assisted by Jake Flaggert.,47,44
11:03,2638,Foul on Jake Flaggert.,47,44
11:03,2638,Official TV Timeout,47,44
11:03,2379,Bakari Copeland missed Free Throw.,47,44
11:03,2379,Maryland-Eastern Shore Deadball Team Rebound.,47,44
11:03,2379,Bakari Copeland made Free Throw.,48,44
10:45,2638,Omega Harris missed Jumper.,48,44
10:45,2638,Dominic Artis Offensive Rebound.,48,44
10:39,2379,Foul on Thomas Rivera.,48,44
10:34,2638,Dominic Artis Turnover.,48,44
10:13,2379,Dontae Caldwell missed Jumper.,48,44
10:13,2638,Paul Thomas Defensive Rebound.,48,44
10:05,2638,Omega Harris missed Layup.,48,44
10:05,2638,Paul Thomas Offensive Rebound.,48,44
10:00,2638,Paul Thomas made Layup.,48,46
9:33,2379,Thomas Rivera missed Three Point Jumper.,48,46
9:33,2638,Jake Flaggert Defensive Rebound.,48,46
9:19,2638,Paul Thomas made Jumper.,48,48
9:19,2379,Foul on Bakari Copeland.,48,48
9:19,2638,Paul Thomas made Free Throw.,48,49
8:55,2379,Logan McIntosh missed Three Point Jumper.,48,49
8:55,2379,Thomas Rivera Offensive Rebound.,48,49
8:31,2638,Foul on Paul Thomas.,48,49
8:27,2638,Foul on Trey Touchet.,48,49
8:27,2379,Ryan Andino made Free Throw.,49,49
8:27,2379,Ryan Andino made Free Throw.,50,49
8:27,2379,Ryan Andino made Free Throw.,51,49
8:05,2379,Michael Chambers missed Three Point Jumper.,51,49
8:05,2379,Bakari Copeland Offensive Rebound.,51,49
8:03,2638,Kelvin Jones made Free Throw.,51,50
8:03,2638,Kelvin Jones made Free Throw.,51,51
7:48,2379,Bakari Copeland missed Jumper.,51,51
7:48,2638,Jake Flaggert Defensive Rebound.,51,51
7:40,2638,Omega Harris missed Three Point Jumper.,51,51
7:40,2379,Logan McIntosh Defensive Rebound.,51,51
7:14,2638,Foul on Jake Flaggert.,51,51
7:14,2638,Official TV Timeout,51,51
7:14,2379,Logan McIntosh missed Free Throw.,51,51
7:14,2379,Maryland-Eastern Shore Deadball Team Rebound.,51,51
7:14,2379,Logan McIntosh made Free Throw.,52,51
7:01,2638,Matt Willms made Layup. Assisted by Deon Barrett.,52,53
6:42,2379,Derrico Peck made Layup. Assisted by Logan McIntosh.,54,53
6:42,2638,Foul on Jake Flaggert.,54,53
6:42,2379,Derrico Peck missed Free Throw.,54,53
6:42,2638,Omega Harris Defensive Rebound.,54,53
6:23,2638,Matt Willms Turnover.,54,53
6:11,2379,Ryan Andino missed Layup.,54,53
6:11,2638,Matt Willms Defensive Rebound.,54,53
6:09,2379,Foul on Ryan Andino.,54,53
6:09,2638,Matt Willms missed Free Throw.,54,53
6:09,2379,Derrico Peck Defensive Rebound.,54,53
5:55,2379,Dontae Caldwell missed Jumper.,54,53
5:55,2638,Dominic Artis Defensive Rebound.,54,53
5:44,2638,Dominic Artis missed Three Point Jumper.,54,53
5:44,2638,Paul Thomas Offensive Rebound.,54,53
5:41,2379,Foul on Logan McIntosh.,54,53
5:41,2638,Paul Thomas made Free Throw.,54,54
5:41,2638,Paul Thomas made Free Throw.,54,55
5:27,2638,Foul on Paul Thomas.,54,55
5:27,2379,Bakari Copeland made Free Throw.,55,55
5:27,2379,Bakari Copeland made Free Throw.,56,55
5:00,2638,Trey Touchet missed Three Point Jumper.,56,55
5:00,2379,Thomas Rivera Defensive Rebound.,56,55
4:35,2379,Bakari Copeland missed Jumper.,56,55
4:35,2638,Dominic Artis Block.,56,55
4:33,2638,Omega Harris Defensive Rebound.,56,55
4:16,2638,Matt Willms made Layup. Assisted by Omega Harris.,56,57
3:46,2638,Foul on Matt Willms.,56,57
3:46,2638,Official TV Timeout,56,57
3:46,2379,Thomas Rivera made Free Throw.,57,57
3:46,2379,Thomas Rivera made Free Throw.,58,57
3:33,2638,Omega Harris made Layup. Assisted by Trey Touchet.,58,59
3:13,2638,Foul on Dominic Artis.,58,59
3:13,2379,Bakari Copeland made Free Throw.,59,59
3:13,2379,Bakari Copeland made Free Throw.,60,59
2:51,2638,Deon Barrett missed Three Point Jumper.,60,59
2:51,2638,Trey Touchet Offensive Rebound.,60,59
2:49,2379,Foul on Dontae Caldwell.,60,59
2:49,2638,Trey Touchet made Free Throw.,60,60
2:49,2638,Trey Touchet made Free Throw.,60,61
2:35,2379,Bakari Copeland made Three Point Jumper. Assisted by Thomas Rivera.,63,61
2:03,2638,Deon Barrett missed Three Point Jumper.,63,61
2:03,2379,Dontae Caldwell Defensive Rebound.,63,61
1:48,2379,Maryland-Eastern Shore  Timeout,63,61
1:32,2379,Derrico Peck made Dunk. Assisted by Dontae Caldwell.,65,61
1:12,2638,Dominic Artis missed Layup.,65,61
1:12,2379,Thomas Rivera Defensive Rebound.,65,61
1:02,2379,Dontae Caldwell Turnover.,65,61
0:58,2638,Trey Touchet Steal.,65,61
0:56,2638,Trey Touchet made Layup.,65,63
0:55,2638,UTEP  Timeout,65,63
0:29,2379,Thomas Rivera made Jumper.,67,63
0:22,2638,Deon Barrett missed Layup.,67,63
0:22,2379,Dontae Caldwell Defensive Rebound.,67,63
0:14,2638,Foul on Trey Touchet.,67,63
0:14,2379,Logan McIntosh made Free Throw.,68,63
0:14,2379,Logan McIntosh made Free Throw.,69,63
0:10,2638,Deon Barrett missed Three Point Jumper.,69,63
0:10,2638,Kelvin Jones Offensive Rebound.,69,63
0:07,2379,Foul on Dontae Caldwell.,69,63
0:07,2638,Kelvin Jones made Free Throw.,69,64
0:07,2638,Kelvin Jones missed Free Throw.,69,64
0:07,2379,Maryland-Eastern Shore Defensive Rebound.,69,64
0:03,2638,Foul on Deon Barrett.,69,64
0:03,2379,Ryan Andino made Free Throw.,70,64
0:03,2379,Ryan Andino made Free Throw.,71,64
0:01,2638,Dominic Artis made Layup.,71,66
0:00,2638,End of Game,71,66
