St. John's,9,Arizona State,2599
3:08,2599,Foul on Tariq Owens.,26,43
3:08,9,De'Quon Lake missed Free Throw.,26,43
3:08,9,Arizona State Deadball Team Rebound.,26,43
3:08,9,De'Quon Lake made Free Throw.,26,44
2:56,2599,Foul on Kassoum Yakwe.,26,44
2:56,2599,Kassoum Yakwe Turnover.,26,44
2:48,9,Tra Holder missed Jumper.,26,44
2:48,2599,Justin Simon Defensive Rebound.,26,44
2:31,2599,Marvin Clark II made Three Point Jumper. Assisted by Shamorie Ponds.,29,44
2:15,9,Shannon Evans II missed Three Point Jumper.,29,44
2:15,2599,Marvin Clark II Defensive Rebound.,29,44
1:58,2599,Shamorie Ponds missed Jumper.,29,44
1:58,9,Kodi Justice Defensive Rebound.,29,44
1:36,9,Kodi Justice missed Three Point Jumper.,29,44
1:36,2599,Shamorie Ponds Defensive Rebound.,29,44
1:32,2599,Shamorie Ponds missed Layup.,29,44
1:32,9,Shannon Evans II Defensive Rebound.,29,44
1:25,9,Tra Holder missed Three Point Jumper.,29,44
1:25,2599,Justin Simon Defensive Rebound.,29,44
1:10,2599,Foul on Marvin Clark II.,29,44
1:10,2599,Marvin Clark II Turnover.,29,44
0:59,2599,Foul on Justin Simon.,29,44
0:59,9,Tra Holder made Free Throw.,29,45
0:59,9,Tra Holder made Free Throw.,29,46
0:48,9,Foul on Tra Holder.,29,46
0:48,2599,Justin Simon made Free Throw.,30,46
0:48,2599,Justin Simon made Free Throw.,31,46
0:35,9,Kodi Justice missed Three Point Jumper.,31,46
0:35,2599,Justin Simon Defensive Rebound.,31,46
0:08,2599,Shamorie Ponds made Layup.,33,46
0:08,9,Foul on Tra Holder.,33,46
0:08,2599,Shamorie Ponds made Free Throw.,34,46
0:03,9,Shannon Evans II missed Jumper.,34,46
0:03,2599,Shamorie Ponds Defensive Rebound.,34,46
0:00,9,End of 1st half,34,46
20:00,2599,Jump Ball won by St. John's,34,46
19:42,2599,Marvin Clark II made Three Point Jumper. Assisted by Justin Simon.,37,46
19:22,9,Tra Holder Turnover.,37,46
19:22,2599,Justin Simon Steal.,37,46
19:12,2599,Tariq Owens made Layup. Assisted by Shamorie Ponds.,39,46
18:40,9,Foul on Romello White.,39,46
18:40,9,Romello White Turnover.,39,46
18:29,2599,Marvin Clark II missed Jumper.,39,46
18:29,2599,Bashir Ahmed Offensive Rebound.,39,46
18:16,9,Foul on Vitaliy Shibel.,39,46
18:16,2599,Bashir Ahmed missed Free Throw.,39,46
18:16,2599,St. John's Deadball Team Rebound.,39,46
18:16,2599,Bashir Ahmed made Free Throw.,40,46
17:56,9,Romello White missed Jumper.,40,46
17:56,9,Tra Holder Offensive Rebound.,40,46
17:50,9,Tra Holder made Jumper.,40,48
17:24,2599,Marvin Clark II missed Jumper.,40,48
17:24,9,Romello White Defensive Rebound.,40,48
17:16,9,Tra Holder made Layup.,40,50
16:54,2599,Shamorie Ponds missed Jumper.,40,50
16:54,2599,Tariq Owens Offensive Rebound.,40,50
16:48,2599,Shamorie Ponds Turnover.,40,50
16:48,9,Shannon Evans II Steal.,40,50
16:43,9,Shannon Evans II missed Jumper.,40,50
16:43,2599,Bashir Ahmed Block.,40,50
16:43,9,Arizona State Offensive Rebound.,40,50
16:25,9,Shannon Evans II made Three Point Jumper.,40,53
16:02,2599,Tariq Owens missed Jumper.,40,53
16:02,2599,Marvin Clark II Offensive Rebound.,40,53
15:56,2599,Shamorie Ponds missed Layup.,40,53
15:56,2599,Tariq Owens Offensive Rebound.,40,53
15:56,2599,Tariq Owens made Two Point Tip Shot.,42,53
15:42,9,Tra Holder Turnover.,42,53
15:42,2599,Shamorie Ponds Steal.,42,53
15:36,2599,Shamorie Ponds missed Three Point Jumper.,42,53
15:36,9,Shannon Evans II Defensive Rebound.,42,53
15:26,2599,Foul on Justin Simon.,42,53
15:26,9,Official TV Timeout,42,53
15:19,9,Vitaliy Shibel missed Three Point Jumper.,42,53
15:19,2599,Shamorie Ponds Defensive Rebound.,42,53
15:07,2599,Shamorie Ponds made Layup.,44,53
14:50,9,Romello White made Layup. Assisted by Tra Holder.,44,55
14:29,2599,Marvin Clark II made Jumper.,46,55
14:15,9,Shannon Evans II made Three Point Jumper.,46,58
13:49,2599,Bashir Ahmed Turnover.,46,58
13:49,2599,Foul on Bashir Ahmed.,46,58
13:35,2599,Foul on Marvin Clark II.,46,58
13:28,9,Romello White Turnover.,46,58
13:20,2599,Foul on Marvin Clark II.,46,58
13:20,2599,Marvin Clark II Turnover.,46,58
13:02,9,Shannon Evans II Turnover.,46,58
12:50,2599,Marvin Clark II missed Jumper.,46,58
12:50,2599,Marvin Clark II Offensive Rebound.,46,58
12:44,2599,Tariq Owens made Dunk. Assisted by Justin Simon.,48,58
12:24,9,Shannon Evans II missed Jumper.,48,58
12:24,2599,Justin Simon Defensive Rebound.,48,58
12:13,9,Foul on Remy Martin.,48,58
12:13,2599,Shamorie Ponds made Free Throw.,49,58
12:13,2599,Shamorie Ponds made Free Throw.,50,58
11:59,9,Shannon Evans II missed Three Point Jumper.,50,58
11:59,2599,Tariq Owens Defensive Rebound.,50,58
11:45,2599,Shamorie Ponds missed Three Point Jumper.,50,58
11:45,9,De'Quon Lake Defensive Rebound.,50,58
11:23,9,Tra Holder missed Jumper.,50,58
11:23,2599,Bashir Ahmed Defensive Rebound.,50,58
11:05,2599,Bashir Ahmed missed Layup.,50,58
11:05,2599,Tariq Owens Offensive Rebound.,50,58
11:05,2599,Tariq Owens made Dunk.,52,58
10:49,9,Official TV Timeout,52,58
10:46,9,Tra Holder missed Three Point Jumper.,52,58
10:46,9,Remy Martin Offensive Rebound.,52,58
10:22,9,Remy Martin missed Jumper.,52,58
10:22,2599,Tariq Owens Block.,52,58
10:22,2599,Bashir Ahmed Defensive Rebound.,52,58
10:07,9,Foul on Kodi Justice.,52,58
10:07,2599,Justin Simon missed Free Throw.,52,58
10:07,2599,St. John's Deadball Team Rebound.,52,58
10:07,2599,Justin Simon missed Free Throw.,52,58
10:07,9,Romello White Defensive Rebound.,52,58
9:53,2599,Foul on Justin Simon.,52,58
9:53,9,Romello White made Free Throw.,52,59
9:53,9,Romello White made Free Throw.,52,60
9:44,2599,Tariq Owens made Three Point Jumper. Assisted by Justin Simon.,55,60
9:26,9,Kodi Justice Turnover.,55,60
9:21,9,Foul on Vitaliy Shibel.,55,60
9:21,2599,Shamorie Ponds made Free Throw.,56,60
9:21,2599,Shamorie Ponds made Free Throw.,57,60
9:06,2599,Foul on Kassoum Yakwe.,57,60
9:06,9,Shannon Evans II missed Free Throw.,57,60
9:06,9,Arizona State Deadball Team Rebound.,57,60
9:06,9,Shannon Evans II made Free Throw.,57,61
8:56,2599,Marvin Clark II missed Three Point Jumper.,57,61
8:56,2599,Bashir Ahmed Offensive Rebound.,57,61
8:51,2599,Bashir Ahmed missed Layup.,57,61
8:51,9,Romello White Defensive Rebound.,57,61
8:26,9,Kodi Justice missed Three Point Jumper.,57,61
8:26,9,Vitaliy Shibel Offensive Rebound.,57,61
8:21,9,Vitaliy Shibel made Layup.,57,63
8:06,2599,Shamorie Ponds missed Jumper.,57,63
8:06,9,Vitaliy Shibel Defensive Rebound.,57,63
7:55,9,Kodi Justice missed Three Point Jumper.,57,63
7:55,2599,Justin Simon Defensive Rebound.,57,63
7:46,2599,Justin Simon missed Layup.,57,63
7:46,9,Vitaliy Shibel Defensive Rebound.,57,63
7:27,9,Kodi Justice Turnover.,57,63
7:27,2599,Shamorie Ponds Steal.,57,63
7:21,2599,Shamorie Ponds Turnover.,57,63
7:21,2599,Foul on Shamorie Ponds.,57,63
7:21,9,Official TV Timeout,57,63
7:10,9,Romello White made Jumper. Assisted by Shannon Evans II.,57,65
6:46,2599,Bashir Ahmed made Three Point Jumper. Assisted by Shamorie Ponds.,60,65
6:22,9,Vitaliy Shibel missed Three Point Jumper.,60,65
6:22,2599,St. John's Defensive Rebound.,60,65
6:12,2599,Justin Simon made Layup.,62,65
5:48,9,Tra Holder Turnover.,62,65
5:35,2599,Marvin Clark II missed Three Point Jumper.,62,65
5:35,2599,Bashir Ahmed Offensive Rebound.,62,65
5:33,9,Foul on Vitaliy Shibel.,62,65
5:33,2599,Bashir Ahmed missed Free Throw.,62,65
5:33,2599,St. John's Deadball Team Rebound.,62,65
5:33,2599,Bashir Ahmed made Free Throw.,63,65
5:20,9,Romello White made Layup. Assisted by Shannon Evans II.,63,67
5:01,9,Foul on Kodi Justice.,63,67
5:01,2599,Justin Simon missed Free Throw.,63,67
5:01,2599,Shamorie Ponds Offensive Rebound.,63,67
5:01,2599,Shamorie Ponds made Jumper. Assisted by Shamorie Ponds.,65,67
5:01,9,Shannon Evans II made Layup.,65,69
5:01,2599,Tariq Owens made Jumper. Assisted by Shamorie Ponds.,67,69
4:08,9,Tra Holder missed Three Point Jumper.,67,69
4:08,9,Arizona State Offensive Rebound.,67,69
4:03,9,Shannon Evans II missed Three Point Jumper.,67,69
4:03,2599,Shamorie Ponds Defensive Rebound.,67,69
3:50,2599,Bashir Ahmed missed Three Point Jumper.,67,69
3:50,9,Shannon Evans II Defensive Rebound.,67,69
3:36,9,Tra Holder missed Jumper.,67,69
3:36,2599,Tariq Owens Block.,67,69
3:36,2599,Shamorie Ponds Defensive Rebound.,67,69
3:28,2599,Foul on Bashir Ahmed.,67,69
3:28,2599,Bashir Ahmed Turnover.,67,69
3:28,9,Official TV Timeout,67,69
3:12,2599,Foul on Bashir Ahmed.,67,69
3:12,9,Remy Martin made Free Throw.,67,70
3:12,9,Remy Martin made Free Throw.,67,71
3:04,9,Foul on Remy Martin.,67,71
3:04,2599,Shamorie Ponds made Free Throw.,68,71
3:04,2599,Shamorie Ponds missed Free Throw.,68,71
3:04,9,Romello White Defensive Rebound.,68,71
2:52,9,Romello White Turnover.,68,71
2:52,2599,Shamorie Ponds Steal.,68,71
2:44,2599,Shamorie Ponds made Layup.,70,71
2:25,9,Remy Martin missed Jumper.,70,71
2:25,2599,Tariq Owens Block.,70,71
2:25,2599,Marvin Clark II Defensive Rebound.,70,71
2:20,2599,Justin Simon Turnover.,70,71
2:09,9,Kodi Justice made Three Point Jumper. Assisted by Tra Holder.,70,74
1:53,2599,Shamorie Ponds missed Jumper.,70,74
1:53,9,Romello White Defensive Rebound.,70,74
1:25,9,Romello White made Layup. Assisted by Remy Martin.,70,76
1:14,2599,St. John's  Timeout,70,76
1:05,2599,Shamorie Ponds missed Jumper.,70,76
1:05,2599,St. John's Deadball Team Rebound.,70,76
1:04,9,Foul on Romello White.,70,76
1:04,2599,Tariq Owens missed Free Throw.,70,76
1:04,9,Romello White Defensive Rebound.,70,76
0:59,2599,Foul on Shamorie Ponds.,70,76
0:59,9,Romello White made Free Throw.,70,77
0:59,9,Romello White made Free Throw.,70,78
0:50,2599,Bryan Trimble Jr. missed Three Point Jumper.,70,78
0:50,9,De'Quon Lake Defensive Rebound.,70,78
0:48,2599,Foul on Shamorie Ponds.,70,78
0:48,9,De'Quon Lake made Free Throw.,70,79
0:48,9,De'Quon Lake made Free Throw.,70,80
0:42,2599,Shamorie Ponds missed Three Point Jumper.,70,80
0:42,9,Kodi Justice Defensive Rebound.,70,80
0:39,2599,Foul on Bryan Trimble Jr..,70,80
0:39,9,Kodi Justice made Free Throw.,70,81
0:39,9,Kodi Justice made Free Throw.,70,82
0:25,2599,Justin Simon missed Three Point Jumper.,70,82
0:25,9,Romello White Defensive Rebound.,70,82
0:01,9,Arizona State  Turnover.,70,82
0:00,9,End of Game,70,82
