Air Force,27,UC Riverside,2005
7:10,2005,Ryan Swan missed Jumper.,20,22
7:10,2005,Ryan Manning Offensive Rebound.,20,22
7:01,2005,Ryan Manning Turnover.,20,22
7:00,27,Chance Murray Steal.,20,22
6:58,2005,Foul on Dane Norman.,20,22
6:58,27,Chance Murray missed Free Throw.,20,22
6:58,27,UC Riverside Deadball Team Rebound.,20,22
6:58,27,Chance Murray made Free Throw.,20,23
6:39,2005,Caleb Morris missed Three Point Jumper.,20,23
6:39,2005,Ryan Swan Offensive Rebound.,20,23
6:35,2005,Ryan Swan made Layup.,22,23
6:08,27,Dikymbe Martin made Three Point Jumper. Assisted by DJ Sylvester.,22,26
5:53,2005,Trevor Lyons missed Three Point Jumper.,22,26
5:53,2005,Trevor Lyons Offensive Rebound.,22,26
5:46,27,Foul on James Jackson.,22,26
5:46,2005,Ryan Swan made Free Throw.,23,26
5:46,2005,Ryan Swan made Free Throw.,24,26
5:46,27,Jayvon Brown missed Three Point Jumper.,24,26
5:46,2005,Trevor Lyons Defensive Rebound.,24,26
5:41,2005,Pervis Louder missed Three Point Jumper.,24,26
5:41,27,Brandon Rosser Block.,24,26
5:39,2005,Ryan Manning Offensive Rebound.,24,26
5:33,2005,Ryan Swan made Layup.,26,26
4:51,2005,Foul on Pervis Louder.,26,26
4:46,27,Brandon Rosser made Dunk. Assisted by Jayvon Brown.,26,28
4:32,2005,Ryan Manning missed Three Point Jumper.,26,28
4:32,27,Menno Dijkstra Defensive Rebound.,26,28
4:01,27,DJ Sylvester missed Three Point Jumper.,26,28
4:01,2005,Trevor Lyons Defensive Rebound.,26,28
3:45,2005,Ryan Manning missed Three Point Jumper.,26,28
3:45,2005,Air Force Offensive Rebound.,26,28
3:43,27,Official TV Timeout,26,28
3:37,2005,Pervis Louder Turnover.,26,28
3:36,27,Alex Larsson Steal.,26,28
3:19,27,Menno Dijkstra made Jumper. Assisted by DJ Sylvester.,26,30
3:07,2005,Pervis Louder Turnover.,26,30
3:06,27,Chance Murray Steal.,26,30
3:04,27,Chance Murray made Dunk.,26,32
2:36,2005,Pervis Louder missed Three Point Jumper.,26,32
2:36,27,Chance Murray Defensive Rebound.,26,32
2:10,27,Chance Murray Turnover.,26,32
1:52,2005,Ryan Swan missed Layup.,26,32
1:52,27,Alex Larsson Defensive Rebound.,26,32
1:39,27,DJ Sylvester missed Three Point Jumper.,26,32
1:39,2005,Air Force Defensive Rebound.,26,32
1:36,27,Foul on Alex Larsson.,26,32
1:30,2005,Sid Tomes missed Three Point Jumper.,26,32
1:30,27,Menno Dijkstra Defensive Rebound.,26,32
1:27,2005,Foul on Ryan Swan.,26,32
1:02,27,Menno Dijkstra made Layup. Assisted by Brandon Rosser.,26,34
0:37,2005,Sid Tomes Turnover.,26,34
0:04,27,Chance Murray Turnover.,26,34
0:03,2005,Ryan Manning Steal.,26,34
0:00,27,End of 1st half,26,34
19:39,27,Foul on Alex Larsson.,26,34
19:39,2005,Lavelle Scottie missed Free Throw.,26,34
19:39,2005,Air Force Deadball Team Rebound.,26,34
19:39,2005,Lavelle Scottie missed Free Throw.,26,34
19:39,27,Idy Diallo Defensive Rebound.,26,34
19:14,27,Menno Dijkstra made Three Point Jumper. Assisted by Chance Murray.,26,37
19:00,2005,Caleb Morris missed Three Point Jumper.,26,37
19:00,2005,Lavelle Scottie Offensive Rebound.,26,37
18:57,2005,Lavelle Scottie missed Layup.,26,37
18:57,27,Idy Diallo Block.,26,37
18:54,27,Brandon Rosser Defensive Rebound.,26,37
18:26,27,Brandon Rosser missed Three Point Jumper.,26,37
18:26,2005,Trevor Lyons Defensive Rebound.,26,37
18:19,2005,Caleb Morris Turnover.,26,37
18:19,2005,Foul on Caleb Morris.,26,37
18:10,2005,Foul on Ryan Manning.,26,37
17:53,2005,Foul on Trevor Lyons.,26,37
17:46,27,Idy Diallo Turnover.,26,37
17:46,27,Foul on Idy Diallo.,26,37
17:34,2005,Caleb Morris missed Layup.,26,37
17:34,27,Menno Dijkstra Defensive Rebound.,26,37
17:16,27,Idy Diallo Turnover.,26,37
17:07,2005,Lavelle Scottie made Dunk. Assisted by Ryan Swan.,28,37
16:43,27,Dikymbe Martin missed Jumper.,28,37
16:43,2005,Lavelle Scottie Defensive Rebound.,28,37
16:39,27,Foul on Brandon Rosser.,28,37
16:29,2005,Ryan Manning missed Layup.,28,37
16:29,27,Menno Dijkstra Block.,28,37
16:27,27,James Jackson Defensive Rebound.,28,37
16:22,27,Chance Murray made Jumper. Assisted by Dikymbe Martin.,28,39
15:59,2005,Ryan Swan missed Three Point Jumper.,28,39
15:59,27,Chance Murray Defensive Rebound.,28,39
15:39,2005,Foul on Ryan Swan.,28,39
15:39,27,Official TV Timeout,28,39
15:39,27,James Jackson made Free Throw.,28,40
15:39,27,James Jackson made Free Throw.,28,41
15:21,2005,Ryan Manning missed Three Point Jumper.,28,41
15:21,27,James Jackson Defensive Rebound.,28,41
15:09,27,Chance Murray missed Three Point Jumper.,28,41
15:09,2005,Ryan Swan Defensive Rebound.,28,41
15:01,2005,Trevor Lyons missed Layup.,28,41
15:01,2005,Ryan Manning Offensive Rebound.,28,41
14:55,2005,Ryan Manning missed Jumper.,28,41
14:55,27,Dikymbe Martin Defensive Rebound.,28,41
14:34,27,Menno Dijkstra missed Jumper.,28,41
14:34,2005,Air Force Defensive Rebound.,28,41
14:19,2005,Ryan Manning missed Three Point Jumper.,28,41
14:19,27,James Jackson Defensive Rebound.,28,41
13:58,27,Dikymbe Martin made Three Point Jumper. Assisted by Menno Dijkstra.,28,44
13:46,2005,Keaton Van Soelen made Jumper.,30,44
13:17,27,Dikymbe Martin made Jumper.,30,46
13:13,2005,Air Force  Timeout,30,46
12:55,2005,Trevor Lyons made Three Point Jumper. Assisted by Jacob Van.,33,46
12:25,27,Chance Murray missed Three Point Jumper.,33,46
12:25,2005,Jonathan DeWane Defensive Rebound.,33,46
12:14,2005,Pervis Louder missed Three Point Jumper.,33,46
12:14,27,James Jackson Defensive Rebound.,33,46
12:10,2005,Foul on Jonathan DeWane.,33,46
11:43,27,James Jackson made Three Point Jumper. Assisted by Alex Larsson.,33,49
11:20,27,Foul on Dikymbe Martin.,33,49
11:20,27,Official TV Timeout,33,49
11:04,2005,Pervis Louder missed Jumper.,33,49
11:04,27,Alex Larsson Defensive Rebound.,33,49
10:45,2005,Foul on Ryan Swan.,33,49
10:32,27,James Jackson missed Three Point Jumper.,33,49
10:32,2005,Ryan Swan Defensive Rebound.,33,49
10:20,2005,Ryan Swan Turnover.,33,49
10:18,27,Alex Larsson Steal.,33,49
10:07,27,Chance Murray missed Three Point Jumper.,33,49
10:07,27,James Jackson Offensive Rebound.,33,49
10:01,27,James Jackson made Layup.,33,51
10:01,2005,Foul on Keaton Van Soelen.,33,51
10:01,27,James Jackson made Free Throw.,33,52
9:50,27,Foul on Dikymbe Martin.,33,52
9:41,2005,Jacob Van missed Jumper.,33,52
9:41,27,DJ Sylvester Defensive Rebound.,33,52
9:33,27,DJ Sylvester missed Three Point Jumper.,33,52
9:33,2005,Lavelle Scottie Defensive Rebound.,33,52
9:22,2005,Lavelle Scottie missed Layup.,33,52
9:22,27,DJ Sylvester Defensive Rebound.,33,52
9:08,27,James Jackson missed Layup.,33,52
9:08,2005,Ryan Manning Defensive Rebound.,33,52
8:58,2005,Ryan Swan made Dunk. Assisted by Lavelle Scottie.,35,52
8:34,27,Chance Murray made Jumper.,35,54
8:18,2005,Trevor Lyons missed Jumper.,35,54
8:18,27,Chance Murray Defensive Rebound.,35,54
7:54,27,DJ Sylvester Turnover.,35,54
7:54,27,Official TV Timeout,35,54
7:45,2005,Jacob Van missed Three Point Jumper.,35,54
7:45,27,Brandon Rosser Defensive Rebound.,35,54
7:44,2005,Foul on Lavelle Scottie.,35,54
7:44,27,Brandon Rosser made Free Throw.,35,55
7:44,27,Brandon Rosser made Free Throw.,35,56
7:29,2005,Lavelle Scottie missed Three Point Jumper.,35,56
7:29,27,Dikymbe Martin Defensive Rebound.,35,56
7:07,27,Menno Dijkstra missed Three Point Jumper.,35,56
7:07,2005,Jacob Van Defensive Rebound.,35,56
7:00,27,Foul on DJ Sylvester.,35,56
6:46,2005,Ryan Swan made Layup.,37,56
6:46,27,Foul on Brandon Rosser.,37,56
6:46,2005,Ryan Swan made Free Throw.,38,56
6:37,27,DJ Sylvester Turnover.,38,56
6:35,2005,Christopher Joyce Steal.,38,56
6:33,2005,Trevor Lyons made Layup. Assisted by Christopher Joyce.,40,56
6:09,27,Menno Dijkstra missed Three Point Jumper.,40,56
6:09,2005,Christopher Joyce Defensive Rebound.,40,56
5:58,2005,Lavelle Scottie missed Three Point Jumper.,40,56
5:58,27,Menno Dijkstra Defensive Rebound.,40,56
5:29,27,Chance Murray made Jumper.,40,58
5:20,27,Foul on Menno Dijkstra.,40,58
5:20,2005,Ryan Manning missed Free Throw.,40,58
5:20,2005,Air Force Deadball Team Rebound.,40,58
5:20,2005,Ryan Manning made Free Throw.,41,58
5:00,27,Dikymbe Martin missed Jumper.,41,58
5:00,27,Chance Murray Offensive Rebound.,41,58
4:36,2005,Foul on Christopher Joyce.,41,58
4:36,27,Alex Larsson missed Free Throw.,41,58
4:36,27,UC Riverside Deadball Team Rebound.,41,58
4:36,27,Alex Larsson missed Free Throw.,41,58
4:36,2005,Air Force Defensive Rebound.,41,58
4:35,27,Foul on Brandon Rosser.,41,58
4:35,2005,Lavelle Scottie made Free Throw.,42,58
4:35,2005,Lavelle Scottie made Free Throw.,43,58
4:32,2005,Foul on Lavelle Scottie.,43,58
4:32,27,Chance Murray made Free Throw.,43,59
4:32,27,Chance Murray made Free Throw.,43,60
4:23,2005,Christopher Joyce missed Three Point Jumper.,43,60
4:23,27,Menno Dijkstra Defensive Rebound.,43,60
3:57,27,Dikymbe Martin made Layup.,43,62
3:47,2005,Trevor Lyons made Three Point Jumper.,46,62
3:34,2005,Foul on Ryan Manning.,46,62
3:34,27,Official TV Timeout,46,62
3:34,27,Alex Larsson missed Free Throw.,46,62
3:34,27,UC Riverside Deadball Team Rebound.,46,62
3:34,27,Alex Larsson missed Free Throw.,46,62
3:34,2005,Ryan Manning Defensive Rebound.,46,62
3:10,27,Foul on Alex Larsson.,46,62
3:10,2005,Trevor Lyons made Free Throw.,47,62
3:10,2005,Trevor Lyons missed Free Throw.,47,62
3:10,27,Brandon Rosser Defensive Rebound.,47,62
2:43,2005,Foul on Trevor Lyons.,47,62
2:43,27,Dikymbe Martin made Free Throw.,47,63
2:43,27,Dikymbe Martin made Free Throw.,47,64
2:27,2005,Ryan Manning missed Three Point Jumper.,47,64
2:27,27,Chance Murray Defensive Rebound.,47,64
1:56,27,Menno Dijkstra made Three Point Jumper. Assisted by Dikymbe Martin.,47,67
1:49,2005,Air Force  Timeout,47,67
1:36,2005,Jonathan DeWane missed Jumper.,47,67
1:36,27,Menno Dijkstra Defensive Rebound.,47,67
1:33,27,Menno Dijkstra Turnover.,47,67
1:32,2005,Keaton Van Soelen Steal.,47,67
1:27,2005,Christopher Joyce missed Jumper.,47,67
1:27,27,Menno Dijkstra Defensive Rebound.,47,67
1:04,27,Chance Murray missed Jumper.,47,67
1:04,2005,Jonathan DeWane Block.,47,67
1:04,2005,Air Force Defensive Rebound.,47,67
0:54,27,Foul on Menno Dijkstra.,47,67
0:54,2005,Christopher Joyce missed Free Throw.,47,67
0:54,2005,Air Force Deadball Team Rebound.,47,67
0:54,2005,Christopher Joyce missed Free Throw.,47,67
0:54,27,Idy Diallo Defensive Rebound.,47,67
0:32,27,Ajani Kennedy missed Three Point Jumper.,47,67
0:32,2005,Christopher Joyce Defensive Rebound.,47,67
0:23,27,Foul on Ajani Kennedy.,47,67
0:23,2005,Jonathan DeWane missed Free Throw.,47,67
0:23,2005,Air Force Deadball Team Rebound.,47,67
0:23,2005,Jonathan DeWane made Free Throw.,48,67
0:00,27,End of Game,48,67
