Boston University,2065,Bethune-Cookman,104
11:22,104,Foul on Max Mahoney.,60,60
11:22,2065,Official TV Timeout,60,60
10:56,2065,Malik Maitland made Jumper.,60,62
10:32,104,Cedric Hankerson made Three Point Jumper. Assisted by Nick Havener.,63,62
10:19,2065,Malik Maitland made Jumper.,63,64
10:08,104,Cedric Hankerson missed Three Point Jumper.,63,64
10:08,104,Cedric Hankerson Offensive Rebound.,63,64
10:03,104,Cedric Hankerson missed Layup.,63,64
10:03,2065,Houston Smith Defensive Rebound.,63,64
9:58,104,Foul on Javante McCoy.,63,64
9:58,2065,Brandon Tabb made Free Throw.,63,65
9:58,2065,Brandon Tabb made Free Throw.,63,66
9:41,104,Tyler Scanlon made Three Point Jumper. Assisted by Javante McCoy.,66,66
9:27,2065,Malik Maitland made Jumper.,66,68
9:25,104,Boston University  Timeout,66,68
9:16,104,Cedric Hankerson missed Three Point Jumper.,66,68
9:16,2065,Isaiah Bailey Defensive Rebound.,66,68
9:10,2065,Isaiah Bailey Turnover.,66,68
9:09,104,Nick Havener Steal.,66,68
9:06,104,Cedric Hankerson made Layup. Assisted by Nick Havener.,68,68
8:49,2065,Ulmer Manzie Turnover.,68,68
8:49,2065,Foul on Ulmer Manzie.,68,68
8:30,104,Cedric Hankerson Turnover.,68,68
8:29,2065,Soufiyane Diakite Steal.,68,68
8:26,104,Foul on Javante McCoy.,68,68
8:26,2065,Soufiyane Diakite made Free Throw.,68,69
8:26,2065,Soufiyane Diakite made Free Throw.,68,70
8:00,104,Tyler Scanlon made Jumper.,70,70
7:29,2065,Brandon Tabb missed Three Point Jumper.,70,70
7:29,104,Walter Whyte Defensive Rebound.,70,70
7:17,104,Tyler Scanlon missed Three Point Jumper.,70,70
7:17,104,Cedric Hankerson Offensive Rebound.,70,70
7:10,2065,Foul on Ulmer Manzie.,70,70
7:10,2065,Official TV Timeout,70,70
7:10,104,Cedric Hankerson missed Free Throw.,70,70
7:10,104,Boston University Deadball Team Rebound.,70,70
7:10,104,Cedric Hankerson made Free Throw.,71,70
6:56,2065,Isaiah Bailey Turnover.,71,70
6:53,104,Will Goff Steal.,71,70
6:42,2065,Foul on Malik Maitland.,71,70
6:26,104,Eric Johnson made Jumper.,73,70
6:09,2065,Ulmer Manzie Turnover.,73,70
6:09,104,Max Mahoney Steal.,73,70
6:02,2065,Foul on Brandon Tabb.,73,70
6:02,104,Will Goff made Free Throw.,74,70
6:02,104,Will Goff made Free Throw.,75,70
5:43,2065,Brandon Tabb missed Three Point Jumper.,75,70
5:43,104,Boston University Defensive Rebound.,75,70
5:25,104,Walter Whyte made Dunk.,77,70
5:13,2065,Bethune-Cookman  Timeout,77,70
4:51,2065,Malik Maitland made Three Point Jumper.,77,73
4:23,104,Max Mahoney missed Jumper.,77,73
4:23,2065,Soufiyane Diakite Defensive Rebound.,77,73
4:16,2065,Soufiyane Diakite missed Jumper.,77,73
4:16,2065,Shawntrez Davis Offensive Rebound.,77,73
4:15,2065,Shawntrez Davis made Layup.,77,75
4:04,104,Cedric Hankerson missed Three Point Jumper.,77,75
4:04,104,Nick Havener Offensive Rebound.,77,75
4:00,104,Nick Havener made Jumper.,79,75
3:46,2065,Soufiyane Diakite made Layup. Assisted by Malik Maitland.,79,77
3:41,2065,Official TV Timeout,79,77
3:23,104,Nick Havener made Layup. Assisted by Cedric Hankerson.,81,77
3:00,104,Foul on Will Goff.,81,77
3:00,2065,Brandon Tabb made Free Throw.,81,78
3:00,2065,Brandon Tabb missed Free Throw.,81,78
3:00,104,Tyler Scanlon Defensive Rebound.,81,78
2:46,104,Nick Havener made Jumper.,83,78
2:29,104,Foul on Tyler Scanlon.,83,78
2:29,2065,Brandon Tabb made Free Throw.,83,79
2:29,2065,Brandon Tabb made Free Throw.,83,80
2:22,104,Tyler Scanlon Turnover.,83,80
2:21,2065,Isaiah Bailey Steal.,83,80
2:19,2065,Isaiah Bailey missed Layup.,83,80
2:19,104,Nick Havener Block.,83,80
2:18,2065,Shawntrez Davis Offensive Rebound.,83,80
2:16,2065,Shawntrez Davis made Layup.,83,82
2:06,104,Boston University  Timeout,83,82
1:47,2065,Foul on Shawntrez Davis.,83,82
1:47,104,Nick Havener made Free Throw.,84,82
1:47,104,Nick Havener missed Free Throw.,84,82
1:47,104,Max Mahoney Offensive Rebound.,84,82
1:45,104,Max Mahoney missed Layup.,84,82
1:45,2065,Soufiyane Diakite Block.,84,82
1:43,2065,Malik Maitland Defensive Rebound.,84,82
1:21,2065,Isaiah Bailey made Three Point Jumper. Assisted by Houston Smith.,84,85
1:02,2065,Foul on Soufiyane Diakite.,84,85
1:02,104,Max Mahoney missed Free Throw.,84,85
1:02,104,Boston University Deadball Team Rebound.,84,85
1:02,104,Max Mahoney made Free Throw.,85,85
0:43,104,Foul on Eric Johnson.,85,85
0:43,2065,Malik Maitland made Free Throw.,85,86
0:43,2065,Malik Maitland missed Free Throw.,85,86
0:43,104,Walter Whyte Defensive Rebound.,85,86
0:38,104,Boston University  Timeout,85,86
0:23,104,Eric Johnson made Three Point Jumper. Assisted by Tyler Scanlon.,88,86
0:11,2065,Isaiah Bailey missed Three Point Jumper.,88,86
0:11,2065,Ulmer Manzie Offensive Rebound.,88,86
0:10,104,Foul on Nick Havener.,88,86
0:10,2065,Ulmer Manzie missed Free Throw.,88,86
0:10,2065,Bethune-Cookman Deadball Team Rebound.,88,86
0:10,2065,Ulmer Manzie made Free Throw.,88,87
0:09,2065,Foul on Malik Maitland.,88,87
0:09,104,Eric Johnson made Free Throw.,89,87
0:09,104,Eric Johnson made Free Throw.,90,87
0:03,2065,Isaiah Bailey missed Three Point Jumper.,90,87
0:03,104,Boston University Defensive Rebound.,90,87
0:00,2065,End of Game,90,87
