Montreat College,Error,Furman,231
15:22,2410,Alonzo Mobley missed Three Point Jumper.,4,12
15:22,231,Matt Rafferty Defensive Rebound.,4,12
15:20,2410,Foul on Jordan Eaton.,4,12
15:08,231,Matt Rafferty made Three Point Jumper. Assisted by Devin Sibley.,4,15
14:51,2410,Alonzo Mobley missed Layup.,4,15
14:51,231,Matt Rafferty Defensive Rebound.,4,15
14:45,231,Jordan Lyons missed Three Point Jumper.,4,15
14:45,231,Matt Rafferty Offensive Rebound.,4,15
14:41,231,Devin Sibley missed Three Point Jumper.,4,15
14:41,2410,Jordan Eaton Defensive Rebound.,4,15
14:25,2410,Austin Butler missed Layup.,4,15
14:25,231,Geoff Beans Defensive Rebound.,4,15
14:19,231,Jordan Lyons made Layup. Assisted by Alex Hunter.,4,17
13:46,2410,Montreat  Turnover.,4,17
13:32,2410,Foul on Austin Butler.,4,17
13:32,231,Jalen Williams made Free Throw.,4,18
13:32,231,Jalen Williams made Free Throw.,4,19
13:15,2410,Austin Butler missed Three Point Jumper.,4,19
13:15,231,Jordan Lyons Defensive Rebound.,4,19
13:07,231,Jordan Lyons made Three Point Jumper.,4,22
12:50,2410,Jordan Eaton made Three Point Jumper. Assisted by Jalen White.,7,22
12:39,231,Clay Mounce missed Layup.,7,22
12:39,2410,Tre'Von Rucker Defensive Rebound.,7,22
12:33,2410,Jalen White made Jumper.,9,22
12:10,231,Clay Mounce missed Three Point Jumper.,9,22
12:10,2410,Darrian Patterson Defensive Rebound.,9,22
11:49,2410,Jalen White made Three Point Jumper.,12,22
11:36,2410,Foul on Jalen White.,12,22
11:36,231,Official TV Timeout,12,22
11:36,231,Jordan Lyons made Free Throw.,12,23
11:36,231,Jordan Lyons made Free Throw.,12,24
11:04,2410,Jordan Eaton Turnover.,12,24
11:03,231,Matt Rafferty Steal.,12,24
11:00,231,John Davis III made Layup. Assisted by Daniel Fowler.,12,26
11:00,2410,Foul on Austin Butler.,12,26
11:00,231,John Davis III made Free Throw.,12,27
10:40,2410,Darrian Patterson missed Three Point Jumper.,12,27
10:40,231,Matt Rafferty Defensive Rebound.,12,27
10:31,231,Devin Sibley missed Jumper.,12,27
10:31,2410,Darrian Patterson Defensive Rebound.,12,27
10:19,2410,Jalen White Turnover.,12,27
10:09,2410,Foul on Terrell Sheffey.,12,27
10:09,231,Daniel Fowler made Free Throw.,12,28
10:09,231,Daniel Fowler made Free Throw.,12,29
9:56,2410,David Everage made Jumper. Assisted by Tre'Von Rucker.,14,29
9:42,231,Matt Rafferty missed Jumper.,14,29
9:42,2410,Tre'Von Rucker Defensive Rebound.,14,29
9:29,2410,David Caldwell missed Three Point Jumper.,14,29
9:29,231,Daniel Fowler Defensive Rebound.,14,29
9:18,231,Daniel Fowler made Three Point Jumper. Assisted by Matt Rafferty.,14,32
8:49,2410,Darrian Patterson missed Three Point Jumper.,14,32
8:49,231,Devin Sibley Defensive Rebound.,14,32
8:41,231,Matt Rafferty made Layup. Assisted by Devin Sibley.,14,34
8:40,2410,Montreat  Timeout,14,34
8:25,2410,David Everage missed Jumper.,14,34
8:25,2410,Alonzo Mobley Offensive Rebound.,14,34
8:21,231,Foul on Andrew Brown.,14,34
8:16,231,Foul on Matt Rafferty.,14,34
8:14,2410,Alonzo Mobley Turnover.,14,34
8:13,231,Daniel Fowler Steal.,14,34
8:10,231,Devin Sibley made Layup. Assisted by Daniel Fowler.,14,36
7:51,231,Official TV Timeout,14,36
7:39,2410,Jalen White made Jumper.,16,36
7:24,231,Jordan Lyons made Three Point Jumper. Assisted by Jonathan Jean.,16,39
7:12,2410,Jalen White missed Layup.,16,39
7:12,231,Alex Hunter Defensive Rebound.,16,39
7:07,231,Clay Mounce made Layup. Assisted by Alex Hunter.,16,41
6:54,2410,David Caldwell missed Three Point Jumper.,16,41
6:54,2410,Jalen White Offensive Rebound.,16,41
6:50,2410,Alonzo Mobley missed Jumper.,16,41
6:50,231,Clay Mounce Block.,16,41
6:49,2410,David Caldwell Offensive Rebound.,16,41
6:47,2410,David Caldwell made Layup.,18,41
6:47,231,Foul on Jonathan Jean.,18,41
6:47,2410,David Caldwell made Free Throw.,19,41
6:29,231,Clay Mounce missed Three Point Jumper.,19,41
6:29,2410,David Caldwell Defensive Rebound.,19,41
6:16,231,Foul on Alex Hunter.,19,41
6:16,2410,David Caldwell made Free Throw.,20,41
6:16,2410,David Caldwell missed Free Throw.,20,41
6:16,231,Clay Mounce Defensive Rebound.,20,41
6:12,231,Jordan Lyons missed Three Point Jumper.,20,41
6:12,231,Jalen Williams Offensive Rebound.,20,41
6:08,231,Jalen Williams Turnover.,20,41
5:53,2410,Alonzo Mobley Turnover.,20,41
5:53,2410,Foul on Alonzo Mobley.,20,41
5:36,231,Alex Hunter missed Three Point Jumper.,20,41
5:36,2410,Jeron Hemphill Defensive Rebound.,20,41
5:21,2410,David Caldwell missed Jumper.,20,41
5:21,231,Geoff Beans Defensive Rebound.,20,41
5:13,231,Geoff Beans missed Three Point Jumper.,20,41
5:13,2410,David Caldwell Defensive Rebound.,20,41
4:56,2410,Jalen White Turnover.,20,41
4:46,231,Jordan Lyons made Three Point Jumper. Assisted by Geoff Beans.,20,44
4:28,2410,Jeron Hemphill missed Layup.,20,44
4:28,2410,Jeron Hemphill Offensive Rebound.,20,44
4:24,231,Foul on Clay Mounce.,20,44
4:24,2410,Jeron Hemphill missed Free Throw.,20,44
4:24,2410,Montreat Deadball Team Rebound.,20,44
4:24,2410,Jeron Hemphill made Free Throw.,21,44
4:02,231,Jordan Lyons missed Three Point Jumper.,21,44
4:02,2410,David Everage Defensive Rebound.,21,44
3:49,231,Official TV Timeout,21,44
3:35,2410,Alonzo Mobley missed Jumper.,21,44
3:35,231,Daniel Fowler Defensive Rebound.,21,44
3:22,231,Daniel Fowler Turnover.,21,44
3:21,2410,Jalen White Steal.,21,44
3:19,2410,Jalen White made Layup.,23,44
3:10,231,Devin Sibley Turnover.,23,44
2:46,2410,Austin Butler missed Three Point Jumper.,23,44
2:46,231,Daniel Fowler Defensive Rebound.,23,44
2:39,231,John Davis III missed Three Point Jumper.,23,44
2:39,2410,Montreat Defensive Rebound.,23,44
2:13,2410,Tre'Von Rucker Turnover.,23,44
2:12,231,Andrew Brown Steal.,23,44
2:03,231,John Davis III missed Three Point Jumper.,23,44
2:03,2410,Austin Butler Defensive Rebound.,23,44
1:45,2410,Tre'Von Rucker missed Jumper.,23,44
1:45,231,Matt Rafferty Defensive Rebound.,23,44
1:38,231,Daniel Fowler missed Three Point Jumper.,23,44
1:38,2410,Tre'Von Rucker Defensive Rebound.,23,44
1:29,2410,Tre'Von Rucker Turnover.,23,44
1:28,231,Andrew Brown Steal.,23,44
1:25,231,Devin Sibley made Three Point Jumper. Assisted by Andrew Brown.,23,47
1:04,2410,David Everage missed Layup.,23,47
1:04,231,Matt Rafferty Block.,23,47
1:03,231,Matt Rafferty Defensive Rebound.,23,47
0:58,231,Daniel Fowler missed Dunk.,23,47
0:58,231,John Davis III Offensive Rebound.,23,47
0:56,231,John Davis III missed Layup.,23,47
0:56,2410,Jeron Hemphill Block.,23,47
0:54,231,Andrew Brown Offensive Rebound.,23,47
0:34,231,John Davis III made Jumper.,23,49
0:04,2410,David Everage Turnover.,23,49
0:04,231,Furman  Timeout,23,49
0:01,231,John Davis III missed Three Point Jumper.,23,49
0:01,2410,Montreat Deadball Team Rebound.,23,49
0:00,231,End of 1st half,23,49
19:52,2410,Terrell Sheffey Turnover.,23,49
19:52,231,John Davis III Steal.,23,49
19:23,231,Matt Rafferty made Jumper.,23,51
19:02,2410,Jeron Hemphill missed Layup.,23,51
19:02,2410,Jeron Hemphill Offensive Rebound.,23,51
19:00,2410,Jeron Hemphill made Two Point Tip Shot.,25,51
18:46,231,Matt Rafferty missed Layup.,25,51
18:46,231,Matt Rafferty Offensive Rebound.,25,51
18:40,231,Andrew Brown made Three Point Jumper. Assisted by Daniel Fowler.,25,54
18:27,2410,David Caldwell made Three Point Jumper. Assisted by Jeron Hemphill.,28,54
18:19,231,Matt Rafferty made Layup. Assisted by John Davis III.,28,56
18:06,2410,David Caldwell missed Three Point Jumper.,28,56
18:06,231,Furman Deadball Team Rebound.,28,56
17:49,231,Andrew Brown missed Three Point Jumper.,28,56
17:49,231,Daniel Fowler Offensive Rebound.,28,56
17:44,231,Devin Sibley made Three Point Jumper. Assisted by Daniel Fowler.,28,59
17:18,2410,David Caldwell missed Layup.,28,59
17:18,231,Andrew Brown Defensive Rebound.,28,59
17:12,231,Andrew Brown made Layup.,28,61
17:01,2410,Jordan Eaton missed Layup.,28,61
17:01,231,Matt Rafferty Defensive Rebound.,28,61
16:54,231,Daniel Fowler missed Jumper.,28,61
16:54,2410,Jeron Hemphill Defensive Rebound.,28,61
16:48,2410,Jeron Hemphill missed Jumper.,28,61
16:48,231,Matt Rafferty Defensive Rebound.,28,61
16:40,231,John Davis III missed Layup.,28,61
16:40,2410,Alonzo Mobley Block.,28,61
16:39,2410,Alonzo Mobley Defensive Rebound.,28,61
16:34,2410,Terrell Sheffey missed Layup.,28,61
16:34,231,Matt Rafferty Defensive Rebound.,28,61
16:16,231,Daniel Fowler missed Three Point Jumper.,28,61
16:16,2410,David Caldwell Defensive Rebound.,28,61
15:43,2410,Jeron Hemphill made Jumper.,30,61
15:40,2410,Montreat  Timeout,30,61
15:40,231,Official TV Timeout,30,61
15:23,231,Geoff Beans made Three Point Jumper. Assisted by Alex Hunter.,30,64
14:51,2410,Jalen White Turnover.,30,64
14:50,231,Official TV Timeout,30,64
14:42,231,Geoff Beans missed Three Point Jumper.,30,64
14:42,231,Jalen Williams Offensive Rebound.,30,64
14:38,231,Jalen Williams made Two Point Tip Shot.,30,66
14:27,2410,Jalen White missed Three Point Jumper.,30,66
14:27,231,Jalen Williams Defensive Rebound.,30,66
14:22,2410,Foul on Jordan Eaton.,30,66
14:10,231,Clay Mounce made Jumper. Assisted by Jalen Williams.,30,68
13:52,2410,Derrick Cusano Turnover.,30,68
13:52,2410,Foul on Derrick Cusano.,30,68
13:35,231,Clay Mounce missed Jumper.,30,68
13:35,2410,Ej Reed Defensive Rebound.,30,68
13:27,231,Foul on Geoff Beans.,30,68
13:27,2410,Darrian Patterson missed Free Throw.,30,68
13:27,2410,Montreat Deadball Team Rebound.,30,68
13:27,2410,Darrian Patterson made Free Throw.,31,68
13:15,231,Geoff Beans missed Three Point Jumper.,31,68
13:15,2410,Derrick Cusano Defensive Rebound.,31,68
13:05,2410,Jalen White missed Jumper.,31,68
13:05,2410,Jalen White Offensive Rebound.,31,68
12:54,231,Jordan Lyons Turnover.,31,68
12:53,2410,Derrick Cusano Steal.,31,68
12:50,2410,Ej Reed Turnover.,31,68
12:50,2410,Foul on Ej Reed.,31,68
12:31,231,Geoff Beans Turnover.,31,68
12:17,2410,Ej Reed missed Three Point Jumper.,31,68
12:17,231,Jalen Williams Defensive Rebound.,31,68
12:09,231,Jordan Lyons made Three Point Jumper.,31,71
11:42,2410,Darrian Patterson missed Three Point Jumper.,31,71
11:42,231,Clay Mounce Defensive Rebound.,31,71
11:39,2410,Foul on Derrick Cusano.,31,71
11:39,231,Official TV Timeout,31,71
11:27,231,Devin Sibley made Jumper. Assisted by Andrew Brown.,31,73
11:04,2410,Shad Blanton missed Three Point Jumper.,31,73
11:04,231,Devin Sibley Defensive Rebound.,31,73
10:57,231,Daniel Fowler made Layup. Assisted by Devin Sibley.,31,75
10:43,2410,Austin Butler Turnover.,31,75
10:28,231,Devin Sibley missed Three Point Jumper.,31,75
10:28,2410,Montreat Defensive Rebound.,31,75
10:16,2410,Ej Reed missed Three Point Jumper.,31,75
10:16,231,Matt Rafferty Defensive Rebound.,31,75
10:03,231,Matt Rafferty made Layup. Assisted by Andrew Brown.,31,77
9:35,2410,Darrian Patterson Turnover.,31,77
9:34,231,Matt Rafferty Steal.,31,77
9:31,231,Devin Sibley made Layup. Assisted by Matt Rafferty.,31,79
9:12,2410,Shad Blanton Turnover.,31,79
9:11,231,Daniel Fowler Steal.,31,79
9:08,231,Daniel Fowler made Layup.,31,81
8:56,2410,Ej Reed made Three Point Jumper.,34,81
8:34,231,John Davis III made Layup. Assisted by Matt Rafferty.,34,83
8:34,2410,Foul on Ej Reed.,34,83
8:34,231,John Davis III made Free Throw.,34,84
8:21,2410,Darrian Patterson missed Jumper.,34,84
8:21,231,Devin Sibley Defensive Rebound.,34,84
8:15,231,Devin Sibley Turnover.,34,84
8:07,2410,Cody Miller made Layup. Assisted by Derrick Cusano.,36,84
7:50,231,John Davis III Turnover.,36,84
7:49,2410,Deonta Patterson Steal.,36,84
7:45,2410,Deonta Patterson Turnover.,36,84
7:45,231,Official TV Timeout,36,84
7:31,231,Jalen Williams made Layup. Assisted by Jordan Lyons.,36,86
7:31,2410,Foul on Deonta Patterson.,36,86
7:31,231,Jalen Williams made Free Throw.,36,87
7:19,2410,Derrick Cusano missed Three Point Jumper.,36,87
7:19,231,Alex Hunter Defensive Rebound.,36,87
7:11,231,Geoff Beans missed Layup.,36,87
7:11,231,Jalen Williams Offensive Rebound.,36,87
7:08,2410,Foul on Tre'Von Rucker.,36,87
7:08,231,Jalen Williams missed Free Throw.,36,87
7:08,231,Furman Deadball Team Rebound.,36,87
7:08,231,Jalen Williams made Free Throw.,36,88
7:00,2410,Shad Blanton missed Three Point Jumper.,36,88
7:00,231,Geoff Beans Defensive Rebound.,36,88
6:47,231,Geoff Beans missed Layup.,36,88
6:47,231,Jalen Williams Offensive Rebound.,36,88
6:44,231,Jalen Williams missed Layup.,36,88
6:44,231,Clay Mounce Offensive Rebound.,36,88
6:42,231,Clay Mounce made Dunk.,36,90
6:32,2410,Derrick Cusano made Three Point Jumper.,39,90
6:22,231,Jordan Lyons missed Three Point Jumper.,39,90
6:22,231,Geoff Beans Offensive Rebound.,39,90
6:17,231,Clay Mounce made Dunk. Assisted by Geoff Beans.,39,92
6:02,2410,Derrick Cusano missed Three Point Jumper.,39,92
6:02,231,Clay Mounce Defensive Rebound.,39,92
5:40,231,Clay Mounce made Layup.,39,94
5:27,2410,Austin Butler made Three Point Jumper. Assisted by Shad Blanton.,42,94
5:15,231,Jordan Lyons Turnover.,42,94
5:05,2410,Austin Butler missed Three Point Jumper.,42,94
5:05,231,Geoff Beans Defensive Rebound.,42,94
4:57,231,Jordan Lyons made Three Point Jumper. Assisted by Jonathan Jean.,42,97
4:47,2410,Austin Butler Turnover.,42,97
4:46,231,Jonathan Jean Steal.,42,97
4:42,231,Jordan Lyons missed Three Point Jumper.,42,97
4:42,2410,Shad Blanton Defensive Rebound.,42,97
4:27,2410,Austin Butler made Three Point Jumper. Assisted by Shad Blanton.,45,97
4:00,2410,Foul on Darrian Patterson.,45,97
4:00,231,Official TV Timeout,45,97
4:00,231,Jalen Williams missed Free Throw.,45,97
4:00,231,Furman Deadball Team Rebound.,45,97
4:00,231,Jalen Williams made Free Throw.,45,98
3:45,2410,Ej Reed missed Three Point Jumper.,45,98
3:45,2410,Montreat Offensive Rebound.,45,98
3:28,2410,Cody Miller missed Jumper.,45,98
3:28,231,Jalen Williams Defensive Rebound.,45,98
3:07,2410,Foul on Shad Blanton.,45,98
3:07,231,Clay Mounce missed Free Throw.,45,98
3:07,231,Furman Deadball Team Rebound.,45,98
3:07,231,Clay Mounce made Free Throw.,45,99
2:48,2410,Shad Blanton missed Layup.,45,99
2:48,231,Jalen Williams Block.,45,99
2:48,2410,Montreat Offensive Rebound.,45,99
2:44,2410,Deonta Patterson missed Three Point Jumper.,45,99
2:44,231,Jalen Williams Defensive Rebound.,45,99
2:35,231,Brady Schuck made Jumper.,45,101
2:15,2410,Deonta Patterson missed Jumper.,45,101
2:15,231,Jalen Williams Defensive Rebound.,45,101
2:08,231,Clay Mounce made Dunk. Assisted by Jonathan Jean.,45,103
1:52,2410,Shad Blanton missed Jumper.,45,103
1:52,231,Jalen Williams Defensive Rebound.,45,103
1:46,231,Seve Stavroff missed Three Point Jumper.,45,103
1:46,2410,Cody Miller Defensive Rebound.,45,103
1:22,2410,Cody Miller missed Layup.,45,103
1:22,2410,Cody Miller Offensive Rebound.,45,103
1:20,2410,Cody Miller made Layup.,47,103
0:58,231,Seve Stavroff Turnover.,47,103
0:58,2410,Cody Miller Steal.,47,103
0:53,2410,Ej Reed missed Three Point Jumper.,47,103
0:53,2410,Darrian Patterson Offensive Rebound.,47,103
0:48,2410,Darrian Patterson missed Layup.,47,103
0:48,231,Jalen Williams Block.,47,103
0:47,2410,Montreat Offensive Rebound.,47,103
0:40,2410,Ej Reed missed Three Point Jumper.,47,103
0:40,231,Brady Schuck Defensive Rebound.,47,103
0:28,231,Seve Stavroff missed Three Point Jumper.,47,103
0:28,231,Jalen Williams Offensive Rebound.,47,103
0:00,231,End of Game,47,103
